"plot";"abbr";"layer";"cov";"voucher";"determined";"history"
"wk01a";"achi mill aggr";"hl";"+";"";"";""
"wk01a";"ajug rept";"hl";"1";"";"";""
"wk01a";"arte vulg";"hl";"r";"";"";""
"wk01a";"astr glyc";"hl";"+";"";"";""
"wk01a";"cala epig";"hl";"+";"";"";""
"wk01a";"camp patu patu";"hl";"+";"";"";""
"wk01a";"care alba";"hl";"1";"";"";""
"wk01a";"care flac";"hl";"1";"";"";""
"wk01a";"care tome";"hl";"2b";"";"";""
"wk01a";"carp betu";"hl";"+";"";"";""
"wk01a";"cirs arve";"hl";"+";"";"";""
"wk01a";"corn sang slat";"hl";"+";"";"";""
"wk01a";"cypr calc";"hl";"+";"";"";""
"wk01a";"dact glom glom";"hl";"1";"";"";""
"wk01a";"dauc caro caro";"hl";"+";"";"";""
"wk01a";"erig annu slat";"hl";"2a";"";"";""
"wk01a";"eupa cann";"hl";"+";"";"";""
"wk01a";"euph cypa";"hl";"+";"";"";""
"wk01a";"fest giga";"hl";"+";"";"";""
"wk01a";"frax exce";"hl";"+";"";"";""
"wk01a";"gali albu";"hl";"+";"";"";""
"wk01a";"gali apar";"hl";"1";"";"";""
"wk01a";"glec hede";"hl";"+";"";"";""
"wk01a";"lath prat prat";"hl";"+";"";"";""
"wk01a";"lotu corn";"hl";"+";"";"";""
"wk01a";"ment long";"hl";"+";"";"";""
"wk01a";"moli arun";"hl";"1";"";"";""
"wk01a";"orig vulg";"hl";"+";"";"";""
"wk01a";"poa prat";"hl";"+";"";"";""
"wk01a";"poa triv";"hl";"+";"";"";""
"wk01a";"popu cana";"hl";"+";"";"";""
"wk01a";"pote rept";"hl";"+";"";"";""
"wk01a";"quer robu";"hl";"+";"";"";""
"wk01a";"rubu caes";"hl";"+";"";"";""
"wk01a";"sali alba";"hl";"+";"";"";""
"wk01a";"sali frag";"hl";"+";"";"";""
"wk01a";"sali purp";"hl";"+";"";"";""
"wk01a";"scro nodo";"hl";"+";"";"";""
"wk01a";"secu vari";"hl";"+";"";"";""
"wk01a";"soli cana";"hl";"4";"";"";""
"wk01a";"stac sylv";"hl";"+";"";"";""
"wk01a";"tara sect rude";"hl";"+";"";"";""
"wk01a";"tili cord";"hl";"+";"";"";""
"wk01a";"verb thap";"hl";"+";"";"";""
"wk01a";"vero cham cham";"hl";"+";"";"";""
"wk01a";"vibu lant";"hl";"+";"";"";""
"wk01a";"popu cana";"sl";"+";"";"";""
"wk01a";"sali alba";"sl";"+";"";"";""
"wk01a";"sali frag";"sl";"+";"";"";""
"wk01a";"sali purp";"sl";"1";"";"";""
"wk01a";"alnu inca";"tl";"1";"";"";""
"wk01a";"betu pend";"tl";"+";"";"";""
"wk01a";"popu cana";"tl";"2b";"";"";""
"wk01a";"sali alba";"tl";"3";"";"";""
"wk01a";"sali frag";"tl";"1";"";"";""
"wk01a";"sali purp";"tl";"3";"";"";""
"wk01b";"ajug rept";"hl";"+";"";"";""
"wk01b";"alnu inca";"hl";"+";"";"";""
"wk01b";"astr glyc";"hl";"+";"";"";""
"wk01b";"betu pend";"hl";"+";"";"";""
"wk01b";"cala epig";"hl";"1";"";"";""
"wk01b";"care alba";"hl";"+";"";"";""
"wk01b";"care flac";"hl";"2a";"";"";""
"wk01b";"care spic";"hl";"+";"";"";""
"wk01b";"care tome";"hl";"2a";"";"";""
"wk01b";"cirs palu";"hl";"+";"";"";""
"wk01b";"cypr calc";"hl";"r";"";"";""
"wk01b";"dact glom glom";"hl";"+";"";"";""
"wk01b";"erig annu slat";"hl";"1";"";"";""
"wk01b";"frax exce";"hl";"+";"";"";""
"wk01b";"gali apar";"hl";"3";"";"";""
"wk01b";"geum riva";"hl";"+";"";"";""
"wk01b";"glec hede";"hl";"+";"";"";""
"wk01b";"hype perf";"hl";"+";"";"";""
"wk01b";"lath prat prat";"hl";"+";"";"";""
"wk01b";"medi lupu";"hl";"+";"";"";""
"wk01b";"moli arun";"hl";"+";"";"";""
"wk01b";"orig vulg";"hl";"+";"";"";""
"wk01b";"phal arun";"hl";"+";"";"";""
"wk01b";"poa angu";"hl";"1";"";"";""
"wk01b";"poa prat";"hl";"1";"";"";""
"wk01b";"scro nodo";"hl";"+";"";"";""
"wk01b";"soli cana";"hl";"3";"";"";""
"wk01b";"stac sylv";"hl";"+";"";"";""
"wk01b";"stel medi";"hl";"+";"";"";""
"wk01b";"tana vulg";"hl";"+";"";"";""
"wk01b";"tara sect rude";"hl";"+";"";"";""
"wk01b";"thal flav";"hl";"+";"";"cf.";""
"wk01b";"urti dioi dioi";"hl";"1";"";"";""
"wk01b";"vici crac";"hl";"+";"";"";""
"wk01b";"viol hirt";"hl";"+";"";"";""
"wk01b";"alnu inca";"sl";"+";"";"";""
"wk01b";"frax exce";"sl";"+";"";"";""
"wk01b";"popu cana";"sl";"+";"";"";""
"wk01b";"sali alba";"sl";"+";"";"";""
"wk01b";"sali frag";"sl";"+";"";"";""
"wk01b";"sali purp";"sl";"+";"";"";""
"wk01b";"alnu inca";"tl";"2a";"";"";""
"wk01b";"betu pend";"tl";"1";"";"";""
"wk01b";"carp betu";"tl";"+";"";"";""
"wk01b";"popu cana";"tl";"2b";"";"";""
"wk01b";"sali alba";"tl";"3";"";"";""
"wk01b";"sali frag";"tl";"1";"";"";""
"wk01b";"sali purp";"tl";"2b";"";"";""
"wk01c";"alnu inca";"hl";"+";"";"";""
"wk01c";"arrh elat";"hl";"+";"";"";""
"wk01c";"brac pinn";"hl";"1";"";"";""
"wk01c";"brac sylv";"hl";"1";"";"";""
"wk01c";"cala epig";"hl";"1";"";"";""
"wk01c";"caly sepi";"hl";"+";"";"";""
"wk01c";"care acut a";"hl";"2a";"";"";""
"wk01c";"care briz";"hl";"1";"";"";""
"wk01c";"care flac";"hl";"2a";"";"";""
"wk01c";"care hirt";"hl";"+";"";"";""
"wk01c";"care tome";"hl";"2a";"";"";""
"wk01c";"corn sang slat";"hl";"+";"";"";""
"wk01c";"dact glom glom";"hl";"1";"";"";""
"wk01c";"equi arve";"hl";"+";"";"";""
"wk01c";"eupa cann";"hl";"+";"";"";""
"wk01c";"frax exce";"hl";"+";"";"";""
"wk01c";"gali apar";"hl";"1";"";"";""
"wk01c";"junc infl";"hl";"+";"";"";""
"wk01c";"junc tenu";"hl";"+";"";"";""
"wk01c";"lath prat prat";"hl";"+";"";"";""
"wk01c";"lyco euro euro";"hl";"1";"";"";""
"wk01c";"mela nemo";"hl";"+";"";"";""
"wk01c";"phal arun";"hl";"2a";"";"";""
"wk01c";"poa angu";"hl";"1";"";"cf.";""
"wk01c";"poa palu";"hl";"2a";"";"cf.";""
"wk01c";"poa prat";"hl";"+";"";"";""
"wk01c";"poa triv";"hl";"1";"";"";""
"wk01c";"prun padu padu";"hl";"+";"";"";""
"wk01c";"ranu repe";"hl";"+";"";"";""
"wk01c";"rubu caes";"hl";"+";"";"";""
"wk01c";"sali alba";"hl";"+";"";"";""
"wk01c";"sali frag";"hl";"+";"";"";""
"wk01c";"sali purp";"hl";"+";"";"";""
"wk01c";"sali vimi";"hl";"+";"";"";""
"wk01c";"scro nodo";"hl";"+";"";"";""
"wk01c";"soli cana";"hl";"1";"";"";""
"wk01c";"soli giga";"hl";"1";"";"";""
"wk01c";"stac sylv";"hl";"+";"";"";""
"wk01c";"symp offi";"hl";"1";"";"";""
"wk01c";"tili cord";"hl";"+";"";"";""
"wk01c";"vale offi slat";"hl";"+";"";"";""
"wk01c";"vibu lant";"hl";"+";"";"";""
"wk01c";"vici crac";"hl";"+";"";"";""
"wk01c";"alnu inca";"sl";"1";"";"";""
"wk01c";"frax exce";"sl";"+";"";"";""
"wk01c";"popu cana";"sl";"+";"";"";""
"wk01c";"prun padu padu";"sl";"+";"";"";""
"wk01c";"sali alba";"sl";"+";"";"";""
"wk01c";"sali frag";"sl";"1";"";"";""
"wk01c";"sali purp";"sl";"1";"";"";""
"wk01c";"sali vimi";"sl";"1";"";"";""
"wk01c";"alnu inca";"tl";"2a";"";"";""
"wk01c";"popu cana";"tl";"+";"";"";""
"wk01c";"sali alba";"tl";"2a";"";"";""
"wk01c";"sali frag";"tl";"3";"";"";""
"wk01c";"sali purp";"tl";"2b";"";"";""
"wk01c";"sali vimi";"tl";"2a";"";"";""
"wk02a";"ajug rept";"hl";"1";"";"";""
"wk02a";"alli peti";"hl";"+";"";"";""
"wk02a";"alnu inca";"hl";"+";"";"";""
"wk02a";"arct minu";"hl";"+";"";"cf.";""
"wk02a";"caly sepi";"hl";"1";"";"";""
"wk02a";"card pers pers";"hl";"1";"";"";""
"wk02a";"care alba";"hl";"1";"";"";""
"wk02a";"care briz";"hl";"1";"";"";""
"wk02a";"care muri sstr";"hl";"+";"";"";""
"wk02a";"clem vita";"hl";"+";"";"";""
"wk02a";"conv maja maja";"hl";"1";"";"";""
"wk02a";"corn sang slat";"hl";"+";"";"";""
"wk02a";"equi arve";"hl";"+";"";"";""
"wk02a";"gali apar";"hl";"3";"";"";""
"wk02a";"geum urba";"hl";"+";"";"";""
"wk02a";"phal arun";"hl";"+";"";"";""
"wk02a";"poa triv";"hl";"+";"";"";""
