plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;alliance;association;soil;comment;location;observer
ae01;;;;;;;;;;;;;;;;;;;2016-04-04;47.361585;9.691020;;Quercion pubescentis-petraeae;;;;Schloßberg Ruine Alt Ems;R. Kaiser
ae02;;;;;;;;;;;;;;;;;;;2016-04-04;47.361621;9.691265;;Quercion pubescentis-petraeae;;;;Schloßberg Ruine Alt Ems;R. Kaiser
ae03;;;;;;;;;;;;;;;;;;;2016-04-04;47.361773;9.692161;;Tilenion platyphylli;;;;Schloßberg Ruine Alt Ems;R. Kaiser
ae04;;;;;;;;;;;;;;;;;;;2016-04-04;47.361993;9.692726;;Tilenion platyphylli;;;;Schloßberg Ruine Alt Ems;R. Kaiser
ae05;;;;;;;;;;;;;;;;;;;2016-04-04;47.362421;9.691640;;Quercion pubescentis-petraeae;;;;Schloßberg Ruine Alt Ems;R. Kaiser
ae06;;;;;;;;;;;;;;;;;;;2016-04-04;47.362454;9.691999;;Cephalanthero Fagenion;;;;Schloßberg Ruine Alt Ems;R. Kaiser
ae07;;;;;;;;;;;;;;;;;;;2016-04-04;47.362284;9.692224;;Quercion pubescentis-petraeae;;;;Schloßberg Ruine Alt Ems;R. Kaiser
ae08;;;;;;;;;;;;;;;;;;;2016-04-04;47.362320;9.695138;;Tilenion platyphylli;;;;Schloßberg Ruine Alt Ems;R. Kaiser
