"plot";"abbr";"layer";"cov";"scale";"history"
"gm1b";"prim elat";"hl";"+";"";""
"gm1b";"prun vulg";"hl";"+";"";""
"gm1b";"ranu acri acri";"hl";"+";"";" | Changed ranu acri To ranu acri acri 2012-11-27 01:00:28"
"gm1b";"ranu repe";"hl";"1";"";""
"gm1b";"rhin alec alec";"hl";"1";"";" | Changed rhin alec To rhin alec alec 2012-11-27 01:00:28"
"gm1b";"rume acet osa";"hl";"+";"";" | Changed rume acet To rume acet osa 2012-11-27 01:00:28"
"gm1b";"stel gram";"hl";"+";"";""
"gm1b";"tara sect rude";"hl";"+";"";" | Changed tara offi To tara sect rude 2012-11-27 01:00:28"
"gm1b";"trif medi medi";"hl";"1";"";" | Changed trif medi To trif medi medi 2012-11-27 01:00:27"
"gm1b";"trif prat prat";"hl";"2b";"";" | Changed trif prat To trif prat prat 2012-11-27 01:00:28"
"gm1b";"trif repe repe";"hl";"1";"";""
"gm1b";"tris flav flav";"hl";"1";"";" | Changed tris flav To tris flav flav 2012-11-27 01:00:28"
"gm1b";"vero cham cham";"hl";"+";"";" | Changed vero cham To vero cham cham 2012-11-27 01:00:27"
"gm1c";"achi mill";"hl";"+";"";""
"gm1c";"ajug rept";"hl";"1";"";""
"gm1c";"alch sect alch";"hl";"2a";"";" | Changed alch vulg To alch sect alch 2012-11-27 01:00:27"
"gm1c";"homa pube pube";"hl";"+";"";" | Changed aven pube To homa pube pube 2012-11-27 01:00:27"
"gm1c";"bell pere";"hl";"+";"";""
"gm1c";"will stip stip";"hl";"+";"";" | Changed caly stip To will stip stip 2012-11-27 01:00:28"
"gm1c";"camp patu patu";"hl";"+";"";""
"gm1c";"card prat";"hl";"+";"";""
"gm1c";"care pall";"hl";"1";"";""
"gm1c";"care sylv";"hl";"2a";"";""
"gm1c";"crep bien";"hl";"1";"";""
"gm1c";"crep moll slat";"hl";"+";"";" | Changed crep moll To crep moll slat 2012-11-27 01:00:28"
"gm1c";"cyno cris";"hl";"3";"";""
"gm1c";"equi arve";"hl";"+";"";""
"gm1c";"fest prat prat";"hl";"1";"";" | Changed fest prat To fest prat prat 2012-11-27 01:00:27"
"gm1c";"fest rubr";"hl";"2a";"";""
"gm1c";"gali albu";"hl";"+";"";""
"gm1c";"gali pumi";"hl";"+";"";""
"gm1c";"hera spho spho";"hl";"r";"";" | Changed hera spho To hera spho spho 2012-11-27 01:00:27"
"gm1c";"holc lana";"hl";"2a";"";""
"gm1c";"lath prat prat";"hl";"+";"";" | Changed lath prat To lath prat prat 2012-11-27 01:00:27"
"gm1c";"luzu camp";"hl";"+";"";""
"gm1c";"lych flos cucu";"hl";"1";"";" | Changed lych flos To lych flos cucu 2012-11-27 01:00:27"
"gm1c";"lysi nemo";"hl";"+";"";""
"gm1c";"medi lupu";"hl";"+";"";""
"gm1c";"myos nemo";"hl";"+";"";""
"gm1c";"plan lanc";"hl";"+";"";""
"gm1c";"poa prat";"hl";"+";"";""
"gm1c";"poa triv";"hl";"1";"";""
"gm1c";"prim elat";"hl";"+";"";""
"gm1c";"prun vulg";"hl";"1";"";""
"gm1c";"ranu acri acri";"hl";"+";"";" | Changed ranu acri To ranu acri acri 2012-11-27 01:00:28"
"gm1c";"rume acet osa";"hl";"+";"";" | Changed rume acet To rume acet osa 2012-11-27 01:00:28"
"gm1c";"tara sect rude";"hl";"+";"";" | Changed tara offi To tara sect rude 2012-11-27 01:00:28"
"gm1c";"trif prat prat";"hl";"2a";"";" | Changed trif prat To trif prat prat 2012-11-27 01:00:28"
"gm1c";"tris flav flav";"hl";"1";"";" | Changed tris flav To tris flav flav 2012-11-27 01:00:28"
"gm1c";"vero cham cham";"hl";"+";"";" | Changed vero cham To vero cham cham 2012-11-27 01:00:27"
"gm1c";"vero serp serp";"hl";"+";"";" | Changed vero serp To vero serp serp 2012-11-27 01:00:28"
"gm1d";"achi mill";"hl";"1";"";""
"gm1d";"alch sect alch";"hl";"1";"";" | Changed alch vulg To alch sect alch 2012-11-27 01:00:27"
"gm1d";"anth odor";"hl";"2a";"";""
"gm1d";"will stip stip";"hl";"1";"";" | Changed caly stip To will stip stip 2012-11-27 01:00:28"
"gm1d";"camp patu patu";"hl";"+";"";""
"gm1d";"care cary";"hl";"+";"";""
"gm1d";"care pall";"hl";"+";"";""
"gm1d";"cent jace jace";"hl";"+";"";" | Changed cent jace To cent jace jace 2012-11-27 01:00:27"
"gm1d";"cera holo";"hl";"+";"";""
"gm1d";"cyno cris";"hl";"2a";"";""
"gm1d";"dact glom glom";"hl";"+";"";" | Changed dact glom To dact glom glom 2012-11-27 01:00:27"
"gm1d";"fest prat prat";"hl";"2a";"";" | Changed fest prat To fest prat prat 2012-11-27 01:00:27"
"gm1d";"fest rubr";"hl";"2a";"";""
"gm1d";"gali albu";"hl";"+";"";""
"gm1d";"hera spho spho";"hl";"+";"";" | Changed hera spho To hera spho spho 2012-11-27 01:00:27"
"gm1d";"holc lana";"hl";"+";"";""
"gm1d";"lath prat prat";"hl";"+";"";" | Changed lath prat To lath prat prat 2012-11-27 01:00:27"
"gm1d";"leon hisp slat";"hl";"3";"";" | Changed leon hisp To leon hisp slat 2012-11-27 01:00:27"
"gm1d";"lotu corn";"hl";"+";"";""
"gm1d";"luzu camp";"hl";"+";"";""
"gm1d";"lych flos cucu";"hl";"+";"";" | Changed lych flos To lych flos cucu 2012-11-27 01:00:27"
"gm1d";"myos nemo";"hl";"+";"";""
"gm1d";"plan lanc";"hl";"1";"";""
"gm1d";"poa prat";"hl";"+";"";""
"gm1d";"poa triv";"hl";"1";"";""
"gm1d";"ranu acri acri";"hl";"+";"";" | Changed ranu acri To ranu acri acri 2012-11-27 01:00:28"
"gm1d";"rhin alec alec";"hl";"+";"";" | Changed rhin alec To rhin alec alec 2012-11-27 01:00:28"
"gm1d";"rhin mino";"hl";"+";"";""
"gm1d";"rume acet osa";"hl";"+";"";" | Changed rume acet To rume acet osa 2012-11-27 01:00:28"
"gm1d";"trif prat prat";"hl";"2a";"";" | Changed trif prat To trif prat prat 2012-11-27 01:00:28"
"gm1d";"trif repe repe";"hl";"1";"";""
"gm1d";"tris flav flav";"hl";"1";"";" | Changed tris flav To tris flav flav 2012-11-27 01:00:28"
"gm1d";"vero cham cham";"hl";"+";"";" | Changed vero cham To vero cham cham 2012-11-27 01:00:27"
"gm1d";"vici crac";"hl";"+";"";""
"gm1e";"alch sect alch";"hl";"+";"";" | Changed alch vulg To alch sect alch 2012-11-27 01:00:27"
"gm1e";"alop prat";"hl";"2a";"";""
"gm1e";"anem nemo";"hl";"r";"";""
"gm1e";"anth odor";"hl";"1";"";""
"gm1e";"arrh elat";"hl";"2b";"";""
"gm1e";"care hirt";"hl";"1";"";""
"gm1e";"crep bien";"hl";"+";"";""
"gm1e";"dact glom glom";"hl";"2a";"";" | Changed dact glom To dact glom glom 2012-11-27 01:00:27"
"gm1e";"fest prat prat";"hl";"2b";"";" | Changed fest prat To fest prat prat 2012-11-27 01:00:27"
"gm1e";"fest rubr";"hl";"1";"";""
"gm1e";"gali albu";"hl";"1";"";""
"gm1e";"holc lana";"hl";"2b";"";""
"gm1e";"hype macu";"hl";"+";"";""
"gm1e";"lath prat prat";"hl";"+";"";" | Changed lath prat To lath prat prat 2012-11-27 01:00:27"
"gm1e";"lotu corn";"hl";"+";"";""
"gm1e";"lysi numm";"hl";"+";"";""
"gm1e";"poa prat";"hl";"2a";"";""
"gm1e";"poa triv";"hl";"2b";"";""
"gm1e";"ranu acri acri";"hl";"+";"";" | Changed ranu acri To ranu acri acri 2012-11-27 01:00:28"
"gm1e";"ranu repe";"hl";"+";"";""
"gm1e";"rume acet osa";"hl";"1";"";" | Changed rume acet To rume acet osa 2012-11-27 01:00:28"
"gm1e";"rume obtu obtu";"hl";"+";"";" | Changed rume obtu To rume obtu obtu 2012-11-27 01:00:28"
"gm1e";"stel gram";"hl";"+";"";""
"gm1e";"trif prat prat";"hl";"+";"";" | Changed trif prat To trif prat prat 2012-11-27 01:00:28"
"gm1e";"trif repe repe";"hl";"+";"";""
"gm1e";"tris flav flav";"hl";"2b";"";" | Changed tris flav To tris flav flav 2012-11-27 01:00:28"
"gm1e";"vero cham cham";"hl";"+";"";" | Changed vero cham To vero cham cham 2012-11-27 01:00:27"
"gm1e";"vici sepi";"hl";"+";"";""
"gm1f";"agro capi";"hl";"1";"";" | Changed agro tenu To agro capi 2012-11-27 01:00:28"
"gm1f";"ajug rept";"hl";"1";"";""
"gm1f";"alch sect alch";"hl";"+";"";" | Changed alch vulg To alch sect alch 2012-11-27 01:00:27"
"gm1f";"anth odor";"hl";"1";"";""
"gm1f";"anth sylv";"hl";"+";"";""
"gm1f";"arrh elat";"hl";"+";"";""
"gm1f";"briz medi";"hl";"1";"";""
"gm1f";"camp patu patu";"hl";"+";"";""
"gm1f";"care sylv";"hl";"+";"";""
"gm1f";"caru carv";"hl";"+";"";""
"gm1f";"cent jace jace";"hl";"1";"";" | Changed cent jace To cent jace jace 2012-11-27 01:00:27"
"gm1f";"cera holo";"hl";"+";"";""
"gm1f";"chae hirs";"hl";"1";"";""
"gm1f";"cirs oler";"hl";"+";"";""
"gm1f";"crep bien";"hl";"1";"";""
"gm1f";"cyno cris";"hl";"2a";"";""
"gm1f";"dact glom glom";"hl";"2a";"";" | Changed dact glom To dact glom glom 2012-11-27 01:00:27"
"gm1f";"equi arve";"hl";"+";"";""
"gm1f";"fest prat prat";"hl";"1";"";" | Changed fest prat To fest prat prat 2012-11-27 01:00:27"
"gm1f";"fest rubr";"hl";"2a";"";""
"gm1f";"gali albu";"hl";"1";"";""
"gm1f";"gera sylv";"hl";"+";"";""
"gm1f";"hera spho spho";"hl";"+";"";" | Changed hera spho To hera spho spho 2012-11-27 01:00:27"
"gm1f";"holc lana";"hl";"2a";"";""
"gm1f";"lath prat prat";"hl";"+";"";" | Changed lath prat To lath prat prat 2012-11-27 01:00:27"
"gm1f";"leon hisp slat";"hl";"1";"";" | Changed leon hisp To leon hisp slat 2012-11-27 01:00:27"
"gm1f";"plan lanc";"hl";"1";"";""
"gm1f";"poa triv";"hl";"+";"";""
"gm1f";"prun vulg";"hl";"1";"";""
"gm1f";"ranu repe";"hl";"1";"";""
"gm1f";"rhin alec alec";"hl";"2b";"";" | Changed rhin alec To rhin alec alec 2012-11-27 01:00:28"
"gm1f";"rume acet osa";"hl";"+";"";" | Changed rume acet To rume acet osa 2012-11-27 01:00:28"
"gm1f";"stel gram";"hl";"+";"";""
"gm1f";"tara sect rude";"hl";"+";"";" | Changed tara offi To tara sect rude 2012-11-27 01:00:28"
"gm1f";"trif prat prat";"hl";"1";"";" | Changed trif prat To trif prat prat 2012-11-27 01:00:28"
"gm1f";"tris flav flav";"hl";"1";"";" | Changed tris flav To tris flav flav 2012-11-27 01:00:28"
"gm1f";"vero cham cham";"hl";"+";"";" | Changed vero cham To vero cham cham 2012-11-27 01:00:27"
"gm1f";"vici sepi";"hl";"+";"";""
"gm1g";"alch sect alch";"hl";"+";"";" | Changed alch vulg To alch sect alch 2012-11-27 01:00:27"
"gm1g";"alop prat";"hl";"2a";"";""
"gm1g";"anth odor";"hl";"1";"";""
"gm1g";"arrh elat";"hl";"+";"";""
"gm1g";"card prat";"hl";"+";"";""
"gm1g";"care hirt";"hl";"+";"";""
"gm1g";"care sylv";"hl";"+";"";""
"gm1g";"cera holo";"hl";"+";"";""
"gm1g";"crep bien";"hl";"1";"";""
"gm1g";"cyno cris";"hl";"2a";"";""
"gm1g";"dact glom glom";"hl";"2a";"";" | Changed dact glom To dact glom glom 2012-11-27 01:00:27"
"gm1g";"fest prat prat";"hl";"2b";"";" | Changed fest prat To fest prat prat 2012-11-27 01:00:27"
"gm1g";"fest rubr";"hl";"2a";"";""
"gm1g";"gali albu";"hl";"+";"";""
"gm1g";"glec hede";"hl";"+";"";""
"gm1g";"holc lana";"hl";"2a";"";""
"gm1g";"lath prat prat";"hl";"1";"";" | Changed lath prat To lath prat prat 2012-11-27 01:00:27"
"gm1g";"lych flos cucu";"hl";"+";"";" | Changed lych flos To lych flos cucu 2012-11-27 01:00:27"
"gm1g";"lysi numm";"hl";"+";"";""
"gm1g";"phle prat";"hl";"2b";"";""
"gm1g";"plan lanc";"hl";"1";"";""
"gm1g";"poa prat";"hl";"1";"";""
"gm1g";"poa triv";"hl";"1";"";""
"gm1g";"prun vulg";"hl";"+";"";""
"gm1g";"ranu acri acri";"hl";"1";"";" | Changed ranu acri To ranu acri acri 2012-11-27 01:00:28"
"gm1g";"ranu repe";"hl";"2b";"";""
"gm1g";"rume acet osa";"hl";"+";"";" | Changed rume acet To rume acet osa 2012-11-27 01:00:28"
"gm1g";"rume obtu obtu";"hl";"1";"";" | Changed rume obtu To rume obtu obtu 2012-11-27 01:00:28"
"gm1g";"trif prat prat";"hl";"2a";"";" | Changed trif prat To trif prat prat 2012-11-27 01:00:28"
"gm1g";"trif repe repe";"hl";"2a";"";""
"gm1g";"tris flav flav";"hl";"+";"";" | Changed tris flav To tris flav flav 2012-11-27 01:00:28"
"gm1g";"vici sepi";"hl";"+";"";""
"gm20a";"acer camp";"hl";"+";"";""
"gm20a";"acer pseu";"hl";"+";"";""
"gm20a";"aego poda";"hl";"+";"";""
"gm20a";"ange sylv sylv";"hl";"+";"";" | Changed ange sylv To ange sylv sylv 2012-11-27 01:00:27"
"gm20a";"arrh elat";"hl";"1";"";""
"gm20a";"briz medi";"hl";"+";"";""
"gm20a";"cala epig";"hl";"+";"";""
"gm20a";"camp patu patu";"hl";"+";"";""
"gm20a";"card impa";"hl";"+";"";""
"gm20a";"carp betu";"hl";"+";"";""
"gm20a";"cirs arve";"hl";"+";"";""
"gm20a";"clem vita";"hl";"+";"";""
"gm20a";"cory avel";"hl";"+";"";""
"gm20a";"dact glom glom";"hl";"+";"";" | Changed dact glom To dact glom glom 2012-11-27 01:00:27"
"gm20a";"equi arve";"hl";"+";"";""
"gm20a";"fagu sylv";"hl";"+";"";""
"gm20a";"fest rubr";"hl";"1";"";""
"gm20a";"frag vesc";"hl";"+";"";""
"gm20a";"gali albu";"hl";"+";"";""
"gm20a";"gali odor";"hl";"+";"";""
"gm20a";"hier muro";"hl";"+";"";" | Changed hier sylv To hier muro 2012-11-27 01:00:27"
"gm20a";"hype macu";"hl";"+";"";""
"gm20a";"impa parv";"hl";"+";"";""
"gm20a";"lath prat prat";"hl";"+";"";" | Changed lath prat To lath prat prat 2012-11-27 01:00:27"
"gm20a";"lotu corn";"hl";"+";"";""
"gm20a";"luzu luzu ides";"hl";"+";"";" | Changed luzu luzuo To luzu luzu ides 2012-11-27 01:00:27"
"gm20a";"mili effu effu";"hl";"+";"";" | Changed mili effu To mili effu effu 2012-11-27 01:00:27"
"gm20a";"pari quad";"hl";"+";"";""
"gm20a";"phyt spic spic";"hl";"+";"";""
"gm20a";"pimp majo majo";"hl";"+";"";" | Changed pimp majo To pimp majo majo 2012-11-27 01:00:27"
"gm20a";"poa nemo";"hl";"+";"";""
"gm20a";"poa triv";"hl";"+";"";""
"gm20a";"pote erec";"hl";"+";"";""
"gm20a";"prun aviu slat";"hl";"+";"";" | Changed prun aviu To prun aviu slat 2012-11-27 01:00:28"
"gm20a";"ranu nemo";"hl";"+";"";""
"gm20a";"rosa arve";"hl";"+";"";""
"gm20a";"salv glut";"hl";"+";"";""
"gm20a";"soli virg virg";"hl";"+";"";" | Changed soli virg To soli virg virg 2012-11-27 01:00:27"
"gm20a";"trif medi medi";"hl";"+";"";" | Changed trif medi To trif medi medi 2012-11-27 01:00:27"
"gm20a";"ulmu glab";"hl";"+";"";""
"gm20a";"urti dioi dioi";"hl";"+";"";" | Changed urti dioi To urti dioi dioi 2012-11-27 01:00:27"
"gm20a";"vacc myrt";"hl";"2a";"";""
"gm20a";"vero cham cham";"hl";"+";"";" | Changed vero cham To vero cham cham 2012-11-27 01:00:27"
"gm20a";"vero offi";"hl";"+";"";""
"gm20a";"acer pseu";"sl";"+";"";""
"gm20a";"carp betu";"sl";"+";"";""
"gm20a";"cory avel";"sl";"+";"";""
"gm20a";"fagu sylv";"sl";"1";"";""
"gm20a";"frax exce";"sl";"+";"";""
"gm20a";"prun aviu slat";"sl";"1";"";" | Changed prun aviu To prun aviu slat 2012-11-27 01:00:28"
"gm20a";"prun spin";"sl";"+";"";""
"gm20a";"quer robu";"sl";"1";"";""
"gm20a";"rosa arve";"sl";"1";"";""
"gm20a";"rosa cani";"sl";"+";"";""
"gm20a";"ulmu glab";"sl";"+";"";""
"gm20a";"acer pseu";"tl";"1";"";""
"gm20a";"betu pend";"tl";"2a";"";""
"gm20a";"frax exce";"tl";"+";"";""
"gm20a";"lari deci deci";"tl";"1";"";""
"gm20a";"pice abie";"tl";"3";"";""
"gm20a";"popu trem";"tl";"+";"";""
"gm20a";"quer robu";"tl";"1";"";""
"gm21a";"acer pseu";"hl";"+";"";""
"gm21a";"acta spic";"hl";"+";"";""
"gm21a";"ajug rept";"hl";"+";"";""
"gm21a";"betu pend";"hl";"+";"";""
"gm21a";"camp patu patu";"hl";"+";"";""
"gm21a";"card impa";"hl";"+";"";""
"gm21a";"care sylv";"hl";"+";"";""
"gm21a";"cory avel";"hl";"+";"";""
"gm21a";"card bulb";"hl";"+";"";" | Changed dent bulb To card bulb 2012-11-27 01:00:27"
"gm21a";"dryo dila";"hl";"+";"";""
"gm21a";"dryo fili";"hl";"+";"";""
"gm21a";"fagu sylv";"hl";"+";"";""
"gm21a";"frax exce";"hl";"+";"";""
"gm21a";"gale pube pube";"hl";"+";"";" | Changed gale pube To gale pube pube 2012-11-27 01:00:28"
"gm21a";"gali odor";"hl";"2b";"";""
"gm21a";"gali rotu";"hl";"+";"";""
"gm21a";"holc lana";"hl";"+";"";""
"gm21a";"hord euro";"hl";"1";"";""
"gm21a";"impa noli";"hl";"+";"";""
"gm21a";"impa parv";"hl";"+";"";""
"gm21a";"luzu luzu ides";"hl";"+";"";" | Changed luzu luzuo To luzu luzu ides 2012-11-27 01:00:27"
"gm21a";"merc pere";"hl";"+";"";""
"gm21a";"mili effu effu";"hl";"1";"";" | Changed mili effu To mili effu effu 2012-11-27 01:00:27"
"gm21a";"lact mura";"hl";"1";"";" | Changed myce mura To lact mura 2012-11-27 01:00:27"
"gm21a";"oxal acet";"hl";"3";"";""
"gm21a";"peta albu";"hl";"+";"";""
"gm21a";"pice abie";"hl";"+";"";""
"gm21a";"pulm offi";"hl";"+";"";""
"gm21a";"rubu sect rubu";"hl";"+";"";" | Changed rubu frut To rubu sect rubu 2012-11-27 01:00:27"
"gm21a";"salv glut";"hl";"1";"";""
"gm21a";"samb nigr";"hl";"+";"";""
"gm21a";"sene ovat ovat";"hl";"1";"";" | Changed sene fuch To sene ovat ovat 2012-11-27 01:00:27"
"gm21a";"stac sylv";"hl";"+";"";""
"gm21a";"stel medi";"hl";"+";"";""
"gm21a";"viol reic";"hl";"+";"";""
"gm21a";"betu pend";"tl";"+";"";""
"gm21a";"fagu sylv";"tl";"2b";"";""
"gm21a";"frax exce";"tl";"1";"";""
"gm21a";"pice abie";"tl";"4";"";""
"gm22a";"acer pseu";"hl";"+";"";""
"gm22a";"care sylv";"hl";"+";"";""
"gm22a";"dryo cart";"hl";"+";"";""
"gm22a";"dryo fili";"hl";"+";"";""
"gm22a";"fagu sylv";"hl";"+";"";""
"gm22a";"gera robe";"hl";"+";"";""
"gm22a";"impa parv";"hl";"+";"";""
"gm22a";"luzu luzu ides";"hl";"+";"";" | Changed luzu luzuo To luzu luzu ides 2012-11-27 01:00:27"
"gm22a";"oxal acet";"hl";"+";"";""
"gm22a";"pice abie";"hl";"+";"";""
"gm22a";"sene ovat ovat";"hl";"+";"";" | Changed sene fuch To sene ovat ovat 2012-11-27 01:00:27"
"gm22a";"viol reic";"hl";"+";"";""
"gm22a";"fagu sylv";"tl";"2a";"";""
"gm22a";"pice abie";"tl";"4";"";""
"gm22b";"acer pseu";"hl";"+";"";""
"gm22b";"epip hell slat";"hl";"+";"";" | Changed epip hell To epip hell slat 2012-11-27 01:00:28"
"gm22b";"fagu sylv";"hl";"+";"";""
"gm22b";"impa parv";"hl";"+";"";""
"gm22b";"lari deci deci";"hl";"+";"";""
"gm22b";"viol reic";"hl";"+";"";""
"gm22b";"abie alba";"sl";"+";"";""
"gm22b";"abie alba";"tl";"1";"";""
"gm22b";"fagu sylv";"tl";"4";"";""
"gm22b";"pice abie";"tl";"2a";"";""
"gm22c";"abie alba";"hl";"+";"";""
"gm22c";"athy fili";"hl";"+";"";""
"gm22c";"aven flex flex";"hl";"+";"";""
"gm22c";"dact glom glom";"hl";"+";"";" | Changed dact glom To dact glom glom 2012-11-27 01:00:27"
"gm22c";"dryo cart";"hl";"2a";"";""
"gm22c";"dryo fili";"hl";"1";"";""
"gm22c";"fagu sylv";"hl";"2a";"";""
"gm22c";"gali odor";"hl";"r";"";""
"gm22c";"hier muro";"hl";"+";"";" | Changed hier sylv To hier muro 2012-11-27 01:00:27"
"gm22c";"luzu luzu ides";"hl";"2b";"";" | Changed luzu luzuo To luzu luzu ides 2012-11-27 01:00:27"
"gm22c";"luzu sylv sylv";"hl";"+";"";" | Changed luzu sylv To luzu sylv sylv 2012-11-27 01:00:28"
"gm22c";"oxal acet";"hl";"1";"";""
"gm22c";"peta albu";"hl";"+";"";""
"gm22c";"pren purp";"hl";"1";"";""
"gm22c";"rubu sect rubu";"hl";"1";"";" | Changed rubu frut To rubu sect rubu 2012-11-27 01:00:27"
"gm22c";"soli virg virg";"hl";"+";"";" | Changed soli virg To soli virg virg 2012-11-27 01:00:27"
"gm22c";"sorb aucu aucu";"hl";"+";"";" | Changed sorb aucu To sorb aucu aucu 2012-11-27 01:00:27"
"gm22c";"viol reic";"hl";"+";"";""
"gm22c";"fagu sylv";"sl";"+";"";""
"gm22c";"abie alba";"tl";"+";"";""
"gm22c";"fagu sylv";"tl";"1";"";""
"gm22c";"lari deci deci";"tl";"+";"";""
"gm22c";"pice abie";"tl";"5";"";""
"gm22d";"abie alba";"hl";"+";"";""
"gm22d";"fagu sylv";"hl";"2a";"";""
"gm22d";"gali rotu";"hl";"1";"";""
"gm22d";"luzu luzu ides";"hl";"2a";"";" | Changed luzu luzuo To luzu luzu ides 2012-11-27 01:00:27"
"gm22d";"lact mura";"hl";"1";"";" | Changed myce mura To lact mura 2012-11-27 01:00:27"
"gm22d";"oxal acet";"hl";"1";"";""
"gm22d";"pren purp";"hl";"+";"";""
"gm22d";"quer robu";"hl";"+";"";""
"gm22d";"rubu idae";"hl";"+";"";""
"gm22d";"vacc myrt";"hl";"+";"";""
"gm22d";"fagu sylv";"tl";"1";"";""
"gm22d";"lari deci deci";"tl";"1";"";""
"gm22d";"pice abie";"tl";"5";"fifo";""
"gm22e";"abie alba";"hl";"+";"";""
"gm22e";"dryo cart";"hl";"+";"";""
"gm22e";"fagu sylv";"hl";"1";"";""
"gm22e";"luzu luzu ides";"hl";"1";"";" | Changed luzu luzuo To luzu luzu ides 2012-11-27 01:00:27"
"gm22e";"lact mura";"hl";"+";"";" | Changed myce mura To lact mura 2012-11-27 01:00:27"
"gm22e";"oxal acet";"hl";"1";"";""
"gm22e";"pren purp";"hl";"+";"";""
"gm22e";"rubu sect rubu";"hl";"+";"";" | Changed rubu frut To rubu sect rubu 2012-11-27 01:00:27"
"gm22e";"sorb aucu aucu";"hl";"+";"";" | Changed sorb aucu To sorb aucu aucu 2012-11-27 01:00:27"
"gm22e";"abie alba";"tl";"+";"";""
"gm22e";"fagu sylv";"tl";"2a";"";""
"gm22e";"pice abie";"tl";"4";"nummer 22d (2 mal vergeben)";""
"gm23a";"abie alba";"hl";"+";"";""
"gm23a";"aven flex flex";"hl";"+";"";""
"gm23a";"care pilo";"hl";"+";"";""
"gm23a";"care pilu pilu";"hl";"+";"";" | Changed care pilu To care pilu pilu 2012-11-27 01:00:28"
"gm23a";"care sylv";"hl";"+";"";""
"gm23a";"fagu sylv";"hl";"1";"";""
"gm23a";"hier muro";"hl";"+";"";" | Changed hier sylv To hier muro 2012-11-27 01:00:27"
"gm23a";"luzu luzu ides";"hl";"+";"";" | Changed luzu luzuo To luzu luzu ides 2012-11-27 01:00:27"
"gm23a";"oxal acet";"hl";"+";"";""
"gm23a";"pice abie";"hl";"+";"";""
"gm23a";"pren purp";"hl";"+";"";""
"gm23a";"quer robu";"hl";"+";"";""
"gm23a";"sorb aucu aucu";"hl";"+";"";" | Changed sorb aucu To sorb aucu aucu 2012-11-27 01:00:27"
"gm23a";"vacc myrt";"hl";"+";"";""
"gm23a";"abie alba";"sl";"+";"";""
"gm23a";"fagu sylv";"tl";"5";"";""
"gm23b";"ajug rept";"hl";"+";"";""
"gm23b";"care pilo";"hl";"2b";"";""
"gm23b";"clem vita";"hl";"+";"";""
"gm23b";"corn sang slat";"hl";"+";"";" | Changed corn sang To corn sang slat 2012-11-27 01:00:27"
"gm23b";"dryo fili";"hl";"+";"";""
"gm23b";"fagu sylv";"hl";"+";"";""
"gm23b";"frax exce";"hl";"+";"";""
"gm23b";"gale mont";"hl";"1";"";""
"gm23b";"gali odor";"hl";"+";"";""
"gm23b";"lath vern";"hl";"+";"";""
"gm23b";"luzu luzu ides";"hl";"+";"";" | Changed luzu luzuo To luzu luzu ides 2012-11-27 01:00:27"
"gm23b";"mili effu effu";"hl";"+";"";" | Changed mili effu To mili effu effu 2012-11-27 01:00:27"
"gm23b";"pice abie";"hl";"+";"";""
"gm23b";"pulm offi";"hl";"1";"";""
"gm23b";"rubu sect rubu";"hl";"+";"";" | Changed rubu frut To rubu sect rubu 2012-11-27 01:00:27"
"gm23b";"viol reic";"hl";"+";"";""
"gm23b";"fagu sylv";"sl";"1";"";""
"gm23b";"fagu sylv";"tl";"5";"";""
"gm23b";"frax exce";"tl";"1";"";""
"gm23b";"prun aviu slat";"tl";"+";"";" | Changed prun aviu To prun aviu slat 2012-11-27 01:00:28"
"gm23b";"sali capr";"tl";"+";"";""
"gm23c";"acer pseu";"hl";"+";"";""
"gm23c";"brac sylv";"hl";"+";"";""
"gm23c";"brom bene";"hl";"+";"";""
"gm23c";"care digi";"hl";"+";"";""
"gm23c";"care pilo";"hl";"3";"";""
"gm23c";"care sylv";"hl";"+";"";""
"gm23c";"corn sang slat";"hl";"+";"";" | Changed corn sang To corn sang slat 2012-11-27 01:00:27"
"gm23c";"euph amyg amyg";"hl";"+";"";" | Changed euph amyg To euph amyg amyg 2012-11-27 01:00:27"
"gm23c";"fagu sylv";"hl";"+";"";""
"gm23c";"gale mont";"hl";"1";"";""
"gm23c";"gali odor";"hl";"1";"";""
"gm23c";"hier saba";"hl";"+";"cf.";""
"gm23c";"hier muro";"hl";"+";"";" | Changed hier sylv To hier muro 2012-11-27 01:00:27"
"gm23c";"lath vern";"hl";"+";"";""
"gm23c";"luzu luzu ides";"hl";"+";"";" | Changed luzu luzuo To luzu luzu ides 2012-11-27 01:00:27"
"gm23c";"lact mura";"hl";"+";"";" | Changed myce mura To lact mura 2012-11-27 01:00:27"
"gm23c";"neot nidu";"hl";"+";"";""
"gm23c";"oxal acet";"hl";"+";"";""
"gm23c";"phyt spic spic";"hl";"+";"";""
"gm23c";"pice abie";"hl";"+";"";""
"gm23c";"poa nemo";"hl";"+";"";""
"gm23c";"pulm offi";"hl";"+";"";""
"gm23c";"quer robu";"hl";"+";"";""
"gm23c";"salv glut";"hl";"+";"";""
"gm23c";"soli virg virg";"hl";"+";"";" | Changed soli virg To soli virg virg 2012-11-27 01:00:27"
"gm23c";"viol reic";"hl";"2m";"";""
"gm23c";"corn sang slat";"sl";"+";"";" | Changed corn sang To corn sang slat 2012-11-27 01:00:27"
"gm23c";"fagu sylv";"sl";"1";"";""
"gm23c";"fagu sylv";"tl";"4";"";""
