"plot";"abbr";"layer";"cov";"scale";"history"
"gm12a";"ajug rept";"hl";"+";"";""
"gm12a";"anem nemo";"hl";"+";"";""
"gm12a";"athy fili";"hl";"+";"";""
"gm12a";"betu pend";"hl";"+";"";""
"gm12a";"care sylv";"hl";"1";"";""
"gm12a";"circ lute lute";"hl";"+";"";" | Changed circ lute To circ lute lute 2012-11-27 01:00:27"
"gm12a";"dryo fili";"hl";"1";"";""
"gm12a";"fagu sylv";"hl";"1";"";""
"gm12a";"frax exce";"hl";"2a";"";""
"gm12a";"gale mont";"hl";"1";"";""
"gm12a";"gali odor";"hl";"2a";"";""
"gm12a";"jugl regi";"hl";"r";"";""
"gm12a";"luzu luzu ides";"hl";"1";"";" | Changed luzu luzuo To luzu luzu ides 2012-11-27 01:00:27"
"gm12a";"meli nuta";"hl";"+";"";""
"gm12a";"oxal acet";"hl";"1";"";""
"gm12a";"phyt spic spic";"hl";"+";"";""
"gm12a";"popu trem";"hl";"+";"";""
"gm12a";"pren purp";"hl";"+";"";""
"gm12a";"prim elat";"hl";"+";"";""
"gm12a";"rubu sect rubu";"hl";"+";"";" | Changed rubu frut To rubu sect rubu 2012-11-27 01:00:27"
"gm12a";"abie alba";"sl";"+";"";""
"gm12a";"fagu sylv";"sl";"1";"";""
"gm12a";"abie alba";"tl";"1";"";""
"gm12a";"fagu sylv";"tl";"5";"";""
"gm12a";"pice abie";"tl";"1";"";""
"gm15a";"acer pseu";"hl";"+";"";""
"gm15a";"card bulb";"hl";"+";"";" | Changed dent bulb To card bulb 2012-11-27 01:00:27"
"gm15a";"fagu sylv";"hl";"1";"";""
"gm15a";"frax exce";"hl";"+";"";""
"gm15a";"ulmu glab";"hl";"+";"";""
"gm15a";"fagu sylv";"sl";"+";"";""
"gm15a";"fagu sylv";"tl";"2a";"";""
"gm15a";"pice abie";"tl";"5";"";""
"gm16a";"athy fili";"hl";"+";"";""
"gm16a";"atro bell";"hl";"1";"";""
"gm16a";"cala epig";"hl";"1";"";""
"gm16a";"care pend";"hl";"2b";"";""
"gm16a";"circ lute lute";"hl";"+";"";" | Changed circ lute To circ lute lute 2012-11-27 01:00:27"
"gm16a";"cirs arve";"hl";"+";"";""
"gm16a";"dryo fili";"hl";"1";"";""
"gm16a";"frax exce";"hl";"+";"";""
"gm16a";"rubu sect rubu";"hl";"5";"";" | Changed rubu frut To rubu sect rubu 2012-11-27 01:00:27"
"gm16a";"rubu idae";"hl";"1";"";""
"gm16a";"samb ebul";"hl";"2a";"";""
"gm16a";"samb nigr";"hl";"+";"";""
"gm16a";"stac sylv";"hl";"+";"";""
"gm16a";"ulmu glab";"hl";"+";"";""
"gm16a";"pice abie";"sl";"+";"";""
"gm16a";"samb nigr";"sl";"1";"";""
"gm17a";"abie alba";"hl";"+";"";""
"gm17a";"acer pseu";"hl";"+";"";""
"gm17a";"atro bell";"hl";"+";"";""
"gm17a";"brac sylv";"hl";"1";"";""
"gm17a";"brom bene";"hl";"+";"";""
"gm17a";"care pend";"hl";"2a";"";""
"gm17a";"care sylv";"hl";"1";"";""
"gm17a";"circ lute lute";"hl";"1";"";" | Changed circ lute To circ lute lute 2012-11-27 01:00:27"
"gm17a";"dryo borr";"hl";"+";"";" | Changed dryo affi borr To dryo borr 2012-11-27 01:00:27"
"gm17a";"dryo fili";"hl";"+";"";""
"gm17a";"fagu sylv";"hl";"3";"";""
"gm17a";"gale mont";"hl";"+";"";""
"gm17a";"gali odor";"hl";"2a";"";""
"gm17a";"gera robe";"hl";"+";"";""
"gm17a";"impa noli";"hl";"+";"";""
"gm17a";"luzu luzu ides";"hl";"1";"";" | Changed luzu luzuo To luzu luzu ides 2012-11-27 01:00:27"
"gm17a";"meli nuta";"hl";"+";"";""
"gm17a";"merc pere";"hl";"+";"";""
"gm17a";"neot nidu";"hl";"+";"";""
"gm17a";"oxal acet";"hl";"1";"";""
"gm17a";"phyt spic spic";"hl";"+";"";""
"gm17a";"pice abie";"hl";"+";"";""
"gm17a";"pren purp";"hl";"+";"";""
"gm17a";"quer robu";"hl";"+";"";""
"gm17a";"rubu sect rubu";"hl";"1";"";" | Changed rubu frut To rubu sect rubu 2012-11-27 01:00:27"
"gm17a";"sani euro";"hl";"+";"";""
"gm17a";"sene ovat ovat";"hl";"+";"";" | Changed sene fuch To sene ovat ovat 2012-11-27 01:00:27"
"gm17a";"stac sylv";"hl";"+";"";""
"gm17a";"viol rivi";"hl";"+";"";""
"gm17a";"abie alba";"sl";"1";"";""
"gm17a";"daph meze";"sl";"+";"";""
"gm17a";"fagu sylv";"sl";"2b";"";""
"gm17a";"jugl regi";"sl";"+";"";""
"gm17a";"pice abie";"sl";"+";"";""
"gm17a";"fagu sylv";"tl";"4";"";""
"gm17a";"lari deci deci";"tl";"2a";"";""
"gm17a";"pice abie";"tl";"1";"";""
"gm17b";"acer pseu";"hl";"+";"";""
"gm17b";"ajug rept";"hl";"+";"";""
"gm17b";"athy fili";"hl";"+";"";""
"gm17b";"brac sylv";"hl";"+";"";""
"gm17b";"care digi";"hl";"+";"";""
"gm17b";"care pend";"hl";"+";"";""
"gm17b";"care remo remo";"hl";"+";"";" | Changed care remo To care remo remo 2012-11-27 01:00:27"
"gm17b";"care sylv";"hl";"1";"";""
"gm17b";"card bulb";"hl";"+";"";" | Changed dent bulb To card bulb 2012-11-27 01:00:27"
"gm17b";"dryo cart";"hl";"+";"";""
"gm17b";"dryo fili";"hl";"+";"";""
"gm17b";"fagu sylv";"hl";"2a";"";""
"gm17b";"frax exce";"hl";"+";"";""
"gm17b";"gale mont";"hl";"1";"";""
"gm17b";"gali odor";"hl";"1";"";""
"gm17b";"hede heli";"hl";"+";"";""
"gm17b";"jugl regi";"hl";"r";"";""
"gm17b";"luzu luzu ides";"hl";"+";"";" | Changed luzu luzuo To luzu luzu ides 2012-11-27 01:00:27"
"gm17b";"merc pere";"hl";"+";"";""
"gm17b";"mili effu effu";"hl";"+";"";" | Changed mili effu To mili effu effu 2012-11-27 01:00:27"
"gm17b";"oxal acet";"hl";"+";"";""
"gm17b";"phyt spic spic";"hl";"+";"";""
"gm17b";"prim elat";"hl";"+";"";""
"gm17b";"rubu sect rubu";"hl";"+";"";" | Changed rubu frut To rubu sect rubu 2012-11-27 01:00:27"
"gm17b";"salv glut";"hl";"+";"";""
"gm17b";"stac sylv";"hl";"+";"";""
"gm17b";"ulmu glab";"hl";"r";"";""
"gm17b";"vero mont";"hl";"+";"";""
"gm17b";"acer pseu";"tl";"1";"";""
"gm17b";"fagu sylv";"tl";"2a";"";""
"gm17b";"frax exce";"tl";"1";"";""
"gm17b";"lari deci deci";"tl";"1";"";""
"gm17b";"pice abie";"tl";"2b";"";""
"gm17c";"acer pseu";"hl";"+";"";""
"gm17c";"arum macu";"hl";"+";"";""
"gm17c";"athy fili";"hl";"+";"";""
"gm17c";"dryo fili";"hl";"+";"";""
"gm17c";"fagu sylv";"hl";"+";"";""
"gm17c";"frax exce";"hl";"+";"";""
"gm17c";"gale mont";"hl";"1";"";""
"gm17c";"gali odor";"hl";"1";"";""
"gm17c";"oxal acet";"hl";"+";"";""
"gm17c";"phyt spic spic";"hl";"+";"";""
"gm17c";"viol rivi";"hl";"+";"";""
"gm17c";"fagu sylv";"sl";"+";"";""
"gm17c";"pice abie";"sl";"+";"";""
"gm17c";"fagu sylv";"tl";"5";"";""
"gm17d";"acer pseu";"hl";"+";"";""
"gm17d";"acta spic";"hl";"+";"";""
"gm17d";"arum macu";"hl";"+";"";""
"gm17d";"athy fili";"hl";"+";"";""
"gm17d";"care pend";"hl";"1";"";""
"gm17d";"care sylv";"hl";"+";"";""
"gm17d";"circ lute lute";"hl";"+";"";" | Changed circ lute To circ lute lute 2012-11-27 01:00:27"
"gm17d";"card bulb";"hl";"+";"";" | Changed dent bulb To card bulb 2012-11-27 01:00:27"
"gm17d";"dryo cart";"hl";"+";"";""
"gm17d";"dryo fili";"hl";"1";"";""
"gm17d";"dryo remo";"hl";"1";"cf.";""
"gm17d";"euph amyg amyg";"hl";"+";"";" | Changed euph amyg To euph amyg amyg 2012-11-27 01:00:27"
"gm17d";"fagu sylv";"hl";"1";"";""
"gm17d";"frax exce";"hl";"+";"";""
"gm17d";"gale mont";"hl";"1";"";""
"gm17d";"gali odor";"hl";"2a";"";""
"gm17d";"jugl regi";"hl";"r";"";""
"gm17d";"luzu pilo";"hl";"1";"";""
"gm17d";"meli nuta";"hl";"+";"";""
"gm17d";"mili effu effu";"hl";"1";"";" | Changed mili effu To mili effu effu 2012-11-27 01:00:27"
"gm17d";"oxal acet";"hl";"1";"";""
"gm17d";"pari quad";"hl";"+";"";""
"gm17d";"poly mult";"hl";"+";"";""
"gm17d";"pulm offi";"hl";"+";"";""
"gm17d";"quer robu";"hl";"+";"";""
"gm17d";"salv glut";"hl";"+";"";""
"gm17d";"scro nodo";"hl";"+";"";""
"gm17d";"ulmu glab";"hl";"+";"";""
"gm17d";"viol reic";"hl";"+";"";""
"gm17d";"abie alba";"sl";"+";"";""
"gm17d";"ulmu glab";"sl";"+";"";""
"gm17d";"acer pseu";"tl";"1";"";""
"gm17d";"fagu sylv";"tl";"5";"";""
"gm17d";"frax exce";"tl";"1";"";""
"gm17d";"lari deci deci";"tl";"1";"";""
"gm17d";"pice abie";"tl";"1";"";""
"gm18a";"acer pseu";"hl";"+";"";""
"gm18a";"aego poda";"hl";"+";"";""
"gm18a";"ange sylv sylv";"hl";"+";"";" | Changed ange sylv To ange sylv sylv 2012-11-27 01:00:27"
"gm18a";"arum macu";"hl";"+";"";""
"gm18a";"athy fili";"hl";"+";"";""
"gm18a";"brac sylv";"hl";"3";"";""
"gm18a";"care pend";"hl";"1";"";""
"gm18a";"care sylv";"hl";"+";"";""
"gm18a";"care umbr";"hl";"+";"";""
"gm18a";"circ lute lute";"hl";"+";"";" | Changed circ lute To circ lute lute 2012-11-27 01:00:27"
"gm18a";"clem vita";"hl";"2a";"";""
"gm18a";"clin vulg vulg";"hl";"+";"";" | Changed clin vulg To clin vulg vulg 2012-11-27 01:00:27"
"gm18a";"corn sang slat";"hl";"+";"";" | Changed corn sang To corn sang slat 2012-11-27 01:00:27"
"gm18a";"cory avel";"hl";"+";"";""
"gm18a";"equi arve";"hl";"+";"";""
"gm18a";"fagu sylv";"hl";"1";"";""
"gm18a";"frag vesc";"hl";"+";"";""
"gm18a";"frax exce";"hl";"+";"";""
"gm18a";"gale mont";"hl";"1";"";""
"gm18a";"gali odor";"hl";"2a";"";""
"gm18a";"gera robe";"hl";"+";"";""
"gm18a";"loni xylo";"hl";"+";"";""
"gm18a";"luzu luzu ides";"hl";"+";"";" | Changed luzu luzuo To luzu luzu ides 2012-11-27 01:00:27"
"gm18a";"lysi nemo";"hl";"+";"";""
"gm18a";"meli nuta";"hl";"+";"";""
"gm18a";"merc pere";"hl";"+";"";""
"gm18a";"mili effu effu";"hl";"+";"";" | Changed mili effu To mili effu effu 2012-11-27 01:00:27"
"gm18a";"pari quad";"hl";"+";"";""
"gm18a";"poa nemo";"hl";"+";"";""
"gm18a";"prim elat";"hl";"+";"";""
"gm18a";"pulm offi";"hl";"+";"";""
"gm18a";"ranu lanu";"hl";"+";"";""
"gm18a";"rubu sect rubu";"hl";"+";"";" | Changed rubu frut To rubu sect rubu 2012-11-27 01:00:27"
"gm18a";"salv glut";"hl";"1";"";""
"gm18a";"scro nodo";"hl";"+";"";""
"gm18a";"soli virg virg";"hl";"+";"";" | Changed soli virg To soli virg virg 2012-11-27 01:00:27"
"gm18a";"vibu opul";"hl";"+";"";""
"gm18a";"acer pseu";"sl";"+";"";""
"gm18a";"alnu glut";"sl";"+";"";""
"gm18a";"carp betu";"sl";"1";"";""
"gm18a";"clem vita";"sl";"2a";"";""
"gm18a";"corn sang slat";"sl";"+";"";" | Changed corn sang To corn sang slat 2012-11-27 01:00:27"
"gm18a";"cory avel";"sl";"1";"";""
"gm18a";"fagu sylv";"sl";"+";"";""
"gm18a";"frax exce";"sl";"1";"";""
"gm18a";"sali capr";"sl";"+";"";""
"gm18a";"ulmu glab";"sl";"1";"";""
"gm18a";"vibu opul";"sl";"+";"";""
"gm18a";"acer pseu";"tl";"1";"";""
"gm18a";"betu pend";"tl";"2a";"";""
"gm18a";"carp betu";"tl";"+";"";""
"gm18a";"clem vita";"tl";"2a";"";""
"gm18a";"frax exce";"tl";"3";"";""
"gm18a";"sali capr";"tl";"4";"";""
"gm18a";"ulmu glab";"tl";"+";"";""
"gm18b";"acer pseu";"hl";"+";"";""
"gm18b";"acta spic";"hl";"+";"";""
"gm18b";"alnu inca";"hl";"+";"";""
"gm18b";"ange sylv sylv";"hl";"+";"";" | Changed ange sylv To ange sylv sylv 2012-11-27 01:00:27"
"gm18b";"brac sylv";"hl";"2a";"";""
"gm18b";"brom bene";"hl";"+";"";""
"gm18b";"cala epig";"hl";"1";"";""
"gm18b";"camp trac";"hl";"+";"";""
"gm18b";"card impa";"hl";"+";"";""
"gm18b";"care pend";"hl";"1";"";""
"gm18b";"care sylv";"hl";"+";"";""
"gm18b";"circ lute lute";"hl";"+";"";" | Changed circ lute To circ lute lute 2012-11-27 01:00:27"
"gm18b";"cirs arve";"hl";"+";"";""
"gm18b";"clem vita";"hl";"1";"";""
"gm18b";"clin vulg vulg";"hl";"+";"";" | Changed clin vulg To clin vulg vulg 2012-11-27 01:00:27"
"gm18b";"corn sang slat";"hl";"1";"";" | Changed corn sang To corn sang slat 2012-11-27 01:00:27"
"gm18b";"cory avel";"hl";"+";"";""
"gm18b";"crat laev laev";"hl";"+";"";" | Changed crat laev To crat laev laev 2012-11-27 01:00:27"
