abbr;layer;taxon;epa1;epa2;epa3;epb1;epb2;epb3;epc1;epc2;epc3;epc4;epc5;epc6;epc7;epd1;epd2;epd3;epd4;epd5;epd6;epd7;epe1;epe2;epe3;epe4;epe5;epf1;epf2;epf3;epf4;epf5
pice abie;tl1;Picea abies;3;2b;3;4;4;5;3;3;3;;;;;4;4;4;;;;;3;;;;;4;4;;;
lari deci deci;tl1;Larix decidua;+;1;r;;;+;2a;+;+;;;;;;;+;;;;;;;;;;;+;;;
pice abie;tl2;Picea abies;2a;1;;;;;2a;1;+;;;;;;;;;;;;;;;;;;;;;
pice abie;sl;Picea abies;+;+;;1;;1;+;+;1;;;;;+;+;+;;;;;2b;;;;;;;;;
lari deci deci;sl;Larix decidua;;;;;;;;;r;;;;;;;;;;;;;;;;;+;;;;
vacc viti;hl;Vaccinium vitis-idaea;2b;2a;2a;+;1;+;2m;1;1;;;;;+;1;+;+;;;;2a;r;r;;;1;;;;
aven flex flex;hl;Avenella flexuosa;2m;2m;+;2m;+;1;2m;1;1;;;;;2m;2m;2m;;;;;2m;;;;;2m;+;;;
luzu luzu ides;hl;Luzula luzuloides;+;1;2m;1;+;2m;+;+;1;;;;;1;1;1;;;;;+;;;;;+;+;;;
vacc myrt;hl;Vaccinium myrtillus;3;2b;1;3;2b;2a;3;2b;3;;;;;3;3;3;;;;;3;;;;;3;2b;;;
homo alpi;hl;Homogyne alpina;+;;1;1;+;+;+;r;1;;;;;2a;1;1;;;;;+;;;;;+;+;;;
luzu pilo;hl;Luzula pilosa;1;+;;+;+;;;+;+;;;;;;+;;;;;;;;;;;+;;;;
pice abie;hl;Picea abies;;;;1;r;r;;r;;;;;;+;;;;;;;1;;;;;;;;;
cala vill;hl;Calamagrostis villosa;;;+;;;;;+;;;;;;;;2m;;;;;;;;;;;;;;
maia bifo;hl;Maianthemum bifolium;+;;2m;;1;;;;1;;;;;;1;1;;;;;+;;;;;+;+;;;
oxal acet;hl;Oxalis acetosella;;;+;+;+;2a;;;+;;;;;1;;1;;;;;;;;;;1;2b;;;
mela sylv;hl;Melampyrum sylvaticum;;;1;+;+;;;;2m;;;;;1;+;;;;;;;;;;;+;+;;;
lyco anno;hl;Lycopodium annotinum;;;+;;1;;;;r;;;;;r;;+;;;;;;;;;;r;r;;;
gymn dryo;hl;Gymnocarpium dryopteris;;;1;;;+;;;r;;;;;r;;;;;;;;;;;;;1;;;
list cord;hl;Listera cordata;;;r;;;+;;;;;;;;;;;;;;;;;;;;;2m;;;
sorb aucu slat;hl;Sorbus aucuparia;;;+;;;;;;;;;;;+;+;;;;;;;;;;;;;;;
