abbr;layer;taxon;epa1;epa2;epa3;epb1;epb2;epb3;epc1;epc2;epc3;epc4;epc5;epc6;epc7;epd1;epd2;epd3;epd4;epd5;epd6;epd7;epe1;epe2;epe3;epe4;epe5;epf1;epf2;epf3;epf4;epf5
athy fili;hl;Athyrium filix-femina;;;r;;;;;;r;;;;;;;;;;;;;;;;;;+;;;
vero spec ies;hl;Veronica sp.;;;;;+;;;;+;;;;;;+;;;;;;;;;;;;;;;
meny trif;hl;Menyanthes trifoliata;;;;;;;;;;2a;2b;2a;+;;;;2b;2b;+;;;;+;1;r;;;1;2b;
pote erec;hl;Potentilla erecta;;;;;+;;;;;1;+;1;+;;;+;2a;+;1;+;;2m;1;1;+;;r;+;+;+
vale dioi dioi;hl;Valeriana dioica;;;;;;;;;;1;1;+;;;;;1;+;2a;r;;+;+;1;;;;1;+;
care nigr;hl;Carex nigra;;;;;;;;;;2a;+;2m;;;;;2a;1;2a;;;2m;2m;2m;;;;2a;+;
dact maja slat;hl;Dactylorhiza majalis;;;;;;;;;;r;1;r;;;;;1;+;+;;;+;+;+;r;;;1;;
will stip stip;hl;Willemetia stipitata;;;;;;;;;;1;1;+;;;;;1;r;1;;;2m;2m;1;r;;;2m;;
care pani;hl;Carex panicea;;;;;;;;;;2a;1;1;;;;;1;1;;;;+;+;1;;;;+;+;
erio lati;hl;Eriophorum latifolium;;;;;;;;;;+;+;+;+;;;;;1;1;+;;;;+;+;;;;1;1
tric cesp cesp;hl;Trichophorum cespitosum;;;;;;;;;;1;+;2a;4;;;;;2b;;4;;;;;4;;;1;2a;4
erio angu;hl;Eriophorum angustifolium;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2m
equi palu;hl;Equisetum palustre;;;;;;;;;;;1;+;;;;;;2m;1;;;1;1;+;;;;+;1;
parn palu;hl;Parnassia palustris;;;;;;;;;;r;+;+;;;;;;+;;+;;+;r;+;;2m;;;;
luzu mult;hl;Luzula multiflora;;;;;;;;;;;;+;;;;;2a;;1;+;;2m;1;+;;;;+;;
anth odor;hl;Anthoxanthum odoratum;;;;;;;;;;1;;+;;;;;;;2b;;;2m;+;1;;;;2a;;
care dava;hl;Carex davalliana;;;;;;;;;;;1;2m;;;;;;2a;+;;;;;2m;;;;2a;+;
pers bist;hl;Polygonum bistorta;;;;;;;;;;;;+;;;;;2a;;1;;;1;+;+;;;;2m;;
bart alpi;hl;Bartsia alpina;;;;;;;;;;;;+;+;;;;1;;;+;;1;+;;;;;;;+
card prat aggr;hl;Cardamine pratensis;;;;;;;;;;+;;+;;;;;1;;;;;+;+;+;;;;+;;
care oede;hl;Carex oederi;;;;;;;;;;+;+;+;;;;;;+;;;;;;+;;;;;+;
lych flos cucu;hl;Lychnis flos-cuculi;;;;;;;;;;;;r;;;;;;;+;;;;r;+;;;;r;;
ping vulg;hl;Pinguicula vulgaris;;;;;;;;;;;;+;;;;;;;;+;;;;;r;;;;r;r
tofi caly;hl;Tofieldia calyculata;;;;;;;;;;;;;;;;;;r;r;;;;+;+;r;;;;;
alch spec ies;hl;Alchemilla vulgaris;;;;;;;;;;;;r;;;;;2b;;r;;;r;;;;;;;;
care limo;hl;Carex limosa;;;;;;;;;;;;;;;;;;2m;;;;;+;;;;;+;2a;
cirs palu;hl;Cirsium palustre;;;;;;;;;;;;;+;;;;;;r;;;;;;;;;;r;r
poly amar ella;hl;Polygala amarella;;;;;;;;;;;;;+;;;;;;r;+;;;+;;;;;;;
care spec ies;hl;c.f. Carex;;;;;;;;;;;;;1;;;;;;;+;;;;;;;;;;
care pani pani;hl;Carex paniculata;;;;;;;;;;;;;;;;;1;;;;;;;+;;;;;;
desc cesp;hl;Deschampsia cespitosa;;;;;;;;;;+;;;;;;;;;;;;;;+;;;;;;
hier spec ies;hl;Hieracium sp.;;;+;;;;;;+;;;;;;;;;;;;;;;;;;;;;
phyt beto;hl;Phyteuma betonicifolium;;;;;;;;;r;;;;;;;;;;;;;r;;;;;;;;
viol palu;hl;Viola palustris;;;;;;;;;;+;;;;;;;;;;;;;r;;;;;;;
pinu cemb;tl1;Pinus cembra;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;
rhod ferr;sl;Rhododendron ferrrugineum;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;
ajug pyra;hl;Ajuga pyramidalis;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;
gali ulig;hl;Gallium uliginosum;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;
leon hisp slat;hl;Leontodon hispidus;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;
luzu sylv slat;hl;Luzula sylvatica;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;
nard stri;hl;Nardus stricta;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
phyt orbi;hl;Phyteuma orbiculare;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;
pinu cemb;hl;Pinus cembra;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;
pote aure;hl;Potenlilla aurea;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;
soli virg virg;hl;Solidago virgaurea;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;
trif prat prat;hl;Trifolium pratense;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
vale offi slat;hl;Valeriana officinalis;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;
moli caer aggr;hl;Molinia caerulea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2m
equi sylv;hl;Equisetum sylvaticum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r
unde bryo;ml;Moosschicht;2b;2b;;3;2b;2b;;;;4;5;5;2a;;;;;;;;;;2b;4;;;;;3;
spha spec ies;ml;Sphagnum sp.;;+;;;;;;+;;;;+;;1;;;;;;;+;4;4;2m;;+;2a;2a;;
hylo sple;ml;Hylocomium splendens;2b;2m;2b;2a;1;+;3;2b;2a;;;;;3;2b;3;;;;;2b;;;;;3;3;;;
pleu schr;ml;Pleurozium schreberi;+;1;;1;;;1;2b;2b;;;;;1;2a;+;;;;;2m;;;;;+;+;;;
dicr spec ies;ml;Dicranium sp.;2m;2m;2a;2m;2b;+;+;2a;;;;;;;1;1;;;;;2m;;;;;;+;;;
poly spec ies;ml;Polytrichum sp.;;;;1;+;+;1;2a;2m;;;;;2a;1;2a;;;;;2m;;;;;+;1;;;
rhyt spec ies;ml;Rhytidiadelphus sp.;+;1;2a;;2b;;;+;;;;;;1;2a;1;;;;;1;;;;;1;2a;;;
pter aqui;hl;Pteridium aquilinum;+;;+;+;;;;;+;;;;;;1;;;;;;+;;;;;;;;;
bazz tril;ml;Bazzania trilobata;;;;;;;+;1;;;;;;;1;+;;;;;;;;;;1;+;;;
leuc glau;ml;Leucobryum glaucum;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ptil cris;ml;Ptilium sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;
