plot;abbr;layer;cov;comment;determined;history
Niklfeld1979:Tab9:10;alli lusi;hl;1;;;
Niklfeld1979:Tab9:10;anth ramo;hl;+;;;
Niklfeld1979:Tab9:10;aspe cyna;hl;+;;;
Niklfeld1979:Tab9:10;euph saxa;hl;+;;;
Niklfeld1979:Tab9:10;glob cord;hl;2;;;
Niklfeld1979:Tab9:10;heli canu;hl;+;;;
Niklfeld1979:Tab9:10;hier bupl;hl;+;;cf.;
Niklfeld1979:Tab9:10;jovi glob hirt;hl;1;;;
Niklfeld1979:Tab9:10;lase sile sile;hl;+;;;
Niklfeld1979:Tab9:10;onos visi;hl;+;;;
Niklfeld1979:Tab9:10;sese aust;hl;+;;;
Niklfeld1979:Tab9:10;sesl caer;hl;+;;;
Niklfeld1979:Tab9:10;teuc mont;hl;1;;;
Niklfeld1979:Tab9:10;thal minu slat;hl;1;;;
Niklfeld1979:Tab9:10;thym prae poly;hl;+;;cf.;
Niklfeld1979:Tab9:10;vinc hiru;hl;1;;;
Niklfeld1979:Tab9:11;beto alop;hl;2;;;
Niklfeld1979:Tab9:11;buph sali;hl;+;;;
Niklfeld1979:Tab9:11;cala vari;hl;2;;;
Niklfeld1979:Tab9:11;camp rotu aggr;hl;+;;;
Niklfeld1979:Tab9:11;card cras glau;hl;1;;;
Niklfeld1979:Tab9:11;clin alpi alpi;hl;1;;;
Niklfeld1979:Tab9:11;eric carn;hl;2;;;
Niklfeld1979:Tab9:11;gali anis;hl;+;;;
Niklfeld1979:Tab9:11;gent cili;hl;1;;;
Niklfeld1979:Tab9:11;hipp como;hl;+;;;
Niklfeld1979:Tab9:11;lase lati slat;hl;1;;;
Niklfeld1979:Tab9:11;linu cath;hl;+;;;
Niklfeld1979:Tab9:11;lotu corn;hl;+;;;
Niklfeld1979:Tab9:11;moli caer;hl;1;;;
Niklfeld1979:Tab9:11;peta para;hl;2;;;
Niklfeld1979:Tab9:11;poly cham;hl;+;;;
Niklfeld1979:Tab9:11;poly odor;hl;+;;;
Niklfeld1979:Tab9:11;rhin glac;hl;2;;;
Niklfeld1979:Tab9:11;scab luci luci;hl;+;;;
Niklfeld1979:Tab9:11;sedu albu;hl;+;;;
Niklfeld1979:Tab9:11;teuc cham;hl;+;;;
Niklfeld1979:Tab9:11;teuc mont;hl;1;;;
Niklfeld1979:Tab9:11;thym prae poly;hl;2;;cf.;
Niklfeld1979:Tab9:11;vinc hiru;hl;+;;;
Niklfeld1979:Tab9:11;viol hirt;hl;+;;;
Niklfeld1979:Tab9:12;alli lusi;hl;+;;;
Niklfeld1979:Tab9:12;anth ramo;hl;1;;;
Niklfeld1979:Tab9:12;aspl tric quad;hl;+;;cf.;
Niklfeld1979:Tab9:12;beto alop;hl;+;;;
Niklfeld1979:Tab9:12;buph sali;hl;+;;;
Niklfeld1979:Tab9:12;cala vari;hl;+;;;
Niklfeld1979:Tab9:12;camp coch;hl;+;;;
Niklfeld1979:Tab9:12;card cras glau;hl;+;;;
Niklfeld1979:Tab9:12;care orni;hl;+;;cf.;
Niklfeld1979:Tab9:12;clin alpi alpi;hl;1;;;
Niklfeld1979:Tab9:12;eric carn;hl;1;;;
Niklfeld1979:Tab9:12;euph cypa;hl;+;;;
Niklfeld1979:Tab9:12;euph sali;hl;1;;;
Niklfeld1979:Tab9:12;gali anis;hl;+;;;
Niklfeld1979:Tab9:12;glob cord;hl;1;;;
Niklfeld1979:Tab9:12;jovi glob hirt;hl;+;;;
Niklfeld1979:Tab9:12;kern saxa;hl;+;;;
Niklfeld1979:Tab9:12;lase lati slat;hl;+;;;
Niklfeld1979:Tab9:12;lase sile sile;hl;1;;;
Niklfeld1979:Tab9:12;mela sylv;hl;+;;;
Niklfeld1979:Tab9:12;poly cham;hl;+;;;
Niklfeld1979:Tab9:12;poly odor;hl;+;;;
Niklfeld1979:Tab9:12;rham pumi;hl;+;;;
Niklfeld1979:Tab9:12;rham saxa saxa;hl;+;;;
Niklfeld1979:Tab9:12;rhin glac;hl;2;;;
Niklfeld1979:Tab9:12;scab luci luci;hl;+;;;
Niklfeld1979:Tab9:12;sese aust;hl;+;;;
Niklfeld1979:Tab9:12;sesl caer;hl;1;;;
Niklfeld1979:Tab9:12;teuc mont;hl;+;;;
Niklfeld1979:Tab9:12;thym prae poly;hl;+;;cf.;
Niklfeld1979:Tab9:13;alli lusi;hl;2;;;
Niklfeld1979:Tab9:13;amel oval;hl;+;;;
Niklfeld1979:Tab9:13;anth ramo;hl;2;;;
Niklfeld1979:Tab9:13;aspl ruta;hl;+;;;
Niklfeld1979:Tab9:13;beto alop;hl;1;;;
Niklfeld1979:Tab9:13;buph sali;hl;+;;;
Niklfeld1979:Tab9:13;care mucr;hl;1;;;
Niklfeld1979:Tab9:13;clin alpi alpi;hl;+;;;
Niklfeld1979:Tab9:13;euph cypa;hl;+;;;
Niklfeld1979:Tab9:13;euph sali;hl;1;;;
Niklfeld1979:Tab9:13;gali trun;hl;+;;;
Niklfeld1979:Tab9:13;glob cord;hl;1;;;
Niklfeld1979:Tab9:13;jovi glob hirt;hl;1;;;
Niklfeld1979:Tab9:13;lase sile sile;hl;2;;;
Niklfeld1979:Tab9:13;poly odor;hl;+;;;
Niklfeld1979:Tab9:13;rham saxa saxa;hl;+;;;
Niklfeld1979:Tab9:13;rhin glac;hl;1;;;
Niklfeld1979:Tab9:13;sese aust;hl;1;;;
Niklfeld1979:Tab9:13;sesl caer;hl;2;;;
Niklfeld1979:Tab9:13;teuc mont;hl;1;;;
Niklfeld1979:Tab9:13;thym prae poly;hl;+;;;
Niklfeld1979:Tab9:14;alli lusi;hl;2;;;
Niklfeld1979:Tab9:14;amel oval;hl;2;;;
Niklfeld1979:Tab9:14;anth ramo;hl;2;;;
Niklfeld1979:Tab9:14;aspl ruta;hl;1;;;
Niklfeld1979:Tab9:14;beto alop;hl;1;;;
Niklfeld1979:Tab9:14;buph sali;hl;+;;;
Niklfeld1979:Tab9:14;care humi;hl;3;;;
Niklfeld1979:Tab9:14;cent scab slat;hl;1;;;
Niklfeld1979:Tab9:14;clin alpi alpi;hl;1;;;
Niklfeld1979:Tab9:14;eric carn;hl;+;;;
Niklfeld1979:Tab9:14;erys sylv;hl;1;;;
Niklfeld1979:Tab9:14;euph cypa;hl;1;;;
Niklfeld1979:Tab9:14;gali luci;hl;2;;;
Niklfeld1979:Tab9:14;glob cord;hl;+;;;
Niklfeld1979:Tab9:14;heli numm obsc;hl;1;;;
Niklfeld1979:Tab9:14;hipp como;hl;+;;;
Niklfeld1979:Tab9:14;jovi glob hirt;hl;1;;;
Niklfeld1979:Tab9:14;kern saxa;hl;+;;;
Niklfeld1979:Tab9:14;knau arve slat;hl;1;;;
Niklfeld1979:Tab9:14;poly amar brac;hl;+;;;
Niklfeld1979:Tab9:14;poly odor;hl;2;;;
Niklfeld1979:Tab9:14;rhin glac;hl;+;;;
Niklfeld1979:Tab9:14;sang mino mino;hl;+;;;
