plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;alliance;association;soil;comment;location
sfx3;;;;;;;;;;;;;;;;;;;;47.746742;12.885616;;;;;;
sfx5;;;;;;;;;;;;;;;;;;;;47.746265;12.887388;;;;;;
sfx6;;;;;;;;;;;;;;;;;;;;47.746076;12.888214;;;;;;
