plot;variable;value
bi01;date;2007-08-15
bi01;plsx;10
bi01;plsy;10
bi01;cov;70
bi01;tcov;65
bi01;scov;10
bi01;hcov;15
bi01;mcov;35
bi01;location;Bitzenberg
bi01;longitude;13.540144
bi01;latitude;48.479626
bi01;precision;8
bi02;date;2007-08-15
bi02;plsx;15
bi02;plsy;15
bi02;cov;75
bi02;tcov;75
bi02;scov;0
bi02;hcov;2
bi02;mcov;20
bi02;location;Bitzenberg
bi02;longitude;13.540048
bi02;latitude;48.480139
bi02;precision;8
bi03;date;2007-08-15
bi03;plsx;10
bi03;plsy;10
bi03;cov;15
bi03;tcov;0
bi03;scov;5
bi03;hcov;5
bi03;mcov;5
bi03;location;Bitzenberg
bi03;longitude;13.537526
bi03;latitude;48.481208
bi03;precision;8
bi04;date;2007-08-15
bi04;plsx;15
bi04;plsy;15
bi04;cov;95
bi04;tcov;20
bi04;scov;90
bi04;hcov;5
bi04;mcov;35
bi04;location;Bitzenberg
bi04;longitude;13.537404
bi04;latitude;48.482207
bi04;precision;8
bi05;date;2007-08-15
bi05;plsx;15
bi05;plsy;15
bi05;cov;80
bi05;tcov;80
bi05;scov;2
bi05;hcov;5
bi05;mcov;10
bi05;location;Bitzenberg
bi05;longitude;13.538315
bi05;latitude;48.484416
bi05;precision;8
bi06;date;2007-08-15
bi06;plsx;15
bi06;plsy;15
bi06;cov;70
bi06;tcov;45
bi06;scov;20
bi06;hcov;60
bi06;mcov;25
bi06;location;Bitzenberg
bi06;longitude;13.541146
bi06;latitude;48.481715
bi06;precision;8
bi07;date;2007-08-15
bi07;plsx;15
bi07;plsy;15
bi07;cov;80
bi07;tcov;80
bi07;scov;3
bi07;hcov;10
bi07;mcov;60
bi07;location;Bitzenberg
bi07;longitude;13.539856
bi07;latitude;48.481356
bi07;precision;8
bi08;date;2007-08-15
bi08;plsx;5
bi08;plsy;20
bi08;cov;75
bi08;tcov;60
bi08;scov;15
bi08;hcov;45
bi08;mcov;20
bi08;location;Bitzenberg
bi08;longitude;13.542118
bi08;latitude;48.481428
bi08;precision;8
bi09;date;2007-08-15
bi09;plsx;10
bi09;plsy;10
bi09;cov;80
bi09;tcov;40
bi09;scov;10
bi09;hcov;65
bi09;mcov;15
bi09;location;Bitzenberg
bi09;longitude;13.543312
bi09;latitude;48.483567
bi09;precision;8
bi10;date;2007-08-15
bi10;plsx;15
bi10;plsy;15
bi10;cov;70
bi10;tcov;70
bi10;scov;40
bi10;hcov;30
bi10;mcov;70
bi10;location;Bitzenberg
bi10;longitude;13.5443
bi10;latitude;48.481072
bi10;precision;8
bi11;date;2007-08-15
bi11;plsx;15
bi11;plsy;15
bi11;cov;90
bi11;tcov;90
bi11;scov;15
bi11;hcov;10
bi11;mcov;3
bi11;location;Bitzenberg
bi11;longitude;13.541687
bi11;latitude;48.480965
bi11;precision;8
bi12;date;2007-08-15
bi12;plsx;15
bi12;plsy;15
bi12;cov;90
bi12;tcov;0
bi12;scov;5
bi12;hcov;90
bi12;mcov;50
bi12;location;Bitzenberg
bi12;longitude;13.540858
bi12;latitude;48.479448
bi12;precision;8
bi13;date;2007-08-15
bi13;plsx;15
bi13;plsy;15
bi13;cov;60
bi13;tcov;55
bi13;scov;20
bi13;hcov;15
bi13;mcov;5
bi13;location;Bitzenberg
bi13;longitude;13.540805
bi13;latitude;48.479791
bi13;precision;8
bi14;date;2007-08-15
bi14;plsx;5
bi14;plsy;10
bi14;cov;90
bi14;tcov;75
bi14;scov;15
bi14;hcov;70
bi14;mcov;50
bi14;location;Bitzenberg
bi14;longitude;13.541408
bi14;latitude;48.477556
bi14;precision;8
bi15;date;2007-08-15
bi15;plsx;15
bi15;plsy;15
bi15;cov;90
bi15;tcov;85
bi15;scov;15
bi15;hcov;5
bi15;mcov;50
bi15;location;Bitzenberg
bi15;longitude;13.542106
bi15;latitude;48.478328
bi15;precision;8
bi01;association;Bazzanio-Piceetum Br.Bl. & Sissingh 1939
bi02;association;Bazzanio-Piceetum Br.Bl. & Sissingh 1939
bi03;association;Luzulo-Fagetum Mikyška 1972
bi04;association;Avenella flexuosa-Betula pendula-Gesellschaft (prov.)
bi05;association;Bazzanio-Piceetum Br.Bl. & Sissingh 1939
bi06;association;Vaccinio myrtilli-Pinetum sylvestris typicum Juraszek 1928
bi07;association;Bazzanio-Piceetum Br.Bl. & Sissingh 1939
bi08;association;Avenella flexuosa-Betula pendula-Gesellschaft (prov.)
bi09;association;Luzulo-Fagetum Mikyška 1972
bi10;association;Bazzanio-Piceetum Br.Bl. & Sissingh 1939
bi11;association;Vaccinio myrtilli-Pinetum sylvestris typicum Juraszek 1928
bi12;association;Vaccinio myrtilli-Pinetum sylvestris typicum Juraszek 1928
bi13;association;Vaccinio myrtilli-Pinetum sylvestris typicum Juraszek 1928
bi14;association;Arunco-Aceretum Moor 1952 gymnocarpietosum prov.
bi15;association;Bazzanio-Piceetum Br.Bl. & Sissingh 1939
bi01;accuracy;10
bi02;accuracy;10
bi03;accuracy;10
bi04;accuracy;10
bi05;accuracy;10
bi06;accuracy;10
bi07;accuracy;10
bi08;accuracy;10
bi09;accuracy;10
bi10;accuracy;10
bi11;accuracy;10
bi12;accuracy;10
bi13;accuracy;10
bi14;accuracy;10
bi15;accuracy;10
