"plot";"abbr";"layer";"cov";"history"
"wh02d";"fagu sylv";"sl";"1";
"wh02d";"pice abie";"sl";"2a";
"wh02d";"spha girg";"ml";"+";
"wh02d";"aven flex flex";"hl";"1";
"wh02d";"care pilu pilu";"hl";"+";
"wh02d";"dryo cart";"hl";"+";
"wh02d";"dryo dila";"hl";"1";
"wh02d";"fagu sylv";"hl";"1";
"wh02d";"gali albu";"hl";"+";
"wh02d";"oxal acet";"hl";"+";
"wh02d";"pice abie";"hl";"2a";
"wh02d";"quer robu";"hl";"+";
"wh02d";"rubu frut aggr";"hl";"2a";
"wh02d";"rubu idae";"hl";"1";
"wh02d";"vacc myrt";"hl";"3";
"wh03a";"pice abie";"tl1";"5";
"wh03a";"dryo cart";"hl";"+";
"wh03a";"fagu sylv";"hl";"r";
"wh03a";"luzu pilo";"hl";"r";
"wh03a";"pice abie";"hl";"r";
"wh03a";"poly vulg";"hl";"r";
"wh03a";"vacc myrt";"hl";"+";
"wh04a";"pice abie";"tl1";"5";
"wh04a";"care pilu pilu";"hl";"+";
"wh04a";"dryo cart";"hl";"+";
"wh04a";"gali albu";"hl";"+";
"wh04a";"luzu pilo";"hl";"+";
"wh04a";"rubu frut aggr";"hl";"+";
"wh04a";"urti dioi dioi";"hl";"+";
"wh04a";"vacc myrt";"hl";"+";
"wh05a";"pice abie";"tl1";"5";
"wh05a";"aven flex flex";"hl";"+";
"wh05a";"care pall";"hl";"+";
"wh05a";"care pilu pilu";"hl";"1";
"wh05a";"digi purp";"hl";"r";
"wh05a";"dryo cart";"hl";"+";
"wh05a";"gale bifi";"hl";"+";
"wh05a";"junc effu";"hl";"r";
"wh05a";"luzu pilo";"hl";"+";
"wh05a";"mela prat";"hl";"+";
"wh05a";"pice abie";"hl";"+";
"wh05a";"rubu frut aggr";"hl";"+";
"wh05a";"vacc myrt";"hl";"+";
"wh06a";"pice abie";"tl1";"5";
"wh06a";"pinu sylv";"tl1";"1";
"wh06a";"fagu sylv";"sl";"+";
"wh06a";"pice abie";"sl";"2a";
"wh06a";"spha girg";"ml";"1";
"wh06a";"aven flex flex";"hl";"1";
"wh06a";"care pilu pilu";"hl";"+";
"wh06a";"dryo cart";"hl";"+";
"wh06a";"fagu sylv";"hl";"+";
"wh06a";"mela prat";"hl";"+";
"wh06a";"pice abie";"hl";"2a";
"wh06a";"quer robu";"hl";"+";
"wh06a";"vacc myrt";"hl";"4";
"wh06a";"vacc viti";"hl";"+";
"wh06b";"pice abie";"tl1";"5";
"wh06b";"pinu sylv";"tl1";"1";
"wh06b";"fagu sylv";"sl";"+";
"wh06b";"pice abie";"sl";"2b";
"wh06b";"spha girg";"ml";"1";
"wh06b";"aven flex flex";"hl";"1";
"wh06b";"cala epig";"hl";"+";
"wh06b";"care pilu pilu";"hl";"+";
"wh06b";"dryo cart";"hl";"+";
"wh06b";"dryo dila";"hl";"+";
"wh06b";"fagu sylv";"hl";"+";
"wh06b";"gali albu";"hl";"+";
"wh06b";"luzu pilo";"hl";"+";
"wh06b";"mela prat";"hl";"+";
"wh06b";"oxal acet";"hl";"+";
"wh06b";"pice abie";"hl";"2a";
"wh06b";"pinu sylv";"hl";"+";
"wh06b";"quer robu";"hl";"+";
"wh06b";"rubu idae";"hl";"+";
"wh06b";"vacc myrt";"hl";"4";
"wh06b";"vacc viti";"hl";"+";
"wh07a";"pice abie";"tl2";"2b";
"wh07a";"pice abie";"tl1";"5";
"wh07a";"spha girg";"ml";"2b";
"wh07a";"aven flex flex";"hl";"+";
"wh07a";"care pilu pilu";"hl";"+";
"wh07a";"dryo cart";"hl";"+";
"wh07a";"fagu sylv";"hl";"+";
"wh07a";"luzu pilo";"hl";"+";
"wh07a";"vacc myrt";"hl";"2a";
"wh08a";"betu pend";"sl";"1";
"wh08a";"lari deci deci";"sl";"2a";
"wh08a";"pinu sylv";"sl";"2a";
"wh08a";"sali capr";"sl";"+";
"wh08a";"tili cord";"sl";"+";
"wh08a";"agro capi";"hl";"+";
"wh08a";"cala epig";"hl";"3";
"wh08a";"dryo cart";"hl";"+";
"wh08a";"epil angu";"hl";"1";
"wh08a";"gale bifi";"hl";"2a";
"wh08a";"junc effu";"hl";"+";
"wh08a";"lari deci deci";"hl";"+";
"wh08a";"pinu sylv";"hl";"1";
"wh08a";"rubu frut aggr";"hl";"2b";
"wh08a";"rubu idae";"hl";"3";
"wh08a";"urti dioi dioi";"hl";"+";
"wh08a";"vacc myrt";"hl";"1";
"wh08b";"fagu sylv";"sl";"2a";
"wh08b";"pice abie";"sl";"4";
"wh08b";"agro capi";"hl";"+";
"wh08b";"aven flex flex";"hl";"1";
"wh08b";"cala epig";"hl";"2b";
"wh08b";"call vulg";"hl";"+";
"wh08b";"care briz";"hl";"+";
"wh08b";"care pilu pilu";"hl";"+";
"wh08b";"dryo cart";"hl";"1";
"wh08b";"fagu sylv";"hl";"1";
"wh08b";"gale bifi";"hl";"2a";
"wh08b";"impa parv";"hl";"+";
"wh08b";"junc effu";"hl";"1";
"wh08b";"mela prat";"hl";"+";
"wh08b";"oxal acet";"hl";"1";
"wh08b";"pice abie";"hl";"2b";
"wh08b";"pote erec";"hl";"+";
"wh08b";"quer robu";"hl";"+";
"wh08b";"rubu frut aggr";"hl";"3";
"wh08b";"rubu idae";"hl";"3";
"wh08b";"urti dioi dioi";"hl";"+";
"wh08b";"vacc myrt";"hl";"1";
"wh09a";"pice abie";"tl1";"5";
"wh09a";"pinu sylv";"tl1";"1";
"wh09a";"aven flex flex";"hl";"+";
"wh09a";"care pall";"hl";"+";
"wh09a";"care pilu pilu";"hl";"+";
"wh09a";"digi purp";"hl";"+";
"wh09a";"dryo cart";"hl";"+";
"wh09a";"fagu sylv";"hl";"+";
"wh09a";"lact mura";"hl";"+";
"wh09a";"luzu pilo";"hl";"+";
"wh09a";"oxal acet";"hl";"+";
"wh09a";"pice abie";"hl";"+";
"wh09a";"quer robu";"hl";"r";
"wh09a";"rubu frut aggr";"hl";"+";
"wh09a";"rubu idae";"hl";"+";
"wh09a";"vacc myrt";"hl";"1";
"wh09b";"pice abie";"tl1";"5";
"wh09b";"spha girg";"ml";"2b";
"wh09b";"athy fili";"hl";"+";
"wh09b";"aven flex flex";"hl";"+";
"wh09b";"care pilu pilu";"hl";"+";
"wh09b";"dryo cart";"hl";"+";
"wh09b";"lact mura";"hl";"r";
"wh09b";"luzu pilo";"hl";"+";
"wh09b";"pice abie";"hl";"+";
"wh09b";"quer robu";"hl";"+";
"wh09b";"sali capr";"hl";"r";
"wh09b";"sorb aucu aucu";"hl";"r";" | Changed sorb aucu To sorb aucu aucu 2012-11-27 17:53:55"
"wh09b";"vacc myrt";"hl";"+";
"wh10a";"pice abie";"tl1";"5";
"wh10a";"pinu sylv";"tl1";"1";
"wh10a";"spha girg";"ml";"1";
"wh10a";"aven flex flex";"hl";"+";
"wh10a";"care pall";"hl";"+";
"wh10a";"care pilu pilu";"hl";"+";
"wh10a";"dryo cart";"hl";"+";
"wh10a";"fagu sylv";"hl";"+";
"wh10a";"pice abie";"hl";"+";
"wh10a";"rubu frut aggr";"hl";"+";
"wh10a";"sorb aucu aucu";"hl";"+";" | Changed sorb aucu To sorb aucu aucu 2012-11-27 17:53:55"
"wh10a";"vacc myrt";"hl";"+";
"wh10b";"pice abie";"tl1";"5";
"wh10b";"pinu sylv";"tl1";"1";
"wh10b";"spha girg";"ml";"1";
"wh10b";"acer pseu";"hl";"r";
"wh10b";"aven flex flex";"hl";"1";
"wh10b";"care pilu pilu";"hl";"+";
"wh10b";"dryo cart";"hl";"+";
"wh10b";"dryo dila";"hl";"+";
"wh10b";"epil angu";"hl";"+";
"wh10b";"fagu sylv";"hl";"+";
"wh10b";"gale bifi";"hl";"+";
"wh10b";"gali albu";"hl";"+";
"wh10b";"lact mura";"hl";"+";
"wh10b";"luzu pilo";"hl";"+";
"wh10b";"moeh trin";"hl";"+";
"wh10b";"oxal acet";"hl";"+";
"wh10b";"pinu sylv";"hl";"+";
"wh10b";"quer robu";"hl";"r";
"wh10b";"rubu frut aggr";"hl";"+";
"wh10b";"vacc myrt";"hl";"+";
"wh11a";"sali purp";"sl";"2a";
"wh11a";"alnu inca";"tl1";"2b";
"wh11a";"alnu inca";"sl";"+";
"wh11a";"sali rube";"tl1";"3";
"wh11a";"popu trem";"tl1";"1";
"wh11a";"sali capr";"tl1";"2b";
"wh11a";"pinu sylv";"tl1";"1";
"wh11a";"pinu sylv";"sl";"1";
"wh11a";"pice abie";"sl";"2b";
"wh11a";"rosa cani";"sl";"+";
"wh11a";"crat mono";"sl";"+";
"wh11a";"corn sang sang";"sl";"+";
"wh11a";"quer robu";"tl1";"1";
"wh11a";"quer robu";"sl";"1";
"wh11a";"acer pseu";"sl";"1";
"wh11a";"acer pseu";"hl";"+";
"wh11a";"acer camp";"tl1";"1";
"wh11a";"acer camp";"sl";"2a";
"wh11a";"acer camp";"hl";"+";
"wh11a";"hipp rham rham";"sl";"+";
"wh11a";"lari deci deci";"tl1";"1";
"wh11a";"lari deci deci";"sl";"+";
"wh11a";"betu pend";"tl1";"+";
"wh11a";"betu pend";"sl";"+";
"wh11a";"equi arve";"hl";"+";
"wh11a";"urti dioi dioi";"hl";"+";
"wh11a";"soli giga";"hl";"+";
"wh11a";"eupa cann";"hl";"+";
"wh11a";"frag vesc";"hl";"2m";
"wh11a";"cala vari";"hl";"+";
"wh11a";"gale bifi";"hl";"+";
"wh11a";"brac sylv";"hl";"1";
"wh11a";"rubu idae";"hl";"2a";
"wh11a";"ajug rept";"hl";"1";
"wh11a";"aego poda";"hl";"+";
"wh11a";"rubu frut aggr";"hl";"1";
"wh11a";"junc effu";"hl";"+";
"wh11a";"ange sylv sylv";"hl";"+";
"wh11a";"care alba";"hl";"+";
"wh11b";"crat mono";"sl";"2a";
"wh11b";"crat mono";"hl";"+";
"wh11b";"vibu opul";"sl";"1";
"wh11b";"pinu sylv";"tl1";"1";
"wh11b";"pinu sylv";"sl";"1";
"wh11b";"acer pseu";"tl1";"1";
"wh11b";"acer pseu";"sl";"1";
"wh11b";"acer pseu";"hl";"+";
"wh11b";"sali capr";"tl1";"2b";
"wh11b";"sali capr";"sl";"1";
"wh11b";"sali alba";"tl1";"2a";
"wh11b";"sali alba";"sl";"1";
"wh11b";"pice abie";"sl";"2a";
"wh11b";"pice abie";"hl";"1";
"wh11b";"betu pend";"tl1";"1";
"wh11b";"betu pend";"sl";"1";
"wh11b";"betu pend";"hl";"+";
"wh11b";"popu trem";"tl1";"1";
"wh11b";"popu trem";"sl";"1";
"wh11b";"prun aviu slat";"tl1";"2b";" | Changed prun aviu To prun aviu slat 2012-11-27 17:53:55"
"wh11b";"prun aviu slat";"sl";"1";" | Changed prun aviu To prun aviu slat 2012-11-27 17:53:55"
"wh11b";"tili cord";"sl";"2a";
"wh11b";"corn sang sang";"sl";"2a";
"wh11b";"pyru pyra";"sl";"2a";
"wh11b";"acer camp";"sl";"2a";
"wh11b";"acer camp";"hl";"+";
"wh11b";"alnu glut";"tl1";"1";
"wh11b";"alnu glut";"sl";"1";
"wh11b";"sali purp";"sl";"1";
"wh11b";"sali appe";"sl";"+";
"wh11b";"clem vita";"hl";"+";
"wh11b";"eupa cann";"hl";"1";
"wh11b";"urti dioi dioi";"hl";"2b";
"wh11b";"rubu frut aggr";"hl";"2a";
"wh11b";"rubu idae";"hl";"1";
"wh11b";"brac sylv";"hl";"1";
"wh11b";"gera robe";"hl";"+";
"wh11b";"junc tenu";"hl";"+";
"wh11b";"ajug rept";"hl";"+";
"wh11b";"impa parv";"hl";"+";
"wh11b";"gale bifi";"hl";"+";
"wh11b";"pote rept";"hl";"+";
"wh11b";"cala epig";"hl";"+";
"wh12a";"hipp rham rham";"sl";"3";
"wh12a";"sali capr";"sl";"1";
"wh12a";"sali capr";"hl";"+";
"wh12a";"pice abie";"hl";"1";
"wh12a";"crat mono";"sl";"1";
"wh12a";"cory avel";"sl";"1";
"wh12a";"sali alba";"sl";"3";
"wh12a";"sali alba";"hl";"+";
"wh12a";"popu trem";"sl";"1";
"wh12a";"popu trem";"hl";"+";
"wh12a";"pinu sylv";"sl";"+";
"wh12a";"pinu sylv";"hl";"+";
"wh12a";"corn sang sang";"sl";"1";
"wh12a";"corn sang sang";"hl";"+";
"wh12a";"quer robu";"sl";"1";
"wh12a";"quer robu";"hl";"1";
"wh12a";"sali rube";"sl";"1";
"wh12a";"betu pend";"sl";"1";
"wh12a";"betu pend";"hl";"+";
"wh12a";"sali appe";"sl";"+";
"wh12a";"sali appe";"hl";"+";
"wh12a";"fagu sylv";"sl";"+";
"wh12a";"fagu sylv";"hl";"+";
"wh12a";"vibu opul";"sl";"+";
"wh12a";"vibu opul";"hl";"+";
"wh12a";"sali elea elea";"sl";"+";" | Changed sali elea To sali elea elea 2012-11-27 17:53:55"
"wh12a";"sali elea elea";"hl";"+";" | Changed sali elea To sali elea elea 2012-11-27 17:53:55"
"wh12a";"sali purp";"sl";"+";
"wh12a";"sali purp";"hl";"+";
"wh12a";"fest rubr rubr";"hl";"1";
"wh12a";"dauc caro caro";"hl";"+";" | Changed dauc caro To dauc caro caro 2012-11-27 14:15:27"
"wh12a";"ange sylv sylv";"hl";"+";
"wh12a";"eupa cann";"hl";"2a";
"wh12a";"erig annu annu";"hl";"1";
"wh12a";"gali albu";"hl";"+";
"wh12a";"tuss farf";"hl";"1";
"wh12a";"erig cana";"hl";"2m";
"wh12a";"cala epig";"hl";"2b";
"wh12a";"arte vulg";"hl";"1";
"wh12a";"cirs arve";"hl";"+";
"wh12a";"equi arve";"hl";"2a";
"wh12a";"gale bifi";"hl";"+";
"wh12a";"cirs palu";"hl";"+";
"wh12b";"sali capr";"sl";"3";
"wh12b";"popu spec ies";"sl";"3";" | Changed popu spec To popu spec ies 2012-11-27 17:53:55"
"wh12b";"betu pend";"sl";"1";
"wh12b";"betu pend";"hl";"+";
"wh12b";"pice abie";"sl";"+";
"wh12b";"pice abie";"hl";"+";
"wh12b";"pinu sylv";"sl";"1";
"wh12b";"pinu sylv";"hl";"+";
"wh12b";"crat mono";"sl";"1";
"wh12b";"vibu opul";"sl";"1";
"wh12b";"vibu opul";"hl";"+";
"wh12b";"corn sang sang";"sl";"1";
"wh12b";"corn sang sang";"hl";"+";
"wh12b";"sali alba";"sl";"2a";
"wh12b";"acer pseu";"sl";"+";
"wh12b";"acer pseu";"hl";"+";
"wh12b";"tili cord";"sl";"2a";
"wh12b";"fagu sylv";"sl";"1";
"wh12b";"fagu sylv";"hl";"+";
"wh12b";"cala epig";"hl";"4";
"wh12b";"cirs arve";"hl";"1";
"wh12b";"erig annu annu";"hl";"2a";
"wh12b";"tuss farf";"hl";"2a";
"wh12b";"erig cana";"hl";"1";
"wh12b";"eupa cann";"hl";"1";
"wh12b";"epil cili cili";"hl";"+";
"wh12b";"cirs palu";"hl";"+";
"wh13a";"sali capr";"sl";"1";
"wh13a";"quer robu";"sl";"1";
"wh13a";"sali appe";"sl";"+";
"wh13a";"sali purp";"sl";"2a";
"wh13a";"carp betu";"sl";"1";
"wh13a";"robi pseu";"sl";"+";
"wh13a";"sali alba";"sl";"+";
"wh13a";"popu trem";"sl";"+";
"wh13a";"sali elea elea";"sl";"+";" | Changed sali elea To sali elea elea 2012-11-27 17:53:55"
"wh13a";"tuss farf";"hl";"+";
"wh13a";"poa prat";"hl";"1";
"wh13a";"prun vulg";"hl";"+";
"wh13a";"vici sepi";"hl";"+";
"wh13a";"trif prat prat";"hl";"1";
"wh13a";"eupa cann";"hl";"+";
"wh13a";"leuc ircu";"hl";"+";
"wh13a";"euph cypa";"hl";"+";
"wh13a";"soli giga";"hl";"1";
"wh13a";"scro nodo";"hl";"+";
"wh13a";"cala epig";"hl";"5";
"wh13a";"junc effu";"hl";"1";
"wh13a";"cirs palu";"hl";"2a";
"wh13a";"ranu repe";"hl";"1";
"wh13a";"epil hirs";"hl";"1";
"wh13a";"urti dioi dioi";"hl";"+";
"wh13a";"rubu idae";"hl";"1";
"wh13a";"cirs arve";"hl";"1";
"wh13a";"erig annu annu";"hl";"2b";
"wh14a";"sali capr";"hl";"2m";
"wh14a";"quer robu";"hl";"2a";
"wh14a";"carp betu";"hl";"2m";
"wh14a";"popu trem";"hl";"2m";
"wh14a";"sali alba";"hl";"+";
"wh14a";"sali purp";"hl";"+";
"wh14a";"cirs arve";"hl";"+";
"wh14a";"tuss farf";"hl";"2b";
"wh14a";"cala epig";"hl";"4";
"wh14a";"cirs vulg";"hl";"+";
"wh14a";"epil hirs";"hl";"+";
"wh14a";"erig cana";"hl";"2m";
"wh14a";"erig annu annu";"hl";"1";
"wh14a";"rubu idae";"hl";"+";
"wh14a";"soli giga";"hl";"1";
"wh14a";"junc effu";"hl";"2a";
"wh14a";"digi purp";"hl";"+";
"wh14a";"care lepo";"hl";"+";
"wh15a";"quer robu";"sl";"+";
"wh15a";"quer robu";"hl";"2a";
"wh15a";"carp betu";"sl";"2a";
"wh15a";"carp betu";"hl";"1";
"wh15a";"cyti scop scop";"sl";"1";
"wh15a";"cyti scop scop";"hl";"1";
"wh15a";"lupi poly";"hl";"+";
"wh15a";"rubu idae";"hl";"5";
"wh15a";"urti dioi dioi";"hl";"3";
"wh15a";"cirs arve";"hl";"2b";
"wh15a";"impa parv";"hl";"1";
"wh15a";"cala epig";"hl";"1";
"wh15a";"eupa cann";"hl";"+";
"wh15a";"junc effu";"hl";"1";
"wh15a";"rubu frut aggr";"hl";"2b";
"wh16a";"quer robu";"sl";"2m";
"wh16a";"carp betu";"sl";"2m";
"wh16a";"scro nodo";"hl";"+";
"wh16a";"cirs arve";"hl";"+";
"wh16a";"erig cana";"hl";"+";
"wh16a";"tuss farf";"hl";"2a";
"wh16a";"prun vulg";"hl";"+";
"wh16a";"soli giga";"hl";"+";
"wh16a";"tara sect rude";"hl";"+";
"wh16a";"care sylv";"hl";"+";
"wh16a";"digi purp";"hl";"+";
"wh16a";"junc effu";"hl";"+";
"wh16a";"epil cili cili";"hl";"+";
"wh17a";"quer robu";"sl";"2m";
"wh17a";"carp betu";"sl";"+";
"wh17a";"agro stol";"hl";"2a";
"wh17a";"pers miti";"hl";"4";
"wh17a";"ranu repe";"hl";"1";
"wh17a";"gale bifi";"hl";"+";
"wh17a";"erig cana";"hl";"2m";
"wh17a";"gali cili";"hl";"2m";
"wh17a";"cirs arve";"hl";"+";
"wh17a";"tuss farf";"hl";"2b";
"wh17a";"impa parv";"hl";"+";
"wh17a";"cera holo";"hl";"+";
"wh17a";"plan majo majo";"hl";"1";
"wh17a";"junc effu";"hl";"1";
"wh17a";"epil cili cili";"hl";"+";
"wh17a";"medi lupu";"hl";"+";
"wh17a";"lupi poly";"hl";"+";
"wh17a";"scro nodo";"hl";"+";
"wh17a";"ment arve";"hl";"+";
"wh18a";"quer robu";"hl";"2m";
"wh18a";"carp betu";"hl";"1";
"wh18a";"cyti scop scop";"hl";"+";
"wh18a";"sali capr";"hl";"2m";
"wh18a";"sali purp";"hl";"+";
"wh18a";"junc tenu";"hl";"+";
"wh18a";"lupi poly";"hl";"1";
"wh18a";"junc effu";"hl";"4";
"wh18a";"cala epig";"hl";"2b";
"wh18a";"prun vulg";"hl";"1";
"wh18a";"rubu idae";"hl";"+";
"wh18a";"agro stol";"hl";"1";
"wh18a";"eupa cann";"hl";"1";
"wh18a";"ranu repe";"hl";"1";
"wh18a";"trif prat prat";"hl";"+";
"wh18a";"medi lupu";"hl";"2m";
"wh18a";"tuss farf";"hl";"2b";
"wh18a";"digi purp";"hl";"+";
"wh18a";"ment arve";"hl";"+";
"wh18a";"epil cili cili";"hl";"1";
"wh18a";"care lepo";"hl";"+";
"wh18a";"cirs vulg";"hl";"+";
"wh18a";"erig annu annu";"hl";"+";
