"plot";"abbr";"layer";"cov";"history"
"wh01a";"pice abie";"tl1";"5";
"wh01a";"agro capi";"hl";"+";
"wh01a";"aven flex flex";"hl";"+";
"wh01a";"cala epig";"hl";"+";
"wh01a";"care pilu pilu";"hl";"1";
"wh01a";"dryo cart";"hl";"1";
"wh01a";"fagu sylv";"hl";"r";
"wh01a";"gale bifi";"hl";"+";
"wh01a";"gali albu";"hl";"+";
"wh01a";"luzu pilo";"hl";"+";
"wh01a";"moeh trin";"hl";"+";
"wh01a";"oxal acet";"hl";"+";
"wh01a";"pice abie";"hl";"+";
"wh01a";"quer robu";"hl";"+";
"wh01a";"rubu frut aggr";"hl";"+";
"wh01a";"vacc myrt";"hl";"+";
"wh02a";"pice abie";"tl2";"1";
"wh02a";"pice abie";"tl1";"3";
"wh02a";"pinu sylv";"tl1";"2b";
"wh02a";"fagu sylv";"sl";"1";
"wh02a";"pice abie";"sl";"2a";
"wh02a";"pinu sylv";"sl";"+";
"wh02a";"aven flex flex";"hl";"2b";
"wh02a";"cala epig";"hl";"+";
"wh02a";"call vulg";"hl";"+";
"wh02a";"care pilu pilu";"hl";"+";
"wh02a";"digi purp";"hl";"r";
"wh02a";"dryo cart";"hl";"+";
"wh02a";"dryo dila";"hl";"2a";
"wh02a";"fagu sylv";"hl";"+";
"wh02a";"gali albu";"hl";"+";
"wh02a";"junc effu";"hl";"+";
"wh02a";"moeh trin";"hl";"+";
"wh02a";"moli caer";"hl";"+";
"wh02a";"oxal acet";"hl";"1";
"wh02a";"pice abie";"hl";"2a";
"wh02a";"pinu sylv";"hl";"+";
"wh02a";"quer robu";"hl";"+";
"wh02a";"rubu frut aggr";"hl";"2b";
"wh02a";"rubu idae";"hl";"1";
"wh02a";"vacc myrt";"hl";"3";
"wh02b";"pice abie";"tl1";"4";
"wh02b";"pinu sylv";"tl1";"2b";
"wh02b";"fagu sylv";"sl";"2a";
"wh02b";"pice abie";"sl";"3";
"wh02b";"agro capi";"hl";"+";
"wh02b";"aven flex flex";"hl";"1";
"wh02b";"cala epig";"hl";"1";
"wh02b";"care pilu pilu";"hl";"+";
"wh02b";"digi purp";"hl";"+";
"wh02b";"dryo cart";"hl";"+";
"wh02b";"dryo dila";"hl";"1";
"wh02b";"fagu sylv";"hl";"+";
"wh02b";"gale bifi";"hl";"+";
"wh02b";"gali albu";"hl";"+";
"wh02b";"luzu pilo";"hl";"+";
"wh02b";"oxal acet";"hl";"+";
"wh02b";"pice abie";"hl";"2a";
"wh02b";"pinu sylv";"hl";"+";
"wh02b";"quer robu";"hl";"+";
"wh02b";"rubu frut aggr";"hl";"2a";
"wh02b";"vacc myrt";"hl";"4";
"wh02c";"lari deci deci";"tl1";"1";
"wh02c";"pice abie";"tl1";"4";
"wh02c";"pinu sylv";"tl1";"2b";
"wh02c";"fagu sylv";"sl";"1";
"wh02c";"pice abie";"sl";"2b";
"wh02c";"spha girg";"ml";"1";
"wh02c";"acer pseu";"hl";"r";
"wh02c";"aven flex flex";"hl";"1";
"wh02c";"care pilu pilu";"hl";"+";
"wh02c";"digi purp";"hl";"+";
"wh02c";"dryo cart";"hl";"1";
"wh02c";"dryo dila";"hl";"2b";
"wh02c";"fagu sylv";"hl";"+";
"wh02c";"oxal acet";"hl";"1";
"wh02c";"pice abie";"hl";"2a";
"wh02c";"pinu sylv";"hl";"r";
"wh02c";"quer robu";"hl";"+";
"wh02c";"rubu frut aggr";"hl";"2a";
"wh02c";"rubu idae";"hl";"+";
"wh02c";"vacc myrt";"hl";"3";
"wh02d";"pice abie";"tl1";"4";
"wh02d";"pinu sylv";"tl1";"3";
