plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;type;alliance.code;alliance;association;soil;comment;location;observer
saww01-2022;92;0;0;0;92;1;0;0;0;1;0,25;5;5;F;0;0;1;0;2022-05-23, 2022-08-23;47.925650;12.961781;5;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Weitwörther Au, Zone B;T. Eberl & R. Kaiser
saww02-2022;68;0;0;0;65;10;0;0;0;0,6;0,15;5;5;F;0;0;32;0;2022-05-23, 2022-08-23;47.925791;12.961528;5;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Weitwörther Au, Zone B;T. Eberl & R. Kaiser
saww03-2022;72;0;0;0;70;8;0;0;0;0,6;0,15;5;5;F;0;0;28;0;2022-05-23, 2022-08-23;47.925456;12.961329;5;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Weitwörther Au, Zone B;T. Eberl & R. Kaiser
saww04-2022;94;0;0;0;93;3;0;0;0;0,95;0,15;5;5;F;0;0;6;0;2022-05-23, 2022-08-23;47.925380;12.960850;5;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Weitwörther Au, Zone B;T. Eberl & R. Kaiser
saww05-2022;94;0;0;0;93;4;0;0;0;0,95;0,15;5;5;F;0;0;6;0;2022-05-23, 2022-08-23;47.925952;12.960955;5;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Weitwörther Au, Zone B;T. Eberl & R. Kaiser
saww06-2022;95;0;0;0;94;3;0;0;0;0,9;0,25;5;5;F;0;0;5;0;2022-05-23, 2022-08-23;47.926139;12.960648;5;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Weitwörther Au, Zone B;T. Eberl & R. Kaiser
saww07-2022;97;0;0;0;96;2;0;0;0;0,95;0,15;5;5;F;0;0;3;0;2022-05-23, 2022-08-23;47.925522;12.960299;5;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Weitwörther Au, Zone B;T. Eberl & R. Kaiser
saww08-2022;97;0;0;0;96;3;0;0;0;0,85;0,15;5;5;F;0;0;3;0;2022-05-23, 2022-08-23;47.925360;12.959773;5;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Weitwörther Au, Zone B;T. Eberl & R. Kaiser
saww09-2022;96;0;0;0;95;2;0;0;0;0,9;0,2;5;5;F;0;0;4;0;2022-05-23, 2022-08-23;47.926222;12.960241;5;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Weitwörther Au, Zone B;T. Eberl & R. Kaiser
saww10-2022;8;0;0;0;8;0;0;0;0;0,1;0,01;5;5;F;0;0;92;0;2022-05-26, 2022-08-23;47.924294;12.962409;5;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Weitwörther Au, Zone B;T. Eberl & R. Kaiser
saww11-2022;65;0;0;0;65;0;0;0;0;0,25;0,05;5;5;F;0;0;35;0;2022-05-26, 2022-08-23;47.923200;12.959861;5;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Weitwörther Au, Zone B;T. Eberl & R. Kaiser
saww12-2022;13;0;0;0;13;0;0;0;0;0,2;0,05;5;5;F;0;0;87;0;2022-05-26, 2022-08-23;47.923027;12.964770;5;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Weitwörther Au, Zone B;T. Eberl & R. Kaiser
saww13-2022;80;0;0;0;80;0;0;0;0;0,8;0,2;5;5;F;0;0;20;0;2022-05-26, 2022-08-23;47.929961;12.957067;5;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Weitwörther Au, Zone B;T. Eberl & R. Kaiser
saww15-2022;100;80;20;45;99;1;30;17;5;0,8;0,2;16;16;F;0;0;0;0;2022-05-11;47.921338;12.963018;10;forest;POP-02A;Alnion incanae Pawłowski et al. 1928;;;;Weitwörther Au, Zone B;T. Eberl
saww16-2022;100;70;50;25;99;1;30;12;5;0,8;0,2;16;16;F;0;0;0;0;2022-05-11;47.922511;12.963336;10;forest;POP-02A;Alnion incanae Pawłowski et al. 1928;;;;Weitwörther Au, Zone B;T. Eberl
saww17-2022;100;50;15;99;60;1;30;18;5;0,8;0,2;16;16;F;0;0;0;0;2022-05-11;47.921568;12.967372;10;forest;POP-02A;Alnion incanae Pawłowski et al. 1928;;;;Weitwörther Au, Zone B;T. Eberl
saww01-2023;100;0;0;0;100;1;0;0;0;1;0,35;5;5;F;0;0;0;0;2023-05-22, 2023-08-21;47.925650;12.961781;5;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Weitwörther Au, Zone B;T. Eberl & R. Kaiser
