plot,abbr,layer,cov,voucher,comment,history
ws01,alli lusi,hl,+,,,
ws01,amel oval,hl,r,,,
ws01,anth ramo,hl,+,,,
ws01,bryo unde,hl,1,voucher,,
ws01,buph sali,hl,1,,,
ws01,care digi,hl,+,,,
ws01,coro vagi,hl,+,,,
ws01,glob cord,hl,+,,,
ws01,juni sabi,hl,4,,,
ws01,orig vulg,hl,+,,,
ws01,sesl caer,hl,2a,,,
ws01,teuc mont,hl,+,,,
ws01,thal minu slat,hl,1,,,
ws01,vinc hiru,hl,+,,,
ws02,amel oval,hl,+,,,
ws02,anth ramo,hl,1,,,
ws02,buph sali,hl,1,,,
ws02,care alba,hl,2m,,,
ws02,care digi,hl,+,,,
ws02,care orni orni,hl,+,,,
ws02,cycl purp,hl,r,,,
ws02,dian cart cart,hl,+,,,
ws02,euph cypa,hl,+,,,
ws02,gali anis,hl,+,,,
ws02,gali trun,hl,+,,,
ws02,hipp emer emer,hl,r,,,
ws02,juni sabi,hl,4,,,
ws02,lase lati lati,hl,+,,,
ws02,orig vulg,hl,+,,,
ws02,poly cham,hl,2b,,,
ws02,rham cath,hl,+,,,
ws02,sesl caer,hl,1,,,
ws02,sile nuta nuta,hl,+,,,
ws02,teuc mont,hl,+,,,
ws02,thal minu slat,hl,2a,,,
ws02,vinc hiru,hl,1,,,
ws02,bryo unde,ml,2b,voucher,,
ws03,aspl tric quad,hl,+,,,
ws03,cycl purp,hl,1,,,
ws03,glob cord,hl,+,,,
ws03,hipp emer emer,hl,+,,,
ws03,juni sabi,hl,4,,,
ws03,kern saxa,hl,r,,,
ws03,poly cham,hl,2m,,,
ws03,poly odor,hl,1,,,
ws03,sesl caer,hl,1,,,
ws03,teuc mont,hl,+,,,
ws03,thal minu slat,hl,1,,,
ws03,bryo unde,ml,2b,voucher,,
ws04,alli lusi,hl,+,,,
ws04,amel oval,hl,+,,,
ws04,anth ramo,hl,+,,,
ws04,buph sali,hl,+,,,
ws04,care humi,hl,2a,,,
ws04,care mucr,hl,1,,,
ws04,glob cord,hl,+,,,
ws04,hipp como,hl,2a,,,
ws04,hipp emer emer,hl,1,,,
ws04,juni sabi,hl,4,,,
ws04,pote caul,hl,+,,,
ws04,sedu albu,hl,+,,,
ws04,sesl caer,hl,2a,,,
ws04,teuc mont,hl,+,,,
ws04,thal minu slat,hl,+,,,
ws04,vinc hiru,hl,+,,,
ws04,tort tort,ml,+,,,
ws04,amel oval,sl,+,,,
ws05,amel oval,hl,1,,,
ws05,anth ramo,hl,1,,,
ws05,care orni orni,hl,+,,,
ws05,dian cart cart,hl,+,,,
ws05,euph cypa,hl,+,,,
ws05,glob cord,hl,+,,,
ws05,hier bupl,hl,+,,,
ws05,hipp emer emer,hl,r,,,
ws05,juni sabi,hl,4,,,
ws05,leon inca,hl,+,,,
ws05,pote caul,hl,+,,,
ws05,sesl caer,hl,1,,,
ws05,teuc mont,hl,+,,,
ws05,thal minu slat,hl,+,,,
ws05,tort tort,hl,+,,,
ws05,vinc hiru,hl,+,,,
ws05,schi spec ies,ml,+,,,
ws06,alli lusi,hl,+,,,
ws06,anth ramo,hl,+,,,
ws06,aspl ruta,hl,+,,,
ws06,buph sali,hl,+,,,
ws06,card defl viri,hl,+,,,
ws06,care orni orni,hl,+,,,
ws06,clin alpi alpi,hl,+,,,
ws06,cycl purp,hl,+,,,
ws06,eric carn,hl,+,,,
ws06,gali trun,hl,+,,cf.,
ws06,glob cord,hl,+,,,
