"abbr";"layer";"comment";"lb01b";"lb01a";"lb05d";"lb05c";"lb05a";"lb05b";"lb03a";"lb02a";"lb04a"
"care pilu pilu";"hl";"Carex pilulifera";".";".";".";".";".";".";1;".";"."
"gale spec iosa";"hl";"Galeopsis speciosa";".";".";".";".";".";".";1;".";"."
"eupa cann";"hl";"Eupatorium canabinum";".";".";".";".";".";".";"+";"+";"."
"ange sylv sylv";"hl";"Angelica sylvestris";".";".";".";".";".";".";"+";1;"."
"past sati sati";"hl";"Pastinaca sativa";".";".";".";".";".";".";".";"+";"."
"fran alnu";"hl";"Frangula alnus";".";".";".";".";".";".";".";1;"."
"vibu opul";"hl";"Viburnum opulus";".";".";".";".";".";".";".";1;"."
"berb vulg";"hl";"Berberis vulgaris";".";".";".";".";".";".";".";2;"."
"soli cana";"hl";"Solidago canadensis";".";".";".";".";".";".";".";2;"."
"phal arun";"hl";"Phalaris arundinacea";".";".";".";".";".";".";".";3;"."
"frax exce";"hl";"Fraxinus excelsior";"+";"+";"+";1;"+";".";1;1;1
"rubu sect rubu";"hl";"Rubus fruticosus agg";"+";".";3;1;1;1;3;1;3
"rubu idae";"hl";"Rubus idaeus";".";"+";"+";".";".";".";1;2;"+"
"quer robu";"hl";"Quercus robur";"+";".";".";"+";"+";1;1;"+";1
"fagu sylv";"hl";"Fagus sylvatica";"+";"+";".";"+";".";"+";1;".";1
"carp betu";"hl";"Carpinus betulus";".";1;".";".";".";".";"+";".";"+"
"achi mill aggr";"hl";"Achillea millefolium agg";".";".";".";1;".";".";".";".";"+"
"clin vulg vulg";"hl";"Clinopodium vulgare";"+";".";".";".";".";".";".";".";"+"
"care flac";"hl";"Carex flacca";".";".";".";".";".";1;"+";".";1
"cala epig";"hl";"Calamagrostis epigejos";".";".";".";".";".";"+";2;2;5
"cirs arve";"hl";"Cirsium arvense";".";".";".";".";".";".";1;".";"+"
"hera spho spho";"hl";"Heracleum sphondylium";".";".";".";".";"+";".";".";".";"+"
"hype perf";"hl";"Hypericum perforatum";".";".";".";".";"+";".";".";".";"+"
"dact glom glom";"hl";"Dactylis glomerata";".";".";".";".";".";1;".";".";1
"desc cesp";"hl";"Deschampsia cespitosa";".";".";".";".";".";".";".";1;1
"euph cypa";"hl";"Euphorbia cyparissias";".";".";".";".";".";".";".";"+";1
"cera holo";"hl";"Cerastium holosteioides";".";".";".";".";".";".";".";".";"+"
"dauc caro caro";"hl";"Daucus carota";".";".";".";".";".";".";".";".";"+"
"gali albu";"hl";"Galium album";".";".";".";".";".";".";".";".";"+"
"lath prat prat";"hl";"Lathyrus pratensis";".";".";".";".";".";".";".";".";"+"
"pote anse anse";"hl";"Potentilla anserina";".";".";".";".";".";".";".";".";"+"
"pote rept";"hl";"Potentilla reptans";".";".";".";".";".";".";".";".";"+"
"ranu acri acri";"hl";"Ranunculus acris";".";".";".";".";".";".";".";".";"+"
"scro nodo";"hl";"Scrophularia nodosa";".";".";".";".";".";".";".";".";"+"
"vero cham cham";"hl";"Veronica chamaedrys";".";".";".";".";".";".";".";".";"+"
"vici sepi";"hl";"Vicia sepium";".";".";".";".";".";".";".";".";"+"
"poa triv";"hl";"Poa trivialis";".";".";".";".";".";".";".";".";1
"sile dioi";"hl";"Silene dioica";".";".";".";".";".";".";".";".";1
"care briz";"hl";"Carex brizoides";".";".";".";".";".";".";".";".";2
"soli giga";"hl";"Solidago gigantea";".";".";".";".";".";".";".";".";2
