plot,date,expo,slope,plsx,plsy,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,longitude,latitude,accuracy,observer,location
lb01a,2008-05-08,F,0,16,16,95,45,50,3,85,10,20,15,5,1,"0,2",13.912060E,48.095640N,10,T. Eberl & R. Kaiser,"Waldstück SE Spedition Gartner, Ende Zöblstraße"
lb01b,2008-05-08,SE,20,16,16,85,60,10,70,60,10,25,15,6,1,"0,2",13.910788E,48.096346N,10,T. Eberl & R. Kaiser,"Waldstück SE Spedition Gartner, Ende Zöblstraße"
lb02a,2008-05-08,F,0,5,10,95,0,0,40,85,5,0,0,3,1,"0,2",13.910720E,48.096794N,10,T. Eberl & R. Kaiser,"Waldstück SE Spedition Gartner, Ende Zöblstraße"
lb03a,2008-05-08,F,0,16,16,75,0,0,0,75,5,0,0,0,"0,75","0,2",13.910763E,48.097344N,10,T. Eberl & R. Kaiser,"Waldstück SE Spedition Gartner, Ende Zöblstraße"
lb04a,2008-05-08,F,0,16,16,100,0,55,10,90,5,0,9,3,"1,5","0,2",13.908522E,48.097081N,10,T. Eberl & R. Kaiser,"Waldstück SE Spedition Gartner, Ende Zöblstraße"
lb05a,2008-05-08,F,0,16,16,95,0,90,3,50,5,0,12,3,"0,5","0,2",13.910299E,48.096713N,10,T. Eberl & R. Kaiser,"Waldstück SE Spedition Gartner, Ende Zöblstraße"
lb05b,2008-05-08,F,0,26,10,90,0,80,5,85,10,0,15,4,"0,75","0,2",13.909395E,48.096821N,10,T. Eberl & R. Kaiser,"Waldstück SE Spedition Gartner, Ende Zöblstraße"
lb05c,2008-05-08,F,0,16,16,80,0,70,15,35,10,0,11,4,"0,75","0,2",13.912229E,48.097681N,10,T. Eberl & R. Kaiser,"Waldstück SE Spedition Gartner, Ende Zöblstraße"
lb05d,2008-05-08,F,0,26,10,95,60,30,10,80,5,15,10,4,1,"0,2",13.911820E,48.097955N,10,T. Eberl & R. Kaiser,"Waldstück SE Spedition Gartner, Ende Zöblstraße"
