plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;alliance;association;soil;comment;section;location;observer
mm01;100;0;0;0;100;1;0;0;0;1,4;1;4;4;F;0;0;0;0;2019-07-18;47.403376;13.568393;10;Calthion palustris Tx. 1937;;Anmoor/Kultosol;vererdeter Anmoorboden mit ortsfremden Steinen, Ziegelstücken und Holz (Anschüttung);A;Mandlinger Moor;R. Kaiser
mm02;100;0;0;0;100;1;0;0;0;1,3;1,1;4;4;F;0;0;0;0;2019-07-18;47.403290;13.568654;10;Calthion palustris Tx. 1937;;Anmoor/Kultosol;vererdeter Anmoorboden mit ortsfremden Steinen, Glassplittern und Holz (Anschüttung);A;Mandlinger Moor;R. Kaiser
mm03;100;0;0;0;100;1;0;0;0;1,3;1,4;4;4;F;0;0;0;0;2019-07-18;47.403089;13.568310;10;Calthion palustris Tx. 1937;;Anmoor/Kultosol;vererdeter Anmoorboden mit ortsfremden Steinen und Asphaltstücken (Anschüttung);A;Mandlinger Moor;R. Kaiser
mm04;100;0;0;0;100;1;0;0;0;1,3;1;4;4;F;0;0;0;0;2019-07-18;47.403225;13.568450;10;Calthion palustris Tx. 1937;;Anmoor/Kultosol;vererdeter Anmoorboden mit ortsfremden Steinen und Holz (Anschüttung);A;Mandlinger Moor;R. Kaiser
mm05;100;0;0;0;100;0;0;0;0;0;0;5;5;F;0;0;0;0;1996-06-06;47.403631;13.568531;50;Molinion caeruleae Koch 1926;;Torf;;A;Mandlinger Moor;i. A. Land Salzburg (Huber & Roithinger)
mm06;98;0;0;0;98;0;0;0;0;0,6;0,2;4;4;F;0;0;0;0;2020-05-18;47.402396;13.570465;10;Arrhenatherion elatioris Luquet 1926;;Gley;;C;Mandlinger Moor;R. Kaiser
mm07;90;0;0;0;90;0;0;0;0;0,6;0,25;4;4;F;0;0;0;0;2020-05-18;47.402339;13.570189;10;Arrhenatherion elatioris Luquet 1926;;Gley;;C;Mandlinger Moor;R. Kaiser
mm08;95;0;0;0;95;0;0;0;0;0,6;0,25;4;4;F;0;0;0;0;2020-05-18;47.402487;13.569622;10;Arrhenatherion elatioris Luquet 1926;;Gley;;C;Mandlinger Moor;R. Kaiser
mm09;97;0;0;0;97;0;0;0;0;0,5;0,25;4;4;F;0;0;0;0;2020-05-18;47.402472;13.569151;10;Arrhenatherion elatioris Luquet 1926;;Gley;;C;Mandlinger Moor;R. Kaiser
mm10;97;0;0;0;97;0;0;0;0;0,45;0,2;4;4;F;0;0;0;0;2020-05-18;47.402563;13.568733;10;Arrhenatherion elatioris Luquet 1926;;Gley;;C;Mandlinger Moor;R. Kaiser
mm11;85;0;0;0;85;0;0;0;0;0,55;0,25;4;4;F;0;0;0;0;2020-05-18;47.402564;13.568378;10;Arrhenatherion elatioris Luquet 1926;;Gley;;C;Mandlinger Moor;R. Kaiser
mm12;95;0;0;0;95;0;0;0;0;0,45;0,25;4;4;F;0;0;0;0;2020-05-18;47.402651;13.568037;10;Arrhenatherion elatioris Luquet 1926;;Anmoor;;B;Mandlinger Moor;R. Kaiser
mm13;97;0;0;0;97;1;0;0;0;0,45;0,2;4;4;F;0;0;0;0;2020-05-18;47.402657;13.567732;10;Calthion palustris Tx. 1937;;Torf;;B;Mandlinger Moor;R. Kaiser
mm14;97;0;0;0;97;3;0;0;0;0,4;0,15;4;4;F;0;0;0;0;2020-05-18;47.402850;13.567579;10;Calthion palustris Tx. 1937;;Torf;;B;Mandlinger Moor;R. Kaiser
mm15;99;0;0;0;99;1;0;0;0;0,4;0,15;4;4;F;0;0;0;0;2020-05-18;47.402637;13.567532;10;Calthion palustris Tx. 1937;;Torf;;B;Mandlinger Moor;R. Kaiser
mm16;99;0;0;0;99;0;0;0;0;0,5;0,25;4;4;F;0;0;0;0;2020-05-18;47.402249;13.568143;10;Arrhenatherion elatioris Luquet 1926;;Gley;;C;Mandlinger Moor;R. Kaiser
mm17;99;0;0;0;99;0;0;0;0;0,4;0,15;4;4;F;0;0;0;0;2020-05-18;47.402171;13.568390;10;Arrhenatherion elatioris Luquet 1926;;Gley;;C;Mandlinger Moor;R. Kaiser
mm18;100;0;0;0;100;0;0;0;0;0,5;0,2;4;4;F;0;0;0;0;2020-05-18;47.402294;13.568846;10;Arrhenatherion elatioris Luquet 1926;;Gley;;C;Mandlinger Moor;R. Kaiser
mm19;100;0;0;0;100;0;0;0;0;0,55;0,2;4;4;F;0;0;0;0;2020-05-18;47.402250;13.567453;10;Arrhenatherion elatioris Luquet 1926;;Gley;;C;Mandlinger Moor;R. Kaiser
mm20;100;0;0;0;100;0;0;0;0;0,55;0,2;4;4;F;0;0;0;0;2020-05-18;47.402431;13.567354;10;Arrhenatherion elatioris Luquet 1926;;Anmoor;;B;Mandlinger Moor;R. Kaiser
mm21;100;0;0;0;100;0;0;0;0;0,6;0,25;4;4;F;0;0;0;0;2020-05-18;47.402236;13.569572;10;Arrhenatherion elatioris Luquet 1926;;Gley;;C;Mandlinger Moor;R. Kaiser
