Table number;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;Species no.;Species name
Date (year/month/day);;19920719;19920722;19910717;19920702;19920702;19910611;19910716;19920824;19900901;19920803;19920904;19920724;19920716;19920905;19920720;19910613;19920805;19920805;19920720;19920720;19920904;19900831;19900705;19900525;19920804;19920720;19900831;19900901;19910612;19910906;19920610;19920610;19920730;19920730;19920718;19920731;19920801;19920801;19920801;19920801;19920801;19920801;19910715;19910610;19920906;19900831;19920807;19900831;19900901;19900901;19920825;19930823;19920731;19910905;19910612;19920731;19920731;19900504;19910610;19910610;19910715;19910715;19920911;19920904;19910716;19910715;19900524;19900524;19910717;19910717;19910717;19900524;19920717;19920702;19920702;19910716;19910716;19910717;19920611;19920826;19920828;19920721;19920825;19900505;19920716;19920730;19920715;19920714;19900504;19920725;19920717;19920801;19920905;19920715;19920715;19910718;19910717;19920630;19900524;19920808;19900705;19900525;19900706;19920828;19900707;19920904;19920803;19920724;19910611;19920803;19920719;19920719;19920714;19920714;19920716;19900504;19920823;19920803;19920804;19920805;19920805;19910718;19910718;19920724;19920716;19900524;19920803;19920803;19920714;19920630;19920721;19900505;19920718;19920722;19920611;19920808;19920808;19920808;19920808;19920808;19920804;19920804;19900707;19920804;19920630;19920806;19920806;19920806;19920719;19920630;19920715;19920715;19900706;19920715;19920905;19920719;19920905;19900901;19900901;19920721;19900505;19920610;19920802;19920802;19920802;19920802;19900504;19910716;19920729;19920729;19920729;19920729;19920823;19920822;19920728;19920728;19920822;19900707;19920806;19920806;19920828;19920719;19900524;19900706;19920807;19920807;19920630;19900901;19920610;19910716;19900524;19910613;19900706;19900706;19900706;19920804;19920804;19920804;19920804;19920630;19920724;19920803;19900506;19900505;19920718;19920717;19920717;19920715;19910717;19920714;;
Syntaxon code;;32BA02 ;32BA03b;32BA03b;32BA03b;32BA03b;32BA03c;32BA07 ;32BA06 ;34AA   ;32AC06 ;32AC06 ;32AC06 ;34AA   ;32AC06 ;32BA02 ;32BA02 ;32BA02 ;32BA02 ;32BA02 ;32BA05 ;32BA05 ;32BA05 ;32BA03b;32BA03b;32BA03b;32BA03b;32BA03b;32BA03b;32BA03b;32BA03b;32BA03b;32BA03b;32BA03b;32BA03b;32BA03b;32BA03b;32BA03b;32BA03b;32BA03b;32BA03b;32BA03b;32BA03b;32BA03b;32BA03b;32BA03c;32BA03c;32BA03c;32BA03c;32BA03c;32BA03c;32BA03c;32BA03c;32BA03c;32BA03c;32BA07 ;32BA07 ;32BA07 ;32BA07 ;32BA07 ;32BA06 ;32BA06 ;32BA06 ;32BA06 ;31AA03 ;31AA03 ;31AA03 ;31AA03 ;31AA03 ;31AA03 ;31AA03 ;31AA03 ;31AA03 ;31AA03 ;31AA03 ;31AA03 ;31AA03 ;31AA03 ;31AA03 ;32AA01 ;32AA02 ;32AA02 ;32AA02 ;32AA02 ;32AA02 ;32AA02 ;32AA02 ;32AA02 ;32AA02 ;32AA02 ;32AA02 ;32AA02 ;32AA02 ;32AA05 ;32AA05 ;32AA05 ;32AA05 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AD02 ;32AD02 ;32AD02 ;32AD02 ;32AD02 ;32AD02 ;32AD02 ;32AD02 ;32AD02 ;32AD02 ;32AD02 ;32AD02 ;32AD02 ;32AD02 ;32AD03 ;32AD03 ;32AD03 ;32AD04 ;32AD04 ;32AD04 ;32AD04 ;32AD11 ;33AA01 ;33AA01 ;33AA01 ;33AA01 ;33AA01 ;33AA01 ;33AA01 ;33AA01 ;33AA01 ;33AA01 ;33AA01 ;33AA01 ;33AA01 ;33AA   ;33AA   ;33AA   ;33AA05 ;33AA05 ;33AA05 ;33AA05 ;32AE01 ;32AE01 ;32AE01 ;32AE01 ;32AE01 ;35AA07 ;35AA07 ;35AA07 ;35AA07 ;35AA07 ;35AA07 ;35AA07 ;35AA07 ;32AC01 ;32AC01 ;32AC01 ;32AC01 ;32AC01 ;32AC01 ;32AC01 ;32AC01 ;32AC01 ;32AC01 ;32AC01 ;32AC01 ;32AC01 ;32AC01 ;32AC01 ;32AC01 ;32AC01 ;32AC01 ;32AC02 ;32AC02 ;;
Releve area (m2);; 150.00; 200.00; 250.00; 200.00; 200.00; 100.00; 200.00; 200.00; 100.00;  80.00; 100.00; 150.00; 100.00; 100.00; 200.00; 200.00; 150.00; 150.00; 200.00; 200.00; 200.00; 200.00; 100.00; 150.00; 150.00; 200.00; 200.00; 150.00; 200.00; 200.00; 200.00; 200.00; 150.00; 150.00; 200.00; 150.00; 150.00;  -1.00;  -1.00;  -1.00; 150.00; 150.00; 200.00; 200.00; 200.00; 200.00; 150.00; 200.00; 200.00; 200.00; 150.00; 200.00; 150.00; 200.00; 100.00; 150.00; 150.00; 200.00; 100.00; 100.00; 200.00; 200.00; 200.00; 200.00; 200.00; 100.00; 100.00; 200.00; 200.00; 100.00; 200.00; 200.00; 200.00; 150.00; 200.00; 200.00; 200.00; 200.00; 200.00; 100.00; 200.00; 200.00; 150.00; 200.00; 200.00; 150.00; 100.00; 100.00; 200.00; 150.00; 200.00; 150.00; 100.00; 150.00; 200.00; 200.00; 400.00; 200.00; 200.00; 150.00; 200.00; 200.00; 200.00; 200.00; 200.00; 200.00; 150.00; 200.00; 300.00; 150.00; 200.00; 300.00; 200.00; 200.00; 200.00; 200.00; 200.00; 150.00; 150.00; 150.00; 150.00; 250.00; 300.00; 200.00; 200.00; 200.00; 150.00; 150.00; 200.00; 200.00; 200.00; 200.00; 200.00; 200.00; 200.00; 150.00; 150.00; 150.00; 150.00; 150.00; 150.00; 150.00; 200.00; 150.00; 200.00; 150.00; 150.00; 150.00; 400.00; 200.00; 400.00; 400.00; 200.00; 250.00; 150.00; 200.00; 200.00; 200.00; 200.00; 250.00; 200.00; 200.00; 150.00; 150.00; 150.00; 150.00; 200.00; 200.00; 150.00; 150.00; 150.00; 200.00; 200.00; 150.00; 150.00; 150.00; 100.00; 200.00; 150.00; 150.00; 200.00; 300.00; 100.00; 100.00; 150.00; 150.00; 100.00; 100.00; 100.00; 150.00; 200.00; 200.00; 200.00; 200.00; 200.00; 150.00; 150.00; 150.00; 150.00; 200.00; 250.00; 150.00; 400.00; 400.00; 200.00; 250.00; 200.00; 200.00; 200.00; 300.00;;
Altitude (m);;340;420;330;400;370;350;330;340;380;350;320;350;350;320;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;420;400;380;440;430;400;400;390;300;400;350;340;400;400;400;270;300;300;310;270;230;330;270;390;340;240;240;250;240;430;410;400;290;480;360;390;330;390;410;460;380;420;340;360;420;310;340;350;310;370;430;410;340;410;290;360;310;290;330;330;420;320;480;360;390;390;450;370;390;420;370;440;310;330;400;420;440;300;330;470;470;340;310;330;350;410;520;480;430;410;450;370;400;430;320;330;320;270;300;280;310;340;360;320;300;390;370;350;370;410;250;370;350;330;380;370;390;360;430;410;390;400;420;480;330;330;370;330;330;490;490;370;350;380;400;420;420;310;310;240;270;300;350;320;300;320;330;;
Aspect (degrees);;180;180;270;180;158;180;270;135;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;;
Slope (degrees);;30;20;45;15;10;10;15;5;50;50;45;40;30;70;30;30;20;30;30;30;40;50;20;40;60;20;45;35;30;5;5;5;35;40;30;40;35;35;35;20;30;30;10;5;40;50;35;40;30;20;30;10;40;10;35;40;35;30;30;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;20;15;20;25;20;0;20;30;5;10;5;45;35;10;5;20;0;20;30;5;50;10;25;25;40;15;5;5;5;30;25;30;2;0;0;0;0;5;30;20;30;30;30;40;40;30;30;20;40;40;40;40;5;0;10;15;10;20;10;40;40;25;25;40;20;35;30;35;35;50;40;25;35;35;0;5;30;70;45;15;40;50;40;40;40;50;0;65;20;0;0;5;0;50;30;50;45;45;35;35;35;35;50;45;45;40;50;30;40;40;35;40;40;;
Cover total (%);;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;
Cover tree layer (%);;60;70;80;90;80;80;60;90;50;60;50;70;60;60;50;70;40;70;50;40;70;60;60;80;70;80;70;80;80;90;80;80;70;60;70;80;60;60;50;70;80;60;90;80;80;80;80;70;80;70;80;80;90;90;40;50;50;40;50;90;80;90;80;80;70;70;80;70;80;80;80;90;90;90;80;80;80;90;80;80;70;90;90;80;80;70;80;90;70;80;80;80;90;70;80;50;90;90;90;90;80;90;90;90;90;90;90;90;90;90;90;70;90;90;90;90;90;90;70;90;90;60;80;90;80;90;90;90;90;80;80;80;90;90;80;90;90;90;90;90;90;90;95;70;90;90;90;90;90;90;90;90;90;90;80;90;70;70;90;90;80;90;80;80;50;60;70;70;80;80;80;80;60;30;10;30;30;90;90;90;90;90;40;50;50;60;40;60;60;40;90;70;80;90;90;80;80;80;80;90;70;90;90;90;90;90;80;80;90;90;;
Cover shrub layer (%);;20;10;2;1;40;50;20;0;20;50;10;40;5;70;30;50;40;40;20;30;40;70;20;10;20;0;5;10;0;0;0;5;5;5;0;5;2;-1;5;5;0;0;10;0;10;30;10;60;5;15;5;5;30;0;10;10;10;20;5;5;5;10;10;10;10;10;15;5;5;-1;10;0;5;10;10;10;5;30;60;50;70;30;20;20;20;20;40;20;30;10;10;60;40;20;40;20;0;0;0;10;5;0;0;5;0;0;10;0;15;0;5;0;5;80;0;15;40;40;70;50;40;20;30;60;30;0;0;5;0;0;10;0;0;30;5;10;10;0;5;-1;10;10;1;40;0;30;20;5;5;5;0;1;0;0;5;5;10;0;0;0;30;5;5;0;10;10;40;5;5;5;0;20;40;0;20;5;20;0;5;5;20;0;5;10;10;10;20;20;20;5;40;40;30;5;10;10;10;30;10;10;30;40;10;20;-1;40;20;40;20;3;;
Cover herb layer (%);;80;60;80;80;70;90;60;70;50;60;90;80;80;60;80;80;80;80;80;70;80;40;90;80;60;70;80;80;70;70;70;70;70;60;80;40;60;70;60;60;70;80;50;50;80;70;70;70;70;70;70;70;60;70;40;60;60;80;40;70;90;80;90;90;60;60;90;80;80;90;100;90;80;90;90;90;80;90;60;80;60;80;80;80;90;90;100;80;100;90;100;90;60;70;70;70;50;80;90;50;80;90;70;70;90;80;70;80;60;40;80;80;80;1;60;80;90;70;50;40;60;90;90;50;80;90;40;70;40;60;50;80;50;60;70;70;60;30;20;20;30;30;50;50;40;50;50;40;70;80;50;80;20;90;70;90;70;80;90;40;50;50;60;70;50;60;70;80;60;70;50;60;90;10;10;40;10;70;10;10;40;40;50;20;10;40;40;30;40;30;60;60;90;80;70;30;30;20;20;60;50;50;70;50;60;90;70;30;80;60;;
