taxon,matched.taxon
Tussilago farfara,Tussilago farfara
Valerianella dentata,Valerianella dentata
Valerianella locusta,Valerianella locusta
Valerianella rimosa,Valerianella rimosa
Veronica arvensis,Veronica arvensis
Veronica chamaedrys ssp. chamaedrys,Veronica chamaedrys subsp. chamaedrys
Veronica hederifolia (s.str.),Veronica hederifolia
Veronica persica,Veronica persica
Veronica serpyllifolia ssp. serpyllifolia,Veronica serpyllifolia var. serpyllifolia
Vicia angustifolia ssp. segetalis,Vicia segetalis
Vicia cracca s.str.,Vicia cracca
Vicia faba,Vicia faba
Vicia glabrescens,Vicia glabrescens
Vicia hirsuta,Vicia hirsuta
Vicia sativa,Vicia sativa
Vicia sepium,Vicia sepium
Vicia tetrasperma s.str.,Vicia tetrasperma
Vicia villosa s.str.,Vicia villosa subsp. villosa
Viola arvensis ssp. arvensis,Viola arvensis subsp. arvensis
Viola arvensis ssp. megalantha,Viola arvensis subsp. megalantha
