plot,abbr,layer,cover,voucher,intern,comment,history
rmv01,vero pers,fl,x,×,det!,,
rmv01,vici glab,fl,x,,,,
rmv01,vici hirs,fl,l,,"cf., vegetativ",,
rmv01,vici tetr,fl,x,,,,
rmv01,viol arve arve,fl,x,,,,
rmv02,trit spel,cl,d,×,,Deckfrucht,
rmv02,anth arve arve,fl,x,,,,
rmv02,aper spic vent,fl,x,,,,
rmv02,apha arve,fl,x,,,,
rmv02,arab thal,fl,x,,,,
rmv02,aren serp,fl,x,,,,
rmv02,cera holo,fl,l,,,,
rmv02,cirs arve,fl,x,,,,
rmv02,conv arve,fl,x,,,,
rmv02,cyan sege,fl,d,,,,
rmv02,dact glom glom,fl,l,,,randlich,
rmv02,equi arve,fl,l,,,,
rmv02,euph heli,fl,l,,,,
rmv02,fest prat prat,fl,l,,,randlich,
rmv02,fest rubr rubr,fl,l,,,randlich,
rmv02,gale tetr,fl,l,,,,
rmv02,gera diss,fl,l,,,,
rmv02,hord vulg slat,fl,l,,,,
rmv02,laps comm comm,fl,l,,,,
rmv02,lego spec,fl,d,,,sehr zahlreich,
rmv02,loli mult,fl,l,,,randlich,
rmv02,loli pere,fl,l,,,,
rmv02,matr cham,fl,x,×,det!,,
rmv02,myos arve arve,fl,x,,,,
rmv02,papa rhoe,fl,x,,,,
rmv02,phle prat,fl,l,,,,
rmv02,poa triv,fl,l,,,randlich,
rmv02,ranu repe,fl,x,,,,
rmv02,sher arve,fl,l,,,,
rmv02,stac palu,fl,l,,,,
rmv02,stel medi,fl,l,×,det!,,
rmv02,vale dent,fl,x,×,,,
rmv02,vale rimo,fl,x,×,,zerstreut v.a. am Ackerrand,
rmv02,vero arve,fl,x,,,,
rmv02,vici angu sege,fl,x,×,det!,,
rmv02,vici crac,fl,l,,,,
rmv02,vici glab,fl,x,×,det!,,
rmv02,vici hirs,fl,x,,,,
rmv02,viol arve arve,fl,x,,,,
rmv02,viol arve mega,fl,l,,,,
rmv03,seca cere,cl,d,,,Deckfrucht,
rmv03,anth arve arve,fl,l,,,,
rmv03,aper spic vent,fl,d,,,,
rmv03,apha arve,fl,x,,,,
rmv03,arab thal,fl,x,,,,
rmv03,aren serp,fl,x,,,,
rmv03,caps burs,fl,l,,,,
rmv03,conv arve,fl,x,,,,
rmv03,cyan sege,fl,d,,,,
rmv03,elyt repe,fl,x,,,,
rmv03,fall conv,fl,x,,,,
rmv03,gale pube murr,fl,l,,,,
rmv03,lami purp,fl,l,,,,
rmv03,lego spec,fl,d,,,"sehr zahlreich, dichter Bestand",
rmv03,loli mult,fl,x,,,,
rmv03,myos arve arve,fl,x,,,,
rmv03,papa rhoe,fl,x,,,,
rmv03,pote anse anse,fl,x,,,,
rmv03,stel medi,fl,x,,,,
rmv03,tara sect rude,fl,l,,,,
rmv03,trif repe repe,fl,l,,,randlich,
rmv03,trip inod,fl,l,,vegetativ,,
rmv03,vale dent,fl,x,,,,
rmv03,vero arve,fl,x,,,,
rmv03,vero hede hede,fl,x,×,det!,,
rmv03,vero pers,fl,x,,,,
rmv03,vici hirs,fl,l,,,,
rmv03,viol arve arve,fl,x,,,,
rmv04,vici faba,cl,d,,,Deckfrucht,
rmv04,achi mill aggr,fl,l,,,,
rmv04,anag arve,fl,l,,,,
rmv04,anth arve arve,fl,x,,,,
rmv04,aper spic vent,fl,l,,,,
rmv04,apha arve,fl,x,,,,
rmv04,arab thal,fl,x,,,,
rmv04,came sati slat,fl,d,×,,sehr viel,
rmv04,caps burs,fl,x,,,,
rmv04,cera glom,fl,l,,,,
rmv04,cera holo,fl,x,,,,
rmv04,chen albu slat,fl,l,,"cf., Keimling",,
rmv04,chen poly,fl,l,,,,
rmv04,cirs arve,fl,l,,,,
rmv04,cyan sege,fl,l,,,,
rmv04,fago escu,fl,x,,,,
rmv04,fall conv,fl,x,,,,
rmv04,gale tetr,fl,x,,,,
rmv04,gali cili,fl,d,,,,
rmv04,holc moll,fl,x,,,,
rmv04,lami purp,fl,l,,,,
rmv04,laps comm comm,fl,x,,,,
rmv04,loli mult,fl,x,,,,
rmv04,myos arve arve,fl,x,,,,
rmv04,pers lapa slat,fl,l,×,"cf., Keimling",,
rmv04,phle prat,fl,l,,,,
rmv04,plan majo majo,fl,l,,,,
rmv04,ranu repe,fl,x,,,,
rmv04,raph raph,fl,l,,,,
rmv04,sper arve arve,fl,x,×,det!,,
rmv04,stel gram,fl,l,,,,
rmv04,stel medi,fl,x,,,,
rmv04,trif repe repe,fl,l,,,,
rmv04,trip inod,fl,l,,,,
rmv04,vero arve,fl,x,,,,
rmv04,vero hede hede,fl,x,,,,
rmv04,vero pers,fl,x,,,,
rmv04,vici angu sege,fl,l,,,,
rmv04,vici tetr,fl,l,,,,
rmv04,viol arve arve,fl,x,,,,
rmv05,trit spel,cl,d,×,,Deckfrucht,
rmv05,alop prat,fl,l,,,randlich,
rmv05,anag arve,fl,l,,,,
rmv05,anth arve arve,fl,x,,,,
rmv05,apha arve,fl,d,,,,
rmv05,arab thal,fl,x,,,,
rmv05,aren serp,fl,x,,,,
rmv05,aven sati sati,fl,l,,,lokal randlich,
rmv05,cera holo,fl,x,,,,
rmv05,chen albu slat,fl,l,,"cf., Keimling",,
rmv05,conv arve,fl,x,,,,
rmv05,dact glom glom,fl,l,,,randlich,
rmv05,equi arve,fl,x,,,,
rmv05,fall conv,fl,x,,,,
rmv05,fest prat prat,fl,l,,,randlich,
rmv05,gale pube murr,fl,x,,,,
rmv05,gale spec iosa,fl,x,,,,
rmv05,gale tetr,fl,x,,,,
rmv05,gali apar,fl,l,×,,,
rmv05,gera diss,fl,x,,,,
rmv05,laps comm comm,fl,l,,,,
rmv05,matr disc,fl,l,,,,
rmv05,myos arve arve,fl,x,,,,
rmv05,myos disc,fl,l,×,det!,randlich,
rmv05,oxal stri,fl,x,,,,
rmv05,papa rhoe,fl,l,×,,,
rmv05,pers lapa slat,fl,l,×,vgl. Beleg rmv04,,
rmv05,plan lanc,fl,l,,,,
rmv05,poa triv,fl,l,,,,
rmv05,ranu repe,fl,l,,,randlich,
rmv05,raph raph,fl,l,,,,
rmv05,rume obtu slat,fl,l,,,,
rmv05,scle annu,fl,x,×,det!,,
rmv05,seca cere,fl,l,,,,
rmv05,sher arve,fl,l,,,wenige Exemplare,
rmv05,stel medi,fl,x,,,,
rmv05,vale rimo,fl,x,×,,sehr zahlreich,
rmv05,vero arve,fl,x,,,,
rmv05,vero pers,fl,x,,,,
rmv05,vici angu sege,fl,x,×,det!,,
rmv05,vici hirs,fl,x,,,,
rmv05,vici sepi,fl,l,,,lokal randlich,
rmv05,viol arve arve,fl,x,,,,
rmv05,viol arve mega,fl,l,,,,
rmv06,seca cere,cl,d,,,Deckfrucht,
rmv06,achi mill aggr,fl,l,,,,
rmv06,anag arve,fl,l,,,,
rmv06,anth arve arve,fl,l,,,,
rmv06,apha arve,fl,x,,,,
rmv06,aren serp,fl,l,,,,
rmv06,cera holo,fl,x,,,,
rmv06,cirs arve,fl,l,,,,
rmv06,conv arve,fl,x,,,,
rmv06,cyan sege,fl,l,,,Einzelpflanze,
rmv06,gera diss,fl,l,,,,
rmv06,hord vulg slat,fl,l,×,,,
rmv06,lath prat prat,fl,l,,,,
rmv06,loli mult,fl,d,,,,
rmv06,myos arve arve,fl,x,,,,
rmv06,oxal stri,fl,l,,,,
rmv06,papa rhoe,fl,l,,,,
rmv06,poa annu,fl,l,,,,
rmv06,poa prat,fl,x,,,,
rmv06,poa triv,fl,x,,,,
rmv06,pote anse anse,fl,x,,,,
rmv06,ranu repe,fl,x,,,,
rmv06,raph raph,fl,l,,,,
rmv06,rume cris,fl,l,,,,
rmv06,rume obtu slat,fl,l,,,,
rmv06,sher arve,fl,x,,,,
rmv06,trif prat prat,fl,d,,,,
rmv06,vale rimo,fl,l,×,,,
rmv06,vici angu sege,fl,l,×,det!,,
rmv06,vici hirs,fl,l,×,det!,,
rmv07,trit spel,cl,d,,,Deckfrucht,
rmv07,anag arve,fl,l,,,,
rmv07,anth arve arve,fl,x,,,,
rmv07,aper spic vent,fl,x,,,,
rmv07,apha arve,fl,x,,,,
rmv07,arab thal,fl,x,,,,
rmv07,aren serp,fl,x,,,,
rmv07,aven fatu,fl,l,,,,
rmv07,caps burs,fl,l,,,,
rmv07,cera glom,fl,l,,,,
rmv07,cera holo,fl,l,,,,
rmv07,chen albu slat,fl,l,,"cf., Keimling",,
rmv07,conv arve,fl,x,,,,
rmv07,cyan sege,fl,d,,,,
rmv07,dact glom glom,fl,l,,,randlich,
rmv07,euph heli,fl,l,,,,
rmv07,fall conv,fl,x,,,,
rmv07,fest prat prat,fl,l,,,randlich,
rmv07,fest rubr rubr,fl,x,,,,
rmv07,gale tetr,fl,x,,,,
rmv07,gali apar,fl,l,,,,
rmv07,gera diss,fl,l,,,,
rmv07,lami purp,fl,l,,,,
rmv07,laps comm comm,fl,l,,,,
rmv07,loli mult,fl,x,,,,
rmv07,loli pere,fl,l,,,randlich,
rmv07,matr cham,fl,l,,,,
rmv07,myos arve arve,fl,x,,,,
rmv07,papa rhoe,fl,l,,,,
rmv07,pers lapa slat,fl,l,,,,
rmv07,poa triv,fl,x,,,,
rmv07,poly avic slat,fl,l,,,,
rmv07,pote anse anse,fl,x,,,,
rmv07,ranu repe,fl,x,,,,
rmv07,stel medi,fl,x,,,,
rmv07,tara sect rude,fl,l,,,,
rmv07,trip inod,fl,l,,,,
rmv07,vale dent,fl,l,×,laut Beleg vom 2022-06-01,einzelne Exemplare,
rmv07,vale rimo,fl,x,×,,zerstreut,
rmv07,vero arve,fl,x,,,,
rmv07,vero hede hede,fl,x,,,,
rmv07,vero pers,fl,x,,,,
rmv07,vici angu sege,fl,l,×,det!,,
rmv07,vici glab,fl,x,×,det!,,
rmv07,vici hirs,fl,x,,,,
rmv07,vici tetr,fl,x,,,,
rmv07,viol arve arve,fl,x,,,,
rmv08,trit duru,cl,d,×,,Deckfrucht,
rmv08,achi mill aggr,fl,l,,,,
rmv08,anth arve arve,fl,x,,,,
rmv08,apha arve,fl,x,,,,
rmv08,aren serp,fl,l,,,,
rmv08,cera glom,fl,l,,,,
rmv08,cera holo,fl,l,,,,
rmv08,cirs arve,fl,l,,,,
rmv08,conv arve,fl,l,,,,
rmv08,cyan sege,fl,d,,,,
rmv08,dact glom glom,fl,l,,,,
rmv08,elyt repe,fl,l,,,,
rmv08,fall conv,fl,l,,,,
rmv08,gale pube murr,fl,x,,,,
rmv08,gali apar,fl,l,,,,
rmv08,gali spec ies,fl,l,×,,,
rmv08,lami purp,fl,l,,,,
rmv08,laps comm comm,fl,l,,,,
rmv08,loli mult,fl,l,,,,
rmv08,loli pere,fl,l,,,,
rmv08,matr cham,fl,l,,,,
rmv08,medi sati,fl,l,,,,
rmv08,myos arve arve,fl,x,,,,
rmv08,papa rhoe,fl,l,,,,
rmv08,plan majo majo,fl,l,,,,
rmv08,poa triv,fl,l,,,,
rmv08,ranu repe,fl,x,,,,
rmv08,rume obtu slat,fl,l,,,,
rmv08,stel medi,fl,x,,,,
rmv08,trip inod,fl,l,,"cf., vegetativ",,
rmv08,vale dent,fl,l,×,,einzelne Exemplare,
rmv08,vale rimo,fl,x,×,,sehr zahlreich,
rmv08,vero arve,fl,x,,,,
rmv08,vero pers,fl,l,,,,
rmv08,vici angu sege,fl,l,×,det!,,
rmv08,vici hirs,fl,x,,,,
rmv08,vici tetr,fl,x,,,,
rmv08,viol arve arve,fl,x,,,,
rmv09,seca cere,cl,d,×,,Deckfrucht,
rmv09,anag arve,fl,x,,,,
rmv09,anth arve arve,fl,x,,,,
rmv09,aper spic vent,fl,x,,,,
rmv09,apha arve,fl,d,,,,
rmv09,arab thal,fl,l,,,,
rmv09,aren serp,fl,l,,,,
rmv09,aven sati sati,fl,l,,,,
rmv09,caps burs,fl,l,,,,
rmv09,cera holo,fl,x,,,,
rmv09,cyan sege,fl,x,,,,
rmv09,fall conv,fl,x,,,,
rmv09,gale pube murr,fl,x,,,,
rmv09,gale tetr,fl,x,,,,
rmv09,gera diss,fl,l,,,,
rmv09,laps comm comm,fl,x,,,,
rmv09,lego spec,fl,l,,,,
rmv09,loli mult,fl,l,,,,
rmv09,matr cham,fl,x,,,,
rmv09,medi sati,fl,l,,,,
rmv09,myos arve arve,fl,x,,,,
rmv09,oxal stri,fl,l,,,,
rmv09,papa rhoe,fl,x,×,det!,,
rmv09,pers lapa slat,fl,l,,"cf., Keimling",,
rmv09,poa annu,fl,l,,,,
rmv09,pote rept,fl,l,,,,
rmv09,ranu repe,fl,x,,,,
rmv09,sher arve,fl,l,,,,
rmv09,stel medi,fl,x,,,,
rmv09,trif prat prat,fl,l,,,,
rmv09,trif repe repe,fl,l,,,,
rmv09,vale rimo,fl,x,×,,"sehr zahlreich, dichter Bestand, gute Erntefläche",
rmv09,vero arve,fl,x,,,,
rmv09,vero pers,fl,x,,,,
rmv09,vici crac,fl,x,,,,
rmv09,vici hirs,fl,l,,,,
rmv09,viol arve arve,fl,x,,,,
rmv10,vici faba,cl,d,,,Deckfrucht,
rmv10,anth arve arve,fl,l,,,,
rmv10,aper spic vent,fl,x,,,,
rmv10,apha arve,fl,d,,,,
rmv10,arab thal,fl,x,,,,
rmv10,caps burs,fl,x,,,,
rmv10,cera holo,fl,x,,,,
rmv10,cirs arve,fl,l,,,,
rmv10,cyan sege,fl,l,,,,
rmv10,elyt repe,fl,l,,,,
rmv10,fall conv,fl,l,,,,
rmv10,gali apar,fl,l,,,,
rmv10,gali spec ies,fl,l,×,,,
rmv10,hord vulg slat,fl,l,,,vierzeilig,
rmv10,laps comm comm,fl,l,,,,
rmv10,lego spec,fl,d,,,"sehr zahlreich, dichter Bestand, beste Erntefläche",
rmv10,matr cham,fl,d,,,,
rmv10,myos arve arve,fl,x,,,,
rmv10,papa rhoe,fl,d,,,,
rmv10,plan majo majo,fl,l,,,,
rmv10,poa triv,fl,l,,,,
rmv10,pote anse anse,fl,l,,,,
rmv10,sher arve,fl,x,,,,
rmv10,stel medi,fl,x,,,,
rmv10,trif prat prat,fl,l,,,,
rmv10,trif repe repe,fl,x,,,,
rmv10,trip inod,fl,l,,,,
rmv10,vale dent,fl,l,×,,,
rmv10,vale rimo,fl,d,×,,"sehr zahlreich, dichter Bestand, gute Erntefläche",
rmv10,vero pers,fl,x,,,,
rmv10,vici glab,fl,l,×,det!,lokal randlich,
rmv10,vici hirs,fl,d,,,,
rmv10,vici tetr,fl,l,,,,
rmv10,viol arve arve,fl,x,,,,
rmv11,seca cere,cl,d,,,Deckfrucht,
rmv11,aper spic vent,fl,l,,,,
rmv11,arab thal,fl,x,,,,
rmv11,aren serp,fl,x,,,,
rmv11,caps burs,fl,x,,,,
rmv11,cera glom,fl,x,×,cf.,,
rmv11,cera holo,fl,x,,,,
rmv11,cyan sege,fl,l,,,,
rmv11,fall conv,fl,x,,,,
rmv11,gale tetr,fl,d,×,,,
rmv11,glec hede,fl,l,,,,
rmv11,loli pere,fl,l,,,randlich,
rmv11,matr cham,fl,l,,,,
rmv11,myos arve arve,fl,x,,,,
rmv11,plan majo majo,fl,l,,,,
rmv11,poa triv,fl,l,,,,
rmv11,poly avic slat,fl,l,,,,
rmv11,ranu repe,fl,x,,,,
rmv11,sina arve,fl,l,,,,
rmv11,sper arve arve,fl,x,,,,
rmv11,stel medi,fl,x,,,,
rmv11,trif repe repe,fl,l,,,,
rmv11,trip inod,fl,x,,,,
rmv11,vero arve,fl,x,,,,
rmv11,vero serp serp,fl,l,,,,
rmv11,viol arve arve,fl,x,,,,
rmv12,trit cale,cl,d,,,Deckfrucht,
rmv12,anag arve,fl,x,,,,
rmv12,anth arve arve,fl,x,,,,
rmv12,aper spic vent,fl,l,,,,
rmv12,apha arve,fl,x,,,,
rmv12,aren serp,fl,l,,,,
rmv12,cera holo,fl,l,,,,
rmv12,cyan sege,fl,x,,,,
rmv12,elyt repe,fl,l,,,,
rmv12,equi arve,fl,x,,,,
rmv12,fall conv,fl,x,,,,
rmv12,fest prat prat,fl,l,,,,
rmv12,gale pube murr,fl,x,×,,,
rmv12,gale spec iosa,fl,x,×,,,
rmv12,gera diss,fl,l,,,,
rmv12,lami purp,fl,l,,,,
rmv12,laps comm comm,fl,l,,,,
rmv12,lath prat prat,fl,x,,,,
rmv12,lego spec,fl,x,,,zerstreut,
rmv12,loli mult,fl,l,,,,
rmv12,loli pere,fl,l,,,,
rmv12,medi sati,fl,l,,,,
rmv12,myos arve arve,fl,l,,,,
rmv12,oxal stri,fl,l,,,,
rmv12,papa rhoe,fl,l,,,,
rmv12,pers lapa slat,fl,x,×,,,
rmv12,phle prat,fl,l,,,,
rmv12,pote rept,fl,x,,,,
rmv12,ranu repe,fl,x,,,,
rmv12,raph raph,fl,l,,,,
rmv12,scle annu,fl,x,,,"zahlreich, großer Bestand",
rmv12,sher arve,fl,x,,,zerstreut,
rmv12,sina alba alba,fl,l,×,,,
rmv12,sina arve,fl,l,,,,
rmv12,sonc aspe aspe,fl,l,,,,
rmv12,stac palu,fl,x,×,,,
rmv12,stel gram,fl,l,,,,
rmv12,stel medi,fl,x,,,,
rmv12,trif inca inca,fl,l,,,,
rmv12,trif prat prat,fl,l,,,,
rmv12,vale dent,fl,x,×,,"zahlreich, großer Bestand",
rmv12,vale rimo,fl,l,×,,zerstreut,
rmv12,vero pers,fl,x,,,,
rmv12,vici crac,fl,l,,,,
rmv12,vici hirs,fl,x,,,,
rmv12,vici tetr,fl,l,,,,
rmv12,viol arve arve,fl,l,,,,
rmv13,trit spel,cl,d,×,,Deckfrucht,
rmv13,anag arve,fl,l,,,,
rmv13,anth arve arve,fl,x,,,,
rmv13,aper spic vent,fl,l,,,,
rmv13,apha arve,fl,x,,,,
rmv13,arab thal,fl,x,,,,
rmv13,aren serp,fl,x,,,,
rmv13,cirs arve,fl,x,,,,
rmv13,conv arve,fl,x,,,,
rmv13,cyan sege,fl,x,,,,
rmv13,equi arve,fl,x,,,,
rmv13,euph heli,fl,l,,,,
rmv13,fall conv,fl,x,,,,
rmv13,fest rubr rubr,fl,l,,,,
rmv13,gale pube murr,fl,x,×,,,
rmv13,gali apar,fl,l,×,,,
rmv13,jugl regi,fl,l,,,Einzelpflanze,
rmv13,laps comm comm,fl,l,,,,
rmv13,lath prat prat,fl,l,,,,
rmv13,loli mult,fl,l,,,,
rmv13,medi lupu,fl,l,,,lokal randlich,
rmv13,myos arve arve,fl,x,,,,
rmv13,oxal stri,fl,l,,,,
rmv13,papa rhoe,fl,x,,,,
rmv13,pote rept,fl,l,,,,
rmv13,scro nodo,fl,l,,,,
rmv13,stel medi,fl,l,,,,
rmv13,vale dent,fl,l,,,,
rmv13,vale rimo,fl,x,,,zahlreich,
rmv13,vero pers,fl,x,,,,
rmv13,vici hirs,fl,x,,,,
rmv13,vici sepi,fl,l,,,,
rmv13,vici tetr,fl,x,,,,
rmv13,viol arve arve,fl,x,,,,
rmv14,seca cere,cl,d,×,,Deckfrucht,
rmv14,anth arve arve,fl,x,,,,
rmv14,aper spic vent,fl,x,,,,
rmv14,apha arve,fl,x,,,,
rmv14,aren serp,fl,l,,,,
rmv14,aven sati sati,fl,l,,,,
rmv14,cera glom,fl,l,×,,,
rmv14,chen albu slat,fl,l,,"cf., vegetativ",,
rmv14,cirs arve,fl,x,,,,
rmv14,conv arve,fl,x,,,,
rmv14,cyan sege,fl,x,,,,
rmv14,dact glom glom,fl,l,,,,
rmv14,elyt repe,fl,x,,,,
rmv14,equi arve,fl,x,,,,
rmv14,fall conv,fl,x,,,,
rmv14,gale pube murr,fl,x,,,,
rmv14,gali apar,fl,l,,,,
rmv14,holc moll,fl,l,,,,
rmv14,laps comm comm,fl,l,,,,
rmv14,lego spec,fl,x,,,"zahlreich, großer Bestand",
rmv14,loli mult,fl,x,,,,
rmv14,myos arve arve,fl,x,,,,
rmv14,papa rhoe,fl,x,,,,
rmv14,pers spec ies,fl,x,×,,,
rmv14,poa annu,fl,l,,,,
rmv14,poa triv,fl,x,,,,
rmv14,ranu repe,fl,x,,,,
rmv14,raph raph,fl,l,,,,
rmv14,rume obtu slat,fl,l,,,,
rmv14,stel gram,fl,l,,,lokal randlich,
rmv14,stel medi,fl,l,,,,
rmv14,vale dent,fl,x,,,zerstreut,
rmv14,vale rimo,fl,x,,,zerstreut,
rmv14,vero arve,fl,l,,,,
rmv14,vici angu sege,fl,l,,,,
rmv14,vici hirs,fl,x,,,,
rmv14,vici tetr,fl,x,,,,
rmv14,viol arve arve,fl,x,,,,
rmv15,trit spel,cl,d,×,,Deckfrucht,
rmv15,anth arve arve,fl,x,,,,
rmv15,aper spic vent,fl,l,,,,
rmv15,apha arve,fl,x,,,,
rmv15,arab thal,fl,x,,,,
rmv15,caps burs,fl,l,,,,
rmv15,cera glom,fl,l,,,,
rmv15,cera holo,fl,x,,,,
rmv15,chen albu slat,fl,l,,Keimling,,
rmv15,chen poly,fl,x,,,,
rmv15,conv arve,fl,x,,,,
rmv15,cyan sege,fl,d,,,,
rmv15,dact glom glom,fl,l,,,,
rmv15,elyt repe,fl,x,,,,
rmv15,fall conv,fl,x,,,,
rmv15,fest prat prat,fl,x,,,,
rmv15,gale pube murr,fl,x,×,,,
rmv15,gale tetr,fl,x,×,,,
rmv15,gera diss,fl,x,,,,
rmv15,holc moll,fl,l,,,,
rmv15,lami purp,fl,l,,,,
rmv15,laps comm comm,fl,l,,,,
rmv15,lego spec,fl,l,,,"gehäuft im S des Transekts (Koordinaten), sonst selten",
rmv15,loli mult,fl,x,,,,
rmv15,loli pere,fl,l,,,,
rmv15,myos arve arve,fl,x,,,,
rmv15,phle prat,fl,x,,,,
rmv15,plan lanc,fl,l,,,,
rmv15,plan majo majo,fl,l,,,,
rmv15,poa annu,fl,l,,,,
rmv15,poa triv,fl,x,,,,
rmv15,poly avic slat,fl,l,,,,
rmv15,ranu repe,fl,x,,,,
rmv15,tara sect rude,fl,x,,,,
rmv15,trif prat prat,fl,l,,,,
rmv15,trip inod,fl,l,,,,
rmv15,vale dent,fl,l,,,,
rmv15,vale rimo,fl,x,,,zerstreut,
rmv15,vici angu sege,fl,l,,,,
rmv15,vici hirs,fl,x,,,,
rmv15,vici tetr,fl,x,,,,
rmv15,viol arve arve,fl,l,,,,
rmv16,seca cere,cl,d,,,Deckfrucht,
rmv16,anth arve arve,fl,x,,,,
rmv16,aper spic vent,fl,x,,,,
rmv16,apha arve,fl,l,,,,
rmv16,aren serp,fl,x,,,,
rmv16,cera glom,fl,l,,,,
rmv16,cirs arve,fl,x,,,,
rmv16,conv arve,fl,x,,,,
rmv16,cyan sege,fl,x,,,,
rmv16,dact glom glom,fl,l,,,,
rmv16,gali apar,fl,x,,,,
rmv16,laps comm comm,fl,x,,,,
rmv16,lego spec,fl,x,,,zerstreut,
rmv16,myos arve arve,fl,x,,,,
rmv16,papa rhoe,fl,l,,,,
rmv16,poa triv,fl,x,,,,
rmv16,ranu repe,fl,x,,,,
rmv16,stel gram,fl,l,,,,
rmv16,stel medi,fl,l,,,,
rmv16,tara sect rude,fl,x,,,,
rmv16,trip inod,fl,x,,,,
rmv16,trit aest slat,fl,l,,,,
rmv16,vale dent,fl,x,,,zerstreut,
rmv16,vale rimo,fl,x,,,zerstreut bis häufig,
rmv16,vero arve,fl,x,,,,
rmv16,vero pers,fl,l,,,,
rmv16,vici angu sege,fl,l,,,,
rmv16,vici glab,fl,l,,,,
rmv16,vici hirs,fl,x,,,,
rmv16,vici tetr,fl,x,,,,
rmv16,viol arve arve,fl,x,,,,
rmv17,seca cere,cl,d,×,,Deckfrucht,
rmv17,aper spic vent,fl,l,,,,
rmv17,apha arve,fl,x,,,,
rmv17,cirs arve,fl,x,,,,
rmv17,conv arve,fl,x,,,,
rmv17,cyan sege,fl,x,,,,
rmv17,fall conv,fl,x,,,,
rmv17,gale pube murr,fl,l,,,,
rmv17,gale spec iosa,fl,x,,,,
rmv17,gale tetr,fl,x,,,,
rmv17,gali apar,fl,x,,,,
rmv17,gera diss,fl,x,,,,
rmv17,laps comm comm,fl,x,,,,
rmv17,matr cham,fl,x,,,,
rmv17,myos arve arve,fl,x,,,,
rmv17,papa rhoe,fl,l,,,,
rmv17,pote anse anse,fl,d,,,,
rmv17,pote rept,fl,l,,,,
rmv17,rume obtu slat,fl,x,,,,
rmv17,stel medi,fl,l,,,,
rmv17,trip inod,fl,x,,,,
rmv17,vale dent,fl,x,,,,
rmv17,vale rimo,fl,x,,,zerstreut,
rmv17,vero arve,fl,x,,,,
rmv17,vero pers,fl,x,,,,
rmv17,vici glab,fl,l,,,,
rmv17,vici hirs,fl,d,,,,
rmv17,vici sepi,fl,l,,,,
rmv17,vici tetr,fl,x,,,,
rmv17,viol arve arve,fl,x,,,,
rmv18,seca cere,cl,d,×,,Deckfrucht,
rmv18,aper spic vent,fl,d,,,,
rmv18,apha arve,fl,x,,,,
rmv18,arab thal,fl,x,,,,
rmv18,aren serp,fl,x,,,,
rmv18,chen albu slat,fl,l,,"cf., vegetativ",,
rmv18,conv arve,fl,x,,,,
rmv18,fall conv,fl,x,,,,
rmv18,gale tetr,fl,x,,,,
rmv18,gali cili,fl,l,,,,
rmv18,gera diss,fl,l,,,,
rmv18,lami purp,fl,l,,,,
rmv18,laps comm comm,fl,l,,,,
rmv18,loli mult,fl,l,,,,
rmv18,myos arve arve,fl,x,,,,
rmv18,papa rhoe,fl,l,,,,
rmv18,poa triv,fl,l,,,,
rmv18,stel medi,fl,x,,,,
rmv18,trif prat prat,fl,l,,,,
rmv18,trip inod,fl,x,,,,
rmv18,vale dent,fl,x,,,sehr zahlreich,
rmv18,vale rimo,fl,x,,,sehr zahlreich,
rmv18,vero arve,fl,x,,,,
rmv18,vero pers,fl,x,,,,
rmv18,viol arve arve,fl,x,,,,
rmv19,trit aest slat,cl,d,×,,Deckfrucht,
rmv19,anag arve,fl,l,,,,
rmv19,anth arve arve,fl,l,,,,
rmv19,aper spic vent,fl,x,,,,
rmv19,caps burs,fl,l,,,,
rmv19,cera glom,fl,l,,,,
rmv19,cera holo,fl,l,,,,
rmv19,chen albu slat,fl,l,×,,,
rmv19,cirs arve,fl,x,,,,
rmv19,conv arve,fl,l,,,,
rmv19,cyan sege,fl,l,,,,
rmv19,echi crus crus,fl,x,,,,
rmv19,equi arve,fl,l,,,,
rmv19,erig annu annu,fl,l,,,,
rmv19,erig cana,fl,l,,,,
rmv19,gali cili,fl,x,,,,
rmv19,gera diss,fl,l,,,,
rmv19,lami purp,fl,l,,,,
rmv19,laps comm comm,fl,l,,,,
rmv19,loli mult,fl,x,,,,
rmv19,loli pere,fl,l,,,randlich,
rmv19,matr cham,fl,d,,,,
rmv19,myos arve arve,fl,l,,,,
rmv19,papa rhoe,fl,l,,,,
rmv19,plan lanc,fl,l,,,,
rmv19,plan majo majo,fl,l,,,,
rmv19,poa annu,fl,x,,,,
rmv19,poa triv,fl,x,,,,
rmv19,poly avic slat,fl,l,,,,
rmv19,sher arve,fl,x,,,zerstreut,
rmv19,sonc aspe aspe,fl,x,,,,
rmv19,stel medi,fl,x,,,,
rmv19,tara sect rude,fl,l,,,,
rmv19,trif repe repe,fl,l,,,,
rmv19,trip inod,fl,x,,,,
rmv19,vero arve,fl,x,,,,
rmv19,vero pers,fl,x,,,,
rmv19,vici angu sege,fl,l,,,,
rmv19,vici hirs,fl,x,,,,
rmv19,vici vill,fl,l,×,det!,lokal randlich,
rmv20,seca cere,cl,d,×,det!,Deckfrucht,
rmv20,anth arve arve,fl,l,,,,
rmv20,aper spic vent,fl,d,,,,
rmv20,apha arve,fl,x,,,,
rmv20,arab thal,fl,x,,,,
rmv20,aren serp,fl,x,,,,
rmv20,cera glom,fl,l,,,,
rmv20,cirs arve,fl,x,,,,
