plot;abbr;layer;cov;history
fü001;Baglparm;kl;50;
fü001;Calocirr;kl;1;
fü001;Verrmura;kl;20;
fü001;Verrnigr;kl;10;
fü002;Verrmura;kl;5;
fü002;Collflac;kl;60;
fü002;Collfusc;kl;5;
fü003;Baglparm;kl;60;
fü003;Calocirr;kl;1;
fü003;Verrmura;kl;10;
fü003;Verrnigr;kl;10;
fü003;Collflac;kl;1;
fü004;Calocirr;kl;30;
fü004;Verrmura;kl;50;
fü005;Calocirr;kl;90;
fü006;Calocirr;kl;40;
fü007;Calocirr;kl;50;
fü008;Calocirr;kl;15;
fü008;Verrmura;kl;1;
fü008;Collfusc;kl;5;
fü009;Calocirr;kl;1;
fü009;Diplgyps;kl;95;
fü010;Collflac;kl;10;
fü010;Diplgyps;kl;30;
fü010;Caloxant;kl;10;
fü011;Calocirr;kl;20;
fü011;Diplgyps;kl;20;
fü011;Caloxant;kl;10;
fü012;Calocirr;kl;10;
fü012;Verrmura;kl;10;
fü012;Collfusc;kl;10;
fü012;Diplgyps;kl;10;
fü013;Amanpunc;kl;1;
fü013;Buelgris;kl;5;
fü013;Lecacarp;kl;5;
fü013;Lecachla;kl;5;
fü013;Lecasubr;kl;5;
fü013;Lecielae;kl;1;
fü013;Phlyarge;kl;10;
fü013;Physadsc;kl;20;
fü013;Phystene;kl;1;
fü014;Buelgris;kl;1;
fü014;Lecacarp;kl;10;
fü014;Lecachla;kl;10;
fü014;Candrefl;kl;10;
fü014;Mycofusc;kl;1;
fü014;Parmglab;kl;1;
fü014;Phaeorbi;kl;10;
fü015;Buelgris;kl;1;
fü015;Lecachla;kl;5;
fü015;Phlyarge;kl;10;
fü015;Phystene;kl;5;
fü015;Candrefl;kl;1;
fü015;Grapscri;kl;15;
fü015;Parmsulc;kl;1;
fü015;Pertalbe;kl;15;
fü015;Physdist;kl;1;
fü015;Xantpari;kl;1;
fü016;Phlyarge;kl;10;
fü016;Physadsc;kl;5;
fü016;Phystene;kl;1;
fü016;Parmsulc;kl;15;
fü016;Xantpari;kl;10;
fü017;Phlyarge;kl;5;
fü017;Parmsulc;kl;1;
fü017;Leprinca;kl;1;
fü018;Phlyarge;kl;20;
fü018;Phystene;kl;15;
fü018;Pertalbe;kl;60;
fü018;Candxant;kl;5;
fü019;Grapscri;kl;15;
fü019;Arthradi;kl;1;
fü019;Normpulc;kl;5;
fü019;Opegatra;kl;60;
fü020;Opegatra;kl;40;
fü021;Parmglab;kl;5;
fü021;Parmsulc;kl;20;
fü021;Pertalbe;kl;35;
fü021;Leprinca;kl;5;
fü021;Hypophys;kl;20;
fü021;Lecalate;kl;1;
fü021;Parmcape;kl;1;
fü021;Parmexa1;kl;5;
fü022;Parmsulc;kl;10;
fü022;Lecalate;kl;60;
fü022;Lecacadu;kl;10;
fü023;Leprinca;kl;5;
fü023;Normpulc;kl;1;
fü023;Cladfimb;kl;5;
fü023;Pertamar;kl;10;
fü024;Parmsulc;kl;10;
fü024;Pertalbe;kl;50;
fü024;Leprinca;kl;10;
fü025;Parmsulc;kl;1;
fü025;Pertalbe;kl;90;
fü026;Cladfimb;kl;1;
fü026;Pertamar;kl;5;
sg027;Parmsulc;kl;30;
sg027;Leprinca;kl;10;
sg027;Cladfimb;kl;10;
sg027;Candconc;kl;1;
sg028;Cladfimb;kl;20;
sg028;Cladconi;kl;20;
