plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;elevation;latitude;longitude;accuracy;alliance;association;soil;description;location;observer
1;40;0;0;0;40;0;0;0;0;;;1;2;S;;;;;1984-01-01;760;47.713609;12.93081;200;unclassified;;;kleines Felsband in senkrechter wand;Untersberg SE von Großgmain, 0,7 km S Wolfschwang (Goaßtisch);W. Strobl
2;50;0;0;0;50;0;0;0;2;;;2;3;SW;;;;;1984-01-01;770;47.713609;12.93081;200;unclassified;;;Schlagfläche;Untersberg SE von Großgmain, 0,7 km S Wolfschwang (Goaßtisch);W. Strobl
