plot,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,date,latitude,longitude,accuracy,alliance,association,soil,comment,location,observer
kmx01,,,,,,,,,,,,,,,,,,,2017-03-29,47.91476,14.35593,20,Tilenion platyphylli,,,"planned, easy",Kreuzmauer,R. Kaiser
kmx02,,,,,,,,,,,,,,,,,,,2017-03-29,47.91472,14.35587,20,Tilenion platyphylli,,,"planned, easy",Kreuzmauer,R. Kaiser
kmx03,,,,,,,,,,,,,,,,,,,2017-03-29,47.91471,14.35553,20,Tilenion platyphylli,,,"planned, easy",Kreuzmauer,R. Kaiser
kmx04,,,,,,,,,,,,,,,,,,,2017-03-29,47.91465,14.35522,20,Tilenion platyphylli,,,"planned, easy",Kreuzmauer,R. Kaiser
kmx05,,,,,,,,,,,,,,,,,,,2017-03-29,47.91465,14.35538,20,Tilenion platyphylli,,,"planned, easy",Kreuzmauer,R. Kaiser
kmx06,,,,,,,,,,,,,,,,,,,2017-03-29,47.91451,14.35517,20,Tilenion platyphylli,,,"planned, easy",Kreuzmauer,R. Kaiser
kmx07,,,,,,,,,,,,,,,,,,,2017-03-29,47.91446,14.35482,20,Tilenion platyphylli,,,"planned, easy",Kreuzmauer,R. Kaiser
kmx08,,,,,,,,,,,,,,,,,,,2017-03-29,47.91423,14.35634,20,Tilenion platyphylli,,,"planned, easy",Kreuzmauer,R. Kaiser
kmx09,,,,,,,,,,,,,,,,,,,2017-03-29,47.91347,14.35383,20,Tilenion platyphylli,,,"planned, easy",Kreuzmauer,R. Kaiser
kmx10,,,,,,,,,,,,,,,,,,,2017-03-29,47.91397,14.35473,20,Tilenion platyphylli,,,"planned, easy",Kreuzmauer,R. Kaiser
