plot,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,date,latitude,longitude,accuracy,type,alliance.code,alliance,association,soil,comment,location,observer
skso01,96,0,0,0,96,5,0,0,0,"1,2","0,4",8,8,N,35,0,4,0,2023-07-03,47.655842,13.246629,5,forest,,,,,clear cut,"Sankt Koloman, Sommereggriedl",T. Eberl
skso02,95,25,75,1,18,10,37,26,3,"0,6","0,25",16,16,N,35,5,5,25,2023-07-03,47.656330,13.246621,5,forest,,,,,mixed beech forest,"Sankt Koloman, Sommereggriedl",T. Eberl
skso03,99,0,0,25,97,20,0,0,4,"1,2","0,5",8,8,N,35,2,1,5,2023-07-03,47.656364,13.247339,5,forest,,,,,clear cut,"Sankt Koloman, Sommereggriedl",T. Eberl
skso04,97,0,93,7,18,35,0,10,3,"0,9","0,1",16,16,N,20,0,3,5,2023-07-03,47.656243,13.247925,5,forest,,,,,spruce plantation,"Sankt Koloman, Sommereggriedl",T. Eberl
skso05,94,88,10,0,20,30,25,18,0,"0,7","0,1",16,16,N,30,3,6,15,2023-07-03,47.655458,13.247989,5,forest,,,,,spruce plantation,"Sankt Koloman, Sommereggriedl",T. Eberl
skso06,96,85,20,0,15,20,35,25,0,"0,6","0,1",16,16,N,30,2,4,8,2023-07-03,47.655204,13.249892,5,forest,,,,,mixed beech forest,"Sankt Koloman, Sommereggriedl",T. Eberl
skso07,96,20,85,2,6,5,36,25,5,"0,5","0,1",16,16,N,40,1,4,10,2023-07-03,47.654991,13.250682,5,forest,,,,,mixed beech forest,"Sankt Koloman, Sommereggriedl",T. Eberl
skso08,97,80,25,0,25,15,28,20,0,"0,6","0,1",16,16,N,40,1,3,7,2023-07-03,47.655230,13.252343,5,forest,,,,,mixed beech forest,"Sankt Koloman, Sommereggriedl",T. Eberl
skso09,96,25,80,0,7,10,27,20,4,"0,6","0,1",16,16,N,35,0,4,6,2023-07-03,47.655247,13.251582,5,forest,,,,,mixed beech forest,"Sankt Koloman, Sommereggriedl",T. Eberl
skso10,98,90,25,0,10,8,30,22,0,"0,6","0,1",16,16,NNE,42,1,2,12,2023-07-03,47.655187,13.253648,5,forest,,,,,mixed beech forest,"Sankt Koloman, Sommereggriedl",T. Eberl
skso11,96,90,8,0,7,15,25,18,0,"0,4","0,1",16,16,N,45,2,4,15,2023-07-03,47.654716,13.251644,5,forest,,,,,spruce plantation,"Sankt Koloman, Sommereggriedl",T. Eberl
skso12,95,92,10,0,7,10,25,18,0,"0,4","0,1",16,16,N,45,4,5,20,2023-07-03,47.654536,13.251054,5,forest,,,,,spruce plantation,"Sankt Koloman, Sommereggriedl",T. Eberl
skso13,93,85,8,0,12,10,27,20,0,"0,4","0,1",16,16,N,25,0,7,0,2023-07-03,47.654250,13.249647,5,forest,,,,,spruce plantation,"Sankt Koloman, Sommereggriedl",T. Eberl
skso14,93,40,60,0,12,3,27,20,0,"0,4","0,1",16,16,NNW,25,0,7,3,2023-07-03,47.654121,13.250756,5,forest,,,,,mixed beech forest,"Sankt Koloman, Sommereggriedl",T. Eberl
skso15,97,75,25,1,30,7,24,13,"2,5","0,6","0,15",16,16,SW,40,7,3,5,2023-07-04,47.654493,13.247935,5,forest,,,,,mixed beech forest,"Sankt Koloman, Sommereggriedl",T. Eberl & R. Kaiser
skso16,97,75,20,0,75,1,27,20,0,"0,55","0,15",16,16,SW,35,0,3,0,2023-07-04,47.653929,13.250005,5,forest,,,,,spruce plantation,"Sankt Koloman, Sommereggriedl",T. Eberl & R. Kaiser
skso17,99,80,15,1,17,20,33,14,"4,5","0,6","0,25",16,16,NNE,20,1,1,0,2023-07-04,47.654800,13.249271,5,forest,,,,,spruce plantation,"Sankt Koloman, Sommereggriedl",T. Eberl & R. Kaiser
skso18,99,45,65,0,17,5,37,27,0,"0,4","0,15",16,16,NNE,37,0,1,1,2023-07-04,47.654860,13.249758,5,forest,,,,,mixed beech forest,"Sankt Koloman, Sommereggriedl",T. Eberl & R. Kaiser
skso19,95,65,15,10,50,10,29,17,"1,5","0,7","0,15",16,16,NNE,45,1,5,0,2023-07-04,47.655411,13.253099,5,forest,,,,,mixed beech forest,"Sankt Koloman, Sommereggriedl",T. Eberl & R. Kaiser
skso20,97,80,10,0,35,30,30,21,0,"0,45","0,1",16,16,NNE,25,3,3,10,2023-07-04,47.655197,13.248583,5,forest,,,,,spruce plantation,"Sankt Koloman, Sommereggriedl",T. Eberl & R. Kaiser
skso21,97,80,7,0,90,5,33,25,0,"0,75","0,25",16,16,N,20,0,3,0,2023-07-04,47.655392,13.247297,5,forest,,,,,spruce plantation,"Sankt Koloman, Sommereggriedl",T. Eberl & R. Kaiser
