plot,abbr,layer,cov
261,hipp como,hl,1
261,prun gran,hl,1
261,scab luci luci,hl,1
261,thes alpi,hl,+
262,aspl ruta,hl,1
262,frag vesc,hl,+
262,hier glau cum,hl,1
262,kern saxa,hl,2
262,meli nuta,hl,+
262,schi apoc,hl,+
264,aspl ruta,hl,+
264,gymn robe,hl,1
264,meli nuta,hl,1
264,rubu saxa,hl,+
264,schi apoc,hl,+
264,sorb aria,hl,+
264,thal minu saxa,hl,+
289,chlo stat,hl,1
289,drya octo,hl,+
289,fagu sylv,hl,+
289,frax exce,hl,+
289,pice abie,hl,+
289,sali elea elea,hl,+
289,thes rost,hl,+
330,kern saxa,hl,+
338,hier glau cum,hl,+
339,orig vulg,hl,+
339,pice abie,hl,+
339,scab luci luci,hl,+
346,prun gran,hl,+
368,camp rapu rapu,hl,+
369,camp rotu aggr,hl,+
369,carl vulg vulg,hl,+
370,camp rapu rapu,hl,+
371,samb race,hl,+
374,verb spec ies,hl,+
375,frax exce,hl,+
377,arab hirs,hl,+
377,samb race,hl,+
377,verb spec ies,hl,+
377,samb race,sl,+
378,hypn cupr lacu,hl,+
