plot,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,date,latitude,longitude,accuracy,alliance,association,soil,comment,location,observer
sww01,99,50,0,1,98,18,17,0,4,0.1,0.4,16,16,F,0,,,,2018-01-01,47.91521,12.97587,10,,,,,Wald am Hangfuß des Haunsberg (835) SE Pabing,T. Eberl
sww02,99,50,6,1,97,20,17,10,4,0.1,0.4,16,16,F,0,,,,2018-01-01,47.91508,12.97601,10,,,,,Wald am Hangfuß des Haunsberg (835) SE Pabing,T. Eberl
sww03,98,55,20,1,65,5,16,10,4,0.1,0.4,16,16,SW,20,,,,2018-01-01,47.91528,12.97631,10,,,,,Wald am Hangfuß des Haunsberg (835) SE Pabing,T. Eberl
sww04,97,70,25,15,75,1,30,20,4,0.1,0.5,25,6,W,4,,,,2018-01-01,47.91501,12.97558,10,,,,,Wald am Hangfuß des Haunsberg (835) SE Pabing,T. Eberl
sww05,99,65,25,30,95,5,30,20,6,0.1,0.5,25,7,N,3,,,,2018-01-01,47.91473,12.97591,10,,,,,Wald am Hangfuß des Haunsberg (835) SE Pabing,T. Eberl
