Aufnahmenummer;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;5;5;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;4;4;5;4;5;4;4;4;5;4;4;4;5;5;5;5;4
                                        @hl;0;0;1;1;1;3;3;4;4;4;4;4;4;4;0;0;0;0;3;4;0;0;1;1;3;1;3;3;1;1;0;3;3;3;4;3;3;4;4;0;4;0;0;4;2;1;0;0;3;3;4;2;2;2;0;0;1;1;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;0;0;0;0;0;0;2;3;0;0;1;2;0;1;0;1;1;2;0;0;0;0;0
                                        @hl;2;6;0;1;7;5;6;0;1;6;6;7;8;9;3;6;6;7;6;1;1;2;5;5;2;6;4;9;5;6;3;7;7;7;2;8;8;2;9;7;9;1;6;8;1;9;2;7;0;0;4;7;6;9;1;6;2;6;3;4;5;5;6;7;7;9;9;9;2;2;6;8;8;0;0;1;7;7;5;1;1;5;3;0;5;3;3;5;3;5;5;2;1;2;3;3
                                        @hl;3;8;7;5;2;0;5;8;1;2;3;1;7;2;6;3;6;6;7;9;7;0;7;9;8;3;4;5;7;6;7;0;2;9;7;5;6;0;1;6;3;2;4;6;6;4;4;2;8;9;9;3;5;5;8;5;8;5;0;1;1;3;0;4;6;0;1;3;3;8;4;1;4;3;7;4;9;8;8;0;0;3;2;1;2;3;6;2;9;3;6;1;5;7;9;6
                                        @hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortlaufende Nummer                     @hl;1;2;3;4;5;6;7;8;9;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;6;6;6;6;6;6;6;6;6;6;7;7;7;7;7;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;9;9;9;9;9;9;9
                                        @hl;;;;;;;;;;0;1;2;3;4;5;6;7;8;9;0;1;2;3;4;5;6;7;8;9;0;1;2;3;4;5;6;7;8;9;0;1;2;3;4;5;6;7;8;9;0;1;2;3;4;5;6;7;8;9;0;1;2;3;4;5;6;7;8;9;0;1;2;3;4;5;6;7;8;9;0;1;2;3;4;5;6;7;8;9;0;1;2;3;4;5;6
                                        @hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Festuca versicolor subsp. brachystachys @hl;.;.;.;.;+;.;+;1;.;.;.;.;+;+;1;+;.;+;1;+;.;+;.;.;.;.;+;+;.;.;+;1;.;.;1;1;+;.;.;.;.;2;2;1;1;2;.;+;+;.;2;+;+;.;.;1;.;.;1;.;+;+;+;+;2;.;2;2;1;2;.;.;.;+;1;1;3;2;+;3;2;2;2;2;2;3;4;2;4;3;3;2;3;3;2;3
Primula clusiana                        @hl;1;1;1;1;2;1;2;1;.;2;1;1;2;1;+;+;1;2;+;1;.;+;+;.;+;.;2;1;+;.;+;2;+;.;+;.;+;+;+;+;+;.;+;2;.;.;.;.;1;2;2;+;2;1;.;.;.;+;.;+;1;+;1;.;.;.;+;+;+;.;2;.;+;.;.;+;+;+;.;.;.;+;.;+;.;1;1;.;+;+;+;.;+;+;.;.
Androsace chamaejasme                   @hl;.;.;.;.;+;+;+;+;+;.;.;.;.;.;1;.;1;+;1;+;1;.;.;+;+;.;+;1;.;.;+;.;.;+;.;+;.;.;.;.;.;+;1;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;+;+;.;.;.;.;.;+;1;.;.;.;.;.;.;+;+;.;.;+;.;.;+;.;1;+;.;1;+;1;1;.;1;1;1;.;2
Saussurea pygmaea                       @hl;.;.;.;1;.;.;.;.;.;.;.;1;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;+;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.
Caricion firmae                         @hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Festuca pumila                          @hl;2;.;1;2;+;2;2;+;.;2;2;2;1;1;2;2;2;2;2;1;2;1;2;1;2;2;1;2;2;1;+;1;2;1;1;1;2;+;1;1;1;1;1;1;.;.;1;1;1;1;.;.;.;+;1;+;2;.;.;2;+;+;1;.;.;1;.;.;1;+;2;.;1;2;+;+;.;.;.;.;.;.;+;\;.;1;1;.;.;1;1;1;1;1;+;.
Helianthemum alpestre                   @hl;+;.;.;+;+;1;1;1;1;.;.;.;1;.;1;f;1;1;1;1;1;1;1;+;1;+;+;1;1;1;1;1;.;.;+;.;1;1;1;+;+;1;1;1;1;.;.;1;+;1;.;.;.;.;1;+;+;1;+;1;+;1;1;1;1;+;f;1;+;1;+;1;+;.;1;+;.;+;+;+;1;+;+;+;+;+;1;1;1;1;+;+;1;1;+;.
Minuartia gerardii                      @hl;+;.;.;.;+;+;+;.;+;+;.;.;.;.;+;.;+;.;+;.;+;1;1;1;+;1;+;+;1;+;+;.;+;.;+;1;+;+;.;+;+;1;+;+;.;.;f;.;.;.;.;+;+;.;1;+;+;1;.;.;+;1;1;+;+;+;1;.;.;.;.;+;+;.;+;+;+;+;.;.;+;.;+;+;1;.;.;+;.;.;1;+;1;+;.;.
Saxifraga caesia                        @hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;1;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;+;.;.;.;1;+;1;1;+;.;1;1;2;.;.;+;+;.;.;.;.;.;.;+;.;1;+;.;.;.;.;+;+;+;1;.;+;.;+;+;.
Pedicularis rosea                       @hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;1;1;.;+;+;.;+;.;.;.;+;.;.;.;.;.;.;+;+;.;.;.;+;.;.;.;1;.;.;.;.;.;.;.;1;+;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;+;.
Crepis jacquinii                        @hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;1;1;.;1;.;1;.;.;1;.;.;1;.;.;.;1;.
Chamorchis alpina                       @hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;r;+;r;+;.;r;.;+;.;.
Dryas octopetala                        @hl;1;2;2;2;2;3;2;2;3;2;2;.;1;.;.;2;.;1;.;2;3;3;+;.;2;.;2;.;+;2;2;2;2;1;2;3;2;2;3;4;2;2;2;2;3;.;2;2;2;1;4;+;4;.;2;3;3;.;2;3;2;2;1;1;.;2;2;2;.;2;2;2;3;4;3;.;1;3;1;.;2;.;2;2;.;2;+;.;1;1;3;4;.;2;.;.
