plot;abbr;layer;cov;browsed;voucher;comment;history
hw02;ajug gene;hl;1;no;;;
hw02;alli flav;hl;+;no;;;
hw02;alli lusi;hl;2m;no;;;
hw02;anth ramo;hl;+;no;;;
hw02;arab auri;hl;r;no;2008-0050;cf.;
hw02;arab sagi;hl;1;no;2008-0053;;
hw02;aren serp;hl;1;no;2008-0036;;
hw02;aspe cyna;hl;1;no;;;
hw02;aspl ruta;hl;+;no;;;
hw02;bupl falc falc;hl;+;no;;;
hw02;came micr sylv;hl;+;no;2008-0006;;
hw02;card cras glau;hl;+;no;;;
hw02;care mich;hl;+;yes;2008-0073;;
hw02;care muri sstr;hl;+;yes;;cf.;
hw02;cent scab bade;hl;+;no;;;
hw02;clin alpi alpi;hl;1;no;;;
hw02;coto tome;hl;+;no;;;
hw02;cyan triu;hl;+;no;2008-0027;;
hw02;dact glom glom;hl;+;no;;;
hw02;dian cart cart;hl;+;no;2008-0034;;
hw02;dory germ;hl;+;no;;;
hw02;echi vulg;hl;1;no;;;
hw02;erys sylv;hl;2a;no;;;
hw02;euph cypa;hl;1;no;;;
hw02;fest stri sulc;hl;1;yes;2008-0172;;
hw02;frax exce;hl;r;no;;;
hw02;fuma proc;hl;2m;no;;;
hw02;gali luci;hl;2a;yes;2008-0003;;
hw02;geni pilo;hl;+;no;;;
hw02;gera sang;hl;+;no;;;
hw02;glob cord;hl;1;no;;;
hw02;heli numm obsc;hl;1;no;2008-0110;;
hw02;hier bupl;hl;+;yes;;;
hw02;hier humi;hl;+;no;;;
hw02;hipp emer emer;hl;+;no;;;
hw02;hype perf;hl;+;no;;;
hw02;jovi glob hirt;hl;2a;no;;;
hw02;lase sile sile;hl;+;yes;;;
hw02;leon inca;hl;1;yes;;;
hw02;lina geni;hl;+;no;;;
hw02;meli cili;hl;1;yes;;;
hw02;micr perf;hl;+;no;;;
hw02;minu seta;hl;+;no;missing;det.;
hw02;poa angu;hl;+;yes;2008-0155;;
hw02;poa bade;hl;+;no;2008-0154;;
hw02;poly odor;hl;+;no;;;
hw02;pote pusi;hl;+;no;2008-0122;;
hw02;puls gran;hl;1;yes;;;
hw02;rese lute lute;hl;+;no;;;
hw02;scab ochr;hl;+;no;;;
hw02;secu vari;hl;+;no;;;
hw02;sedu albu;hl;1;no;;;
hw02;sese aust;hl;+;no;;;
hw02;sesl caer;hl;+;yes;;;
hw02;sile nuta nuta;hl;+;no;;;
hw02;stac rect rect;hl;+;no;;;
hw02;stip penn;hl;2a;no;;;
hw02;tana cory cory;hl;+;no;;;
hw02;tara sect rude;hl;r;no;;;
hw02;teuc cham;hl;+;no;;;
hw02;teuc mont;hl;1;no;;;
hw02;vale offi tenu;hl;+;no;;;
hw02;vinc hiru;hl;1;no;;;
hw02;viol tric saxa;hl;+;no;;;
hw02;tort tort;ml;1;no;;;
hw03;alli lusi;hl;+;no;;;
hw03;aren serp;hl;+;no;;;
hw03;aspe cyna;hl;+;no;;;
hw03;buph sali;hl;+;no;;;
hw03;bupl falc falc;hl;1;no;;;
hw03;camp cesp;hl;+;no;;;
hw03;card cras glau;hl;+;no;;;
hw03;cent scab bade;hl;+;no;;;
hw03;dian cart cart;hl;+;no;;;
hw03;erys sylv;hl;+;no;;;
hw03;euph cypa;hl;+;no;;;
hw03;fest stri sulc;hl;+;no;;cf.;
hw03;gali luci;hl;1;no;;;
hw03;geni pilo;hl;1;no;;;
hw03;gera sang;hl;+;no;;;
hw03;glob cord;hl;1;no;;;
hw03;heli numm obsc;hl;+;no;;cf.;
hw03;hipp emer emer;hl;+;no;;;
hw03;jovi glob hirt;hl;+;no;;;
hw03;leon inca;hl;1;no;;;
hw03;pote pusi;hl;+;no;;cf.;
hw03;puls gran;hl;+;no;;;
hw03;scab ochr;hl;+;no;;;
hw03;sedu albu;hl;+;no;;;
hw03;sese aust;hl;1;no;;;
hw03;sesl caer;hl;2b;no;;;
hw03;teuc mont;hl;+;no;;;
hw03;vinc hiru;hl;+;no;;;
hw03;tort tort;ml;1;no;;;
hw03;amel oval;sl;1;no;;;
hw03;sorb pann;sl;1;no;;;
hw04;ajug gene;hl;+;no;;;
hw04;alli flav;hl;+;no;;;
hw04;alli lusi;hl;+;no;;;
hw04;anth ramo;hl;+;no;;;
hw04;arab sagi;hl;+;no;2008-0059;cf.;
hw04;aren serp;hl;1;no;;;
hw04;aspl ruta;hl;+;no;;;
hw04;aspl tric quad;hl;+;no;;;
hw04;card cras glau;hl;+;yes;;;
hw04;care hall;hl;2a;yes;2008-0072;;
