plot;abbr;layer;cov;browsed;voucher;comment;history
hw12;vinc hiru;hl;2a;no;;;
hw12;tort tort;ml;1;no;;;
hw13;aren serp;hl;2a;no;;;
hw13;aspe proc;hl;2b;no;2008-0042;;
hw13;ball nigr slat;hl;1;no;;;
hw13;brac sylv;hl;+;yes;;;
hw13;brom ster;hl;2a;yes;2008-0096;;
hw13;brom tect;hl;1;yes;2008-0095;;
hw13;care muri sstr;hl;+;yes;;;
hw13;conv arve;hl;+;no;;;
hw13;echi vulg;hl;+;no;;;
hw13;fest rubr;hl;+;yes;;;
hw13;gali luci;hl;+;yes;;;
hw13;gera robe;hl;+;no;;;
hw13;jovi glob hirt;hl;+;no;;;
hw13;leon inca;hl;+;yes;;;
hw13;malv sylv sylv;hl;3;yes;;;
hw13;medi lupu;hl;+;yes;;;
hw13;papa dubi dubi;hl;+;yes;;;
hw13;poa angu;hl;+;yes;2008-0157;;
hw13;poa annu;hl;1;yes;;;
hw13;scab ochr;hl;+;no;;;
hw13;secu vari;hl;+;yes;;;
hw13;sisy aust;hl;2a;yes;;;
hw13;sonc aspe aspe;hl;+;no;2008-0025;;
hw13;teuc botr;hl;+;no;;;
hw13;vale locu;hl;+;no;2008-0094;;
hw13;viol alba slat;hl;+;no;2008-0139;cf.;
hw14;achi mill aggr;hl;+;no;;;
hw14;alli lusi;hl;+;yes;;;
hw14;alli peti;hl;+;no;;;
hw14;alys alys;hl;+;no;2008-0009;;
hw14;anth ramo;hl;1;yes;;;
hw14;anth vuln poly;hl;+;yes;;;
hw14;arab auri;hl;+;no;;;
hw14;arab sagi;hl;1;yes;;;
hw14;aren serp;hl;2m;no;;;
hw14;arrh elat;hl;1;yes;;;
hw14;aspe cyna;hl;+;no;;;
hw14;brac sylv;hl;1;yes;;;
hw14;brom erec;hl;+;yes;;;
hw14;card cras glau;hl;+;yes;;;
hw14;care muri sstr;hl;+;yes;;;
hw14;clin acin;hl;1;no;;;
hw14;clin alpi alpi;hl;1;no;;;
hw14;corn mas;hl;+;yes;;;
hw14;corn sang slat;hl;+;yes;;nssp. hungarica;
hw14;cusc epit epit;hl;2m;no;;cf.;
hw14;dact glom glom;hl;1;yes;;;
hw14;dian cart cart;hl;+;yes;;cf. D. sylvestris;
hw14;digi gran;hl;+;no;;;
hw14;echi vulg;hl;+;no;;;
hw14;erys sylv;hl;+;no;;;
hw14;euph cypa;hl;+;no;;;
hw14;euph dulc;hl;+;no;;;
hw14;fest stri sulc;hl;+;no;2008-0166;;
hw14;frax exce;hl;+;no;;;
hw14;gali luci;hl;2b;no;;;
hw14;gera colu;hl;+;no;;;
hw14;gera robe;hl;+;no;;;
hw14;heli numm glab;hl;+;no;;;
hw14;hier echi;hl;+;no;;cf.;
hw14;hier pilo aggr;hl;1;yes;2008-0075;;
hw14;hylo maxi;hl;+;no;;;
hw14;hype perf;hl;+;no;;;
hw14;jovi glob hirt;hl;+;no;;;
hw14;koel pyra pyra;hl;+;no;;;
hw14;lase sile sile;hl;1;yes;;;
hw14;leon inca;hl;+;yes;;;
hw14;lina geni;hl;+;no;;;
hw14;lotu corn;hl;+;yes;;var. hirsutus;
hw14;medi lupu;hl;+;yes;;;
hw14;meli offi;hl;+;yes;;;
hw14;micr perf;hl;1;no;;;
hw14;orig vulg;hl;2b;no;;;
hw14;pelt alli;hl;2a;no;;;
hw14;pimp saxi slat;hl;+;yes;;;
hw14;poa bade;hl;+;no;;;
hw14;poa comp;hl;+;no;2008-0143;;
hw14;poa nemo;hl;+;yes;;;
hw14;prun maha;hl;+;no;;;
hw14;rham cath;hl;+;no;;;
hw14;rosa cani;hl;+;no;;;
hw14;rosa micr;hl;1;yes;;;
hw14;salv vert;hl;2a;no;;;
hw14;sang mino mino;hl;1;yes;;;
hw14;scab ochr;hl;+;no;;;
hw14;secu vari;hl;+;yes;;;
hw14;sedu acre;hl;+;no;;;
hw14;sedu albu;hl;2a;no;;;
hw14;sile nuta nuta;hl;1;yes;;;
hw14;sorb pann;hl;+;yes;;;
hw14;stac rect rect;hl;+;no;;;
hw14;tana cory cory;hl;+;no;;;
hw14;teuc botr;hl;+;yes;;;
hw14;teuc cham;hl;2a;no;;;
hw14;teuc mont;hl;1;no;;;
hw14;vale locu;hl;+;no;;cf.;
hw14;vale offi tenu;hl;+;no;;;
hw14;verb chai aust;hl;2a;no;;;
hw14;vero aust;hl;+;no;;;
hw14;vinc hiru;hl;1;no;;;
hw14;prun maha;sl;+;no;;;
hw14;rham cath;sl;+;no;;;
hw14;rosa cani blon;sl;+;yes;;cf.;
hw15;alli flav;hl;2a;no;;;
hw15;alli lusi;hl;+;no;;;
hw15;amel oval;hl;+;no;;;
hw15;anth ramo;hl;+;no;;;
hw15;aspl tric quad;hl;+;no;;;
hw15;brom tect;hl;+;no;;;
hw15;bupl falc falc;hl;+;no;;;
hw15;came micr sylv;hl;2m;no;;;
hw15;camp cesp;hl;+;no;;;
hw15;cent scab bade;hl;2a;no;;;
hw15;clin alpi alpi;hl;+;no;;;
hw15;dian cart cart;hl;1;no;2008-0033;;
hw15;erys sylv;hl;+;no;;;
hw15;euph cypa;hl;+;no;;;
hw15;gali luci;hl;1;no;;;
hw15;hier humi;hl;+;no;;;
hw15;hipp emer emer;hl;1;no;;;
hw15;jovi glob hirt;hl;1;no;;;
hw15;lact vimi;hl;1;no;;;
hw15;lase sile sile;hl;+;no;;;
hw15;leon inca;hl;+;no;;;
hw15;lina geni;hl;+;no;;;
hw15;meli cili;hl;2b;no;;;
hw15;minu seta;hl;+;no;;;
hw15;poly odor;hl;+;no;;;
hw15;pseu turr;hl;+;no;;;
hw15;puls gran;hl;+;no;;;
hw15;rosa cani;hl;+;no;;;
hw15;scab ochr;hl;+;no;;;
hw15;secu vari;hl;1;no;;;
hw15;sedu albu;hl;+;no;;;
hw15;sese aust;hl;2a;no;;;
hw15;sesl caer;hl;2a;no;2008-0097;;
hw15;stac rect rect;hl;+;no;;;
hw15;tana cory cory;hl;+;no;;;
hw15;vinc hiru;hl;+;no;;;
hw15;viol tric saxa;hl;+;no;;;
hw15;amel oval;sl;+;no;;;
hw15;rosa cani;sl;1;no;;;
hw16;aspl lepi;hl;r;no;2008-0013;;
hw16;brom tect;hl;1;no;;;
hw16;echi vulg;hl;+;yes;;;
hw16;geum urba;hl;+;no;;;
hw16;lact serr;hl;+;no;;;
hw16;lact vimi;hl;+;no;;;
hw16;leon inca;hl;+;yes;;;
hw16;lina geni;hl;+;yes;;;
hw16;malv negl;hl;2a;no;;;
hw16;rese lute lute;hl;+;yes;;;
hw16;scab ochr;hl;+;yes;;;
hw16;sile lati alba;hl;+;yes;;;
hw16;sisy aust;hl;1;yes;;;
hw16;stac rect rect;hl;+;yes;;;
hw16;tara sect rude;hl;+;no;;;
hw17;anth ramo;hl;+;no;;;
hw17;arab auri;hl;+;no;;;
hw17;arab sagi;hl;+;no;;;
hw17;aren serp;hl;+;no;;;
hw17;aspe cyna;hl;+;no;;;
hw17;bupl falc falc;hl;+;no;;;
hw17;came micr sylv;hl;1;no;;;
hw17;card cras glau;hl;+;no;;;
hw17;cent scab bade;hl;1;no;;;
hw17;clin alpi alpi;hl;+;no;;;
hw17;dian cart cart;hl;2a;no;;;
hw17;echi vulg;hl;+;no;;;
hw17;erys sylv;hl;+;no;;;
hw17;euph cypa;hl;+;no;;;
hw17;gali luci;hl;1;no;;;
hw17;gera sang;hl;+;no;;;
hw17;glob cord;hl;1;no;;;
hw17;heli numm glab;hl;+;no;;;
hw17;hipp emer emer;hl;+;no;;;
hw17;jovi glob hirt;hl;+;no;;;
hw17;lase sile sile;hl;2b;no;;;
hw17;leon inca;hl;1;no;;;
hw17;lina geni;hl;+;no;;;
hw17;meli cili;hl;1;no;;;
hw17;poly odor;hl;1;no;;;
hw17;pote pusi;hl;+;no;;;
hw17;rese lute lute;hl;+;no;;;
hw17;scab ochr;hl;+;no;;;
hw17;sedu albu;hl;+;no;;;
hw17;sese aust;hl;+;no;;;
hw17;sesl caer;hl;2a;no;;;
hw17;sisy aust;hl;+;no;;;
hw17;stac rect rect;hl;+;no;;;
hw17;stip erio;hl;2b;no;2008-0135;;
hw17;stip penn;hl;+;no;;;
hw17;tana cory cory;hl;1;no;;;
hw17;teuc cham;hl;+;no;;;
hw17;teuc mont;hl;+;no;;;
hw17;vinc hiru;hl;+;no;;;
hw17;viol tric saxa;hl;+;no;;;
hw17;tort tort;ml;1;no;;;
hw18;alli flav;hl;+;no;;;
hw18;alli lusi;hl;+;yes;;;
hw18;anth ramo;hl;+;yes;;;
hw18;arab hirs;hl;+;no;;;
hw18;aren serp;hl;1;no;;;
hw18;aspe cyna;hl;+;yes;2008-0126;;
hw18;aspl ruta;hl;+;no;;;
hw18;bupl falc falc;hl;+;no;;;
hw18;came micr sylv;hl;1;no;;;
hw18;card cras glau;hl;+;yes;;;
hw18;cent scab bade;hl;+;yes;;;
hw18;conv arve;hl;+;no;;;
hw18;coto inte;hl;+;yes;;;
hw18;cusc epit epit;hl;+;no;;;
hw18;cyan triu;hl;+;yes;;;
hw18;dact glom glom;hl;2a;yes;;;
hw18;dian cart cart;hl;+;yes;2008-0035;;
hw18;echi vulg;hl;2a;no;;;
hw18;erys sylv;hl;+;no;;;
hw18;euph cypa;hl;+;no;;;
hw18;fest stri sulc;hl;+;yes;2008-0163;;
hw18;gali luci;hl;1;yes;;;
hw18;gera sang;hl;+;no;;;
hw18;heli numm glab;hl;+;no;;;
hw18;hier humi;hl;+;no;;;
hw18;hipp emer emer;hl;+;yes;;;
hw18;jovi glob hirt;hl;+;no;;;
hw18;lase sile sile;hl;+;yes;;;
hw18;leon inca;hl;+;yes;;;
hw18;ligu vulg;hl;+;yes;;;
hw18;lina geni;hl;+;no;;;
hw18;medi lupu;hl;+;yes;;;
hw18;papa dubi dubi;hl;+;no;;;
hw18;pelt alli;hl;+;no;;;
hw18;poa bade;hl;+;no;2008-0153;;
hw18;poa comp;hl;+;yes;2008-0144;;
hw18;pote inca;hl;+;yes;2008-0119;;
hw18;pote rect;hl;1;no;;;
hw18;prun maha;hl;+;yes;;;
hw18;puls gran;hl;+;yes;;;
hw18;rese lute lute;hl;+;yes;;;
hw18;rosa cani;hl;+;yes;;;
hw18;scab ochr;hl;+;yes;;;
hw18;secu vari;hl;+;no;;;
hw18;sedu albu;hl;+;no;;;
hw18;sese aust;hl;1;no;;;
hw18;sesl caer;hl;1;no;;;
hw18;sile nuta nuta;hl;+;yes;;;
hw18;sile vulg vulg;hl;+;yes;;;
hw18;stac rect rect;hl;+;no;;;
hw18;stip penn;hl;+;yes;;;
hw18;teuc cham;hl;1;no;;;
hw18;teuc mont;hl;+;no;;;
hw18;vero aust;hl;+;yes;;;
hw18;vinc hiru;hl;1;no;;;
hw18;viol tric saxa;hl;+;no;;;
hw18;tort tort;ml;+;no;;;
hw18;amel oval;sl;+;yes;;;
hw18;ligu vulg;sl;+;yes;;;
hw18;prun maha;sl;+;yes;;;
hw19;acon anth;hl;+;no;;;
hw19;alli flav;hl;+;no;;;
hw19;anth ramo;hl;+;no;;;
hw19;aspl tric quad;hl;+;no;;;
hw19;bupl falc falc;hl;+;no;;;
hw19;came micr sylv;hl;+;no;;;
hw19;camp cesp;hl;+;no;;;
hw19;cent scab bade;hl;+;no;;;
hw19;dian cart cart;hl;+;no;;;
hw19;echi vulg;hl;+;no;;;
hw19;euph cypa;hl;+;no;;;
hw19;gali luci;hl;1;no;;;
hw19;heli numm glab;hl;1;no;;;
hw19;hipp emer emer;hl;1;no;;;
hw19;jovi glob hirt;hl;+;no;;;
hw19;lase sile sile;hl;2a;no;;;
hw19;leon inca;hl;+;no;;;
hw19;meli cili;hl;2a;no;;;
hw19;poa bade;hl;+;no;;;
hw19;poly odor;hl;1;no;;;
hw19;scab ochr;hl;+;no;;;
hw19;secu vari;hl;+;no;;;
hw19;sedu albu;hl;+;no;;;
hw19;sese aust;hl;2a;no;;;
hw19;sesl caer;hl;2b;no;;;
hw19;stac rect rect;hl;+;no;;;
hw19;stip penn;hl;+;no;;;
hw19;teuc mont;hl;+;no;;;
hw19;amel oval;sl;+;no;;;
hw19;sorb pann;sl;1;no;;;
hw20;ajug gene;hl;+;yes;;;
hw20;alli flav;hl;+;no;;;
hw20;alli lusi;hl;+;yes;;;
hw20;anth ramo;hl;+;yes;;;
hw20;anth vuln poly;hl;+;yes;;;
hw20;arab auri;hl;+;no;;;
hw20;arab sagi;hl;+;no;;;
hw20;aren serp;hl;3;no;;;
hw20;aspe cyna;hl;+;yes;;;
hw20;aspl ruta;hl;+;no;;;
hw20;aspl tric quad;hl;+;no;;;
hw20;bupl falc falc;hl;+;no;;;
hw20;came micr sylv;hl;+;yes;;;
hw20;camp cesp;hl;+;no;;;
hw20;card cras glau;hl;+;yes;;;
hw20;card nuta nuta;hl;1;no;;;
hw20;cent scab bade;hl;+;yes;;;
hw20;clin acin;hl;+;no;;;
hw20;clin alpi alpi;hl;+;no;;;
hw20;echi vulg;hl;+;yes;;;
hw20;erys sylv;hl;+;no;;;
hw20;euph cypa;hl;+;no;;;
hw20;fest stri sulc;hl;1;yes;2008-0165;;
hw20;gali luci;hl;1;yes;;;
hw20;gera sang;hl;+;no;;;
hw20;glob cord;hl;+;no;;;
hw20;heli canu;hl;1;yes;;;
hw20;heli numm glab;hl;+;yes;;;
hw20;hier humi;hl;+;no;;;
hw20;hipp emer emer;hl;+;yes;;;
hw20;hype perf;hl;+;no;;;
hw20;jovi glob hirt;hl;2a;no;;;
hw20;lase sile sile;hl;+;yes;;;
hw20;leon inca;hl;+;yes;;;
hw20;lina geni;hl;+;yes;;;
hw20;medi lupu;hl;+;yes;;;
hw20;meli cili;hl;+;yes;;;
hw20;papa dubi dubi;hl;+;yes;;;
hw20;pelt alli;hl;2a;no;;;
hw20;poa bade;hl;1;yes;;;
hw20;pote inca;hl;+;yes;2008-0117;;
hw20;puls gran;hl;+;yes;;;
hw20;rese lute lute;hl;+;yes;;;
hw20;scab ochr;hl;+;yes;;;
hw20;secu vari;hl;+;yes;;;
hw20;sedu albu;hl;1;no;;;
hw20;sene jaco;hl;1;yes;;;
hw20;sese aust;hl;+;yes;;;
hw20;sesl caer;hl;+;yes;;;
hw20;sisy aust;hl;+;yes;;;
hw20;stac rect rect;hl;+;yes;;;
hw20;stip penn;hl;+;yes;;;
hw20;tana cory cory;hl;+;yes;;;
hw20;tara sect rude;hl;+;yes;;;
hw20;teuc cham;hl;1;no;;;
hw20;teuc mont;hl;1;no;;;
hw20;thym prae prae;hl;+;no;2008-0017;cf. Th. kosteleckyanus;
hw20;verb chai aust;hl;+;no;;;
hw20;vero aust;hl;+;yes;2008-0085;;
hw20;vinc hiru;hl;2b;no;;;
hw20;viol tric saxa;hl;+;yes;;;
hw20;tort tort;ml;+;no;;;
hw21;acon anth;hl;+;no;;;
hw21;alli flav;hl;1;no;;;
hw21;amel oval;hl;1;no;;;
hw21;anth ramo;hl;+;no;;;
hw21;aren serp;hl;1;no;;;
hw21;bupl falc falc;hl;+;no;;;
hw21;came micr sylv;hl;1;no;2008-0007;;
hw21;care muri sstr;hl;1;no;2008-0064;cf. Carex divulsa;
hw21;cent scab bade;hl;+;no;;;
hw21;clin alpi alpi;hl;+;no;;;
hw21;dian cart cart;hl;1;no;;;
hw21;euph cypa;hl;+;no;;;
hw21;gali luci;hl;+;no;;;
hw21;glob cord;hl;+;no;;;
hw21;heli numm glab;hl;+;no;;;
hw21;hipp emer emer;hl;1;no;;;
hw21;hype perf;hl;+;no;;;
hw21;lase sile sile;hl;2a;no;;;
hw21;leon inca;hl;+;no;;;
hw21;meli cili;hl;2a;no;;;
hw21;papa dubi dubi;hl;+;no;;;
hw21;poa comp;hl;1;no;2008-0151;;
hw21;poly odor;hl;1;no;;;
hw21;puls gran;hl;+;no;;;
hw21;scab ochr;hl;1;no;;;
hw21;secu vari;hl;1;no;;;
hw21;sese aust;hl;+;no;;;
hw21;sesl caer;hl;3;no;;;
hw21;stac rect rect;hl;+;no;;;
hw21;stip penn;hl;1;no;;;
hw21;tana cory cory;hl;1;no;;;
hw21;thes alpi;hl;+;no;2008-0089;;
hw21;vero aust;hl;+;no;2008-0087;;
hw21;vinc hiru;hl;1;no;;;
hw21;amel oval;sl;1;no;;;
hw22;ajug gene;hl;+;yes;;;
hw22;alli lusi;hl;+;yes;;;
hw22;amel oval;hl;+;yes;;;
hw22;anth ramo;hl;+;yes;;;
hw22;anth vuln poly;hl;+;yes;;;
hw22;arab sagi;hl;+;no;;;
hw22;aren serp;hl;2a;no;;;
hw22;aspe cyna;hl;+;yes;;;
hw22;aspl ruta;hl;+;yes;;;
hw22;aspl tric quad;hl;+;no;;;
hw22;bupl falc falc;hl;+;yes;;;
hw22;camp cesp;hl;+;yes;;;
hw22;card cras glau;hl;+;yes;;;
hw22;card nuta nuta;hl;1;no;;;
hw22;cent scab bade;hl;+;yes;;;
hw22;clem vita;hl;+;yes;;;
hw22;clin acin;hl;+;yes;;;
hw22;clin alpi alpi;hl;+;no;;;
hw22;cyno offi;hl;+;yes;;;
hw22;dact glom glom;hl;+;yes;;;
hw22;echi vulg;hl;+;yes;;;
hw22;erys sylv;hl;1;yes;;;
hw22;euph cypa;hl;+;no;;;
hw22;fest stri sulc;hl;+;no;;;
hw22;frax exce;hl;r;yes;;;
hw22;fuma proc;hl;+;yes;;;
hw22;fuma schl;hl;+;no;;;
hw22;gali luci;hl;+;yes;;;
hw22;geum urba;hl;+;yes;;;
hw22;glob cord;hl;+;yes;;;
hw22;hack defl;hl;+;no;2008-0084;;
hw22;heli numm glab;hl;+;yes;;;
hw22;jovi glob hirt;hl;2a;no;;;
hw22;leon inca;hl;+;yes;;;
hw22;lotu corn;hl;+;yes;;;
hw22;malv negl;hl;+;yes;;;
hw22;medi lupu;hl;+;yes;;;
hw22;orig vulg;hl;1;yes;;;
hw22;pelt alli;hl;1;yes;;;
hw22;poa bade;hl;+;no;;;
hw22;poly odor;hl;+;yes;;;
hw22;pote inca;hl;+;no;;;
hw22;pote pusi;hl;+;no;;;
hw22;rese lute lute;hl;+;yes;;;
hw22;sang mino mino;hl;+;yes;;;
hw22;sedu albu;hl;1;no;;;
hw22;tara sect rude;hl;1;yes;;;
hw22;teuc cham;hl;2a;yes;;;
hw22;teuc mont;hl;1;no;;;
hw22;verb chai aust;hl;+;yes;;;
hw22;vinc hiru;hl;3;no;;;
hw22;viol coll;hl;+;yes;;;
hw22;bryu arge;ml;1;no;;;
hw22;tort tort;ml;1;no;;;
hw23;alli flav;hl;+;yes;;;
hw23;alli lusi;hl;+;no;;;
hw23;anch offi;hl;+;yes;;;
hw23;arab sagi;hl;+;no;;;
hw23;aren serp;hl;1;no;;;
hw23;aspe cyna;hl;+;yes;;;
hw23;aspl ruta;hl;+;no;;;
hw23;aspl tric quad;hl;+;no;;;
hw23;brac sylv;hl;+;yes;;;
hw23;bugl arve;hl;+;yes;;;
hw23;bupl falc falc;hl;+;no;;;
hw23;came micr sylv;hl;+;yes;;;
hw23;camp cesp;hl;+;no;;;
hw23;card cras glau;hl;+;no;;;
hw23;card nuta nuta;hl;+;no;2008-0047;;
hw23;care hall;hl;1;yes;;;
hw23;cent scab bade;hl;+;yes;;;
hw23;clin acin;hl;+;no;;;
hw23;clin alpi alpi;hl;+;yes;;;
hw23;conv arve;hl;+;no;;;
hw23;corn mas;hl;+;yes;;;
hw23;echi vulg;hl;2a;no;;;
hw23;erys sylv;hl;1;yes;;;
hw23;euph cypa;hl;+;no;;;
hw23;gali luci;hl;1;yes;;;
hw23;glob cord;hl;+;no;;;
hw23;heli numm glab;hl;+;no;;;
hw23;heli numm obsc;hl;+;no;;cf.;
hw23;hipp emer emer;hl;+;yes;;;
hw23;hype perf;hl;+;yes;;;
hw23;jovi glob hirt;hl;+;no;;;
hw23;lact vimi;hl;+;yes;;;
hw23;lase sile sile;hl;+;yes;;;
hw23;leon inca;hl;+;yes;;;
hw23;lina geni;hl;+;yes;;;
hw23;meli cili;hl;+;yes;;;
hw23;papa dubi dubi;hl;+;no;;;
hw23;pelt alli;hl;1;no;;;
hw23;poa annu;hl;+;yes;2008-0152;;
hw23;rese lute lute;hl;1;yes;;;
hw23;rosa cani;hl;+;yes;;;
hw23;scab ochr;hl;+;yes;;;
hw23;secu vari;hl;+;yes;;;
hw23;sedu albu;hl;+;no;;;
hw23;sese aust;hl;+;yes;;;
hw23;sesl caer;hl;+;yes;;;
hw23;sile vulg vulg;hl;+;yes;;;
hw23;stac rect rect;hl;+;yes;;;
hw23;tara sect rude;hl;+;no;;;
hw23;teuc cham;hl;2a;no;;;
hw23;teuc mont;hl;+;no;;;
hw23;verb thap;hl;1;no;;;
hw23;vinc hiru;hl;2a;no;;;
hw23;viol tric saxa;hl;+;yes;;;
hw23;bryu arge;ml;+;no;;;
hw24;ajug gene;hl;+;yes;;;
hw24;alli flav;hl;+;no;;;
hw24;alli lusi;hl;+;yes;;;
hw24;anch offi;hl;+;yes;;;
hw24;anth ramo;hl;+;yes;;;
hw24;arab sagi;hl;+;no;;;
hw24;aren serp;hl;1;no;;;
hw24;aspl ruta;hl;+;no;;;
hw24;aspl tric quad;hl;+;no;;;
hw24;brac sylv;hl;+;yes;;;
hw24;brom tect;hl;+;no;;;
hw24;bupl falc falc;hl;+;no;;;
hw24;camp cesp;hl;+;no;;;
hw24;camp pers;hl;+;yes;;;
hw24;card cras glau;hl;+;yes;;;
hw24;care hall;hl;+;yes;;;
hw24;care muri sstr;hl;1;yes;;;
hw24;cent scab bade;hl;+;yes;;;
hw24;clin acin;hl;+;no;;;
hw24;conv arve;hl;1;no;;;
hw24;corn mas;hl;+;yes;;;
hw24;cory avel;hl;+;yes;;;
hw24;dact glom glom;hl;+;no;;;
hw24;echi vulg;hl;2a;yes;;;
hw24;erys sylv;hl;1;yes;;;
hw24;euph cypa;hl;+;no;;;
hw24;gali luci;hl;1;yes;;;
hw24;gali spur;hl;+;no;;;
hw24;glob cord;hl;+;no;;;
hw24;heli numm glab;hl;1;no;;;
hw24;hipp emer emer;hl;+;yes;;;
hw24;hylo maxi;hl;+;yes;;;
hw24;hype perf;hl;+;yes;;;
hw24;jovi glob hirt;hl;+;no;;;
hw24;lact serr;hl;+;yes;;;
hw24;lact vimi;hl;1;yes;;;
hw24;leon inca;hl;+;yes;;;
hw24;lina geni;hl;+;yes;;;
hw24;malv sylv sylv;hl;1;yes;;;
hw24;medi lupu;hl;+;yes;;;
hw24;meli cili;hl;1;yes;;;
hw24;micr perf;hl;+;no;;;
hw24;papa dubi dubi;hl;+;yes;;;
hw24;pelt alli;hl;2a;no;;;
hw24;poa annu;hl;+;no;;;
hw24;prun maha;hl;+;yes;;;
hw24;rese lute lute;hl;1;yes;;;
hw24;samb nigr;hl;+;no;;;
hw24;sang mino mino;hl;+;yes;;;
hw24;scab ochr;hl;+;yes;;;
hw24;secu vari;hl;1;yes;;;
hw24;sedu albu;hl;+;no;;;
hw24;sile lati alba;hl;1;yes;;;
hw24;sile nuta nuta;hl;+;yes;;;
hw24;sile vulg vulg;hl;+;yes;;;
hw24;stac rect rect;hl;+;yes;;;
hw24;tana cory cory;hl;+;no;;;
hw24;teuc cham;hl;2a;no;;;
hw24;teuc mont;hl;+;no;;;
hw24;vale offi tenu;hl;+;no;;;
hw24;verb thap;hl;1;no;;;
hw24;vero aust;hl;+;yes;;cf. V. teucrium;
hw24;vero cham cham;hl;+;yes;;;
hw24;viol tric saxa;hl;1;yes;;;
hw24;tort tort;ml;+;no;;;
hw24;corn mas;sl;+;yes;;;
hw24;cory avel;sl;+;yes;;;
hw24;euon euro;sl;+;yes;;;
hw24;prun maha;sl;1;yes;;;
hw24;rham cath;sl;+;yes;;;
hw24;rosa cani;sl;2a;yes;;;
hw24;sorb pann;sl;+;yes;;;
hw25;alli flav;hl;1;no;;;
hw25;aspl ruta;hl;+;no;;;
hw25;bugl arve;hl;+;no;2008-0045;;
hw25;bupl falc falc;hl;1;no;;;
hw25;came micr sylv;hl;+;no;;;
hw25;cent scab bade;hl;1;no;;;
hw25;clin acin;hl;+;no;;;
hw25;dact glom glom;hl;1;no;;;
hw25;dian cart cart;hl;1;no;;;
hw25;echi vulg;hl;+;no;;;
hw25;erys sylv;hl;+;no;;;
hw25;gali luci;hl;1;no;;;
hw25;heli numm glab;hl;1;no;2008-0109;;
hw25;heli numm obsc;hl;+;no;2008-0108;;
hw25;jovi glob hirt;hl;+;no;;;
hw25;leon inca;hl;+;no;;;
hw25;lina geni;hl;+;no;;;
hw25;meli cili;hl;3;no;;;
hw25;micr perf;hl;+;no;;;
hw25;pelt alli;hl;+;no;;;
hw25;poly odor;hl;1;no;;;
hw25;puls gran;hl;+;no;;;
hw25;rese lute lute;hl;+;no;;;
hw25;scab ochr;hl;+;no;;;
hw25;secu vari;hl;1;no;;;
hw25;sese aust;hl;1;no;;;
hw25;sesl caer;hl;1;no;;;
hw25;sile nuta nuta;hl;+;no;;;
hw25;stac rect rect;hl;1;no;;;
hw25;vero aust;hl;+;no;;;
hw25;rham cath;sl;+;no;;;
hw25;rosa cani;sl;1;no;;;
hw25;rosa micr;sl;1;no;;;
hw26;arrh elat;hl;+;yes;;;
hw26;bupl falc falc;hl;1;yes;;;
hw26;dory germ;hl;3;no;;;
hw26;erys sylv;hl;+;yes;;;
hw26;euph poly;hl;+;no;;;
hw26;gale angu;hl;2m;no;2008-0016;;
hw26;gali albu;hl;2a;no;2008-0001;cf.;
hw26;gera robe;hl;+;no;;;
hw26;jovi glob hirt;hl;+;no;;;
hw26;lotu corn;hl;+;no;;;
hw26;orig vulg;hl;+;no;;;
hw26;orob spec ies;hl;1;no;;;
hw26;peuc aust;hl;+;yes;;;
hw26;prun maha;hl;+;no;;;
hw26;scab ochr;hl;+;yes;;;
hw26;secu vari;hl;+;yes;;;
hw26;stac rect rect;hl;+;yes;;;
hw26;verb chai aust;hl;+;no;;;
hw26;hylo sple;ml;2b;no;;;
hw26;unde bryo;ml;1;;;;
hw27;acer camp;hl;+;yes;;;
hw27;acer pseu;hl;+;yes;;;
hw27;ajug gene;hl;+;no;;;
hw27;anth vuln poly;hl;1;no;2008-0130;;
hw27;arab sagi;hl;+;no;;;
hw27;arrh elat;hl;1;no;;;
hw27;berb vulg;hl;+;no;;;
hw27;brac sylv;hl;+;no;;;
hw27;buph sali;hl;+;no;;;
hw27;bupl falc falc;hl;+;no;;;
hw27;camp rapu rapu;hl;2a;no;2008-0029;;
hw27;care hall;hl;+;no;2008-0071;;
hw27;clem vita;hl;+;no;;;
hw27;clin alpi alpi;hl;+;no;;;
hw27;corn mas;hl;1;no;;;
hw27;corn sang slat;hl;1;yes;;;
hw27;cory avel;hl;+;yes;;;
hw27;crat mono;hl;+;yes;;;
hw27;cyti nigr nigr;hl;+;no;;;
hw27;dact glom glom;hl;+;no;;;
hw27;dauc caro caro;hl;1;no;;; | Changed dauc caro To dauc caro caro 2012-11-27 14:15:27
hw27;dory germ;hl;2a;no;;;
hw27;euph cypa;hl;+;no;;;
hw27;frax exce;hl;+;yes;;;
hw27;gali albu;hl;+;no;;cf.;
hw27;hype perf;hl;+;no;;;
hw27;jovi glob hirt;hl;+;no;;;
hw27;leon hisp slat;hl;+;no;2008-0024;cf. L. hispidus ssp. hyoseroides;
hw27;leon inca;hl;+;no;;;
hw27;ligu vulg;hl;+;no;;;
hw27;lina geni;hl;+;no;;;
hw27;lotu corn;hl;2a;no;;;
hw27;medi lupu;hl;+;no;;;
hw27;mela nemo;hl;+;no;2008-0101;cf.;
hw27;meli cili;hl;1;no;;;
hw27;meli offi;hl;1;no;;;
hw27;orig vulg;hl;2b;no;;;
hw27;pinu nigr nigr;hl;+;no;;;
hw27;poly cham;hl;+;yes;;;
