plot,cov,tcov1,tcov2,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,date,longitude,latitude,accuracy,elevation,description,alliance,location,comment,observer
bsx29,,,,,,,,,,,,,,,,,,,2017-03-03,13.084464,47.682657,10,,,Tilenion platyphylli,Ruine Thürndl W-Hang,planned,R. Kaiser
bsx30,,,,,,,,,,,,,,,,,,,2017-03-03,13.084380,47.682887,10,,,Tilenion platyphylli,Ruine Thürndl W-Hang,planned,R. Kaiser
bsx31,,,,,,,,,,,,,,,,,,,2017-03-03,13.083888,47.683542,10,,,Tilenion platyphylli,Ruine Thürndl W-Hang,planned,R. Kaiser
bsx32,,,,,,,,,,,,,,,,,,,2017-03-03,13.083559,47.683618,10,,,Tilenion platyphylli,Ruine Thürndl W-Hang,planned,R. Kaiser
bsx33,,,,,,,,,,,,,,,,,,,2017-03-03,13.083402,47.683915,10,,,Tilenion platyphylli,Ruine Thürndl W-Hang,planned,R. Kaiser
bsx34,,,,,,,,,,,,,,,,,,,2017-03-03,13.083115,47.684215,10,,,Tilenion platyphylli,Ruine Thürndl W-Hang,planned,R. Kaiser
bsx35,,,,,,,,,,,,,,,,,,,2017-03-03,13.082782,47.684283,10,,,Tilenion platyphylli,Ruine Thürndl W-Hang,planned,R. Kaiser
bsx36,,,,,,,,,,,,,,,,,,,2017-03-03,13.082509,47.684246,10,,,Tilenion platyphylli,Ruine Thürndl W-Hang,planned,R. Kaiser
bsx37,,,,,,,,,,,,,,,,,,,2017-03-03,13.082423,47.684124,10,,,Tilenion platyphylli,Ruine Thürndl W-Hang,planned,R. Kaiser
bsx38,,,,,,,,,,,,,,,,,,,2017-03-03,13.082797,47.683937,10,,,Tilenion platyphylli,Ruine Thürndl W-Hang,planned,R. Kaiser
bsx39,,,,,,,,,,,,,,,,,,,2017-03-03,13.083836,47.683334,10,,,Tilenion platyphylli,Ruine Thürndl W-Hang,planned,R. Kaiser
bsx40,,,,,,,,,,,,,,,,,,,2017-03-03,13.084044,47.683088,10,,,Tilenion platyphylli,Ruine Thürndl W-Hang,planned,R. Kaiser
