taxon,matched.taxon
Acer platanoides,Acer platanoides
Acer pseudoplatanus,Acer pseudoplatanus
Amelanchier ovalis,Amelanchier ovalis
Betula pendula,Betula pendula
Carpinus betulus,Carpinus betulus
Corylus avellana ,Corylus avellana
Cotoneaster tomentosus,Cotoneaster tomentosus
Fagus sylvatica,Fagus sylvatica
Frangula alnus,Frangula alnus
Fraxinus excelsior,Fraxinus excelsior
Ilex aquifolium,Ilex aquifolium
Larix decidua,Larix decidua
Picea abies,Picea abies
Pinus sylvestris,Pinus sylvestris
Prunus avium,Prunus avium s.lat.
Rhamnus cathartica,Rhamnus cathartica
Salix appendiculata,Salix appendiculata s.str.
Salix eleagnos,Salix eleagnos ssp. eleagnos
Salix purpurea,Salix purpurea
Sorbus aria,Sorbus aria s.str.
Sorbus aucuparia,Sorbus aucuparia ssp. aucuparia
Taxus baccata,Taxus baccata
Tilia cordata,Tilia cordata
Tilia platyphyllos,Tilia platyphyllos
Ulmus glabra,Ulmus glabra
Acer platanoides,Acer platanoides
Acer pseudoplatanus,Acer pseudoplatanus
Achillea c.f. clavennae,Achillea clavennae
Adenostyles glabra,Adenostyles alpina
Aegopodium podagraria,Aegopodium podagraria
Allium montanum,Allium lusitanicum
Amelanchier ovalis,Amelanchier ovalis
Angelica sylvestris,Angelica sylvestris ssp. sylvestris
Anthericum ramosum,Anthericum ramosum
Aquilegia atrata,Aquilegia atrata
Arabis alpina,Arabis alpina ssp. alpina
Arabis hirsuta,Arabis hirsuta s.str.
Aruncus dioicus,Aruncus dioicus
Asplenium ruta-muraria,Asplenium ruta-muraria
Asplenium trichomanes subsp. quadrivalens,Asplenium trichomanes ssp. quadrivalens
Asplenium viride,Asplenium viride
Aster bellidiastrum,Bellidiastrum michelii
Athyrium filix-femina,Athyrium filix-femina
Berberis vulgaris,Berberis vulgaris
Brachypodium pinnatum,Brachypodium pinnatum s.str.
Buphthalmum salicifolium,Buphthalmum salicifolium
Calamagrostis varia,Calamagrostis varia
Campanula persicifolia,Campanula persicifolia
Campanula rapunculoides,Campanula rapunculoides ssp. rapunculoides
Campanula rotundifolia,Campanula rotundifolia s.str.
Cardaminopsis arenosa,Arabidopsis arenosa
Carduus defloratus subsp. viridis,Carduus defloratus ssp. viridis
Carex alba,Carex alba
Carex digitata,Carex digitata
Carex firma,Carex firma
Carex flacca subsp. flacca,Carex flacca ssp. flacca
Carex humilis,Carex humilis
Carex montana,Carex montana
Carex mucronata,Carex mucronata
Carex sylvatica,Carex sylvatica ssp. sylvatica
Clematis alpina,Clematis alpina ssp. alpina
Clematis vitalba,Clematis vitalba
Clinopodium alpinum subsp. alpinum,Clinopodium alpinum ssp. alpinum
Convallaria majalis subsp. majalis,Convallaria majalis ssp. majalis
Cornus mas,Cornus mas
Cornus sanguinea subsp. sanguinea,Cornus sanguinea s.lat.
Corylus avellana,Corylus avellana
