plot;abbr;layer;cov;voucher;comment;history
tg01;agro alpi;hl;1;;;
tg01;agro rupe rupe;hl;2b;;;
tg01;alch spec ies;hl;r;;;
tg01;anth alpi;hl;1;;;
tg01;arct alpi;hl;2a;;;
tg01;aven vers;hl;+;;;
tg01;bart alpi;hl;+;;;
tg01;camp sche;hl;+;;;
tg01;care atra;hl;r;;cf. vegative material;
tg01;care firm;hl;1;;;
tg01;care semp semp;hl;1;;;
tg01;cham alpi;hl;+;;;
tg01;drya octo;hl;2a;;;
tg01;euph mini;hl;2m;;voucher;
tg01;euph sali;hl;+;;;
tg01;fest pumi;hl;2a;;;
tg01;gali nori;hl;+;;;
tg01;gent aspe;hl;2m;;voucher;
tg01;gent vern vern;hl;r;;;
tg01;hedy hedy hedy;hl;r;;;
tg01;heli alpe;hl;+;;;
tg01;hier alpi;hl;1;;voucher;
tg01;homo alpi;hl;+;;;
tg01;homo disc;hl;1;;;
tg01;hupe sela;hl;+;;;
tg01;junc mona;hl;+;;;
tg01;luzu alpi na;hl;r;;cf. vegative material;
tg01;luzu glab;hl;r;;;
tg01;minu gera;hl;+;;;
tg01;pach mute;hl;+;;;
tg01;pedi rost tata;hl;+;;;
tg01;pers vivi;hl;+;;;
tg01;phyt orbi;hl;+;;;
tg01;poa alpi;hl;+;;;
tg01;pote aure;hl;+;;;
tg01;pote cran;hl;1;;;
tg01;prim clus;hl;2a;;;
tg01;ranu alpe;hl;+;;;
tg01;rhod hirs;hl;+;;;
tg01;sali retu;hl;+;;;
tg01;saus pygm;hl;+;;;
tg01;saxi caes;hl;r;;;
tg01;scor helv;hl;2a;;;
tg01;sela sela;hl;+;;;
tg01;sesl caer;hl;1;;;
tg01;sile acau exsc;hl;+;;voucher;
tg01;sile acau long;hl;2a;;;
tg01;tofi pusi;hl;+;;;
tg01;vacc gaul;hl;1;;;
tg01;vacc myrt;hl;2a;;;
tg01;vacc viti;hl;2a;;;
tg01;cetr eric;ml;+;;;
tg01;cetr isla isla;ml;+;;;
tg01;clad rang;ml;+;;;
tg01;clad unci slat;ml;2a;;;
tg01;flav cucu;ml;2a;;;
tg01;flav niva;ml;1;;;
tg01;hylo sple;ml;+;;;
tg01;pleu schr;ml;+;;;
tg01;poly juni;ml;+;;;
tg01;rhyt triq;ml;+;;;
tg01;tham verm verm;ml;+;;;
tg01;tort tort;ml;1;;;
tg01;vulp tubu;ml;r;;;
tg02;achi clav;hl;r;;;
tg02;anth alpi;hl;+;;;
tg02;anth vuln alpi;hl;+;;;
tg02;arct alpi;hl;2m;;;
tg02;bart alpi;hl;+;;;
tg02;camp alpi;hl;+;;;
tg02;care capi;hl;+;;;
tg02;care firm;hl;3;;;
tg02;care parv;hl;+;;cf.;
tg02;drya octo;hl;2a;;;
tg02;euph mini;hl;+;;;
tg02;fest pumi;hl;+;;;
tg02;gali nori;hl;+;;;
tg02;heli alpe;hl;+;;;
tg02;homo alpi;hl;+;;cf.;
tg02;homo disc;hl;+;;;
tg02;hupe sela;hl;+;;;
tg02;lois proc;hl;2b;;;
tg02;minu sedo;hl;+;;;
tg02;nocc cran;hl;+;;cp. 2012-0135;
tg02;oxyt mont;hl;r;;;
tg02;parn palu;hl;+;;;
tg02;pedi rose rose;hl;+;2012-0133;;
tg02;pedi rost tata;hl;+;;;
tg02;pers vivi;hl;+;;;
tg02;ping alpi;hl;+;;;
tg02;prim clus;hl;+;;;
tg02;ranu alpe;hl;+;;;
tg02;rhod hirs;hl;+;;;
tg02;sali retu;hl;+;;;
tg02;saxi aizo;hl;+;;;
tg02;sela sela;hl;+;;;
tg02;sile acau long;hl;+;;;
tg02;sold aust;hl;+;2012-0134;cf. ;
tg02;tofi pusi;hl;1;;;
tg02;vacc gaul;hl;+;;;
tg02;vacc viti;hl;+;;;
tg02;vale celt nori;hl;+;;;
tg02;vero aphy;hl;r;;;
tg02;brac glar glar;ml;+;;;
tg02;calo spec ies;ml;+;;;
tg02;cetr isla isla;ml;+;;;
tg02;clad rang;ml;r;;;
tg02;clad unci slat;ml;r;;;
tg02;tham verm verm;ml;+;;;
tg02;tort tort;ml;+;;;
tg02;vulp tubu;ml;r;;;
tg03;agro alpi;hl;2a;;;
tg03;agro rupe rupe;hl;+;2012-0136;;
tg03;arct alpi;hl;2a;;;
tg03;bart alpi;hl;+;;;
tg03;camp alpi;hl;1;;;
tg03;care atra;hl;+;;;
tg03;care capi;hl;+;;;
tg03;care firm;hl;2a;;;
tg03;care fuli;hl;1;2012-0137;;
tg03;drya octo;hl;+;;;
tg03;euph mini;hl;+;;;
tg03;fest pumi;hl;+;;;
tg03;gali nori;hl;r;;;
tg03;heli alpe;hl;+;;;
tg03;homo alpi;hl;+;;;
tg03;hupe sela;hl;+;;;
tg03;kobr simp;hl;+;;;
tg03;lois proc;hl;3;;;
tg03;minu sedo;hl;+;;;
tg03;nocc cran;hl;+;2012-0135;;
tg03;pedi rost tata;hl;+;;;
tg03;pers vivi;hl;+;;;
tg03;prim clus;hl;+;;;
tg03;sali retu;hl;+;;;
tg03;saus pygm;hl;r;;;
tg03;sela sela;hl;+;;;
tg03;sold aust;hl;+;;cf.;
tg03;tofi pusi;hl;+;;;
tg03;vacc gaul;hl;1;;;
tg03;vacc myrt;hl;+;;;
tg03;vacc viti;hl;+;;;
tg03;vale celt nori;hl;+;;;
tg03;brac glar glar;ml;+;;;
tg03;cetr eric;ml;+;;cf.;
tg03;cetr isla isla;ml;+;;;
tg03;clad arbu slat;ml;+;;;
tg03;clad pyxi;ml;+;;;
tg03;clad rang;ml;+;;;
tg03;clad unci slat;ml;+;;;
tg03;dicr spec ies;ml;+;;;
tg03;flav cucu;ml;+;;;
tg03;hylo sple;ml;+;;;
tg03;pleu schr;ml;+;;;
tg03;poly juni;ml;+;;;
tg03;tham verm verm;ml;+;;;
tg03;unde bryo;ml;1;;mit gefransten Blättern;
tg04;anth vuln alpi;hl;+;;;
tg04;arct alpi;hl;+;;;
tg04;aren cili;hl;+;;;
tg04;bart alpi;hl;+;;;
tg04;camp coch;hl;r;;;
tg04;care firm;hl;2b;;;
tg04;crep terg;hl;+;;;
tg04;drya octo;hl;2b;;;
