plot,cov,hcov,mcov,hhl1,hhl2,scov,hsl,t1cov,t2cov,htl1,htl2,plsx,plsy,aspect,slope,rock,bare,stones,date,longitude,latitude,accuracy,elevation,ffh.code,alliance.code,alliance,geology1,geology2,comment,locality,habitat,observer
rk013,7,7,0,"0,1","0,3",0,0,0,0,0,0,4,4,WSW,45,0,0,0,2018-06-06,13.84022,48.06953,10,371,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Unteres Trauntal, rechtes Traun-Uferufer E Eglau",montane Kalk-Schutthalde,R. Kaiser
rk014,20,20,0,"0,1","0,6",0,0,0,0,0,0,4,4,SSE,20,0,0,0,2018-06-07,14.46175,48.08683,10,286,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Unteres Ennstal, rechtes Enns-Ufer N Maria im Winkel",montane Kalk-Schutthalde,R. Kaiser
rk015,5,5,0,"0,2","0,4",0,0,0,0,0,0,4,4,SSE,10,0,0,0,2018-06-07,14.48455,48.10742,10,286,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Unteres Ennstal, linkes Enns-Ufer S Winkling",montane Kalk-Schutthalde,R. Kaiser
rk016,35,35,0,"0,1","0,5",0,0,0,0,0,0,4,4,SE,35,0,0,0,2018-06-07,14.79838,48.06318,10,298,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Unteres Ybbstal, linkes Ybbsufer E Gösting",montane Kalk-Schutthalde,R. Kaiser
rk017,10,10,1,"0,1","0,4",1,1,0,0,0,0,4,4,ESE,40,0,0,0,2018-06-07,15.40690,48.35523,10,216,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Wachau, zwischen Teufelsmauer und Ruine Hinterhaus",montane Kalk-Schutthalde,R. Kaiser
rk018,3,3,0,"0,2","0,5",1,"1,5",0,0,0,0,4,4,WSW,45,0,0,0,2018-06-09,16.35772,48.32535,10,225,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Weinviertel, Bisamberg SW Lordes Grotte",montane Kalk-Schutthalde,R. Kaiser
rk019,50,40,0,"0,1","0,6",25,1,0,0,0,0,4,4,W,40,0,0,0,2018-06-09,16.35554,48.32007,10,202,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Weinviertel, Bisamberg W Elisabethhöhe",montane Kalk-Schutthalde,R. Kaiser
rk020,45,20,0,"0,1","0,4",25,"1,5",0,0,0,0,4,4,SW,40,0,0,0,2018-06-09,16.35573,48.32048,10,219,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Weinviertel, Bisamberg W Elisabethhöhe",montane Kalk-Schutthalde,R. Kaiser
rk021,20,20,0,"0,1","0,5",1,"1,5",0,0,0,0,4,4,WSW,40,0,0,0,2018-06-09,16.35561,48.32048,10,213,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Weinviertel, Bisamberg W Elisabethhöhe",montane Kalk-Schutthalde,R. Kaiser
rk022,25,25,0,"0,1","0,5",1,"0,8",0,0,0,0,4,4,WSW,35,0,0,0,2018-06-09,16.35573,48.31749,10,203,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Weinviertel, Bisamberg SW Elisabethhöhe",montane Kalk-Schutthalde,R. Kaiser
