plot,abbr,layer,cover,voucher,comment,compare,history
rk006,rosa cani,hl,r,,,,
rk006,sang mino mino,hl,r,,,,
rk006,scab colu,hl,+,,,,
rk006,sese liba liba,hl,r,,,,
rk006,sesl caer,hl,1,,,,
rk006,sorb aria,hl,r,,,,
rk006,fran alnu,sl,1,,,,
rk006,pinu sylv,tl2,1,,,,
rk007,brac sylv,hl,+,,,,
rk007,caly sepi,hl,r,,,,
rk007,camp rapu rapu,hl,r,,,,
rk007,clem vita,hl,1,,,,
rk007,corn sang slat,hl,+,,,,
rk007,frax exce,hl,+,,,,
rk007,loni xylo,hl,+,,,,
rk007,meli nuta,hl,r,,,,
rk007,sali elea elea,hl,+,,,,
rk007,sang mino mino,hl,r,,,,
rk007,thym pule pule,hl,r,,,,
rk007,vici crac,hl,r,,,,
rk007,clem vita,sl,+,,,,
rk007,sali elea elea,sl,1,,,,
rk007,sorb aria,sl,+,,,,
rk008,brac sylv,hl,+,,,,
rk008,cala vari,hl,+,,,,
rk008,card defl viri,hl,1,,,,
rk008,care alba,hl,r,,,,
rk008,clem vita,hl,2b,,,,
rk008,corn sang slat,hl,+,,,,
rk008,eupa cann,hl,+,,,,
rk008,hier muro,hl,+,,,,
rk008,poa comp,hl,r,,,,
rk008,rubu caes,hl,+,,,,
rk008,soli virg virg,hl,+,,,,
rk008,sonc aspe aspe,hl,r,,,,
rk008,verb lych,hl,r,,,,
rk008,verb thap,hl,r,,,,
rk008,corn sang slat,sl,+,,,,
rk008,fagu sylv,sl,1,,,,
rk008,prun padu padu,sl,+,,,,
rk008,sali capr,sl,+,,,,
rk008,sali tria tria,sl,+,,,,
rk009,camp rapu rapu,hl,1,,,,
rk009,camp trac,hl,+,,,,
rk009,card defl viri,hl,+,,,,
rk009,care orni slat,hl,r,,,,
rk009,chlo stat,hl,r,,,,
rk009,clem vita,hl,2a,,,,
rk009,eupa cann,hl,+,,,,
rk009,fagu sylv,hl,1,,,,
rk009,gali sylv,hl,+,,,,
rk009,meli nuta,hl,+,,,,
rk009,peta para,hl,4,,,,
rk009,rubu caes,hl,+,,,,
rk009,soli virg virg,hl,+,,,,
rk009,vale trip,hl,+,,,,
rk009,acer pseu,sl,+,,,,
rk009,corn sang slat,sl,+,,,,
rk009,fagu sylv,sl,+,,,,
rk010,acer pseu,hl,+,,,,
rk010,anth ramo,hl,2a,,,,
rk010,cala vari,hl,1,,,,
rk010,camp rapu rapu,hl,+,,,,
rk010,care orni slat,hl,r,,,,
rk010,clem vita,hl,1,,,,
rk010,fran alnu,hl,+,,,,
rk010,frax exce,hl,+,,,,
rk010,gali pumi,hl,+,2018-0112,,,
rk010,meli nuta,hl,+,,,,
rk010,pice abie,hl,r,,,,
rk010,poly cham,hl,1,,,,
rk010,sali capr,hl,r,,,,
rk010,teuc cham,hl,+,,,,
rk010,ulmu glab,hl,r,,,,
rk010,cory avel,sl,1,,,,
rk011,acer pseu,hl,r,,,,
rk011,arab sagi,hl,+,2018-0110,,,
rk011,cala vari,hl,1,,,,
rk011,camp rapu rapu,hl,1,,,,
rk011,camp trac,hl,r,,,,
rk011,card defl viri,hl,+,,,,
rk011,clem vita,hl,2b,,,,
rk011,clin foli,hl,+,2018-0109,,,
rk011,epil angu,hl,r,,,,
rk011,fagu sylv,hl,r,,,,
rk011,frax exce,hl,r,,,,
rk011,hier bifi,hl,r,,,,
rk011,rubu idae,hl,r,,,,
rk011,sali elea elea,hl,r,,,,
rk012,anth ramo,hl,1,,,,
rk012,camp rapu rapu,hl,+,,,,
rk012,care alba,hl,r,,,,
rk012,clem vita,hl,1,,,,
rk012,epil mont,hl,+,,,,
rk012,fagu sylv,hl,+,,,,
rk012,frag vesc,hl,+,,,,
rk012,gale mont,hl,+,,,,
rk012,hell nige,hl,+,,,,
rk012,rubu caes,hl,+,,,,
rk012,rubu idae,hl,+,,,,
rk012,rubu sect rubu,hl,+,,,,
