plot,abbr,layer,cover,voucher,comment,compare,history
rk276,hier pilo ides,hl,+,,,,
rk276,lotu corn slat,hl,r,,,,
rk276,pinu sylv,hl,r,,,,
rk276,poa comp,hl,+,,,,
rk276,popu nigr,hl,r,,,,
rk276,scab colu,hl,+,,,,
rk276,sile nuta nuta,hl,1,,,,
rk276,thym prae poly,hl,2b,,thym prae poly,ok,
rk276,thym pule pule,hl,r,,,,
rk276,verb thap,hl,r,,,,
rk277,acer pseu,hl,r,,,,
rk277,atha cret,hl,r,,,,
rk277,bisc laev laev,hl,1,,,,
rk277,buph sali,hl,1,,,,
rk277,cala vari,hl,1,,,,
rk277,camp cesp,hl,+,,,,
rk277,care humi,hl,r,,,,
rk277,clin alpi alpi,hl,r,,,,
rk277,gali luci,hl,2a,2019-0158,,,
rk277,gera robe,hl,+,,,,
rk277,peta para,hl,r,,,,
rk277,scro jura,hl,+,,,,
rk277,sile vulg glar,hl,2m,,,,
rk277,thal minu saxa,hl,r,,thal minu saxa,ok,
rk278,alli lusi,hl,r,2019-0090,,,
rk278,atha cret,hl,+,,,,
rk278,bisc laev laev,hl,1,,,,
rk278,camp cesp,hl,r,,,,
rk278,gali luci,hl,1,,gali luci,ok,
rk278,gymn robe,hl,1,,,,
rk278,sile vulg glar,hl,1,,,,
rk278,thal minu saxa,hl,1,2019-0164,,,
rk279,anth ramo,hl,r,,,,
rk279,aspl ruta,hl,r,,,,
rk279,atha cret,hl,1,,,,
rk279,bisc laev laev,hl,1,,,,
rk279,buph sali,hl,+,,,,
rk279,cala vari,hl,+,,,,
rk279,camp cesp,hl,+,,,,
rk279,care humi,hl,1,,,,
rk279,clin alpi alpi,hl,+,,,,
rk279,eric carn,hl,r,,,,
rk279,euph cypa,hl,r,,,,
rk279,gali anis,hl,r,,,,
rk279,gali luci,hl,+,,gali luci,ok,
rk279,scro jura,hl,r,,,,
rk279,sedu albu,hl,r,,,,
rk279,sesl caer,hl,r,,,,
rk279,sile vulg glar,hl,1,,,,
rk279,teuc mont,hl,+,,,,
rk279,thal minu saxa,hl,1,,thal minu saxa,ok,
rk279,thes alpi,hl,r,,,,
rk279,verb thap,hl,r,,,,
rk280,acer pseu,hl,r,,,,
rk280,bisc laev laev,hl,1,,,,
rk280,buph sali,hl,r,,,,
rk280,camp cesp,hl,r,,,,
rk280,euph cusp,hl,r,,,,
rk280,sedu albu,hl,1,,,,
rk280,sile vulg glar,hl,2b,,,,
rk280,teuc cham,hl,r,,,,
rk280,verb thap,hl,r,,,,
rk281,anth ramo,hl,+,,,,
rk281,aspe cyna,hl,r,2019-0156,,,
rk281,beto alop,hl,1,,,,
rk281,buph sali,hl,1,,,,
rk281,cala vari,hl,1,,,,
rk281,camp cesp,hl,+,,,,
rk281,care humi,hl,2a,,,,
rk281,clem vita,hl,+,,,,
rk281,clin alpi alpi,hl,+,,,,
rk281,cycl purp,hl,+,,,,
rk281,gali luci,hl,+,,gali luci,ok,
rk281,hier porr lium,hl,r,,,,
rk281,meli cili,hl,r,,,,
rk281,sedu albu,hl,+,,,,
rk281,sile haye,hl,r,2019-0157,,,
rk281,teuc cham,hl,1,,,,
rk281,thal minu saxa,hl,3,,thal minu saxa,ok,
rk281,verb thap,hl,r,,,,
rk281,vinc hiru,hl,2a,,,,
rk281,viol coll,hl,r,,,,
rk282,atha cret,hl,+,,,,
rk282,bisc laev laev,hl,+,,,,
rk282,camp cesp,hl,+,,,,
rk282,gali luci,hl,1,2019-0159,,,
rk282,scro jura,hl,r,,,,
rk282,sile vulg glar,hl,2m,,,,
rk282,teuc mont,hl,+,,,,
rk283,acer pseu,hl,r,,,,
rk283,camp cesp,hl,2m,,,,
rk283,drya octo,hl,r,,,,
rk283,eric carn,hl,r,,,,
rk283,euph cusp,hl,r,2019-0163,,,
rk283,gali luci,hl,+,,gali luci,ok,
rk283,heli alpe,hl,r,,,,
rk283,hier porr lium,hl,+,,,,
rk283,kern saxa,hl,1,,,,
rk283,lase sile sile,hl,r,,lase sile sile,ok,
rk283,leon inca,hl,1,,,,
rk283,pinu sylv,hl,r,,,,
rk283,poly cham,hl,+,,,,
rk283,rume scut,hl,+,,,,
rk283,sali glab,hl,1,,,,
rk283,sesl caer,hl,r,,,,
rk284,cala vari,hl,r,,,,
rk284,camp cesp,hl,+,,,,
rk284,gali anis,hl,+,,,,
rk284,hier glau cum,hl,r,2019-0149,,,
rk284,hier porr lium,hl,r,2019-0150,,,
rk284,lase sile sile,hl,r,2019-0148,,,
rk284,leon inca,hl,2m,,,,
rk284,poly cham,hl,r,,,,
rk284,rume scut,hl,+,,,,
rk285,arab sagi,hl,r,,,,
rk285,clem vita,hl,r,,,,
rk285,gali luci,hl,1,,det!,,
rk285,gali pumi,hl,r,,,,
rk285,teuc cham,hl,2a,,,,
rk285,verb chai aust,hl,+,,,,
rk286,clin alpi alpi,hl,r,,,,
rk286,euph cypa,hl,r,,,,
rk286,gale angu,hl,r,,,,
rk286,gali luci,hl,1,,,,
rk286,orig vulg,hl,r,,,,
rk286,sang mino mino,hl,r,,,,
rk286,scro jura,hl,r,,,,
rk286,teuc cham,hl,2b,,,,
rk286,verb chai aust,hl,+,,,,
rk287,conv arve,hl,r,,,,
rk287,gale angu,hl,1,2019-0081,,,
rk287,gali luci,hl,+,,,,
rk287,sang mino mino,hl,r,,,,
rk287,scro jura,hl,1,,,,
rk287,sedu albu,hl,r,,,,
rk287,teuc botr,hl,r,2019-0082,,,
rk287,teuc cham,hl,r,,,,
rk287,verb chai aust,hl,+,,,,
rk288,gale angu,hl,r,,,,
rk288,moeh musc,hl,+,2019-0083,,,
rk288,rume scut,hl,1,,,,
rk288,scro jura,hl,1,,,,
rk289,brac rupe,hl,+,2019-0087,,,
rk289,buph sali,hl,+,,,,
rk289,camp cesp,hl,1,2019-0088,,,
rk289,care humi,hl,+,,,,
rk289,carl acau acau,hl,r,,,,
rk289,clin alpi alpi,hl,+,,,,
rk289,euph cypa,hl,+,,,,
rk289,euph stri orob,hl,+,2019-0089,cf. E. cuspidata,,
rk289,frax ornu,hl,r,,,,
rk289,gali aust,hl,+,2019-0145,,,
rk289,gali luci,hl,+,,,,
rk289,geni pilo,hl,r,,,,
rk289,glob cord,hl,r,,,,
rk289,medi lupu,hl,r,,,,
rk289,scab colu,hl,r,2019-0086,,,
rk289,sorb aria,hl,r,,,,
rk289,teuc cham,hl,2a,,,,
rk289,thym prae poly,hl,2a,,,,
rk289,verb chai aust,hl,+,,,,
rk290,euph amyg amyg,hl,r,,,,
rk290,euph cypa,hl,1,,,,
rk290,gali luci,hl,+,,,,
rk290,teuc cham,hl,1,,,,
rk291,clem vita,hl,r,,,,
rk291,moeh musc,hl,r,,,,
rk291,rume scut,hl,2a,,,,
rk292,buph sali,hl,+,,,,
rk292,clem vita,hl,+,,,,
rk292,euph cypa,hl,r,,,,
rk292,gale angu,hl,+,2019-0084,,,
rk292,gali luci,hl,2a,,,,
rk292,hype perf,hl,r,,,,
rk292,leon inca,hl,r,,,,
rk292,peuc aust,hl,r,2019-0085,,,
rk292,rume scut,hl,1,,,,
rk292,salv glut,hl,r,,,,
rk292,teuc cham,hl,1,,,,
rk293,buph sali,hl,r,,,,
rk293,camp cesp,hl,+,,,,
rk293,clem vita,hl,+,,,,
rk293,cycl purp,hl,+,,,,
rk293,euph cypa,hl,+,,,,
rk293,gale angu,hl,r,,,,
rk293,gali luci,hl,2a,,,,
rk293,knau drym,hl,r,,,,
rk293,moeh musc,hl,+,,,,
rk293,ostr carp,hl,r,,,,
rk293,rume scut,hl,r,,,,
rk293,teuc cham,hl,1,,,,
rk294,euph cypa,hl,2m,,,,
rk294,gali luci,hl,2a,2019-0060,,,
rk294,gera robe,hl,+,,,,
rk294,moeh musc,hl,+,,,,
rk294,pimp majo majo,hl,+,,,,
rk294,rume scut,hl,2a,,,,
rk294,stac rect labi,hl,1,2019-0059,,,
rk294,thal minu saxa,hl,+,2019-0058,,,
rk294,tris arge,hl,r,2019-0061,,,
rk295,epip atro,hl,r,,,,
rk295,euph cypa,hl,1,,,,
rk295,gale angu,hl,1,2019-0055,,,
rk295,gali luci,hl,2a,,gali luci,ok,
rk295,gera robe,hl,+,,,,
rk295,moeh musc,hl,+,,,,
rk295,pimp majo majo,hl,+,,,,
rk295,rume scut,hl,2a,,,,
rk295,tris arge,hl,r,,,,
rk296,anth vuln alpi,hl,r,,,,
rk296,arab hirs,hl,r,2019-0057,cf.,,
rk296,buph sali,hl,+,,,,
rk296,cala vari,hl,+,,,,
rk296,card defl glau,hl,1,,,,
rk296,clin alpi alpi,hl,+,,,,
rk296,euph cypa,hl,1,,,,
rk296,gale angu,hl,1,,,,
rk296,gali luci,hl,1,,gali luci,ok,
rk296,gera robe,hl,+,,,,
rk296,hier bupl,hl,+,,hier bupl,ok,
rk296,medi lupu,hl,+,,,,
rk296,pimp majo majo,hl,+,,,,
rk296,rume scut,hl,2a,,,,
rk296,scro jura,hl,r,,,,
rk296,sedu albu,hl,+,,,,
rk296,sedu sexa,hl,+,,,,
rk296,sile nuta nuta,hl,+,2019-0056,,,
rk296,stac rect labi,hl,1,,,,
rk296,thym prae poly,hl,2m,,,,
rk296,tris arge,hl,+,,,,
rk297,alli lusi,hl,r,,,,
rk297,anth ramo,hl,+,,,,
rk297,bisc laev laev,hl,r,,,,
rk297,buph sali,hl,+,,,,
rk297,cala vari,hl,1,,,,
rk297,camp cesp,hl,+,,,,
rk297,card defl glau,hl,1,,,,
rk297,care humi,hl,r,,,,
rk297,clin alpi alpi,hl,+,,,,
rk297,euph cypa,hl,1,,,,
rk297,euph sali,hl,r,2019-0052,,,
rk297,frax exce,hl,r,,,,
rk297,gale angu,hl,r,,,,
rk297,gali luci,hl,2a,,,,
rk297,gera robe,hl,+,,,,
rk297,hier bupl,hl,+,2019-0054,,,
rk297,hier glau cum,hl,r,,,,
rk297,hype perf,hl,+,,,,
rk297,medi lupu,hl,+,,,,
rk297,peuc aust,hl,r,,,,
rk297,pimp majo majo,hl,+,,,,
rk297,rhin glac,hl,+,,cf.,,
rk297,rume scut,hl,2a,,,,
rk297,sang mino mino,hl,+,,,,
rk297,sile haye,hl,r,2019-0053,,,
rk297,sile nuta nuta,hl,+,,,,
rk297,stac rect labi,hl,2b,,,,
rk297,teuc mont,hl,+,,,,
rk297,thal minu maju,hl,1,,thal minu saxa,error,
rk297,thym prae poly,hl,2a,,,,
rk297,vici crac aggr,hl,+,,,,
rk298,cala vari,hl,+,,,,
rk298,camp cesp,hl,+,,,,
rk298,clin alpi alpi,hl,+,,,,
rk298,euph cypa,hl,+,,,,
rk298,euph stri orob,hl,+,,,,
rk298,gale angu,hl,1,,,,
rk298,gali luci,hl,1,,,,
rk298,glob cord,hl,r,,,,
rk298,hier bupl,hl,+,,hier bupl,ok,
rk298,hype perf,hl,+,,,,
rk298,medi lupu,hl,r,,,,
rk298,peuc aust,hl,r,,,,
rk298,rume scut,hl,1,,,,
rk298,sedu albu,hl,r,,,,
rk298,sile nuta nuta,hl,r,,,,
rk298,stac rect labi,hl,1,,,,
rk298,teuc botr,hl,r,2019-0051,,,
rk298,teuc mont,hl,+,,,,
rk298,thym prae poly,hl,+,,,,
rk299,cycl purp,hl,r,,,,
rk299,epip atro,hl,r,,,,
rk299,gymn robe,hl,1,,,,
rk299,hell nige,hl,r,,,,
rk299,moeh musc,hl,1,,,,
rk299,rham fall,hl,r,,,,
rk299,scro jura,hl,r,,,,
rk299,tris arge,hl,1,,,,
rk300,card defl summ,hl,r,2019-0064,,,
rk300,care humi,hl,r,,,,
rk300,epip atro,hl,r,,,,
rk300,euph cypa,hl,2m,,,,
rk300,gymn robe,hl,1,,,,
rk300,hell nige,hl,+,,,,
rk300,stac rect labi,hl,r,,,,
rk300,teuc mont,hl,r,,,,
rk300,tris arge,hl,r,,,,
rk301,euph amyg amyg,hl,r,,,,
rk301,euph cypa,hl,1,,,,
rk301,scro jura,hl,r,,,,
rk301,teuc mont,hl,+,,,,
rk301,thal minu saxa,hl,r,,,,
rk301,thym prae poly,hl,+,,,,
rk301,tris arge,hl,+,,,,
rk302,gymn robe,hl,1,,,,
rk302,lina vulg,hl,1,2019-0063,,,
rk303,cycl purp,hl,r,,,,
rk303,daph alpi,hl,r,2019-0065,,,
rk303,gera robe,hl,r,,,,
rk303,gymn robe,hl,2a,,,,
rk303,lact mura,hl,r,,,,
rk303,micr minu,hl,r,2019-0066,,,
rk303,moeh musc,hl,r,,,,
rk303,rham fall,hl,r,,,,
rk303,tris arge,hl,1,,,,
rk303,urti dioi dioi,hl,r,,,,
rk304,camp cesp,hl,r,,,,
rk304,care humi,hl,r,,,,
rk304,cycl purp,hl,r,,,,
rk304,euph cypa,hl,r,,,,
rk304,gera robe,hl,+,,,,
rk304,gymn robe,hl,1,,,,
rk304,hype perf,hl,r,,,,
rk304,lact mura,hl,+,,,,
rk304,merc pere,hl,+,,,,
rk304,moeh musc,hl,+,,,,
rk304,paed lute,hl,r,,,,
rk304,rham fall,hl,r,,,,
rk304,scro jura,hl,r,,,,
rk304,sola dulc,hl,r,,,,
rk304,teuc mont,hl,r,,,,
rk304,tris arge,hl,+,,,,
rk304,vinc hiru,hl,r,,,,
rk305,gera robe,hl,+,,,,
rk305,gymn robe,hl,+,,,,
rk305,micr minu,hl,r,,,,
rk305,moeh musc,hl,1,,,,
rk305,scro jura,hl,r,,,,
rk305,sedu albu,hl,r,,,,
rk305,sedu dasy,hl,r,,,,
rk305,teuc mont,hl,+,,,,
rk306,aspl ruta,hl,r,,,,
rk306,gera robe,hl,+,,,,
rk306,hier glau cum,hl,r,2019-0067,,,
rk306,lact mura,hl,r,,,,
rk306,micr minu,hl,1,,,,
rk306,moeh musc,hl,+,,,,
rk306,pice abie,hl,r,,,,
rk306,pinu sylv,hl,r,,,,
rk306,rham fall,hl,r,,,,
rk306,scro jura,hl,r,,,,
rk306,sedu albu,hl,+,,,,
rk306,sedu dasy,hl,r,,,,
rk306,verb thap,hl,r,,,,
rk307,aren serp,hl,r,,,,
rk307,camp cesp,hl,r,,,,
rk307,care humi,hl,r,,,,
rk307,gera robe,hl,+,,,,
rk307,gymn robe,hl,r,,,,
rk307,lari deci deci,hl,r,,,,
rk307,micr minu,hl,+,,,,
rk307,moeh musc,hl,+,,,,
rk307,sedu albu,hl,+,,,,
rk307,sedu dasy,hl,+,,,,
rk307,teuc mont,hl,r,,,,
rk307,tris arge,hl,r,,,,
rk308,anch offi,hl,r,,,,
rk308,camp cesp,hl,+,,,,
rk308,care humi,hl,r,,,,
rk308,euph amyg amyg,hl,r,,,,
rk308,micr minu,hl,+,,,,
rk308,rume scut,hl,+,,,,
rk308,scro jura,hl,r,,,,
rk308,sedu albu,hl,2a,,,,
rk308,sedu dasy,hl,r,,,,
rk308,teuc mont,hl,r,,,,
rk308,thym prae poly,hl,+,,,,
rk309,cala vari,hl,r,,,,
rk309,camp cesp,hl,r,,,,
rk309,euph cypa,hl,r,,,,
rk309,gymn robe,hl,r,,,,
rk309,moeh musc,hl,r,,,,
rk309,prim auri auri,hl,r,,,,
rk309,scro jura,hl,1,,,,
rk309,sedu albu,hl,2a,,,,
rk309,sedu dasy,hl,+,,,,
rk309,tris arge,hl,r,,,,
rk310,cycl purp,hl,+,,,,
rk310,rume scut,hl,+,,,,
rk310,sile vulg glar,hl,1,,,,
rk310,tris arge,hl,r,,,,
rk311,camp cesp,hl,+,,,,
rk311,care humi,hl,r,,,,
rk311,eric carn,hl,1,,,,
rk311,euph cypa,hl,r,,,,
rk311,gali luci,hl,+,,,,
rk311,moeh musc,hl,+,,,,
rk311,ostr carp,hl,r,,,,
rk311,sile vulg glar,hl,r,,,,
rk311,stac rect labi,hl,r,,,,
rk311,teuc cham,hl,r,,,,
rk311,teuc mont,hl,1,,,,
rk311,thal minu saxa,hl,+,,,,
rk311,vinc hiru,hl,+,,,,
rk312,achn cala,hl,+,2019-0070,,,
rk312,aspe cyna,hl,r,,,,
rk312,camp cesp,hl,r,,,,
rk312,card defl summ,hl,r,,,,
rk312,care humi,hl,1,,,,
rk312,hype perf,hl,r,,,,
rk312,lotu corn slat,hl,r,,,,
rk312,medi lupu,hl,+,,,,
rk312,ostr carp,hl,+,,,,
rk312,pinu nigr nigr,hl,r,,,,
rk312,sedu albu,hl,r,,,,
rk312,teuc mont,hl,1,,,,
rk312,thym prae poly,hl,r,,,,
rk312,vinc hiru,hl,+,,,,
rk312,viol coll,hl,r,,,,
rk313,achn cala,hl,2m,,,,
rk313,aspe cyna,hl,+,,,,
rk313,camp cesp,hl,r,,,,
rk313,card defl summ,hl,r,,,,
rk313,care humi,hl,2b,,,,
rk313,eric carn,hl,r,,,,
rk313,euph cypa,hl,+,,,,
rk313,glob cord,hl,r,,,,
rk313,hier glau cum,hl,r,,,,
rk313,kern saxa,hl,r,,,,
rk313,medi lupu,hl,r,,,,
rk313,ostr carp,hl,+,,,,
rk313,prim auri auri,hl,r,,,,
rk313,salv glut,hl,2a,,,,
rk313,sile vulg glar,hl,r,,,,
rk313,stac rect labi,hl,r,,,,
rk313,teuc cham,hl,+,,,,
rk313,teuc mont,hl,2a,,,,
rk313,vinc hiru,hl,r,,,,
rk314,achn cala,hl,3,,,,
rk314,buph sali,hl,+,,,,
rk314,camp cesp,hl,r,,,,
rk314,care humi,hl,2a,,,,
rk314,daph alpi,hl,r,2019-0068,,,
rk314,gali luci,hl,+,,,,
rk314,kern saxa,hl,+,,,,
rk314,prim auri auri,hl,r,,,,
rk314,stac rect labi,hl,r,,,,
rk314,teuc mont,hl,1,,,,
rk314,thym prae poly,hl,+,,,,
rk314,viol coll,hl,+,,,,
rk315,buph sali,hl,r,,,,
rk315,care humi,hl,+,,,,
rk315,clin alpi alpi,hl,r,,,,
rk315,clin foli,hl,2m,2019-0075,clin foli,ok,
rk315,cycl purp,hl,r,,,,
rk315,frax ornu,hl,r,,,,
rk315,gali luci,hl,+,2019-0076,,,
rk315,glob cord,hl,r,,,,
rk315,pinu sylv,hl,r,,,,
rk315,poly cham,hl,r,,,,
rk315,rese lute lute,hl,r,,,,
rk315,vinc hiru,hl,+,,,,
rk316,care humi,hl,r,,,,
rk316,cycl purp,hl,r,,,,
rk316,gali luci,hl,r,,,,
rk316,kern saxa,hl,r,,,,
rk316,rese lute lute,hl,r,,,,
rk316,rume scut,hl,1,,,,
rk316,sile vulg glar,hl,r,,,,
rk316,vinc hiru,hl,+,,,,
rk317,achn cala,hl,2a,,,,
rk317,care humi,hl,2a,,,,
rk317,clin foli,hl,+,,clin foli,ok,
rk317,cyti nigr nigr,hl,r,,,,
rk317,ostr carp,hl,1,,,,
rk317,rosa micr,hl,r,,,,
rk317,teuc mont,hl,r,,,,
rk317,pinu nigr nigr,sl,1,,,,
rk318,clin foli,hl,+,,clin foli,ok,
rk318,frax ornu,hl,r,,,,
rk318,ostr carp,hl,r,,,,
rk318,stac rect labi,hl,r,,cf.,,
rk318,teuc mont,hl,r,,,,
rk318,thal minu saxa,hl,r,,,,
rk319,achn cala,hl,2m,,,,
rk319,clem vita,hl,r,,,,
rk319,clin foli,hl,+,,clin foli,ok,
rk319,frax ornu,hl,+,,,,
rk319,gali luci,hl,r,,,,
rk319,ostr carp,hl,+,,,,
rk320,achn cala,hl,2a,2019-0074,,,
rk320,anch offi,hl,r,,,,
rk320,care humi,hl,r,,,,
rk320,clin foli,hl,1,,clin foli,ok,
rk320,gali luci,hl,+,,,,
rk320,rume scut,hl,+,,,,
rk320,teuc cham,hl,r,,,,
rk320,teuc mont,hl,r,,,,
rk321,care humi,hl,r,,,,
rk321,carl acau acau,hl,r,,,,
rk321,clin foli,hl,+,,clin foli,ok,
rk321,gali luci,hl,r,,,,
rk321,leon hisp hyos,hl,r,,,,
rk321,rume scut,hl,+,,,,
rk321,sesl caer,hl,r,,,,
rk321,rosa micr,sl,r,,,,
rk322,achn cala,hl,+,,,,
rk322,berb vulg,hl,r,,,,
rk322,care humi,hl,r,,,,
rk322,clin foli,hl,r,,clin foli,ok,
rk322,hier bifi,hl,r,,,,
rk322,hier prae ltum,hl,r,2019-0073,,,
rk322,hipp como,hl,r,,,,
rk322,ostr carp,hl,r,,,,
rk323,achn cala,hl,3,,,,
rk323,berb vulg,hl,r,,,,
rk323,camp cesp,hl,r,,,,
rk323,care humi,hl,2a,,,,
rk323,frax ornu,hl,r,,,,
rk323,gali luci,hl,r,,,,
rk323,hier prae ltum,hl,+,,hier prae ltum,ok,
rk323,poly cham,hl,r,,,,
rk323,salv glut,hl,+,,,,
rk323,sorb aria,hl,r,,,,
rk323,teuc mont,hl,r,,,,
rk323,berb vulg,sl,+,,,,
rk323,frax ornu,sl,r,,,,
rk324,achn cala,hl,2a,,,,
rk324,camp cesp,hl,r,,,,
rk324,ostr carp,hl,r,,,,
rk324,sile vulg glar,hl,+,,,,
rk325,achn cala,hl,2a,2019-0078,,,
rk325,ostr carp,hl,r,,,,
rk325,pinu nigr nigr,hl,r,,,,
rk325,sile vulg glar,hl,+,,,,
rk326,achn cala,hl,2a,,,,
rk326,anch offi,hl,r,,,,
rk326,moeh musc,hl,r,,,,
rk326,sile vulg glar,hl,+,,,,
rk326,tris arge,hl,+,2019-0079,,,
rk327,achn cala,hl,2a,,,,
rk327,moeh musc,hl,+,,,,
rk327,ostr carp,hl,r,,,,
rk327,pinu sylv,hl,r,,,,
rk327,sile vulg glar,hl,+,,,,
rk327,tris arge,hl,1,,,,
rk328,achn cala,hl,1,,,,
rk328,leon hisp hyos,hl,1,,,,
rk328,sile vulg glar,hl,+,,,,
rk329,acer pseu,hl,+,,,,
rk329,buph sali,hl,+,,,,
rk329,cala vari,hl,r,,,,
rk329,card defl viri,hl,1,,,,
rk329,care digi,hl,+,,,,
rk329,care humi,hl,r,,,,
rk329,clin alpi alpi,hl,r,,,,
rk329,cycl purp,hl,+,,,,
rk329,epip atro,hl,r,,,,
rk329,gale flav,hl,1,,,,
rk329,gera robe,hl,+,,,,
rk329,gymn robe,hl,1,,,,
rk329,moeh musc,hl,+,,,,
rk329,poly cham,hl,r,,,,
rk329,sile vulg glar,hl,2a,,,,
rk329,teuc mont,hl,1,,,,
rk329,vinc hiru,hl,r,,,,
rk329,viol coll,hl,r,,,,
rk330,card defl viri,hl,2a,,,,
rk330,care alba,hl,+,,,,
rk330,clem vita,hl,+,,,,
rk330,clin alpi alpi,hl,+,,,,
rk330,eupa cann,hl,r,,,,
rk330,euph amyg amyg,hl,+,,,,
rk330,gale flav,hl,+,,,,
rk330,gali albu,hl,2a,,,,
rk330,sile vulg glar,hl,+,,,,
rk330,teuc mont,hl,r,,,,
rk330,vinc hiru,hl,r,,,,
rk331,achn cala,hl,+,,,,
rk331,ajug rept,hl,+,,,,
rk331,brac sylv,hl,r,,,,
rk331,buph sali,hl,+,,,,
rk331,cala vari,hl,+,,,,
rk331,card defl viri,hl,2a,,,,
rk331,care humi,hl,2b,,,,
rk331,clem vita,hl,+,,,,
rk331,clin alpi alpi,hl,1,,,,
rk331,cory avel,hl,r,,,,
rk331,cycl purp,hl,+,,,,
rk331,eupa cann,hl,2a,,,,
rk331,frax exce,hl,r,,,,
rk331,gale flav,hl,+,,,,
rk331,gali albu,hl,+,,,,
rk331,gali sylv,hl,r,,,,
rk331,moeh musc,hl,r,,,,
rk331,orig vulg,hl,1,,,,
rk331,pice abie,hl,r,,,,
rk331,poly cham,hl,+,,,,
rk331,salv glut,hl,1,,,,
rk331,soli virg virg,hl,r,,,,
rk331,tara sect rude,hl,r,,,,
rk331,vinc hiru,hl,2a,,,,
rk332,achn cala,hl,r,,,,
rk332,brac sylv,hl,+,,,,
rk332,card defl viri,hl,1,,,,
rk332,fagu sylv,hl,r,,,,
rk332,frax exce,hl,r,,,,
rk332,gali albu,hl,+,,,,
rk332,moeh musc,hl,r,,,,
rk332,orig vulg,hl,1,,,,
rk332,salv glut,hl,+,,,,
rk332,sile vulg glar,hl,r,,,,
rk332,teuc mont,hl,r,,,,
rk332,vinc hiru,hl,+,,,,
rk333,acer pseu,hl,r,,,,
rk333,achn cala,hl,3,2019-0094,,,
rk333,anth ramo,hl,r,,,,
rk333,arab aren,hl,r,,,,
rk333,buph sali,hl,+,,,,
rk333,card defl viri,hl,+,,,,
rk333,care humi,hl,2a,,,,
rk333,clin alpi alpi,hl,r,,,,
rk333,cycl purp,hl,+,,,,
rk333,frax exce,hl,r,,,,
rk333,gali albu,hl,+,,,,
rk333,teuc cham,hl,+,,,,
rk333,vinc hiru,hl,1,,,,
rk334,acer pseu,hl,+,,,,
rk334,anth ramo,hl,r,,,,
rk334,arab aren,hl,+,,,,
rk334,aspl ruta,hl,r,,,,
rk334,brac sylv,hl,+,,,,
rk334,card defl viri,hl,1,,,,
rk334,care humi,hl,3,,,,
rk334,carl bieb bieb,hl,+,2019-0095,,,
rk334,clin alpi alpi,hl,+,,,,
rk334,cycl purp,hl,r,,,,
rk334,gali albu,hl,1,,,,
rk334,moeh musc,hl,+,,,,
rk334,sedu albu,hl,2m,,,,
rk334,sesl caer,hl,r,,,,
rk334,teuc mont,hl,1,,,,
rk334,thym prae prae,hl,+,,thym prae prae,ok,
rk334,vinc hiru,hl,+,,,,
rk335,anch offi,hl,+,,,,
rk335,brac sylv,hl,+,,,,
rk335,carl bieb bieb,hl,r,,carl bieb bieb,ok,
rk335,clin alpi alpi,hl,r,,,,
rk335,clin vulg vulg,hl,r,,,,
rk335,euph cypa,hl,r,,,,
rk335,gali albu,hl,2a,,,,
rk335,medi lupu,hl,r,,,,
rk335,salv glut,hl,r,,,,
rk335,sedu albu,hl,1,,,,
rk335,teuc mont,hl,r,,,,
rk335,urti dioi dioi,hl,+,,,,
rk335,verb offi,hl,r,,,,
rk335,vinc hiru,hl,+,,,,
rk336,achn cala,hl,1,,,,
rk336,arab hirs,hl,r,,,,
rk336,cala vari,hl,r,,,,
rk336,care humi,hl,+,,,,
rk336,clin alpi alpi,hl,+,,,,
rk336,euph cypa,hl,r,,,,
rk336,glob cord,hl,r,,,,
rk336,kern saxa,hl,r,,,,
rk336,sile vulg glar,hl,r,,,,
rk336,teuc mont,hl,+,,,,
rk336,thym prae prae,hl,2a,2019-0098,,,
rk336,rosa cani,sl,r,,,,
rk337,achn cala,hl,1,,,,
rk337,anch offi,hl,r,,,,
rk337,arab hirs,hl,1,,,,
rk337,brac sylv,hl,+,,,,
rk337,care humi,hl,1,,,,
rk337,clin alpi alpi,hl,+,,,,
rk337,euph cypa,hl,r,,,,
rk337,gali albu,hl,2b,,,,
rk337,lase sile sile,hl,r,,,,
rk337,medi lupu,hl,r,,,,
rk337,rosa arve,hl,r,,,,
rk337,sedu albu,hl,1,,,,
rk337,teuc mont,hl,+,,,,
rk337,thym prae prae,hl,1,2019-0099,,,
rk337,viol coll,hl,r,,,,
rk338,acer pseu,hl,r,,,,
rk338,achn cala,hl,2a,,,,
rk338,arab hirs,hl,+,,,,
rk338,brac sylv,hl,+,,,,
rk338,buph sali,hl,+,,,,
rk338,cala vari,hl,+,,,,
rk338,care humi,hl,1,,,,
rk338,coro vagi,hl,r,2019-0097,,,
rk338,euph amyg amyg,hl,r,,,,
rk338,euph cypa,hl,+,,,,
rk338,kern saxa,hl,+,,,,
rk338,phys alke alke,hl,r,2019-0096,,,
rk338,sedu albu,hl,r,,,,
rk338,teuc cham,hl,r,,,,
rk338,teuc mont,hl,2a,,,,
rk338,thym prae prae,hl,+,,,,
rk338,vinc hiru,hl,+,,,,
rk338,viol coll,hl,+,,,,
rk339,achn cala,hl,1,,,,
rk339,brac sylv,hl,+,,,,
rk339,card defl viri,hl,r,,,,
rk339,coro vagi,hl,+,,,,
rk339,gali albu,hl,+,,,,
rk339,glob cord,hl,r,,,,
rk339,kern saxa,hl,r,,,,
