plot;cov;tcov1;tcov2;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;location;comment;latitude;longitude;accuracy;alliance;alliance.author;soil;rope;observer;comment
pb01;90;60;25;25;25;60;24;19;3;0,4;0,1;16;16;SE;80;100;0;0;2015-08-30;Petersberg;;47.713527;12.127400;10;Tilenion platyphylli;;;;R. Kaiser;am Wandfuß nach oben
pb02;90;50;20;7;10;40;26;11;4;0,3;0,1;16;16;SE;80;100;0;0;2015-08-30;Petersberg;;47.712405;12.126888;10;Tilenion platyphylli;;;;R. Kaiser;am Wandfuß nach oben
pb03;95;60;45;5;35;40;25;16;5;0,7;0,15;16;16;S;55;100;0;0;2015-08-30;Petersberg;;47.711680;12.125970;10;Tilenion platyphylli;;;;R. Kaiser;
pb04;90;55;20;7;75;20;24;13;3,5;0,8;0,2;16;16;S;60;40;0;0;2015-04-14, 2015-08-30;Petersberg;;47.711699;12.125656;10;Tilenion platyphylli;;;;R. Kaiser;östlich Wegkehre
pb05;90;65;20;15;60;20;16;12;4,5;0,7;0,25;16;16;S;60;30;0;0;2015-08-30;Petersberg;;47.711624;12.125228;10;Tilenion platyphylli;;;;R. Kaiser;
pb06;95;60;30;45;90;3;23;13;4,5;0,7;0,15;16;16;S;50;5;0;0;2015-08-30;Petersberg;;47.711850;12.125940;10;Tilenion platyphylli;;;;R. Kaiser;
pb07;97;30;45;20;90;15;11;6;3;0,6;0,2;10;26;SW;20;10;0;0;2015-04-14, 2015-08-30;Petersberg;;47.711486;12.124421;10;Cephalanthero-Fagenion;;;;R. Kaiser;entlamg Rücken
