plot,species,value,comment
ta01,abie alba,49,
ta01,abie alba,37,
ta01,acer pseu,24,
ta01,acer pseu,31,
ta01,acer pseu,18,
ta01,acer pseu,35,
ta01,acer pseu,21,
ta01,acer pseu,24,
ta01,acer pseu,43,
ta01,acer pseu,32,
ta01,acer pseu,37,
ta01,acer pseu,26,
ta01,acer pseu,24,
ta01,acer pseu,29.5,
ta01,acer pseu,22,
ta01,acer pseu,35.5,
ta01,pice abie,61,
ta01,pice abie,47,
ta01,pice abie,21,
ta01,pice abie,37,
ta01,pice abie,57.5,
ta02,acer pseu,33,
ta02,acer pseu,29,
ta02,acer pseu,36,
ta02,acer pseu,38.5,
ta02,acer pseu,30,
ta02,acer pseu,22.5,
ta02,acer pseu,22,
ta02,acer pseu,38.5,
ta02,acer pseu,36,
ta02,pice abie,52,
ta03,acer pseu,51,
ta03,acer pseu,33,
ta03,acer pseu,33.5,
ta03,fagu sylv,13,
ta03,fagu sylv,13.5,
ta03,pice abie,47,
ta03,pice abie,50,
ta03,pice abie,18.5,
ta03,pice abie,65,
ta03,pice abie,45,
ta03,pice abie,40.5,
ta03,pice abie,44,
ta03,pice abie,31,
ta04,acer pseu,32.5,
ta04,acer pseu,27,
ta04,acer pseu,44,
ta04,fagu sylv,12,
ta04,fagu sylv,12.5,
ta04,fagu sylv,12,
ta04,fagu sylv,14,
ta04,fagu sylv,13.5,
ta04,pice abie,60,
ta04,pice abie,53,
ta04,pice abie,51,
ta04,pice abie,63,
ta04,pice abie,42.5,
ta04,pice abie,52,
ta04,pice abie,57,
ta04,ulmu glab,15.5,
ta04,ulmu glab,12,
ta04,ulmu glab,12.5,
ta05,acer pseu,36,
ta05,acer pseu,44,at 11.08m
ta06,acer pseu,33,
ta06,acer pseu,46,
ta06,frax exce,49,
ta06,pice abie,36,
ta06,pice abie,58,
ta06,pice abie,55,
ta06,pice abie,48.5,
ta06,pice abie,64,
ta06,pice abie,57.5,
ta06,pice abie,54.5,
ta06,pice abie,37.5,
ta06,pice abie,47,
ta06,pice abie,46.5,
ta06,ulmu glab,14.5,
ta07,acer plat,40,
ta07,acer pseu,23,
ta07,acer pseu,30,
ta07,acer pseu,37.5,
ta07,fagu sylv,13,
ta07,fagu sylv,12,
ta07,fagu sylv,13,
ta07,fagu sylv,23,
ta07,fagu sylv,30,
ta07,fagu sylv,28,
ta07,fagu sylv,47,
ta07,pice abie,38,
ta07,pice abie,38.5,
ta07,pice abie,47,
ta07,pice abie,43,
ta07,pice abie,33.5,
ta07,pice abie,33.5,
ta07,pice abie,29.5,
ta07,pice abie,35.5,
ta07,pice abie,38,
ta07,pice abie,22,
ta07,pice abie,42,
ta07,pice abie,46.5,
ta07,pice abie,30,
ta07,pice abie,42,
ta07,pice abie,40.5,
ta07,pice abie,47,
ta07,pice abie,27.5,
ta07,pice abie,44,
ta08,acer pseu,12,
ta08,acer pseu,13,
ta08,acer pseu,18,
ta08,alnu inca,15.5,
ta08,alnu inca,15.5,
ta08,alnu inca,16,
ta08,alnu inca,14,
ta08,alnu inca,16,
ta08,alnu inca,17,
ta08,frax exce,15.5,
ta08,frax exce,12,
ta08,pice abie,14,
ta08,pice abie,18.5,
ta08,pice abie,32,
ta08,pice abie,15,
ta08,pice abie,13,
ta08,pice abie,12.5,
ta08,pice abie,22,
ta08,pice abie,20,
ta08,pice abie,17,
ta08,pice abie,17,
ta08,pice abie,14.5,
ta08,pice abie,12.5,
ta08,pice abie,14,
ta08,pice abie,39,
ta08,pice abie,18.5,
ta08,pice abie,18,
ta08,pice abie,17,
ta08,pice abie,15,
ta08,pice abie,27.5,
ta08,pice abie,12,
ta08,pice abie,12.5,
ta08,pice abie,24,
ta08,pice abie,23.5,
ta08,pice abie,27,
ta08,pice abie,13.5,
ta08,pice abie,14,
ta08,pice abie,16,
ta08,pice abie,21,
ta08,pice abie,18,
ta08,pice abie,17,
ta08,pice abie,32,
ta08,pice abie,23.5,
ta08,pice abie,21.5,
ta08,sali elea,15,
ta08,sali elea,16.5,
ta08,sali elea,19,
ta08,sali elea,24.5,
ta08,sali elea,22,
ta09,alnu inca,13,
ta09,alnu inca,13,
ta09,alnu inca,20,
ta09,alnu inca,16.5,
ta09,alnu inca,14,
ta09,alnu inca,14.5,
ta09,alnu inca,23.5,
ta09,alnu inca,13,
ta09,alnu inca,16,
ta09,pice abie,22,
ta09,pice abie,13,
ta09,pice abie,14,
ta09,pice abie,15,
ta09,pice abie,12.5,
ta09,pice abie,12.5,
ta09,pice abie,14,
ta09,pice abie,16,
ta09,pice abie,13.5,
ta09,pice abie,14,
ta09,pice abie,14,
ta09,pice abie,13,
ta09,pice abie,14.5,
ta10,acer pseu,48.5,
ta10,pice abie,13,
ta11,acer pseu,14.5,
ta11,acer pseu,12,
ta11,acer pseu,17,
ta11,acer pseu,21,
ta11,acer pseu,22,
ta11,alnu inca,17.5,
ta11,alnu inca,20,
ta11,alnu inca,22,
ta11,alnu inca,22,
ta11,alnu inca,19,
ta11,alnu inca,17.5,
ta11,alnu inca,16.5,
ta11,alnu inca,12,
ta11,alnu inca,22.5,
ta11,alnu inca,21.5,
ta11,frax exce,17,
ta11,pice abie,13,
ta11,pice abie,17,
ta11,pice abie,22.5,
ta11,pice abie,20.5,
ta11,pice abie,16,
ta11,pice abie,12.5,
ta11,pice abie,17.5,
ta11,sali elea,22,
ta11,sali elea,14,
ta11,sali elea,15.5,
ta11,sali elea,22.5,
ta11,sali elea,23.5,
ta11,sali elea,18.5,
ta11,sali elea,18.5,
ta11,sali elea,17,
ta11,sali elea,14.5,
ta11,sali elea,13.5,
ta12,acer pseu,14.5,
ta12,acer pseu,14,
ta12,acer pseu,14,
ta12,acer pseu,15.5,
ta12,acer pseu,24,
ta12,acer pseu,21,
ta12,alnu inca,32.5,
ta12,alnu inca,20,
