plot;abbr;layer;cov;comment;determined;history
7;aspl ruta;hl;+;;;
7;gali luci;hl;+;;;
7;teuc mont;hl;1;;;
7;aspl tric quad;hl;+;;;
7;sesl caer;hl;r;;;
7;sese aust;hl;+;;;
7;erys sylv;hl;+;;;
7;hier bupl;hl;+;;;
7;heli canu;hl;+;;;
7;euph cypa;hl;+;;;
8;sesl caer;hl;+;;;
8;gali luci;hl;1;;;
8;teuc mont;hl;+;;;
8;sese aust;hl;+;;;
8;glob cord;hl;+;;;
8;bupl falc falc;hl;+;;;
8;meli cili;hl;r;;;
8;jovi glob hirt;hl;+;;;
8;dory germ;hl;+;;;
8;rham saxa saxa;hl;+;;;
8;pote inca;hl;+;;;
9;sesl caer;hl;3;;;
9;gali luci;hl;+;;;
9;teuc mont;hl;+;;;
9;sese aust;hl;1;;;
9;glob cord;hl;+;;;
9;achi clav;hl;+;;;
9;heli canu;hl;+;;;
9;bupl falc falc;hl;+;;;
9;meli cili;hl;+;;;
9;camp rotu aggr;hl;+;;agg.;
9;drab aizo aizo;hl;1;;;
9;euph sali;hl;r;;;
9;clin alpi alpi;hl;r;;;
9;poa bade;hl;r;;;
10;sesl caer;hl;1;;;
10;gali luci;hl;1;;;
10;teuc mont;hl;1;;;
10;sese aust;hl;r;;;
10;erys sylv;hl;+;;;
10;hier bupl;hl;+;;;
10;bupl falc falc;hl;+;;;
10;euph sali;hl;r;;;
10;alli lusi;hl;+;;;
10;saxi pani;hl;+;;;
