plot,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl1,hhl1,hhl2,plsx,plsy,plrad,expo,slope,rock,bare,stones,date,latitude,longitude,accuracy,marks,comment,alliance.code,alliance,association,soil,location,observer
uf01,5,0,0,0,3,2,0,0,0,"0,5","0,05",1,1,0,WNW,83,100,0,0,2021-08-20,47.251932,12.493979,5,not marked,,ASP-10C,Asplenion serpentini Br.-Bl. et Tx. ex Eggler 1955,unclassified,,"Unterfelben, N Großbruck",T. Eberl & R. Kaiser
uf02,6,0,0,0,3,4,0,0,0,"0,7","0,05",1,1,0,NNW,87,100,0,0,2021-08-21,47.252122,12.494595,5,not marked,,ASP-10C,Asplenion serpentini Br.-Bl. et Tx. ex Eggler 1955,unclassified,,"Unterfelben, N Großbruck",T. Eberl & R. Kaiser
