"wf~3x";"bryu pall";"ml";"+";"voucher";;"det. C. Schröck"
"wf~3x";"dich pell aggr";"ml";"+";"voucher";;"det. C. Schröck"
"wf~3x";"didy rigi";"ml";"+";"voucher";;"det. C. Schröck"
"wf~3x";"palu comm sulc";"ml";"+";"voucher";;"det. C. Schröck"
"wf~3x";"phol wahl wahl";"ml";"+";"voucher";;"det. C. Schröck"
