taxon,matched.taxon
Carex.montana,Carex montana
Picris.hieracioides.ssp..crepoides,Picris hieracioides ssp. villarsii
Hippocrepis.comosa,Hippocrepis comosa
Thesium.alpinum,Thesium alpinum
Silene.nutans,Silene nutans ssp. nutans
Galium.album,Galium album s.str.
Rosa.pendulina,Rosa pendulina
Thalictrum.minus.ssp..saxatile,Thalictrum minus ssp. saxatile
Rosa.canina,Rosa canina s.str.
Anthericum.ramosum,Anthericum ramosum
Rhinanthus.glacialis,Rhinanthus glacialis
Fraxinus.excelsior,Fraxinus excelsior
Hieracium.bupleuroides,Hieracium bupleuroides
