plot,abbr,layer,cov
1,care mont,hl,+
1,picr hier vill,hl,+
1,hipp como,hl,+
1,thes alpi,hl,+
2,sile nuta nuta,hl,+
2,gali albu,hl,+
2,rosa pend,hl,+
2,thal minu saxa,hl,+
2,rosa cani,hl,+
3,anth ramo,hl,+
3,rhin glac,hl,+
3,frax exce,hl,+
6,hier bupl,hl,+
