taxon,matched.taxon
Achnatherum calamagrostis,Achnatherum calamagrostis
blank,NA
Buphthalmum salicifolium,Buphthalmum salicifolium
Vincetoxicum hirundinaria,Vincetoxicum hirundinaria
Teucrium montanum,Teucrium montanum
Carex humilis,Carex humilis
Hieracium glaucum,Hieracium glaucum
Campanula cochleariifolia,Campanula cochleariifolia
Tolpis staticifolium,Chlorocrepis staticifolia
Petasites paradoxus,Petasites paradoxus
blank,NA
Galium anisophyllon,Galium anisophyllon
Salvia verticillata,Salvia verticillata
Calamagrostis varia,Calamagrostis varia
Acinos alpinus,Clinopodium alpinum ssp. alpinum
Sesleria albicans,Sesleria caerulea s.str.
Scabiosa lucida,Scabiosa lucida ssp. lucida
Leontodon hispidus,Leontodon hispidus s.lat.
Euphrasia salisburgensis,Euphrasia salisburgensis s.str.
Carex flacca,Carex flacca ssp. flacca
Globularia cordifolia,Globularia cordifolia s.str.
Carduus defloratus,Carduus defloratus ssp. viridis
Gentianella ciliata,Gentianopsis ciliata
Tortella tortuosa,Tortella tortuosa
Salix elaeagnos,Salix eleagnos ssp. eleagnos
Gentiana verna,Gentiana verna ssp. verna
Ligustrum vulgare,Ligustrum vulgare
Viola hirta,Viola hirta
Amelanchier ovalis,Amelanchier ovalis
Thymus praecox ssp. polytrichus,Thymus praecox ssp. polytrichus
Origanum vulgare,Origanum vulgare ssp. vulgare
Ranunculus montanus,Ranunculus montanus s.str.
Euphorbia cyparissias,Euphorbia cyparissias
