"plot";"abbr";"layer";"cov";"comment";"history"
"fv01";"fest stri sulc";"hl";"3";"";" | Changed fest rupi To fest stri sulc 2012-11-27 00:11:03"
"fv01";"echi vulg";"hl";"2a";"";""
"fv01";"astr onob";"hl";"2m";"";""
"fv01";"alli lusi";"hl";"2b";"";""
"fv01";"aren serp";"hl";"1";"";""
"fv01";"cent stoe slat";"hl";"1";"";" | Changed cent stoe To cent stoe slat 2012-11-27 00:11:03"
"fv01";"achi seta";"hl";"2b";"";""
"fv01";"erys sylv";"hl";"1";"";""
"fv01";"secu vari";"hl";"2a";"";""
"fv01";"erod cicu";"hl";"+";"";""
"fv01";"sedu albu";"hl";"+";"";""
"fv01";"jovi glob hirt";"hl";"+";"";" | Changed jovi hirt To jovi glob hirt 2012-11-27 00:11:03"
"fv01";"gali luci";"hl";"+";"";""
"fv01";"scab ochr";"hl";"+";"";""
"fv01";"clin acin";"hl";"+";"";" | Changed acin arve To clin acin 2012-11-27 00:11:03"
"fv01";"chen albu slat";"hl";"+";"";" | Changed chen albu To chen albu slat 2012-11-27 00:11:03"
"fv01";"sese aust";"hl";"1";"";""
"fv01";"anti maju";"hl";"r";"";" | Changed anth maju To anti maju 2012-11-27 00:11:03"
"fv01";"poa angu";"hl";"1";"";""
"fv01";"alys alys";"hl";"2a";"";""
"fv01";"brom tect";"hl";"1";"";""
"fv01";"brom erec";"hl";"1";"";""
"fv01";"sesl caer";"hl";"+";"";""
"fv01";"pinu nigr nigr";"tl";"3";"";" | Changed pinu nigr To pinu nigr nigr 2012-11-27 00:11:03"
