plot;abbr;layer;cov
prm06;spha spec ies;ml;1
prm06;unde bryo;ml;1
prm07;andr poli;hl;1
prm07;care nigr;hl;1
prm07;care rost;hl;1
prm07;cirs palu;hl;1
prm07;equi sylv;hl;1
prm07;erio angu;hl;1
prm07;homo alpi;hl;1
prm07;juni comm comm;hl;1
prm07;moli caer aggr;hl;1
prm07;pote erec;hl;1
prm07;tric cesp cesp;hl;1
prm07;vacc micr;hl;1
prm07;vale dioi dioi;hl;1
prm07;spha spec ies;ml;1
prm08;andr poli;hl;1
prm08;anth odor;hl;1
prm08;bart alpi;hl;1
prm08;care nigr;hl;1
prm08;care rost;hl;1
prm08;cirs palu;hl;1
prm08;equi sylv;hl;1
prm08;erio angu;hl;1
prm08;erio lati;hl;1
prm08;erio vagi;hl;1
prm08;luzu sude;hl;1
prm08;meny trif;hl;1
prm08;moli caer aggr;hl;1
prm08;pers bist;hl;1
prm08;pote erec;hl;1
prm08;tric cesp cesp;hl;1
prm08;vacc micr;hl;1
prm09;andr poli;hl;1
prm09;bart alpi;hl;1
prm09;call vulg;hl;1
prm09;care rost;hl;1
prm09;cirs palu;hl;1
prm09;dros rotu;hl;1
prm09;equi sylv;hl;1
prm09;erio angu;hl;1
prm09;erio lati;hl;1
prm09;juni comm comm;hl;1
prm09;sela sela;hl;1
prm09;meny trif;hl;1
prm09;moli caer aggr;hl;1
prm09;parn palu;hl;1
prm09;ping alpi;hl;1
prm09;pote erec;hl;1
prm09;tofi caly;hl;1
prm09;tric cesp cesp;hl;1
prm09;unde bryo;ml;1
prm09;vale dioi dioi;hl;1
prm09;spha spec ies;ml;1
prm10;andr poli;hl;1
prm10;call vulg;hl;1
prm10;care nigr;hl;1
prm10;care rost;hl;1
prm10;equi sylv;hl;1
prm10;juni comm comm;hl;1
prm10;moli caer aggr;hl;1
prm10;pers bist;hl;1
prm10;pote erec;hl;1
prm10;rhod ferr;hl;1
prm10;tric cesp cesp;hl;1
prm10;vacc myrt;hl;1
prm10;vacc micr;hl;1
prm10;vacc ulig;hl;1
prm10;vacc viti;hl;1
prm10;spha spec ies;ml;1
prm10;pice abie;sl;1
prm10;pinu cemb;sl;1
prm11;andr poli;hl;1
prm11;dros rotu;hl;1
prm11;erio angu;hl;1
prm11;erio vagi;hl;1
prm11;sela sela;hl;1
prm11;moli caer aggr;hl;1
prm11;parn palu;hl;1
prm11;pice abie;hl;1
prm11;pote erec;hl;1
prm11;tofi caly;hl;1
prm11;tric cesp cesp;hl;1
prm12;andr poli;hl;1
prm12;bart alpi;hl;1
prm12;call vulg;hl;1
prm12;care dioi;hl;1
prm12;care nigr;hl;1
prm12;care rost;hl;1
prm12;dros rotu;hl;1
prm12;erio angu;hl;1
prm12;erio lati;hl;1
prm12;moli caer aggr;hl;1
prm12;parn palu;hl;1
prm12;ping alpi;hl;1
prm12;pote erec;hl;1
prm12;tofi caly;hl;1
prm12;tric cesp cesp;hl;1
prm13;andr poli;hl;1
prm13;call vulg;hl;1
prm13;care rost;hl;1
prm13;cirs palu;hl;1
prm13;dros rotu;hl;1
prm13;equi sylv;hl;1
prm13;erio angu;hl;1
prm13;erio lati;hl;1
prm13;moli caer aggr;hl;1
prm13;parn palu;hl;1
prm13;pice abie;hl;1
prm13;ping alpi;hl;1
prm13;pote erec;hl;1
prm13;tofi caly;hl;1
prm13;tric cesp cesp;hl;1
prm13;utri mino;hl;1
prm14;andr poli;hl;1
prm14;call vulg;hl;1
prm14;care rost;hl;1
prm14;dros rotu;hl;1
prm14;erio angu;hl;1
prm14;erio lati;hl;1
prm14;sela sela;hl;1
prm14;meny trif;hl;1
prm14;moli caer aggr;hl;1
prm14;parn palu;hl;1
prm14;pice abie;hl;1
prm14;ping alpi;hl;1
prm14;pinu cemb;hl;1
prm14;pote erec;hl;1
prm14;tofi caly;hl;1
prm14;tric cesp cesp;hl;1
prm14;spha spec ies;ml;1
prm14;unde bryo;ml;1
prm15;andr poli;hl;1
