"taxon";"matched.taxon"
"Stachys sylvatica";"Stachys sylvatica"
"Gymnocarpium robertianum";"Gymnocarpium robertianum"
"Aruncus dioicus";"Aruncus dioicus"
"Arabidopsis arenosa";"Arabidopsis arenosa"
"Dryopteris affinis";"Dryopteris affinis agg."
"Atropa bella-donna";"Atropa bella-donna"
"Cephalanthera rubra";"Cephalanthera rubra"
"Crataegus monogyna";"Crataegus monogyna"
"Epipactis atrorubens";"Epipactis atrorubens"
"Euphorbia verrucosa";"Euphorbia verrucosa"
"Bromus benekenii";"Bromus benekenii"
"Moehringia muscosa";"Moehringia muscosa"
"Arum maculatum";"Arum maculatum"
"Equisetum telmateia";"Equisetum telmateia"
"Impatiens noli-tangere";"Impatiens noli-tangere"
"Veronica montana";"Veronica montana"
"Asplenium trichomanes";"Asplenium trichomanes s.lat."
"Lysimachia nummularia";"Lysimachia nummularia"
"Arctium minus";"Arctium minus s.str."
"Scrophularia nodosa";"Scrophularia nodosa"
"Symphytum tuberosum agg.";"Symphytum tuberosum s.lat."
"Polypodium vulgare";"Polypodium vulgare"
"Asplenium scolopendrium";"Asplenium scolopendrium ssp. scolopendrium"
"Hypericum sp.";"Hypericum sp."
"Lamium maculatum";"Lamium maculatum"
"Aegopodium podagraria";"Aegopodium podagraria"
"Heracleum austriacum";"Heracleum austriacum ssp. austriacum"
"Clinopodium vulgare";"Clinopodium vulgare ssp. vulgare"
"Urtica dioica";"Urtica dioica ssp. dioica"
"Blechnum spicant";"Blechnum spicant"
"Pteridium aquilinum";"Pteridium aquilinum"
"Berberis vulgaris";"Berberis vulgaris"
"Aconitum lycoctonum";"Aconitum lycoctonum s.lat."
"Mnium sp.";"Mnium sp."
"Ranunculus aconitifolius";"Ranunculus aconitifolius"
"Thalictrum aquilegiifolium";"Thalictrum aquilegiifolium"
"Carex montana";"Carex montana"
"Galium sp";"Galium sp."
"Festuca sp.";"Festuca sp."
"Lotus corniculatus";"Lotus corniculatus s.str."
"Ranunculus lanuginosus";"Ranunculus lanuginosus"
"Scabiosa columbaria";"Scabiosa columbaria s.str."
"Teucrium chamaedrys";"Teucrium chamaedrys ssp. chamaedrys"
"Polytrichum sp.";"Polytrichum sp."
"Hordelymus europaeus";"Hordelymus europaeus"
"Campanula cespitosa";"Campanula cespitosa"
"Rhododendron hirsutum";"Rhododendron hirsutum"
"Vaccinium vitis-idaea";"Vaccinium vitis-idaea"
"Veratrum album";"Veratrum album ssp. album"
"Anthericum ramosum";"Anthericum ramosum"
"Cephalanthera sp.";"Cephalanthera sp."
"Symphytum officinale";"Symphytum officinale s.str."
"Viburnum lantana";"Viburnum lantana"
"Angelica sylvestris";"Angelica sylvestris s.lat."
"Galium rotundifolium";"Galium rotundifolium"
"Rosa sp.";"Rosa sp."
"Galium mollugo";"Galium mollugo s.str."
"Rubus sp.";"Rubus sp."
"Luzula luzuloides";"Luzula luzuloides"
"Milium effusum";"Milium effusum ssp. effusum"
"Chaerophyllum hirsutum";"Chaerophyllum hirsutum s.str."
"Myosotis sylvatica";"Myosotis sylvatica s.str."
"Rubus fruticosus agg.";"Rubus fruticosus agg."
"Chaerophyllum villarsii";"Chaerophyllum villarsii"
"Galium anisophyllon";"Galium anisophyllon"
"Pimpinella major";"Pimpinella major s.lat."
"Valeriana montana";"Valeriana montana"
"Acinos alpinus";"Clinopodium alpinum ssp. alpinum"
"Poa nemoralis";"Poa nemoralis"
"Ranunculus platanifolius";"Ranunculus platanifolius"
"Rosa pendulina";"Rosa pendulina"
"Aquilegia sp.";"Aquilegia atrata"
"Carex flava";"Carex flava agg."
"Lathyrus laevigatus";"Lathyrus laevigatus s.lat."
"Thymus praecox";"Thymus praecox s.lat."
"Tussilago farfara";"Tussilago farfara"
"Epilobium sp.";"Epilobium sp."
"Stellaria nemorum s.str.";"Stellaria nemorum s.str."
"Agrostis alpina agg.";"Agrostis alpina s.str."
"Athyrium distentifolium";"Athyrium distentifolium"
"Dactylorhiza maculata";"Dactylorhiza maculata s.lat."
"Dryopteris carthusiana";"Dryopteris carthusiana s.str."
"Poa remota";"Poa remota"
"Veronica chamaedrys";"Veronica chamaedrys ssp. chamaedrys"
"Lonicera nigra";"Lonicera nigra"
"Aconitum variegatum";"Aconitum variegatum s.lat."
"Brachypodium pinnatum";"Brachypodium pinnatum s.str."
"Carex sempervirens";"Carex sempervirens ssp. sempervirens"
"Dactylis glomerata";"Dactylis glomerata ssp. glomerata"
"Digitalis sp.";"Digitalis grandiflora"
"Galium mollugo agg.";"Galium mollugo agg."
"Sorbus chamaemespilus";"Sorbus chamaemespilus"
"Doronicum austriacum";"Doronicum austriacum"
"Streptopus amplexifolius";"Streptopus amplexifolius"
"Taxus baccata";"Taxus baccata"
"Taxus baccata";"Taxus baccata"
"Taxus baccata";"Taxus baccata"
"Sorbus aria";"Sorbus aria s.str."
"Sorbus aria";"Sorbus aria s.str."
"Sorbus aria";"Sorbus aria s.str."
"Larix decidua";"Larix decidua"
"Larix decidua";"Larix decidua"
"Ulmus glabra";"Ulmus glabra"
"Ulmus glabra";"Ulmus glabra"
"Ulmus glabra";"Ulmus glabra"
"Acer platanoides";"Acer platanoides"
"Acer platanoides";"Acer platanoides"
"Acer platanoides";"Acer platanoides"
"Pinus sylvestris";"Pinus sylvestris"
"Betula pendula";"Betula pendula"
"Tilia platyphyllos";"Tilia platyphyllos"
"Tilia platyphyllos";"Tilia platyphyllos"
"Tilia platyphyllos";"Tilia platyphyllos"
"Tilia cordata";"Tilia cordata"
"Tilia sp.";"Tilia sp."
"Sorbus aucuparia";"Sorbus aucuparia ssp. aucuparia"
"Sorbus aucuparia";"Sorbus aucuparia ssp. aucuparia"
"Sorbus aucuparia";"Sorbus aucuparia ssp. aucuparia"
"Prunus avium";"Prunus avium s.lat."
"Prunus avium";"Prunus avium s.lat."
"Prunus sp.";"Prunus sp."
"Corylus avellana";"Corylus avellana"
"Lonicera xylosteum";"Lonicera xylosteum"
"Sambucus nigra";"Sambucus nigra"
"Viburnum lantana";"Viburnum lantana"
"Rosa sp.";"Rosa sp."
"Crataegus monogyna";"Crataegus monogyna"
"Crataegus sp.";"Crataegus sp."
"Cornus sanguinea ssp. sanguinea";"Cornus sanguinea ssp. sanguinea"
"Ligustrum vulgare";"Ligustrum vulgare"
"Viburnum opulus";"Viburnum opulus"
"Frangula alnus";"Frangula alnus"
"Juglans regia";"Juglans regia"
"Lonicera nigra";"Lonicera nigra"
"Ribes alpinum";"Ribes alpinum"
"Pinus mugo";"Pinus mugo s.str."
"Alnus viridis";"Alnus alnobetula ssp. alnubetula"
