"abbr";"layer";"taxon";53;54;56;57;4;3;5;6;7;12;15;51;60;14;59;23;26;11;13;25;24;17;47;45;49;43;9;16;18;19;20;48;44;22;21;46;1;2;37;8;36;35;27;28;29;30;55;10;50;31;32;52;34;40;41;42;33;38;39;62;63;69;61;66;70;58;64;67;65;71;68
"gali odor";"hl";"Galium odoratum";"2m";".";"+";".";1;1;1;1;".";"2m";"2m";".";1;"2m";".";".";"2m";".";".";".";1;1;"+";".";"2a";"2m";1;".";".";".";".";"2m";".";".";1;".";1;".";"2m";"r";"2m";"+";".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";1;".";".";1;"+";".";1;"2m";"2m";".";".";"2m"
"athy fili";"hl";"Athyrium filix-femina";"+";"+";1;"+";".";".";".";".";"+";"r";".";".";"+";"+";"r";".";".";".";"r";"r";"+";".";".";".";".";".";".";"r";".";".";"+";".";".";".";"r";".";".";".";"+";".";".";"+";".";".";"r";".";".";".";".";"r";".";".";".";".";".";".";".";"+";".";"+";"+";"+";"r";"+";".";"+";1;1;1;"2a";1
"care sylv";"hl";"Carex sylvatica";".";".";".";".";".";"+";"r";"+";"r";"r";"+";".";".";"r";".";"r";".";".";"+";"+";"r";".";"+";".";"+";1;".";"+";".";".";"r";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;"+";".";"+";".";"+"
"hede heli";"hl";"Hedera helix";".";".";".";".";".";".";".";".";"r";"r";"+";".";"r";"+";".";"+";"+";".";"+";"+";".";"r";"+";"r";1;"+";".";"+";".";"+";"+";".";".";".";".";"+";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"jugl regi";"hl";"Juglans regia";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";"r";".";".";".";".";".";"r";".";"r";"r";"+";".";"r";".";"r";"r";"r";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"ceph dama";"hl";"Cephalanthera damasonium";".";".";".";".";".";".";".";".";".";"+";"r";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";"r";"r";"+";"r";".";".";".";"+";"+";"+";"r";"+";".";"+";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"ceph long";"hl";"Cephalanthera longifolia";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";"r";".";".";"r";".";".";".";"r";"+";".";".";"r";"r";".";"+";".";".";"r";"+";".";"+";".";"r";".";".";".";".";".";".";"r";"r";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"quer robu";"hl";"Quercus robur";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";"+";".";"r";".";".";".";"+";"+";".";"r";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"clem vita";"hl";"Clematis vitalba";".";".";".";".";".";".";".";".";".";"r";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"r";"+";"+";".";"+";".";".";"+";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"cala vari";"hl";"Calamagrostis varia";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";".";1;".";".";".";".";1;"2m";1;"2m";".";".";1;"2m";1;".";"2m";3;3;"2a";1;".";".";"2m";3;"2m";"2m";"2a";"2m";"2a";"+";1;"2a";"2a";3;3;3;4;"2a";3;3;3;3;3;3;"2b";4;"2m";3;4;4;"2a";1;".";"+";".";"."
"apos foet";"hl";"Aposeris foetida";".";".";".";".";".";"+";".";".";".";1;".";1;".";".";".";"+";1;".";".";".";"+";"+";"+";1;".";"+";"r";1;"+";"+";"+";".";"2m";1;".";1;"2m";"+";".";".";".";1;1;"2m";1;"+";"2m";"+";"2m";"2m";"+";"+";".";"2m";1;1;"+";"2m";".";1;"2m";1;"2m";1;"+";"+";"+";"+";".";".";"+"
"daph meze";"hl";"Daphne mezereum";".";".";".";".";".";"+";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";"r";"r";"+";".";".";".";".";"+";"+";"r";"+";"+";"+";"r";".";"r";1;"+";"+";"r";"r";"r";".";".";".";".";".";"+";".";"r";"+";"r";"r";"+";"r";"r";"r";"r";"r";"r";"r";".";"r";".";"r";"r";".";".";".";".";"."
"meli nuta";"hl";"Melica nutans";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;"+";".";".";".";"+";".";".";"r";1;"2m";1;".";"+";1;"+";".";".";".";".";".";"+";".";".";"+";"r";1;1;".";"2m";"2m";"+";1;"+";"+";"+";1;1;"+";"+";"2m";"2m";"2m";".";1;".";".";".";"."
"hepa nobi";"hl";"Hepatica nobilis";".";".";".";".";1;".";".";".";".";"+";1;".";".";1;"2m";1;"r";"+";".";1;"2m";"+";1;".";"+";1;"2m";1;1;1;1;"+";1;"2m";1;1;"2m";1;".";"2m";1;1;"+";"+";".";1;"+";1;"+";1;"2m";"+";"+";"2m";"2m";"2m";1;".";"+";".";"+";".";".";"+";".";".";".";".";".";".";"."
"care digi";"hl";"Carex digitata";".";".";".";".";"r";".";".";"+";"+";"r";"+";".";"r";"+";1;"+";1;"r";"r";"+";"+";1;"+";".";"+";1;"+";1;"+";"+";"+";".";"+";"+";1;"+";".";1;"+";1;".";1;"+";"+";".";"+";"+";"+";".";"+";".";".";".";"+";".";".";".";".";"+";"+";"+";".";".";".";".";".";".";".";".";".";"."
"care alba";"hl";"Carex alba";".";".";".";".";".";".";".";".";".";".";".";".";".";1;1;1;".";".";".";".";"2m";".";1;"+";"2m";"2m";"2m";"2a";"2a";"2a";"2a";"2a";3;"2a";"2m";"2b";3;"2a";".";1;"2m";"2a";".";"2a";".";"2a";"2a";"2a";3;"2b";"2b";3;"2a";"2a";3;"2b";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"salv glut";"hl";"Salvia glutinosa";".";".";".";".";".";".";".";".";"+";1;1;".";"+";"+";"+";"+";"+";".";".";"r";".";".";".";".";".";".";"r";"+";"+";"+";"r";"+";".";"+";"+";".";"+";".";"+";"r";"+";"+";".";"r";".";".";"r";"+";".";"+";"+";".";".";"+";"+";"+";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";"."
"brac sylv";"hl";"Brachypodium sylvaticum";".";".";".";".";".";"+";".";".";".";1;"2m";".";".";".";"+";"+";"2m";".";".";".";1;".";"+";".";".";"2m";"+";1;".";1;"+";".";".";".";".";".";".";"2m";"2m";".";1;"+";".";".";".";".";".";".";".";1;1;".";".";".";"2m";"2m";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"euph amyg amyg";"hl";"Euphorbia amygdaloides";".";".";".";".";".";".";".";".";".";1;"+";".";".";"r";".";"+";".";".";".";".";"+";".";"+";"r";".";".";"+";".";".";".";".";"+";1;"+";".";".";1;"+";"+";".";"+";1;"+";1;1;"+";1;"+";1;1;"+";".";"+";"+";"+";"+";".";".";".";".";".";".";".";"+";1;".";".";".";".";".";"."
"care flac";"hl";"Carex flacca";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";"+";".";".";"+";1;"+";".";1;".";"+";".";".";".";".";1;"2a";".";".";1;".";1;".";"+";1;".";".";1;1;".";"2m";"+";"2m";"2m";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"phyt spic";"hl";"Phyteuma spicatum";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"+";".";"+";"+";".";"+";".";"r";".";"+";".";"+";"2m";".";".";".";1;"+";"+";".";".";"+";"+";"r";"r";"+";"r";".";".";"+";"+";"r";".";".";"+";1;".";".";".";"+";"+";".";".";".";".";"+";".";".";".";".";"r"
"vale trip";"hl";"Valeriana tripteris";".";".";".";".";".";".";".";".";".";"+";"r";1;".";"r";".";".";".";".";".";"+";".";".";".";".";".";".";".";"+";1;"+";".";".";".";"+";".";".";1;".";"+";1;".";"+";1;1;1;1;1;"+";"+";"+";1;"+";1;1;1;1;"2m";"2m";1;"+";"2m";"+";"+";1;".";"+";".";".";".";".";"."
"aden alpi";"hl";"Adenostyles alpina";"r";".";"+";".";".";".";".";".";".";".";"+";1;".";".";"+";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";"r";"+";".";".";"+";".";".";"2m";".";1;1;"2a";1;"2a";1;1;".";"2a";"2m";1;"2a";1;".";"+";1;1;1;1;"+";1;".";"+";"2m";".";1;"2m";"2m";"2a";".";"."
"poly vert";"hl";"Polygonatum verticillatum";".";"+";".";".";"+";".";".";".";".";".";".";"+";"+";"+";".";".";".";"+";".";".";"+";".";".";".";"+";".";".";".";".";".";".";"+";".";".";".";".";".";".";"+";".";1;"+";1;1;1;1;1;"+";".";"+";1;"+";"+";".";"r";"+";"+";".";".";"+";"+";1;"+";"+";".";"+";1;".";".";".";"."
"loni alpi";"hl";"Lonicera alpigena";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";"+";".";".";"+";".";".";".";".";".";".";".";"r";"+";"r";".";".";"r";".";".";"+";".";"+";".";".";"r";".";"+";"+";"r";".";"+";".";".";".";"+";"+";"+";1;1;"+";".";".";".";".";"+";".";"+";"+";"+";"+";".";"+";".";".";"."
"vero urti";"hl";"Veronica urticifolia";"r";".";".";".";".";".";".";".";".";"r";".";".";".";".";"+";".";".";".";".";"r";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";1;".";"r";".";"+";".";".";"+";".";".";".";".";"+";".";".";".";"r";"+";"+";".";".";"+";1;".";"+";"r";".";"+";".";"r";".";".";"."
"card trif";"hl";"Cardamine trifolia";".";".";".";".";".";1;".";".";".";".";".";".";"2m";1;".";1;".";".";".";1;"+";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"."
"hell nige";"hl";"Helleborus niger";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;1;1;1;"2m";1;1;".";".";1;"+";".";"r";".";"+";"+";"+";".";"+";".";1;".";1;".";".";".";".";".";".";".";"."
"lili mart";"hl";"Lilium martagon";".";".";".";".";".";".";".";"+";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";"+";"+";"+";"+";"r";".";".";".";".";"r";"r";"+";"r";".";".";".";".";".";".";".";"r";"r";".";"r";".";".";".";"."
"mela sylv";"hl";"Melampyrum sylvaticum";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";"r";"+";".";"r";"+";".";".";1;"+";".";1;"+";"+";"+";"2m";"+";"+";"r";"+";".";"r";".";".";".";".";".";".";".";"r"
"homo alpi";"hl";"Homogyne alpina";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"+";".";".";".";"+";".";".";"+";1;"+";"+";1;1;"+";"+";1;"+";".";".";".";".";".";".";".";"."
"knau maxi";"hl";"Knautia maxima";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";"r";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";"+";".";".";"r";"+";1;"+";1;"+";"+";"r";"+";".";"r";1;"+";".";".";".";"+";".";"."
"frag vesc";"hl";"Fragaria vesca";".";".";".";".";".";"+";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";"r";".";"+";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";"+";"r";".";"+";"+";"+";".";"+";"+";"+";"+";".";"+";".";".";"."
"gent ascl";"hl";"Gentiana asclepiadea";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";"+";".";".";"+";"+";"+";".";"+";"+";"+";"+";"r";".";"+";".";".";".";".";".";".";"."
"maia bifo";"hl";"Maianthemum bifolium";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";"+";".";"+";"+";".";".";"+";".";".";".";"r";".";".";".";"."
"gymn dryo";"hl";"Gymnocarpium dryopteris";"+";"r";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";1;".";".";".";".";".";".";".";".";".";".";".";".";".";1;"+";".";"+";"+";".";".";"r";"+";".";"+";".";".";"+";".";".";".";"."
"sesl caer";"hl";"Sesleria albicans";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2m";1;"+";".";".";".";".";".";".";".";".";".";"+";".";1;"+";".";".";".";".";"2a";"2m";"2a";"2a";"2m";"2m";"2a";"2a";".";"+";".";".";".";".";".";".";".";".";".";"."
"bell mich";"hl";"Bellidiastrum michelii";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";"r";".";".";".";".";".";"+";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";"+";".";".";"+";".";".";".";"r";".";".";"r";".";".";"+";".";".";"r";"r";"+";"+";".";1;".";"r";".";".";".";".";".";".";".";".";".";".";"."
"eric carn";"hl";"Erica carnea";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";1;1;"+";".";".";".";"r";".";1;".";1;".";".";".";".";".";".";".";"."
"pote erec";"hl";"Potentilla erecta";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";"+";"+";".";".";"+";".";".";"+";".";".";"+";".";".";".";".";".";".";"."
