"plot";"abbr";"layer";"cov";"comment";"history"
"bm01";"scab colu";"hl";"2a";;" | Changed scab coll To scab colu 2012-11-26 23:29:54"
"bm01";"lotu corn";"hl";"3";;
"bm01";"cent eryt eryt";"hl";"2m";;" | Changed cent eryt To cent eryt eryt 2012-11-26 23:29:54"
"bm01";"equi palu";"hl";"2b";;
"bm01";"phra aust";"hl";"+";;
"bm01";"dact glom glom";"hl";"1";;" | Changed dact glom To dact glom glom 2012-11-26 23:29:54"
"bm01";"fest rubr";"hl";"1";;
"bm01";"fest stri trac";"hl";"2a";;" | Changed fest stric trac To fest stri trac 2012-11-26 23:29:54"
"bm01";"sang mino bale";"hl";"+";;" | Changed sang mino poly To sang mino bale 2012-11-26 23:29:54"
"bm01";"cyno cris";"hl";"2a";;
"bm01";"achi mill";"hl";"2m";;
"bm01";"euph offi rost";"hl";"2a";;" | Changed euph rost To euph offi rost 2012-11-26 23:29:54"
"bm01";"dauc caro caro";"hl";"2a";;" | Changed dauc caro To dauc caro caro 2012-11-27 14:13:44"
"bm01";"trif prat prat";"hl";"2a";;" | Changed trif prat To trif prat prat 2012-11-26 23:29:54"
"bm01";"plan lanc";"hl";"+";;
"bm01";"agro capi";"hl";"+";;" | Changed agro tenu To agro capi 2012-11-26 23:29:54"
"bm01";"thym pule pule";"hl";"2m";;" | Changed thym pule To thym pule pule 2012-11-26 23:29:54"
"bm01";"poa prat";"hl";"+";;
"bm01";"holc lana";"hl";"2b";;
"bm01";"dian delt";"hl";"2a";;
"bm01";"leuc ircu";"hl";"2a";;
"bm01";"anth odor";"hl";"2a";;
"bm01";"prun vulg";"hl";"+";;
"bm01";"lath prat prat";"hl";"+";;" | Changed lath prat To lath prat prat 2012-11-26 23:29:54"
"bm01";"stel gram";"hl";"+";;
"bm01";"camp rotu";"hl";"+";;
"bm01";"junc effu";"hl";"+";;
"bm01";"junc tenu";"hl";"+";;
"bm01";"camp patu";"hl";"1";;
"bm02";"iris sibi";"hl";"2b";;
"bm02";"care rost";"hl";"4";;
"bm02";"phra aust";"hl";"1";;
"bm02";"sali cine";"hl";"1";;
"bm02";"lyco euro euro";"hl";"2m";;" | Changed lyco euro To lyco euro euro 2012-11-26 23:29:54"
"bm02";"lysi vulg";"hl";"1";;
"bm02";"prun vulg";"hl";"1";;
"bm02";"equi palu";"hl";"2a";;
"bm02";"betu pend";"hl";"1";;" | Changed betu pube To betu pend 2012-11-26 23:29:54"
"bm02";"soli giga";"hl";"2m";;
"bm02";"sali purp";"hl";"1";;
"bm02";"gali palu palu";"hl";"1";;" | Changed gali palu To gali palu palu 2012-11-26 23:29:54"
"bm02";"fran alnu";"hl";"+";;
"bm02";"call cusp";"ml";"5";;" | Changed cali cusp To call cusp 2012-11-26 23:29:54"
"bm02";"dros rotu";"hl";"+";;
"bm02";"pote erec";"hl";"+";;
"bm02";"lych flos cucu";"hl";"+";;" | Changed lych flos To lych flos cucu 2012-11-26 23:29:55"
"bm02";"bryu pseu pseu";"ml";"+";;" | Changed bryu pseu To bryu pseu pseu 2012-11-26 23:29:55"
"bm02";"epil palu";"hl";"+";;
"bm02";"care cane cane";"hl";"+";;" | Changed care cane To care cane cane 2012-11-26 23:29:55"
"bm02";"dryo cart";"hl";"r";;
"bm02";"myos palu aggr";"hl";"+";;
"bm02";"cirs palu";"hl";"+";;
"bm03";"trol euro";"hl";"2a";;
"bm03";"iris sibi";"hl";"+";;
"bm03";"camp patu";"hl";"2m";;
"bm03";"leuc vulg";"hl";"2a";;
"bm03";"equi palu";"hl";"2a";;
"bm03";"care hirt";"hl";"2b";;
"bm03";"sali cine";"hl";"1";;
"bm03";"dact inca inca";"hl";"+";;" | Changed dact inca To dact inca inca 2012-11-26 23:29:55"
"bm03";"gali palu palu";"hl";"2a";;" | Changed gali palu To gali palu palu 2012-11-26 23:29:54"
"bm03";"dauc caro caro";"hl";"1";;" | Changed dauc caro To dauc caro caro 2012-11-27 14:13:44"
"bm03";"lotu corn slat";"hl";"1";;
"bm03";"rhin sero";"hl";"1";;
"bm03";"anth odor";"hl";"1";;
"bm03";"clim dend";"ml";"3";;
"bm03";"call cusp";"ml";"1";;" | Changed cali cusp To call cusp 2012-11-26 23:29:54"
"bm03";"euph offi rost";"hl";"1";;" | Changed euph rost To euph offi rost 2012-11-26 23:29:54"
"bm03";"luzu mult";"hl";"+";;
"bm03";"cirs palu";"hl";"+";;
"bm03";"holc lana";"hl";"1";;
"bm03";"ranu repe";"hl";"2a";;
"bm03";"vero cham cham";"hl";"+";;
"bm03";"prun vulg";"hl";"1";;
"bm03";"dact maja maja";"hl";"r";;" | Changed dact maja To dact maja maja 2012-11-26 23:29:55"
"bm03";"aula palu";"ml";"2b";;
"bm03";"care cane cane";"hl";"+";;" | Changed care cane To care cane cane 2012-11-26 23:29:55"
"bm03";"junc effu";"hl";"1";;
"bm03";"fest rubr rubr";"hl";"2a";;
"bm03";"rume acet ella";"hl";"+";;" | Changed rume acel To rume acet ella 2012-11-26 23:29:55"
"bm03";"achi mill aggr";"hl";"1";;
"bm03";"soli giga";"hl";"+";;
"bm03";"moli caer";"hl";"+";;
"bm03";"trif repe repe";"hl";"+";;
"bm03";"cent jace jace";"hl";"+";;
"bm03";"plan lanc";"hl";"+";;
"bm03";"ajug rept";"hl";"+";;
"bm03";"care rost";"hl";"+";;
"bm04";"phra aust";"hl";"2b";;
"bm04";"leuc vulg";"hl";"2b";;
"bm04";"rubu sect rubu";"hl";"+";;" | Changed rubu frut To rubu sect rubu 2012-11-26 23:29:55"
"bm04";"euph offi rost";"hl";"1";;" | Changed euph rost To euph offi rost 2012-11-26 23:29:54"
"bm04";"sali cine";"hl";"1";;
"bm04";"dact inca inca";"hl";"+";;" | Changed dact inca To dact inca inca 2012-11-26 23:29:55"
"bm04";"iris sibi";"hl";"2a";;
"bm04";"camp patu";"hl";"1";;
