plot,abbr,layer,cov,voucher,comment,history
nb23,bryu pseu pseu,ml,+,,det. R. Krisai,
nb23,camp stel,ml,+,,det. R. Krisai,
nb23,palu comm falc,ml,1,,det. R. Krisai,
nb23,scor coss,ml,2,,det. R. Krisai,
nb23,warn exan,ml,+,,det. R. Krisai,
nb23,warn sarm,ml,+,,det. R. Krisai,
nb24,calt palu,hl,+,,,
nb24,care frig,hl,+,,,
nb24,care nigr,hl,2,,,
nb24,junc alpi alpi,hl,1,,,
nb24,junc bigl,hl,+,,,
nb24,junc cast,hl,1,,,
nb24,junc trig trig,hl,+,,,
nb24,saxi aizo,hl,+,,,
nb24,saxi stel robu,hl,+,,,
nb24,swer pere,hl,+,,,
nb24,will stip stip,hl,+,,,
nb24,bryu pseu pseu,ml,+,,det. R. Krisai,
nb24,palu comm comm,ml,2,,det. R. Krisai,
nb25,calt palu,hl,2,,,
nb25,card amar aust,hl,+,,,
nb25,care echi,hl,3,,,
nb25,epil nuta,hl,+,,,
nb25,junc cast,hl,+,,,
nb25,lych flos cucu,hl,+,,,
nb25,myos palu aggr,hl,+,,,
nb25,ping vulg,hl,+,,,
nb25,prun vulg,hl,+,,,
nb25,ranu repe,hl,1,,,
nb25,stel alsi,hl,+,,,
nb25,viol palu,hl,+,,,
nb25,warn exan,hl,1,,,
nb25,will stip stip,hl,2,,,
nb25,phil font,ml,1,,det. R. Krisai,
nb26,calt palu,hl,+,,,
nb26,care dava,hl,2,,,
nb26,care frig,hl,+,,,
nb26,epil alsi,hl,1,,,
nb26,lych flos cucu,hl,+,,,
nb26,ping vulg,hl,+,,,
nb26,saxi stel robu,hl,2,,,
nb26,tofi caly,hl,1,,,
nb26,will stip stip,hl,+,,,
nb26,bryu pseu pseu,ml,+,,det. R. Krisai,
nb26,dich palu,ml,+,,det. R. Krisai,
nb26,palu comm comm,ml,2,,det. R. Krisai,
nb27,calt palu,hl,+,,,
nb27,care echi,hl,+,,,
nb27,care frig,hl,+,,,
nb27,care nigr,hl,3,,,
nb27,junc cast,hl,2,,,
nb27,junc trig trig,hl,+,,,
nb27,ping vulg,hl,+,,,
nb27,swer pere,hl,2,,,
nb27,bryu pseu pseu,ml,+,,det. R. Krisai,
nb27,palu comm falc,ml,1,,det. R. Krisai,
nb27,scor coss,ml,2,,det. R. Krisai,
nb28,agro stol,hl,+,,,
nb28,calt palu,hl,2,,,
nb28,care frig,hl,2,,,
nb28,care nigr,hl,+,,,
nb28,desc cesp,hl,+,,,
nb28,junc cast,hl,2,,,
nb28,junc trig trig,hl,+,,,
nb28,saxi stel robu,hl,1,,,
nb28,bryu pseu pseu,ml,+,,det. R. Krisai,
nb28,camp stel,ml,1,,det. R. Krisai,
nb28,chil pall,ml,+,,det. R. Krisai,
nb28,dich palu,ml,+,,det. R. Krisai,
nb28,hylo sple,ml,+,,det. R. Krisai,
nb28,palu comm comm,ml,+,,det. R. Krisai,
nb28,palu comm falc,ml,2,,det. R. Krisai,
nb28,palu deci,ml,+,,det. R. Krisai,
nb28,pell endi,ml,+,,cf. R. Krisai,
nb28,phil font,ml,+,,det. R. Krisai,
nb28,phil seri,ml,+,,det. R. Krisai,
nb28,phil tome,ml,+,,det. R. Krisai,
nb28,poly comm,ml,+,,det. R. Krisai,
nb28,poly stri,ml,+,,det. R. Krisai,
nb28,spha capi,ml,+,,det. R. Krisai,
nb28,spha girg,ml,+,,det. R. Krisai,
nb28,spha quin,ml,+,,det. R. Krisai,
nb28,spha warn,ml,+,,det. R. Krisai,
nb28,stra stra,ml,+,,det. R. Krisai,
nb28,warn exan,ml,+,,det. R. Krisai,
nb29,agro stol,hl,+,,,
nb29,calt palu,hl,+,,,
nb29,care echi,hl,+,,,
nb29,care nigr,hl,+,,,
nb29,cirs palu,hl,+,,,
nb29,erio lati,hl,2,,,
nb29,junc alpi alpi,hl,3,,,
nb29,junc cast,hl,+,,,
nb29,junc trig trig,hl,+,,,
nb29,myos palu aggr,hl,+,,,
nb29,parn palu,hl,+,,,
nb29,saxi stel robu,hl,+,,,
nb29,viol palu,hl,+,,,
nb29,bryu pseu pseu,ml,+,,det. R. Krisai,
nb29,dich palu,ml,+,,det. R. Krisai,
nb29,hylo pyre,ml,+,,det. R. Krisai,
nb29,palu comm comm,ml,1,,det. R. Krisai,
nb29,phil font,ml,+,,det. R. Krisai,
nb29,phil seri,ml,+,,det. R. Krisai,
nb29,phil tome,ml,+,,det. R. Krisai,
nb29,scor coss,ml,2,,det. R. Krisai,
nb29,spha warn,ml,+,,det. R. Krisai,
nb29,warn exan,ml,+,,det. R. Krisai,
nb30,calt palu,hl,+,,,
nb30,care flav flav,hl,+,,,
nb30,care nigr,hl,2,,,
nb30,desc cesp,hl,2,,,
nb30,junc cast,hl,1,,,
nb30,junc trig trig,hl,+,,,
nb30,saxi stel robu,hl,+,,,
nb30,bryu pseu pseu,ml,+,,det. R. Krisai,
nb30,camp stel,ml,+,,det. R. Krisai,
nb30,palu comm comm,ml,+,,det. R. Krisai,
nb30,palu comm falc,ml,+,,det. R. Krisai,
nb30,scor coss,ml,2,,det. R. Krisai,
nb31,calt palu,hl,1,,,
nb31,desc cesp,hl,1,,,
nb31,epil nuta,hl,+,,,
nb31,junc cast,hl,+,,,
nb31,junc trig trig,hl,+,,,
nb31,call giga,ml,+,,det. R. Krisai,
nb31,palu comm comm,ml,2,,det. R. Krisai,
nb31,phil font,ml,1,,det. R. Krisai,
nb32,bart alpi,hl,1,,,
nb32,care echi,hl,+,,,
nb32,care nigr,hl,+,,,
nb32,care rost,hl,2,,,
nb32,junc cast,hl,2,,,
nb32,junc trig trig,hl,+,,,
nb32,pote erec,hl,+,,,
