taxon,matched.taxon
Achnatherum calamagrostis,Achnatherum calamagrostis
Vincetoxicum hirundinaria,Vincetoxicum hirundinaria
Molinia arundinacea,Molinia arundinacea
Clinopodium vulgare,Clinopodium vulgare ssp. vulgare
Digitalis lutea,Digitalis lutea
Centaurea alpestris,Centaurea scabiosa ssp. alpestris
Salvia glutinosa,Salvia glutinosa
Teucrium montanum,Teucrium montanum
Galium album,Galium album s.str.
Sedum album,Sedum album
Buphthalmum salicifolium,Buphthalmum salicifolium
Anthericum ramosum,Anthericum ramosum
Geranium robertianum,Geranium robertianum s.str.
Euphorbia cypanssias,Euphorbia cyparissias
Campanula cochleariifolia,Campanula cochleariifolia
Silene vulgaris ssp. glareosa,Silene vulgaris ssp. glareosa
Linaria alpina ssp. alpina,Linaria alpina ssp. alpina
Chlorocrepis staticifolia,Chlorocrepis staticifolia
Petasites paradoxus,Petasites paradoxus
Gypsophila repens,Gypsophila repens
Athamanta cretensis,Athamanta cretensis
Thymus vulgaris ssp. polytrichus,Thymus praecox ssp. polytrichus
Calamagrostis varia,Calamagrostis varia
Carduus defloratus,Carduus defloratus s.lat.
Leontodon hispidus ssp. glabratus,Leontodon hispidus ssp. hyoseroides
Gobularia cordifolia,Globularia cordifolia s.str.
Leontodon incanus,Leontodon incanus
Carex sempervirens subsp. tatrorum,Carex sempervirens ssp. sempervirens
Dryas octopetala,Dryas octopetala
Sesleria varia,Sesleria caerulea s.str.
Erica herbacea,Erica carnea
Carlina acaulis,Carlina acaulis s.lat.
Euphrasia salisburgensis,Euphrasia salisburgensis s.str.
Galium anisophyllon,Galium anisophyllon
