plot,cov,tcov1,tcov2,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,date,soil,location,comment,latitude,longitude,accuracy,alliance,observer
kb15,99,55,35,45,80,1,27,22,5,0.9,0.3,16,16,N,55,3,0,0,2014-07-19,Mull-Rendzina,"Kapuzinerberg, Nord-Seite",kbx3,47.805691N,13.059315E,20,Lunario-Acerenion pseudoplatani,R. Kaiser
kb16,70,50,40,3,7,0,20,17,4,0.5,0.15,16,16,N,45,1,0,0,2014-07-19,verbraunte Rendzina,"Kapuzinerberg, Nord-Seite","feingrusig und skelettreiche, verbraunte Renzina",47.805774N,13.056309E,20,Lunario-Acerenion pseudoplatani,R. Kaiser
kb17,93,50,15,40,90,3,12,8,5,0.9,0.5,16,16,N,50,5,0,0,2014-07-19,verbraunte Rendzina,"Kapuzinerberg, Nord-Seite",an Felskanzel,47.805931N,13.056950E,20,unclassified,R. Kaiser
kb18,90,60,60,15,80,1,20,10,4,0.4,0.25,16,16,W,15,2,0,0,2015-04-26,skelettreiche Braunerde,"Kapuzinerberg, Ostrücken","Westhang unterhalb Aussichtsplatz, oben ein Buchenprotz",47.806194N,13.063095E,5,Cephalanthero-Fagenion,R. Kaiser
kb19,98,40,70,7,95,1,22,16,4,0.5,0.25,32,8,F,0,0,5,0,2015-04-26,skelettreiche Braunerde,"Kapuzinerberg, Ostrücken",von Geländer des Aussichtsplatzes gegen W an der Verebnung N des Hauptpfades,47.805486N,13.061254E,5,Carpinion betuli,R. Kaiser
kb20,98,80,25,60,40,1,23,20,4,0.5,0.2,16,16,S,20,15,0,0,2015-04-27,skelettreiche Braunerde,"Kapuzinerberg, Äußererstein",mächtige Laubstreuauflage,47.800963N,13.052512E,20,Cephalanthero-Fagenion,R. Kaiser
kb21,98,60,70,70,60,1,18,9,3,0.5,0.25,16,16,SW,25,5,0,0,2015-04-27,skelettreiche Braunerde,"Kapuzinerberg, Äußererstein",oben ein Buchenprotz neben großer Esche,47.800862N,13.053036E,20,Carpinion betuli,R. Kaiser
kb22,95,30,75,40,35,1,10,7,4,0.5,0.2,16,16,S,35,20,0,0,2015-04-27,verbraunte Rendzina,"Kapuzinerberg, Südseite oberhalb Arenbergstraße",mächtige Laubstreuauflage,47.801239N,13.057476E,20,Carpinion betuli,R. Kaiser
kb23,98,25,75,10,15,1,12,9,3,0.4,0.2,16,16,S,60,40,0,0,2015-04-27,Rendzina,"Kapuzinerberg, Südseite oberhalb Arenbergstraße",an Felstufe oberhalb eines kleines Felsdaches oberhalb des Basteiweges,47.801245N,13.057119E,20,Tilenion platyphylli,R. Kaiser
kb24,98,60,70,20,75,1,13,8,4,1,0.3,16,16,S,35,3,0,0,2015-06-13,Braunerde & Rendzina,"Kapuzinerberg, Äußererstein",ab der Linde am Basteiturm gegen Südwesten,47.800840N,13.051400E,10,Carpinion betuli,R. Kaiser
