plot,abbr,layer,cov,comment,voucher,history
kb03,taxu bacc,sl,1,,,
kb03,fagu sylv,tl1,3,,,
kb03,fagu sylv,tl2,2b,,,
kb03,frax exce,tl2,2a,,,
kb03,pice abie,tl2,2a,,,
kb03,sorb aria,tl2,2b,,,
kb03,taxu bacc,tl2,2b,,,
kb04,amel oval,hl,1,,,
kb04,aspl ruta,hl,+,,,
kb04,buph sali,hl,+,,,
kb04,care alba,hl,2b,,,
kb04,care digi,hl,+,,,
kb04,care orni orni,hl,+,,,
kb04,corn sang slat,hl,+,,,
kb04,cory avel,hl,+,,,
kb04,cycl purp,hl,+,,,
kb04,eric carn,hl,4,,,
kb04,fagu sylv,hl,+,,,
kb04,frax exce,hl,+,,,
kb04,geni tinc,hl,r,,,
kb04,hepa nobi,hl,+,,,
kb04,hier bifi,hl,+,,,
kb04,kern saxa,hl,+,,,
kb04,lase sile sile,hl,2a,,,
kb04,leon hisp slat,hl,+,,,
kb04,meli nuta,hl,1,,,
kb04,moli caer,hl,1,,,
kb04,poly cham,hl,2m,,,
kb04,poly odor,hl,1,,,
kb04,pote caul,hl,+,,,
kb04,rham cath,hl,1,,,
kb04,sali appe,hl,+,,,
kb04,sesl caer,hl,2a,,,
kb04,sorb aria,hl,1,,,
kb04,taxu bacc,hl,1,,,
kb04,teuc cham,hl,2a,,,
kb04,tili cord,hl,+,,,
kb04,vacc viti,hl,+,,,
kb04,vinc hiru,hl,1,,,
kb04,viol hirt,hl,+,,,
kb04,amel oval,sl,2b,,,
kb04,cory avel,sl,2a,,,
kb04,frax exce,sl,1,,,
kb04,sali appe,sl,1,,,
kb04,sorb aria,sl,2a,,,
kb04,taxu bacc,sl,1,,,
kb05,amel oval,hl,3,,,
kb05,buph sali,hl,+,,,
kb05,care alba,hl,1,,,
kb05,care digi,hl,+,,,
kb05,care flac,hl,+,,,
kb05,care orni orni,hl,+,,,
kb05,clem vita,hl,1,,,
kb05,conv maja maja,hl,+,,,
kb05,corn sang slat,hl,+,,,
kb05,cycl purp,hl,+,,,
kb05,eric carn,hl,2a,,,
kb05,euph dulc dulc,hl,+,,,
kb05,fest amet amet,hl,1,,,
kb05,frax exce,hl,+,,,
kb05,kern saxa,hl,+,,,
kb05,lase sile sile,hl,2a,,,
kb05,leon inca,hl,+,,,
kb05,ligu vulg,hl,+,,,
kb05,meli nuta,hl,+,,,
kb05,moli caer,hl,1,,,
kb05,poly cham,hl,2m,,,
kb05,pote caul,hl,2a,,,
kb05,rham cath,hl,+,,,
kb05,sali appe,hl,+,,,
kb05,sesl caer,hl,2a,,,
kb05,vibu lant,hl,1,,,
kb05,viol hirt,hl,1,,,
kb05,clem vita,sl,1,,,
kb05,ligu vulg,sl,+,,,
kb05,rham cath,sl,+,,,
kb05,sali appe,sl,1,,,
kb05,vibu lant,sl,2a,,,
kb05,betu pend,tl2,2a,,,
kb05,frax exce,tl2,2a,,,
kb06,amel oval,hl,1,,,
kb06,betu pend,hl,+,,,
kb06,buph sali,hl,+,,,
kb06,care alba,hl,+,,,
kb06,care orni orni,hl,+,,,
kb06,clem vita,hl,+,,,
kb06,cory avel,hl,+,,,
kb06,coto hori,hl,+,,,
kb06,eric carn,hl,2b,,,
kb06,fran alnu,hl,+,,,
kb06,frax exce,hl,1,,,
kb06,gyps repe,hl,r,,,
kb06,hier bifi,hl,+,,,
kb06,kern saxa,hl,r,,,
kb06,lase sile sile,hl,1,,,
kb06,leon inca,hl,1,,,
kb06,moli caer,hl,2a,,,
kb06,pice abie,hl,+,,,
kb06,poly cham,hl,2m,,,
kb06,pote caul,hl,+,,,
kb06,quer robu,hl,r,,,
kb06,rham cath,hl,+,,,
kb06,rhod hirs,hl,1,,,
kb06,sesl caer,hl,2a,,,
kb06,soli virg virg,hl,+,,,
kb06,teuc cham,hl,2a,,,
kb06,vinc hiru,hl,2a,,,
kb06,tort tort,ml,1,,,
kb06,amel oval,sl,2b,,,
kb06,clem vita,sl,+,,,
kb06,cory avel,sl,2b,,,
kb06,fran alnu,sl,2b,,,
kb06,frax exce,sl,2a,,,
kb06,pice abie,sl,1,,,
kb06,pinu sylv,sl,2b,,,
kb06,rham cath,sl,1,,,
kb06,sali appe,sl,1,,,
kb06,betu pend,tl2,1,,,
kb06,frax exce,tl2,2a,,,
kb06,pice abie,tl2,2a,,,
kb06,pinu sylv,tl2,2b,,,
kb07,acer plat,hl,+,,,
kb07,acer pseu,hl,+,,,
kb07,cala vari,hl,1,,,
kb07,camp rapu rapu,hl,+,,,
kb07,camp trac,hl,+,,,
kb07,care alba,hl,1,,,
kb07,care digi,hl,1,,,
kb07,care mont,hl,+,,,
kb07,ceph dama,hl,r,,,
kb07,clem vita,hl,1,,,
kb07,corn sang slat,hl,+,,,
kb07,coto inte,hl,+,,,
kb07,cycl purp,hl,+,,,
kb07,gale psis spec ies,hl,r,,,
kb07,hede heli,hl,1,,,
kb07,hepa nobi,hl,+,,,
kb07,ligu vulg,hl,1,,,
kb07,loni xylo,hl,+,,,
kb07,meli nuta,hl,+,,,
kb07,rosa arve,hl,1,,,
kb07,sesl caer,hl,+,,,
kb07,soli virg virg,hl,r,,,
kb07,stac sylv,hl,+,,,
kb07,ulmu glab,hl,+,,,
kb07,vinc hiru,hl,2a,,,
kb07,acer plat,sl,+,,,
kb07,carp betu,sl,1,,,
kb07,clem vita,sl,+,,,
kb07,corn sang slat,sl,1,,,
kb07,crat mono,sl,+,,,
kb07,frax exce,sl,1,,,
kb07,ligu vulg,sl,+,,,
kb07,quer ×ros,sl,1,,,
kb07,rham cath,sl,+,,,
kb07,tili ×vul,sl,1,,,
kb07,tili cord,sl,1,,,
kb07,ulmu glab,sl,1,,,
kb07,ulmu mino mino,sl,+,,,
kb07,vibu lant,sl,+,,,
kb07,acer pseu,tl1,1,,,
kb07,frax exce,tl1,2b,,,
kb07,quer petr,tl1,1,,,
kb07,quer robu,tl1,2b,,,
kb07,acer plat,tl2,2a,,,
kb07,carp betu,tl2,3,,,
kb07,crat mono,tl2,1,,,
kb07,quer ×ros,tl2,2a,,,
kb07,quer petr,tl2,1,,,
kb07,sorb aria,tl2,1,,,
kb07,tili cord,tl2,2a,,,
kb07,ulmu glab,tl2,2a,,,
kb08,acer plat,hl,+,,,
kb08,acer pseu,hl,+,,,
kb08,brac sylv,hl,+,,,
kb08,cala vari,hl,2a,,,
kb08,camp rapu rapu,hl,1,,,
kb08,camp trac,hl,+,,,
kb08,care alba,hl,3,,,
kb08,care digi,hl,+,,,
kb08,carp betu,hl,+,,,
kb08,clem vita,hl,1,,,
kb08,corn sang slat,hl,+,,,
kb08,cory avel,hl,+,,,
kb08,crat mono,hl,+,,,
kb08,cycl purp,hl,1,,,
kb08,daph meze,hl,+,,,
kb08,euon euro,hl,1,,,
kb08,euph dulc dulc,hl,+,,,
kb08,frax exce,hl,+,,,
kb08,hede heli,hl,1,,,
kb08,hepa nobi,hl,+,,,
kb08,lase lati lati,hl,r,,,
kb08,lili mart,hl,+,,,
kb08,loni xylo,hl,+,,,
kb08,malu sylv,hl,r,,2014-0102,
kb08,meli nuta,hl,+,,,
kb08,merc pere,hl,+,,,
kb08,poly odor,hl,+,,,
kb08,quer robu,hl,+,,,
kb08,rham cath,hl,2m,,,
kb08,rosa arve,hl,+,,,
kb08,salv glut,hl,+,,,
kb08,sorb aria,hl,+,,,
kb08,taxu bacc,hl,+,,,
kb08,tili plat,hl,1,,,
kb08,ulmu mino mino,hl,+,,,
kb08,vibu lant,hl,1,,,
kb08,vinc hiru,hl,1,,,
kb08,viol alba slat,hl,+,,2014-0103,
kb08,acer plat,sl,+,,,
kb08,acer pseu,sl,2a,,,
kb08,carp betu,sl,1,,,
kb08,clem vita,sl,2a,,,
kb08,corn mas,sl,2a,,,
kb08,corn sang slat,sl,1,,,
kb08,cory avel,sl,2a,,,
kb08,crat mono,sl,+,,,
kb08,euon euro,sl,1,,,
kb08,jugl regi,sl,+,,,
kb08,quer robu,sl,+,,,
kb08,taxu bacc,sl,1,,,
kb08,tili plat,sl,2a,,,
kb08,ulmu glab,sl,1,,,
kb08,vibu lant,sl,+,,,
kb08,acer plat,tl1,2b,,,
kb08,acer pseu,tl1,2a,,,
kb08,carp betu,tl1,1,,,
kb08,frax exce,tl1,2a,,,
kb08,quer robu,tl1,2b,,,
kb08,ulmu glab,tl1,1,,,
kb08,acer plat,tl2,2b,,,
kb08,carp betu,tl2,3,,,
kb08,frax exce,tl2,2a,,,
kb08,sorb aria,tl2,1,,,
kb08,taxu bacc,tl2,1,,,
kb08,tili ×vul,tl2,1,,,
kb08,tili plat,tl2,2a,,,
kb08,ulmu glab,tl2,2a,,,
kb09,acer plat,hl,+,,,
kb09,acer pseu,hl,+,,,
kb09,anem nemo,hl,1,,,
kb09,aspl ruta,hl,r,,,
kb09,brac sylv,hl,+,,,
kb09,cala vari,hl,1,,,
kb09,camp trac,hl,+,,,
kb09,care alba,hl,3,,,
kb09,care digi,hl,+,,,
kb09,carp betu,hl,+,,,
kb09,clem vita,hl,+,,,
kb09,conv maja maja,hl,+,,,
kb09,cycl purp,hl,1,,,
kb09,euph amyg amyg,hl,+,,,
kb09,euph dulc dulc,hl,+,,,
kb09,fagu sylv,hl,2a,,,
kb09,frax exce,hl,1,,,
kb09,gale psis spec ies,hl,r,,,
kb09,hede heli,hl,1,,,
kb09,hepa nobi,hl,1,,,
kb09,jugl regi,hl,1,,,
kb09,ligu vulg,hl,r,,,
kb09,lili mart,hl,r,,,
kb09,poly mult,hl,+,,,
kb09,pren purp,hl,+,,,
kb09,prun spin,hl,r,,,
kb09,quer robu,hl,+,,,
kb09,rham cath,hl,r,,,
kb09,rubu sect rubu,hl,1,,,
kb09,salv glut,hl,r,,,
kb09,taxu bacc,hl,+,,,
kb09,tili plat,hl,+,,,
kb09,vinc hiru,hl,1,,,
kb09,viol rivi,hl,+,,,
kb09,acer plat,sl,+,,,
kb09,acer pseu,sl,+,,,
kb09,carp betu,sl,+,,,
kb09,clem vita,sl,+,,,
kb09,cory avel,sl,1,,,
kb09,euon euro,sl,+,,,
kb09,fagu sylv,sl,2b,,,
kb09,jugl regi,sl,2a,,,
kb09,prun aviu slat,sl,r,,,
kb09,quer robu,sl,+,,,
kb09,tili plat,sl,+,,,
kb09,fagu sylv,tl1,4,,,
kb09,frax exce,tl1,2b,,,
kb09,quer robu,tl1,2a,,,
kb09,acer plat,tl2,1,,,
kb09,fagu sylv,tl2,2b,,,
kb09,frax exce,tl2,2a,,,
kb10,acer plat,hl,+,,,
kb10,acer pseu,hl,+,,,
kb10,anem nemo,hl,+,,,
kb10,anth ramo,hl,r,,,
kb10,apos foet,hl,+,,,
kb10,cala vari,hl,2b,,,
kb10,camp rapu rapu,hl,+,,,
kb10,camp trac,hl,+,,,
kb10,care mont,hl,4,,,
kb10,carp betu,hl,+,,,
kb10,ceph dama,hl,r,,,
kb10,ceph long,hl,+,,,
kb10,conv maja maja,hl,1,,,
kb10,corn sang slat,hl,+,,,
kb10,cory avel,hl,+,,,
kb10,coto inte,hl,r,,,
kb10,cycl purp,hl,1,,,
kb10,euph amyg amyg,hl,+,,,
kb10,euph dulc dulc,hl,+,,,
kb10,fagu sylv,hl,+,,,
kb10,fest hete ylla,hl,+,,,
kb10,frax exce,hl,+,,,
kb10,gali sylv,hl,1,,,
kb10,hede heli,hl,+,,,
kb10,hepa nobi,hl,1,,,
kb10,hier saba,hl,r,,,
kb10,jugl regi,hl,+,,,
kb10,lase lati lati,hl,r,,,
kb10,lath nige,hl,+,,2014-0101,
kb10,ligu vulg,hl,1,,,
kb10,lili mart,hl,+,,,
kb10,meli nuta,hl,+,,,
kb10,merc pere,hl,+,,,
kb10,orig vulg,hl,+,,,
kb10,pren purp,hl,+,,,
kb10,quer ×ros,hl,+,,,
kb10,rham cath,hl,r,,,
kb10,rosa arve,hl,2a,,,
kb10,sorb aria,hl,+,,,
kb10,sorb aucu aucu,hl,+,,,
kb10,taxu bacc,hl,+,,,
kb10,tili ×vul,hl,+,cf.,,
kb10,vibu lant,hl,+,,,
kb10,vinc hiru,hl,+,,,
kb10,viol alba slat,hl,r,,2014-0105,
kb10,viol reic,hl,+,,,
kb10,viol rivi,hl,+,,,
kb10,berb vulg,sl,+,,,
kb10,carp betu,sl,+,,,
kb10,corn sang slat,sl,1,,,
kb10,cory avel,sl,1,,,
kb10,crat laev laev,sl,1,,,
kb10,fagu sylv,sl,1,,,
kb10,frax exce,sl,+,,,
kb10,ligu vulg,sl,+,,,
kb10,pice abie,sl,1,,,
kb10,rosa arve,sl,+,,,
kb10,sorb aucu aucu,sl,+,,,
kb10,taxu bacc,sl,1,,,
kb10,vibu lant,sl,+,,,
kb10,acer plat,tl1,2a,,,
kb10,frax exce,tl1,2b,,,
kb10,quer ×ros,tl1,3,,,
kb10,carp betu,tl2,2b,,,
kb10,fagu sylv,tl2,2b,,,
kb10,frax exce,tl2,2b,,,
kb10,pice abie,tl2,1,,,
kb10,quer ×ros,tl2,2a,,,
kb10,quer robu,tl2,2a,,,
kb10,sorb aria,tl2,1,,,
kb10,taxu bacc,tl2,2a,,,
kb11,acer plat,hl,+,,,
kb11,acer pseu,hl,+,,,
kb11,alli oler,hl,+,,,
kb11,anth ramo,hl,+,,,
kb11,aspl ruta,hl,r,,,
kb11,aspl tric quad,hl,r,,,
kb11,brac sylv,hl,+,,,
kb11,cala vari,hl,2a,,,
kb11,camp pers,hl,+,,,
kb11,camp rapu rapu,hl,+,,,
kb11,care alba,hl,3,,,
kb11,care digi,hl,+,,,
kb11,care mont,hl,2b,,,
kb11,care orni orni,hl,r,,,
kb11,carp betu,hl,+,,,
kb11,ceph long,hl,r,,,
kb11,conv maja maja,hl,+,,,
kb11,corn sang slat,hl,+,,,
kb11,cory avel,hl,+,,,
kb11,crat laev laev,hl,+,,,
kb11,cycl purp,hl,1,,,
kb11,euph amyg amyg,hl,+,,,
kb11,euph dulc dulc,hl,+,,,
kb11,fagu sylv,hl,1,,,
kb11,frax exce,hl,1,,,
kb11,hede heli,hl,1,,,
kb11,hepa nobi,hl,1,,,
kb11,hier bifi,hl,+,,,
kb11,jugl regi,hl,+,,,
kb11,labu anag,hl,+,,,
kb11,ligu vulg,hl,+,,,
kb11,lili mart,hl,+,,,
kb11,mela prat,hl,1,,,
kb11,mela sylv,hl,1,,,
kb11,meli nuta,hl,+,,,
kb11,poly mult,hl,+,,,
kb11,poly odor,hl,r,,,
kb11,pren purp,hl,+,,,
kb11,quer petr,hl,+,,,
kb11,quer robu,hl,+,,,
kb11,rham cath,hl,1,,,
kb11,rosa arve,hl,1,,,
kb11,salv glut,hl,+,,,
kb11,sesl caer,hl,+,,,
kb11,sorb aria,hl,1,,,
kb11,taxu bacc,hl,r,,,
kb11,tili cord,hl,+,,,
kb11,tili plat,hl,+,,,
kb11,vibu lant,hl,+,,,
kb11,vinc hiru,hl,1,,,
kb11,viol alba slat,hl,+,,2014-0104,
kb11,viol reic,hl,+,,,
kb11,carp betu,sl,1,,,
kb11,corn sang slat,sl,+,,,
kb11,cory avel,sl,1,,,
kb11,labu anag,sl,2a,,,
kb11,ligu vulg,sl,1,,,
kb11,quer petr,sl,1,,,
kb11,quer robu,sl,+,,,
kb11,rham cath,sl,+,,,
kb11,rosa arve,sl,+,,,
kb11,sorb aria,sl,1,,,
kb11,tili plat,sl,1,,,
kb11,vibu lant,sl,1,,,
kb11,carp betu,tl1,1,,,
kb11,frax exce,tl1,2b,,,
kb11,quer petr,tl1,2b,,,
kb11,carp betu,tl2,2b,,,
kb11,fagu sylv,tl2,2b,,,
kb11,quer petr,tl2,1,,,
kb11,sorb aria,tl2,2a,,,
kb11,tili cord,tl2,2a,,,
kb11,tili plat,tl2,2b,,,
kb12,amel oval,hl,r,,,
kb12,berb vulg,hl,+,,,
kb12,brac sylv,hl,+,,,
kb12,cala vari,hl,1,,,
kb12,camp pers,hl,+,,,
kb12,camp rapu rapu,hl,+,,,
kb12,camp trac,hl,+,,,
kb12,care alba,hl,4,,,
kb12,care digi,hl,1,,,
kb12,care flac,hl,+,,,
kb12,care mont,hl,+,,,
kb12,care orni orni,hl,+,,,
kb12,carp betu,hl,+,,,
kb12,ceph dama,hl,r,,,
kb12,ceph long,hl,+,,,
kb12,corn sang slat,hl,1,,,
kb12,cory avel,hl,+,,,
kb12,coto inte,hl,r,,,
kb12,crat laev laev,hl,+,,,
kb12,cycl purp,hl,+,,,
kb12,euon euro,hl,+,,,
kb12,fagu sylv,hl,+,,,
kb12,frag vesc,hl,+,,,
kb12,hede heli,hl,1,,,
kb12,hepa nobi,hl,+,,,
kb12,labu anag,hl,1,,,
kb12,lase lati lati,hl,+,,,
kb12,ligu vulg,hl,+,,,
kb12,poly odor,hl,+,,,
kb12,quer robu,hl,+,,,
kb12,rham cath,hl,+,,,
kb12,rosa arve,hl,+,,,
kb12,salv glut,hl,+,,,
kb12,sesl caer,hl,r,,,
kb12,sorb aria,hl,+,,,
kb12,tili plat,hl,+,,,
kb12,vinc hiru,hl,1,,,
kb12,viol reic,hl,+,,,
kb12,carp betu,sl,1,,,
kb12,corn mas,sl,r,,,
kb12,corn sang slat,sl,1,,,
kb12,cory avel,sl,2b,,,
kb12,crat laev laev,sl,+,,,
kb12,fagu sylv,sl,1,,,
kb12,frax exce,sl,1,,,
kb12,labu anag,sl,2b,,,
kb12,ligu vulg,sl,1,,,
kb12,quer petr,sl,+,,,
kb12,rham cath,sl,+,,,
kb12,vibu lant,sl,2a,,,
kb12,frax exce,tl1,2b,,,
kb12,carp betu,tl2,3,,,
kb12,frax exce,tl2,2a,,,
kb12,labu anag,tl2,2a,,,
kb12,quer petr,tl2,2a,,,
kb12,sorb aria,tl2,1,,,
kb12,tili ×vul,tl2,1,cf.,,
kb12,tili plat,tl2,2a,,,
kb13,acer plat,hl,+,,,
kb13,acer pseu,hl,1,,,
kb13,acon lyco vulp,hl,2a,,,
kb13,aego poda,hl,r,,,
kb13,ajug rept,hl,+,,,
kb13,apos foet,hl,+,,,
kb13,arun dioi,hl,+,,,
kb13,brac sylv,hl,+,,,
kb13,camp pers,hl,r,,,
kb13,camp rapu rapu,hl,+,,,
kb13,camp trac,hl,r,,,
kb13,card enne,hl,+,,,
kb13,care alba,hl,3,,,
kb13,care digi,hl,+,,,
kb13,care flac,hl,+,,,
kb13,clem vita,hl,+,,,
kb13,conv maja maja,hl,+,,,
kb13,corn sang slat,hl,+,,,
kb13,cory avel,hl,+,,,
kb13,crat laev laev,hl,+,,,
kb13,cycl purp,hl,+,,,
kb13,daph meze,hl,+,,,
kb13,dryo fili,hl,+,,,
kb13,epip atro,hl,r,,,
kb13,euon lati,hl,r,,,
kb13,euph amyg amyg,hl,+,,,
kb13,euph dulc dulc,hl,+,,,
kb13,fagu sylv,hl,+,,,
kb13,frax exce,hl,1,,,
kb13,gali sylv,hl,1,,,
kb13,gymn robe,hl,+,,,
kb13,hede heli,hl,+,,,
kb13,hepa nobi,hl,2m,,,
kb13,knau maxi,hl,+,,,
kb13,ligu vulg,hl,+,,,
kb13,lili mart,hl,+,,,
kb13,loni alpi,hl,+,,,
kb13,loni xylo,hl,+,,,
kb13,meli nuta,hl,+,,,
kb13,merc pere,hl,+,,,
kb13,moli caer aggr,hl,1,M. arundinacea,,
kb13,pari quad,hl,+,,,
kb13,phyt spic,hl,+,,,
kb13,pice abie,hl,+,,,
kb13,poly acul,hl,+,,,
kb13,poly cham,hl,+,,,
kb13,poly lonc,hl,r,,,
kb13,poly mult,hl,+,,,
kb13,pren purp,hl,+,,,
kb13,prim elat,hl,+,,,
kb13,pter aqui,hl,+,,,
kb13,ranu nemo,hl,+,,,
kb13,rosa arve,hl,+,,,
kb13,rosa pend,hl,+,,,
kb13,rubu sect rubu,hl,+,R. hirtus,,
kb13,salv glut,hl,1,,,
kb13,soli virg virg,hl,r,,,
kb13,sorb aria,hl,1,,,
kb13,stap pinn,hl,+,,,
kb13,taxu bacc,hl,+,,,
kb13,tili ×vul,hl,+,cf.,,
kb13,tili plat,hl,+,cf.,,
kb13,ulmu glab,hl,r,,,
kb13,vale trip,hl,+,,,
kb13,vero urti,hl,+,,,
kb13,vibu lant,hl,+,,,
kb13,vibu opul,hl,+,,,
kb13,vinc hiru,hl,1,,,
kb13,viol reic,hl,+,,,
kb13,viol rivi,hl,+,,,
kb13,acer plat,sl,1,,,
kb13,acer pseu,sl,1,,,
kb13,clem vita,sl,+,,,
kb13,cory avel,sl,+,,,
kb13,crat laev laev,sl,1,,,
kb13,daph meze,sl,+,,,
kb13,fagu sylv,sl,1,,,
kb13,frax exce,sl,2a,,,
kb13,jugl regi,sl,+,,,
kb13,ligu vulg,sl,+,,,
kb13,loni alpi,sl,1,,,
kb13,loni xylo,sl,1,,,
kb13,rosa pend,sl,+,,,
kb13,sorb aria,sl,2a,,,
kb13,vibu lant,sl,1,,,
kb13,fagu sylv,tl1,3,,,
kb13,acer plat,tl2,1,,,
kb13,fagu sylv,tl2,3,,,
kb13,frax exce,tl2,1,,,
kb13,hede heli,tl2,1,,,
kb13,sorb aria,tl2,1,,,
kb13,taxu bacc,tl2,1,,,
kb14,acer plat,hl,+,,,
kb14,acer pseu,hl,+,,,
kb14,acon lyco vulp,hl,+,,,
kb14,acta spic,hl,+,,,
kb14,alli peti,hl,+,,,
kb14,apos foet,hl,+,,,
kb14,aspl scol scol,hl,1,,,
kb14,aspl tric quad,hl,+,,,
kb14,aspl viri,hl,+,,,
kb14,athy fili,hl,+,,,
kb14,camp trac,hl,+,,,
kb14,circ lute lute,hl,+,,,
kb14,cycl purp,hl,+,,,
kb14,cyst frag,hl,r,,,
kb14,dryo affi aggr,hl,+,,,
kb14,dryo fili,hl,+,,,
kb14,epil mont,hl,r,,,
kb14,fagu sylv,hl,+,,,
kb14,frax exce,hl,1,,,
kb14,gale mont,hl,2b,,,
kb14,gera robe,hl,+,,,
kb14,impa parv,hl,r,,,
kb14,lact mura,hl,+,,,
kb14,merc pere,hl,+,,,
kb14,phyt spic,hl,+,,,
kb14,poly acul,hl,+,,,
kb14,rubu idae,hl,+,,,
kb14,salv glut,hl,+,,,
kb14,samb nigr,hl,1,,,
