plot;cov;tcov1;tcov2;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;stones;bare;soil;date;altitude;accuracy;latitude;longitude;comment;observer;location
sw01;95;0;70;65;10;3;0;8,5;5;0,5;0,1;50;3;F;0;0;0;0;0;2010-09-15;;5;48.175122N;12.963834E;;T. Eberl;Hecke SW Schwand im Innkreis
sw02;98;0;90;70;20;5;0;9;5;0,8;0,2;50;3;F;0;0;0;0;0;2010-09-15;;5;48.174629N;12.962407E;;T. Eberl;Hecke SW Schwand im Innkreis
