"plot";"abbr";"layer";"cov";"comment";"history"
"sw01";"corn sang slat";"hl";"1";;
"sw01";"corn sang slat";"sl";"2a";;
"sw01";"cory avel";"sl";"2a";;
"sw01";"cory avel";"tl2";"1";;
"sw01";"ligu vulg";"hl";"1";;
"sw01";"ligu vulg";"sl";"2a";;
"sw01";"mesp germ";"sl";"1";;
"sw01";"sorb aucu aucu";"sl";"+";;
"sw01";"sorb aucu aucu";"tl2";"+";;
"sw01";"acer plat";"hl";"+";;
"sw01";"acer plat";"sl";"+";;
"sw01";"vibu opul";"hl";"+";;
"sw01";"vibu opul";"sl";"1";;
"sw01";"ulmu glab";"sl";"+";;
"sw01";"ulmu glab";"tl2";"2b";;
"sw01";"prun spin";"hl";"+";;
"sw01";"prun spin";"sl";"1";;
"sw01";"crat mono";"sl";"2b";;
"sw01";"pyru comm";"tl2";"1";;
"sw01";"corn mas";"hl";"1";;
"sw01";"corn mas";"sl";"2a";;
"sw01";"carp betu";"sl";"1";;
"sw01";"carp betu";"tl2";"3";;
"sw01";"rubu idae";"hl";"1";;
"sw01";"vibu lant";"sl";"1";;
"sw01";"prun aviu slat";"tl2";"2a";;
"sw01";"malu sylv";"sl";"1";"klut.";
"sw01";"rosa cani";"sl";"1";;
"sw01";"dact glom glom";"hl";"2a";;
"sw01";"crep bien";"hl";"+";;
"sw01";"geum urba";"hl";"2b";;
"sw01";"epil cili cili";"hl";"+";;
"sw01";"rosa arve";"hl";"+";;
"sw01";"glec hede";"hl";"1";;
"sw01";"hede heli";"hl";"+";;
"sw01";"acer camp";"hl";"+";;
"sw01";"acer camp";"sl";"+";;
"sw01";"poa prat";"hl";"+";;
"sw01";"acer pseu";"hl";"+";;
"sw01";"acer pseu";"tl2";"1";;
"sw01";"agro capi";"hl";"1";;
"sw01";"equi arve";"hl";"+";;
"sw01";"coto spec ies";"hl";"+";;
"sw01";"coto spec ies";"sl";"+";;
"sw01";"amel spec ies";"sl";"+";;
"sw01";"rham cath";"sl";"1";;
"sw02";"pyru comm";"hl";"+";;
"sw02";"pyru comm";"sl";"1";;
"sw02";"pyru comm";"tl2";"2a";;
"sw02";"prun spin";"hl";"1";;
"sw02";"prun spin";"sl";"1";;
"sw02";"vibu lant";"hl";"+";;
"sw02";"vibu lant";"sl";"1";;
"sw02";"cory avel";"hl";"+";;
"sw02";"cory avel";"sl";"2b";;
"sw02";"cory avel";"tl2";"2a";;
"sw02";"corn sang slat";"hl";"2a";;
"sw02";"corn sang slat";"sl";"2a";;
"sw02";"ligu vulg";"hl";"2b";;
"sw02";"ligu vulg";"sl";"2a";;
"sw02";"vibu opul";"hl";"1";;
"sw02";"vibu opul";"sl";"2a";;
"sw02";"crat mono";"hl";"1";;
"sw02";"crat mono";"sl";"2a";;
"sw02";"ulmu glab";"tl2";"2a";;
"sw02";"carp betu";"sl";"1";;
"sw02";"carp betu";"tl2";"2b";;
"sw02";"euon euro";"hl";"1";;
"sw02";"euon euro";"sl";"2a";;
"sw02";"coto spec ies";"sl";"1";;
"sw02";"acer pseu";"hl";"+";;
"sw02";"loni caer caer";"hl";"+";;
"sw02";"loni caer caer";"sl";"1";;
"sw02";"sorb aucu aucu";"hl";"+";;
"sw02";"sorb aucu aucu";"sl";"+";;
"sw02";"loni xylo";"hl";"+";;
"sw02";"loni xylo";"sl";"1";;
"sw02";"prun aviu slat";"sl";"+";;
"sw02";"prun aviu slat";"tl2";"2b";;
"sw02";"rosa cani";"hl";"+";;
"sw02";"rosa cani";"sl";"+";;
"sw02";"corn mas";"hl";"1";;
"sw02";"corn mas";"sl";"2a";;
"sw02";"acer plat";"hl";"+";;
"sw02";"acer plat";"sl";"1";;
"sw02";"acer plat";"tl2";"3";;
"sw02";"mesp germ";"sl";"1";;
"sw02";"equi sylv";"hl";"+";;
"sw02";"fest rubr aggr";"hl";"1";;
"sw02";"epil cili cili";"hl";"+";;
"sw02";"equi arve";"hl";"+";;
"sw02";"geum urba";"hl";"1";;
"sw02";"glec hede";"hl";"1";;
"sw02";"dact glom glom";"hl";"2b";;
"sw02";"poa triv";"hl";"+";;
"sw02";"agro capi";"hl";"2a";;
"sw02";"urti dioi dioi";"hl";"+";;
