"taxon";"matched.taxon"
"Bellis perennis";"Bellis perennis"
"Lolium perenne";"Lolium perenne"
"Rumex obtusifolius";"Rumex obtusifolius s.lat."
"Poa pratensis";"Poa pratensis"
"Cerastium holosteoides";"Cerastium holosteoides"
"Chaerophyllum hirsutum";"Chaerophyllum hirsutum s.str."
"Ranunculus repens";"Ranunculus repens"
"Lysimachia nummularia";"Lysimachia nummularia"
"Carex sylvatica";"Carex sylvatica ssp. sylvatica"
"Vicia sepium";"Vicia sepium"
"Poa trivialis";"Poa trivialis"
"Trifolium repens";"Trifolium repens ssp. repens"
"Ranunculus acris";"Ranunculus acris ssp. acris"
"Glechoma hederacea";"Glechoma hederacea"
"Crepis biennis";"Crepis biennis"
"Taraxacum sect. Ruderalia";"Taraxacum sect. Ruderalia"
"Heracleum sphondylium";"Heracleum sphondylium ssp. sphondylium"
"Trisetum flavescens";"Trisetum flavescens ssp. flavescens"
"Phleum pratense";"Phleum pratense s.str."
"Aegopodium podagraria";"Aegopodium podagraria"
"Cynosurus cristatus";"Cynosurus cristatus"
"Lathyrus pratensis";"Lathyrus pratensis ssp. pratensis"
"Rumex acetosa";"Rumex acetosa"
"Pimpinella major";"Pimpinella major var. major"
"Holcus lanatus";"Holcus lanatus"
"Arrhenatherum elatius";"Arrhenatherum elatius"
"Plantago lanceolata";"Plantago lanceolata"
"Dactylis glomerata";"Dactylis glomerata ssp. glomerata"
"Trifolium pratense";"Trifolium pratense ssp. pratense"
"Alchemilla vulgaris agg.";"Alchemilla sp."
"Galium album s.str.";"Galium album s.str."
"Veronica chamaedrys";"Veronica chamaedrys ssp. chamaedrys"
"Agrostis capillaris";"Agrostis capillaris"
"Achillea millefolium agg.";"Achillea millefolium agg."
"Festuca pratensis s.str.";"Festuca pratensis s.str."
"Leontodon hispidus";"Leontodon hispidus s.lat."
"Festuca rubra agg.";"Festuca rubra agg."
"Leucanthemum vulgare";"Leucanthemum vulgare s.str."
