"taxon";"matched.taxon"
"Urtica dioica";"Urtica dioica ssp. dioica"
"Paris quadrifolia";"Paris quadrifolia"
"Arum maculatum";"Arum maculatum"
"Hepatica nobilis";"Hepatica nobilis"
"Luzula pilosa";"Luzula pilosa"
"Heracleum sphondylium";"Heracleum sphondylium ssp. sphondylium"
"Polygonatum verticillatum";"Polygonatum verticillatum"
"Melica nutans";"Melica nutans s.str."
"Chaerophyllum aureum";"Chaerophyllum aureum"
"Silene dioica";"Silene dioica"
"Phyteuma spicatum";"Phyteuma spicatum"
"Chaerophyllum hirsutum";"Chaerophyllum hirsutum s.str."
"Lysimachia nummularia";"Lysimachia nummularia"
"Vicia sepium";"Vicia sepium"
"Festuca rubra agg.";"Festuca rubra agg."
"Ranunculus acris";"Ranunculus acris ssp. acris"
"Crepis biennis";"Crepis biennis"
"Taraxacum sect. Ruderalia";"Taraxacum sect. Ruderalia"
"Trisetum flavescens";"Trisetum flavescens ssp. flavescens"
"Phleum pratense";"Phleum pratense s.str."
"Cynosurus cristatus";"Cynosurus cristatus"
"Lathyrus pratensis";"Lathyrus pratensis ssp. pratensis"
"Pimpinella major";"Pimpinella major var. major"
"Holcus lanatus";"Holcus lanatus"
"Ranunculus nemorosus";"Ranunculus nemorosus"
"Anthoxanthum odoratum";"Anthoxanthum odoratum s.str."
"Potentilla erecta";"Potentilla erecta"
"Cardamine trifolia";"Cardamine trifolia"
"Molinia caerulea";"Molinia caerulea s.str."
"Viola riviniana";"Viola riviniana"
"Carex flacca";"Carex flacca ssp. flacca"
"Clinopodium vulgare";"Clinopodium vulgare ssp. vulgare"
"Scrophularia nodosa";"Scrophularia nodosa"
"Ranunculus repens";"Ranunculus repens"
"Poa trivialis";"Poa trivialis"
"Trifolium repens";"Trifolium repens ssp. repens"
"Euphorbia amygdaloides";"Euphorbia amygdaloides ssp. amygdaloides"
"Galium sylvaticum";"Galium sylvaticum s.str."
"Hieracium murorum";"Hieracium murorum"
"Cruciata laevipes";"Cruciata laevipes"
"Carex digitata";"Carex digitata"
"Carex alba";"Carex alba"
"Trifolium medium";"Trifolium medium ssp. medium"
"Fissidens taxifolius";"Fissidens taxifolius"
"Luzula sp.";"Luzula sp."
"Sanguisorba officinalis";"Sanguisorba officinalis"
"Carex pallescens";"Carex pallescens"
"Carex ornithopoda";"Carex ornithopoda ssp. ornithopoda"
"Potentilla sterilis";"Potentilla sterilis"
"Geranium sylvaticum";"Geranium sylvaticum"
"Stellaria graminea";"Stellaria graminea"
"Arrhenatherum elatius";"Arrhenatherum elatius"
"Achillea millefolium agg.";"Achillea millefolium agg."
"Festuca pratensis s.str.";"Festuca pratensis s.str."
"Rumex acetosa";"Rumex acetosa"
"Trifolium pratense";"Trifolium pratense ssp. pratense"
"Leontodon hispidus";"Leontodon hispidus s.lat."
"Viola sp.";"Viola sp."
"Agrostis stolonifera agg.";"Agrostis stolonifera s.str."
"Prunella vulgaris";"Prunella vulgaris"
"Vicia cracca";"Vicia cracca s.str."
"Lotus corniculatus";"Lotus corniculatus s.str."
"Euphorbia cyparissias";"Euphorbia cyparissias"
"Betonica officinalis";"Betonica officinalis"
"Briza media";"Briza media"
"Thymus pulegioides";"Thymus pulegioides ssp. pulegioides"
"Galium verum";"Galium verum s.str."
"Lolium perenne";"Lolium perenne"
"Cerastium holosteoides";"Cerastium holosteoides"
"Carex hirta";"Carex hirta"
"Poa pratensis";"Poa pratensis"
"Astrantia major";"Astrantia major"
"Knautia maxima";"Knautia maxima ssp. maxima"
"Holcus mollis";"Holcus mollis"
"Festuca sp.";"Festuca sp."
"Salix caprea";"Salix caprea"
"Sanicula europaea";"Sanicula europaea"
"Festuca gigantea";"Festuca gigantea"
"Galium odoratum";"Galium odoratum"
"Actaea spicata";"Actaea spicata"
"Ilex aquifolium";"Ilex aquifolium"
"Circaea lutetiana";"Circaea lutetiana ssp. lutetiana"
"Cardamine enneaphyllos";"Cardamine enneaphyllos"
"Mercurialis perennis";"Mercurialis perennis s.str."
"Lilium martagon";"Lilium martagon"
"Stachys sylvatica";"Stachys sylvatica"
"Alliaria petiolata";"Alliaria petiolata"
"Galeopsis tetrahit";"Galeopsis tetrahit s.str."
"Bromus benekenii";"Bromus benekenii"
"Lysimachia sp.";"Lysimachia sp."
"Galeopsis sp.";"Galeopsis sp."
"Ranunculus lanuginosus";"Ranunculus lanuginosus"
"Geranium pratense";"Geranium pratense"
"Plagiochila porelloides";"Plagiochila porelloides"
"Juncus inflexus";"Juncus inflexus"
"Salvia glutinosa";"Salvia glutinosa"
"Milium effusum";"Milium effusum ssp. effusum"
"Poa nemoralis";"Poa nemoralis"
"Euphorbia dulcis";"Euphorbia dulcis"
"Daphne mezereum";"Daphne mezereum"
"Maianthemum bifolium";"Maianthemum bifolium"
"Tussilago farfara";"Tussilago farfara"
"Anthriscus sylvestris";"Anthriscus sylvestris s.str."
"Hordelymus europaeus";"Hordelymus europaeus"
"Fissidens sp.";"Fissidens sp."
"Valeriana tripteris";"Valeriana tripteris"
"Mentha longifolia";"Mentha longifolia"
"Carex spicata";"Carex spicata"
