abbr;layer;taxon;1;3;76;14;16;22;72;73;75;77;78;80;81;84;85;88;71;74;5;69;82;2;9;19;4;41;56;67;68;59;65;36;45;17;55;15;83;29;60;89;6;61;23;31;63;64;62;66;24;33;46;47;7;25;26;57;58;70;18;20;86;87;8;28;39;38;49;30;51;32;52;54;53;50;27;37;13;10;11;34;35;42;48;79;12;21;44;40;43
aego poda;hl;Aegopodium podagraria;1;.;1;2b;+;1;+;.;+;.;2a;2a;2a;1;.;1;.;2a;2b;1;+;2a;.;.;1;2a;.;.;2b;+;.;1;.;.;2a;.;.;.;1;1;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;r;r;.;.;.;.;.;.;.;.;.;.;.;2a;.;.;.;.;.;r;1;.;.;.;.;.;.;.;.;.;.;.;.;.
cyno cris;hl;Cynosurus cristatus;.;.;.;+;1;1;.;.;.;.;.;.;.;.;.;.;.;+;+;+;.;.;.;1;.;.;1;1;.;.;+;.;.;.;+;1;.;.;.;+;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;+;.;.;2b;1;1;.;.;1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
lath prat prat;hl;Lathyrus pratensis;.;.;.;+;1;+;.;.;.;.;+;.;+;+;+;+;.;1;+;1;+;.;+;1;.;1;+;+;+;+;+;+;+;.;2a;.;.;1;+;+;+;1;+;1;.;+;+;+;+;.;.;+;r;+;.;.;+;.;.;.;.;.;.;.;+;.;+;.;+;.;+;.;+;.;+;1;.;.;.;.;.;.;.;.;.;.;.;.;.
rume acet osa;hl;Rumex acetosa;+;.;+;1;+;+;+;+;+;+;+;1;.;1;+;+;.;+;+;r;1;.;+;+;+;.;1;r;2a;.;+;+;+;r;+;+;+;.;.;.;r;+;1;r;+;.;+;.;r;.;+;.;.;.;.;.;.;.;.;.;.;+;.;.;.;r;.;.;r;.;+;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
pimp majo slat;hl;Pimpinella major;.;.;.;.;+;.;.;1;2a;.;.;.;1;.;1;+;.;2a;.;1;.;+;.;.;.;1;1;2b;2a;+;.;1;1;.;+;.;1;.;2a;2a;+;.;+;.;+;.;1;.;.;.;.;.;+;.;1;1;1;.;.;.;.;+;+;+;.;+;.;+;1;.;1;.;+;.;2a;.;+;.;.;.;+;.;.;.;.;.;.;1;.
holc lana;hl;Holcus lanatus;.;.;+;.;.;+;2a;.;1;1;1;.;.;+;1;.;1;+;+;2a;+;.;+;2a;2a;1;1;2a;1;1;2a;2b;2m;1;2a;.;1;2m;2m;+;+;2a;+;2a;1;+;1;2b;1;1;1;2a;.;1;.;2a;2a;+;.;.;+;1;+;1;1;.;.;.;1;.;2m;1;1;.;1;2a;+;.;.;.;.;.;.;.;.;.;.;.;.
arrh elat;hl;Arrhenatherum elatius;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;+;1;.;.;.;+;3;1;+;.;1;2a;2a;2a;2a;.;2a;+;+;.;.;1;2a;.;.;2a;2b;2a;1;1;2a;1;1;1;2b;2b;+;.;.;.;+;.;2a;.;.;.;1;.;1;.;.;1;.;1;1;.;1;.;2a;.;.;.;.;.;.;.;.;.;.;.;.;.;.
plan lanc;hl;Plantago lanceolata;1;2b;2a;1;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2a;2b;2a;2a;2b;2b;1;1;+;2b;2a;1;1;.;1;2a;2a;2a;2a;1;2a;2b;1;1;2b;2a;2a;2b;+;2a;2a;2a;.;2a;2a;1;1;2a;+;2a;1;2a;1;.;1;2a;1;1;2b;+;1;+;.;2a;.;2a;+;1;1;2a;2a;+;2a;2a;1;1;1;1;+;+;+;1;+;.;.
dact glom glom;hl;Dactylis glomerata;3;2b;2a;2b;1;2a;2b;2b;2a;2b;2b;2a;2b;2a;2b;2a;2a;2a;1;1;1;3;2b;1;+;2a;2b;2b;2b;2a;2b;1;2a;.;2a;2a;1;1;2b;2a;+;2b;1;2a;1;2b;2a;1;2a;1;1;2b;+;2a;2a;1;2a;1;1;+;+;2a;1;1;2a;2a;2a;1;1;1;+;1;2a;2a;2a;1;1;+;1;+;+;+;2a;.;+;1;+;.;.
trif prat prat;hl;Trifolium pratense;+;2b;1;1;2a;2a;1;2a;2a;2b;2a;2b;2a;2b;2a;2b;2a;2a;1;2b;2a;2b;1;2a;2b;.;1;2a;.;.;.;1;1;.;+;.;2a;.;1;+;2a;1;.;1;+;1;1;+;.;+;1;.;+;+;.;r;.;1;1;2a;.;2a;+;.;1;.;+;1;1;.;.;+;+;+;+;.;1;+;1;.;+;1;.;.;.;+;.;.;.
alch spec ies;hl;Alchemilla vulgaris agg.;+;+;1;2a;2a;+;.;+;1;2a;2b;2a;2a;.;+;1;.;.;2a;1;2a;+;1;2b;.;+;1;1;.;1;2a;2b;2a;.;1;1;1;1;.;2a;+;+;+;2a;1;+;.;+;+;.;.;1;.;.;.;.;.;+;.;.;.;1;1;+;1;1;.;+;.;.;2a;.;+;2a;2a;.;1;+;+;.;+;.;+;.;+;.;.;.;.
gali albu;hl;Galium album s.str.;+;.;1;+;+;2a;1;.;2a;1;.;1;1;1;2a;1;2a;2a;2b;1;1;+;2a;2a;1;2a;1;2a;1;2a;2b;2a;2a;2a;2a;+;1;2a;2a;1;+;2b;2b;2a;2a;1;+;+;.;1;+;1;+;.;.;.;+;+;.;r;.;.;+;2a;1;1;2a;1;1;1;2a;1;.;2a;1;1;.;.;.;.;.;+;.;.;.;.;.;.;.
vero cham cham;hl;Veronica chamaedrys;+;+;+;+;+;2a;+;+;1;1;1;.;+;1;1;.;+;+;2a;+;+;+;+;2a;1;.;2a;+;+;1;1;1;+;1;2a;+;+;.;+;1;+;1;2a;+;1;.;+;.;1;+;1;1;.;.;.;.;+;.;+;.;.;.;.;.;+;+;.;.;r;.;1;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.
agro capi;hl;Agrostis capillaris;.;.;2b;2a;2b;+;.;.;2a;2a;2b;.;.;1;1;1;2b;1;.;2b;1;.;.;2b;.;2a;2a;2a;.;.;1;2b;3;.;+;2a;.;1;1;2b;.;2m;.;1;1;2a;.;+;1;2a;.;2m;.;2m;1;.;.;.;.;2b;.;2a;.;1;1;1;1;.;1;1;.;.;1;2m;1;2a;.;.;.;+;1;1;+;1;.;.;.;.;.
achi mill aggr;hl;Achillea millefolium agg.;1;+;1;1;1;2a;2a;1;1;.;.;2a;+;1;1;2a;1;1;.;2a;+;+;.;.;r;1;+;+;1;.;.;+;2a;.;.;1;1;.;1;+;+;+;+;.;+;+;+;+;r;+;1;1;+;r;1;+;+;1;2a;+;+;+;+;+;1;1;+;r;+;1;1;+;1;+;1;1;+;1;+;.;+;1;.;+;.;.;.;.;.
fest prat prat;hl;Festuca pratensis s.str.;+;.;1;.;2a;2b;.;1;1;2a;1;1;2a;1;2a;1;2a;1;1;+;1;1;2a;2a;1;1;1;1;1;.;+;1;2a;.;2a;1;1;.;1;1;.;1;.;1;.;.;.;1;+;1;1;.;+;+;1;.;+;+;.;1;+;2a;.;1;1;2a;1;1;.;1;1;.;1;.;2a;1;.;.;.;.;.;.;.;+;.;.;.;.;.
leon hisp slat;hl;Leontodon hispidus;.;.;.;.;+;.;+;+;3;.;.;.;2a;+;2b;1;2b;2b;2a;3;3;2b;.;2a;1;.;+;3;1;.;.;2b;1;+;2a;2a;3;.;2b;3;2b;2a;.;2b;1;1;1;+;1;.;1;2a;2a;.;1;1;2a;3;1;2b;2b;3;2b;.;.;+;2a;2b;.;1;.;2b;+;1;2b;.;.;2a;2a;2b;2b;2b;2a;2a;1;+;1;.;.
fest rubr aggr;hl;Festuca rubra agg.;+;.;+;2a;2a;1;.;+;+;+;.;.;.;.;1;+;1;+;+;1;+;.;2a;2a;.;2a;1;2a;2a;2a;2b;2b;3;1;1;2a;.;.;2a;2b;+;2a;+;2a;2a;2a;.;+;2b;2b;2b;2a;.;2b;2a;1;.;2a;.;2a;+;2b;1;1;2a;2a;2a;+;+;.;2a;+;1;2b;1;2a;2a;2a;2a;2b;2a;2a;2a;.;+;1;+;.;.
leuc vulg;hl;Leucanthemum vulgare;r;.;.;r;+;1;.;.;.;.;.;.;.;+;2b;2a;.;.;.;.;+;.;.;.;.;+;+;1;1;.;.;+;1;.;.;1;+;.;+;+;.;.;.;.;.;.;2a;.;.;.;1;1;+;.;r;1;+;.;1;+;+;+;.;.;+;.;+;+;.;.;+;.;.;.;.;.;.;+;1;+;1;.;1;+;+;.;.;.;.
prun vulg;hl;Prunella vulgaris;.;.;1;.;.;2a;.;+;2a;1;2a;.;2a;2a;2a;2a;1;1;+;1;2a;+;.;.;.;2a;1;1;1;+;.;1;2a;.;.;+;2a;.;1;2a;.;1;.;+;.;.;1;+;1;1;.;+;+;+;.;1;1;.;.;.;.;2a;+;.;.;+;.;+;.;+;1;.;.;1;+;.;+;.;.;.;+;+;1;.;2a;.;+;.;.
ajug rept;hl;Ajuga reptans;.;.;.;.;.;.;1;1;1;1;.;.;1;1;.;.;1;1;.;1;.;+;.;1;+;.;.;2a;1;+;+;+;.;+;+;.;+;+;+;+;+;1;.;2a;+;r;2a;2a;1;+;.;.;.;.;+;+;+;+;+;r;.;.;r;+;.;r;1;+;1;+;.;.;+;+;+;+;.;.;.;.;.;.;+;.;.;.;.;.;.
vici crac;hl;Vicia cracca;.;1;+;.;1;.;.;+;1;1;.;+;+;+;+;+;.;+;+;+;+;+;1;.;+;+;+;.;.;.;.;+;+;.;+;.;1;+;+;+;.;+;.;.;.;+;+;+;+;+;.;.;.;.;.;.;+;.;.;.;.;1;.;.;.;.;.;.;r;.;+;.;.;+;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.
lotu corn;hl;Lotus corniculatus;.;.;.;.;1;.;.;.;.;.;.;.;2b;.;+;+;.;1;.;1;2a;2a;1;1;+;+;.;1;.;.;1;2a;1;+;+;1;2a;1;1;+;+;2a;+;1;1;1;1;1;1;+;1;+;+;1;1;1;1;1;1;2a;1;+;1;1;1;+;+;2a;.;1;+;1;1;1;2a;1;1;1;1;1;+;1;1;1;+;1;1;1;1
cent jace jace;hl;Centaurea jacea;.;.;.;1;1;r;.;.;.;.;.;.;2b;1;.;.;.;.;.;.;1;.;.;.;+;+;+;1;.;.;.;r;2a;.;+;1;1;.;2a;.;.;2b;1;.;+;1;2a;1;.;+;2a;2b;1;1;.;2a;2b;+;1;1;+;2b;.;1;1;1;1;.;+;r;1;+;+;1;+;+;.;.;.;r;1;+;2a;2a;+;+;1;+;+
knau arve arve;hl;Knautia arvensis;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;1;+;.;1;.;.;+;.;.;.;.;1;2a;1;r;+;.;1;.;2a;1;.;1;1;1;+;2a;1;1;1;.;1;2a;+;.;+;2a;+;+;.;.;2b;+;.;r;2a;+;.;.;1;1;1;1;1;+;.;1;1;.;.;.;.;2a;1;1;.;.;.;.;.
euph cypa;hl;Euphorbia cyparissias;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;2a;.;.;+;1;.;.;.;.;2b;+;1;.;2a;2a;1;2a;.;+;2b;2b;2b;.;2a;2a;2a;+;2b;2a;1;.;2a;+;.;1;+;1;+;1;1;1;+;.;+;2a;.;.;.;.;.;+;2a;.;1;1;2a;2m;2a
euph verr;hl;Euphorbia verrucosa;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;+;.;+;.;2b;.;.;.;.;1;1;2a;.;2a;2a;2a;1;2a;.;1;2a;2b;2a;2a;+;1;.;1;1;1;.;2a;.;1;1;.;.;2a;+;+;.;2b;.;.;1;1;1;1;1;1;.;2a;2a;.;1;+;+;+
beto offi offi;hl;Betonica officinalis;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;+;.;1;.;+;.;1;1;.;2a;2b;.;.;2a;1;2b;+;2b;2b;2a;+;.;2b;2a;2b;2a;1;+;2b;2b;1;2a;.;2a;2a;2b;+;+;1;2b;2a;.;.;2a;2b;.;2a;2a;2a;.;1;.;2a;2b;3;1;2b;2a;2a;1;1;+;.;+
briz medi;hl;Briza media;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;+;.;+;+;.;.;+;1;2a;1;1;2m;2a;.;2m;2m;1;2a;1;1;2a;1;+;+;1;1;2m;1;1;1;1;1;+;1;.;1;1;1;2m;1;1;1;1;2m;+;+;+;1;2m;2m;1;2m;1;1;1;1;2m;2m;2m;1;1;2a;1;2m;.;.
thym pule pule;hl;Thymus pulegioides;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;1;.;.;.;.;+;.;+;.;.;+;2a;2b;.;+;.;1;.;2a;2a;1;+;.;+;1;1;1;+;+;2b;2a;2a;1;.;2a;1;1;1;2a;2a;2b;2b;1;.;2b;2a;2a;1;.;2a;.;2b;2b;2a;2a;2b;.;2a;2a;2a;1;1;2a;2a;2b;2a;2a;1;1
gali bore;hl;Galium boreale;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;1;.;.;.;2a;+;.;.;.;.;.;.;.;.;1;2a;2a;2a;2a;2a;2b;2b;2b;.;.;1;1;.;.;.;2a;2b;2a;.;2a;.;.;1;2a;2a;.;.;.;+;+;2a;2a;1;2b;2a;.;2b;2a;1;2a
gali veru;hl;Galium verum;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;+;.;+;.;.;+;.;1;.;.;2a;.;.;1;.;1;2a;.;+;1;.;.;2a;2a;2a;2a;+;2a;1;2a;1;2a;.;1;1;1;.;+;.;1;1;.;.;.;.;2a;.;+;2a;.;.;2a;+;2a;+;.;1;1;1;1;2a;1;1;1
care mont;hl;Carex montana;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;2a;.;.;1;+;.;+;.;1;.;2b;2a;1;2a;2b;2b;3;2b;2b;2b;2b;2b;3;2b;2b;2a;2b;3;3;2a;1;2a;3;3;3;3;3;2a;3;3;2b;2b;2b;3;2b;2b;2a;2b;2a;2a;2a;2b;2b;2b;2b;2a;2b;3;3;1;2b;2b;2b;2b;2b;2a;2b;.;1
brac pinn;hl;Brachypodium pinnatum;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;1;.;.;.;.;1;.;1;.;.;2b;.;.;.;2b;.;1;3;2a;3;.;3;3;3;.;.;2b;3;3;.;2a;2b;+;3;3;+;1;2a;2a;1;2a;2b;2a;4;2b;3;2b;2b;3;2b;3;3;2b;2b;2b;1;2a;1;1;2a;2a;2a;+;.;+;1;1;.;.
anth odor;hl;Anthoxanthum odoratum;.;+;.;1;2a;2a;.;.;.;.;.;.;.;.;.;.;.;.;2b;.;.;1;1;2b;1;1;+;.;.;+;1;2a;2m;2b;+;2a;.;2m;1;+;1;1;.;2m;1;2a;.;1;2m;2m;2m;+;.;1;+;+;+;.;+;2a;+;2m;1;2m;1;1;2m;1;+;+;2m;1;2m;1;2m;+;2b;+;1;1;+;1;1;+;1;.;.;.;.
pote erec;hl;Potentilla erecta;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;1;.;.;2a;.;+;+;.;.;+;1;2a;1;2b;+;r;1;2a;.;1;1;.;.;2a;1;2a;.;1;2a;2a;1;2a;.;2a;2a;1;1;1;+;2a;2a;1;2a;2a;1;+;1;2a;1;2a;2a;1;1;2a;2a;1;2a;2a;2a;1;1;2a;2a;1;1;+;1;1;1
ranu nemo;hl;Ranunculus nemorosus;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;.;.;.;2a;.;.;2a;.;.;2a;1;+;.;1;.;.;.;2a;1;+;1;1;1;2a;+;1;2a;2a;2a;2a;2a;2a;2b;2a;+;1;+;1;1;.;+;1;1;1;2a;2a;1;.;+;1;2a;1;2a;1;+;+;+;1;.;+
moli caer;hl;Molinia caerulea;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2a;.;.;.;.;.;.;.;.;.;1;.;2a;3;.;.;2b;4;.;.;.;.;.;2b;3;2b;.;2b;2b;2a;.;2a;2a;2a;2b;2a;3;.;.;.;2b;2b;.;.;.;.;.;3;1;2a;2a;.;.;.;.;.;.;2a;2b;3;3;2b;3;2b;.;3;2a;2a;2a
care flac;hl;Carex flacca;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;r;.;.;1;.;.;.;.;.;.;.;.;+;1;.;1;.;.;1;.;.;1;1;.;.;+;.;.;.;.;+;.;+;.;.;.;1;1;.;.;.;1;.;1;.;1;+;.;2a;2a;2a;1;.;.;.;+;+;1;.;1;+;.;+;.;.;+;+
brom erec;hl;Bromus erectus;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;1;+;+;.;+;.;+;+;1;.;2a;+;.;1;+;.;+;.;3;+;1;2a;2a;1;1;.;+;+;+;1;1;.;.;.;.;.;.;+;.;+;+;.;.;+;.;.;.;.;.;1;2a;.;.;.;1;.;1;.;.;.;.
dauc caro caro;hl;Daucus carota;.;.;.;.;.;r;.;.;+;.;.;.;.;.;.;.;+;.;.;+;.;.;.;.;.;1;.;.;+;.;.;.;1;.;.;.;1;.;2a;.;.;+;.;+;.;.;1;2b;.;+;1;1;1;+;r;.;1;+;r;1;1;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;+;.;1;1;.;1;+;.;.;.;.;.
frax exce;hl;Fraxinus excelsior;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;1;r;.;.;.;.;+;.;2b;.;.;+;.;.;.;+;.;r;r;r;1;r;+;r;+;+;+;+;.;.;r;+;.;+;r;.;+;+;.;.;.;1;.;1;.;.;2a;.;1;.;+;+;r;.;+;.;+;r;.;.;.;.;.;+;r;+;r
quer robu;hl;Quercus robur;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;+;.;+;r;.;.;.;.;.;.;.;+;2a;.;1;2b;.;.;1;1;.;r;.;1;.;r;.;.;2a;.;.;.;+;.;.;2a;.;r;.;r;.;1;.;.;.;+;.;r;+;1;.;.;2a;1;r;1;+;.;1
viol rivi;hl;Viola riviniana;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;1;.;.;.;1;.;.;.;.;1;.;1;.;.;.;.;1;2a;.;.;.;.;+;.;.;+;.;.;.;+;.;+;.;.;.;.;+;+;.;1;.;.;.;.;.;1;.;+;.;+;+;1;1;1;+;+;.;1;.;.;.
care cary;hl;Carex caryophyllea;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;2a;.;.;.;2a;+;.;+;+;.;.;2a;.;2b;.;.;+;.;2a;2b;1;.;2a;+;.;.;+;.;1;2a;2a;.;.;2a;.;2b;.;.;.;.;.;.;.;.;+;+;.;.;.;.;.;.;2a;.;1;1;.;.;.;1;.;.
