abbr;layer;taxon;1;3;76;14;16;22;72;73;75;77;78;80;81;84;85;88;71;74;5;69;82;2;9;19;4;41;56;67;68;59;65;36;45;17;55;15;83;29;60;89;6;61;23;31;63;64;62;66;24;33;46;47;7;25;26;57;58;70;18;20;86;87;8;28;39;38;49;30;51;32;52;54;53;50;27;37;13;10;11;34;35;42;48;79;12;21;44;40;43
bell pere;hl;Bellis perennis;1;+;1;+;1;+;.;+;+;1;.;.;.;2a;+;+;.;+;2a;+;+;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
loli pere;hl;Lolium perenne;2a;+;3;.;.;+;3;3;2b;3;2a;3;2b;3;2a;2b;1;2a;1;2a;1;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
rume obtu slat;hl;Rumex obtusifolius;.;+;1;+;.;.;2a;1;.;+;+;+;+;r;.;1;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
poa prat;hl;Poa pratensis;+;2b;.;.;.;+;.;.;.;.;.;.;.;+;.;.;.;.;+;.;.;+;.;+;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
cera holo;hl;Cerastium holosteoides;+;+;+;.;+;1;.;+;+;.;+;+;+;+;+;+;+;.;1;+;1;r;.;1;+;.;.;.;.;.;.;+;1;.;.;.;+;.;.;.;+;.;.;1;.;.;.;.;.;+;.;+;.;.;.;.;.;.;.;+;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
chae hirs;hl;Chaerophyllum hirsutum;3;r;2a;1;.;r;.;.;.;2b;+;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
ranu repe;hl;Ranunculus repens;2a;+;+;1;2a;1;2b;1;1;1;1;1;1;2b;1;1;2b;+;1;1;1;.;.;+;.;+;.;1;2a;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
lysi numm;hl;Lysimachia nummularia;+;.;.;.;.;+;.;.;1;.;2a;.;+;.;1;+;.;+;.;.;+;.;+;1;+;.;.;1;.;1;+;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.
care sylv;hl;Carex sylvatica;r;.;.;.;r;.;.;1;.;.;+;+;1;.;.;.;.;.;+;.;1;+;+;r;1;1;.;+;.;+;.;.;+;.;.;.;+;+;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
vici sepi;hl;Vicia sepium;+;r;+;1;.;+;.;.;.;.;+;+;+;+;+;.;+;+;.;.;.;.;1;.;+;+;+;.;+;+;.;+;.;.;.;.;.;.;+;.;.;.;+;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.
poa triv;hl;Poa trivialis;2a;+;1;2b;2a;2a;2a;2a;1;.;.;.;.;.;.;.;.;.;2a;.;.;+;1;1;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
trif repe repe;hl;Trifolium repens;+;.;2a;1;2a;2a;1;2a;2b;1;1;2a;1;2a;.;1;.;.;.;2a;1;.;.;2a;r;1;1;2a;.;.;.;+;.;.;+;.;1;.;+;.;.;.;.;1;.;+;+;.;.;.;+;.;.;.;.;.;.;1;.;2a;.;1;.;.;.;.;.;+;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
ranu acri acri;hl;Ranunculus acris;+;2b;2b;2a;2a;2a;2b;2b;2a;2b;2a;2a;2a;2b;2b;2a;2a;2a;1;2a;1;1;+;1;+;.;1;1;+;+;+;1;.;.;1;.;2a;.;1;.;.;2a;+;+;1;1;.;+;.;.;+;+;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;.;1;.;+;.;+;.;.;.;.;.;.;.;.;.;.
glec hede;hl;Glechoma hederacea;.;+;1;.;.;+;1;2a;+;1;2a;2a;2a;1;1;.;+;1;.;.;1;+;.;1;+;+;.;.;+;.;+;r;.;.;.;.;+;.;.;1;+;1;.;.;.;.;.;2a;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
crep bien;hl;Crepis biennis;.;.;1;.;+;r;1;.;+;1;+;1;2a;+;+;+;1;1;.;+;+;.;.;+;.;2a;+;1;.;.;r;.;.;.;.;1;.;.;r;1;.;1;.;2b;1;1;+;1;r;.;.;1;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;.;.;.;.;.;.;.;.;.;.;.;.
tara sect rude;hl;Taraxacum sect. Ruderalia;.;2b;2a;2a;2a;2a;2a;1;1;2b;2a;2a;1;2a;2a;2b;+;+;2a;+;1;1;.;1;.;1;+;+;.;+;.;.;.;.;1;.;1;1;.;+;.;.;.;2a;.;+;+;1;.;.;.;.;.;+;r;.;.;.;.;.;.;.;+;.;.;.;1;.;.;.;.;+;+;.;r;.;r;.;.;.;.;.;.;.;.;.;.;.;.
hera spho spho;hl;Heracleum sphondylium;r;1;3;2b;2a;3;2a;1;+;2b;+;2a;+;1;1;.;.;2a;.;.;+;+;+;r;.;2b;3;1;2a;+;.;.;.;.;r;2a;1;+;+;.;r;+;+;+;1;2a;+;.;.;.;.;.;+;.;.;r;.;.;2a;.;.;2a;+;.;.;.;.;+;.;.;+;.;.;+;2a;r;1;.;1;.;.;.;.;.;.;.;.;.;.
tris flav flav;hl;Trisetum flavescens;+;+;.;2a;2b;2b;2a;2b;2a;2a;2a;2b;2a;1;2b;2b;2a;2b;2b;2a;1;1;+;3;1;1;2b;2a;2a;1;2a;1;1;.;1;.;+;+;1;.;+;2a;1;1;+;.;2a;+;.;+;1;2a;+;.;.;.;+;.;+;.;.;.;.;.;2a;1;.;1;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
phle prat;hl;Phleum pratense;.;.;1;.;2b;2a;2a;1;1;.;1;+;.;1;1;1;1;.;.;+;.;.;.;1;.;2b;+;1;2a;1;.;1;+;.;2b;.;.;.;1;.;.;2a;+;.;.;.;.;1;+;1;.;1;.;.;.;.;.;.;.;.;.;.;.;.;1;+;.;.;+;.;+;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
