"abbr";"layer";"taxon";100;97;98;108;109;110;90;91;93;94;95;96;99;119;"120";"101";"105";"106";"107";"111";"112";"113";"114";"115";"118";"116";"117";"92";"121";"102";"103";"104"
"betu pend";"tl";"Betula pendula";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";"."
"betu pend";"sl";"Betula pendula";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"betu pend";"hl";"Betula pendula";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";"."
"pice abie";"tl";"Picea abies";".";".";".";".";".";".";".";".";".";".";".";".";"2a";".";1;".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";"."
"pice abie";"hl";"Picea abies";".";".";"r";".";".";".";".";"r";".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";"."
"ulmu glab";"tl";"Ulmus glabra";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";"."
"ulmu glab";"sl";"Ulmus glabra";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";"+";"+";".";"+";"."
"ulmu glab";"hl";"Ulmus glabra";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;"+";"+";".";".";".";".";"+";".";".";".";".";".";".";"+";1
"sali daph daph";"tl";"Salix daphnoides";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2a";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"cory avel";"sl";"Corylus avellana";"2b";4;4;"2b";4;4;"2b";"2b";3;"2a";"2b";"2b";3;3;3;3;3;4;"2a";"2b";3;"2b";"2b";"2a";1;3;3;4;4;4;3;3
"cory avel";"hl";"Corylus avellana";".";".";".";1;".";"2a";"2a";".";".";".";".";".";1;"2a";".";".";".";".";".";"2a";".";1;"2a";".";".";1;".";".";".";".";".";"."
"prun padu padu";"sl";"Prunus padus";".";".";".";".";".";".";".";"+";".";"2b";"2b";"2a";3;"2a";1;1;"2a";".";"+";1;"2a";".";".";1;1;1;"2a";"+";".";".";"2a";"2a"
"prun padu padu";"hl";"Prunus padus";".";"+";".";1;".";"+";".";".";".";".";"+";".";1;"2a";1;".";1;1;1;"2a";".";1;1;".";".";".";".";".";1;"+";"2a";"2b"
"loni xylo";"sl";"Lonicera xylosteum";".";".";".";".";1;".";"2a";"2a";".";"2a";"+";"+";"+";"+";"+";"+";1;".";".";".";".";".";".";"+";".";".";1;1;".";".";".";"."
"loni xylo";"hl";"Lonicera xylosteum";".";".";".";"2a";1;".";".";".";".";".";".";".";".";".";".";".";1;1;1;1;1;1;1;1;"+";".";".";"+";".";1;1;"."
"vibu opul";"sl";"Viburnum opulus";"2a";".";".";".";".";".";".";".";1;"2a";"2a";1;".";".";".";".";"+";".";".";".";"+";".";"+";"+";"+";"+";"r";1;".";"+";".";"."
"vibu opul";"hl";"Viburnum opulus";".";"+";".";1;"+";1;".";".";".";".";"2a";".";"+";1;".";1;".";1;1;"+";".";"+";1;"+";".";1;".";".";"+";1;".";1
"samb nigr";"sl";"Sambucus nigra";1;".";".";".";".";".";1;"+";".";"+";"2a";"2b";".";1;"+";".";1;".";1;1;".";".";".";1;".";1;".";".";"+";1;"+";"."
"samb nigr";"hl";"Sambucus nigra";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;1;".";".";".";".";".";".";".";".";".";".";1;"+";1
"corn sang slat";"sl";"Cornus sanguinea";"2a";".";".";".";".";".";".";".";"2a";"2b";1;1;".";"2a";1;1;".";".";"2b";3;".";".";"2a";1;"2a";"2a";"2a";"2a";"+";1;".";"."
"corn sang slat";"hl";"Cornus sanguinea";".";1;1;".";".";"+";".";".";".";".";".";".";".";"2a";1;1;".";"2a";"2b";"2a";1;1;"2a";"2a";"2a";"2a";1;1;"2a";3;".";"."
"ligu vulg";"sl";"Ligustrum vulgare";".";".";".";".";".";".";".";".";1;1;".";".";".";".";"2a";".";".";".";"2a";".";".";".";1;1;1;".";".";"+";1;".";".";"."
"ligu vulg";"hl";"Ligustrum vulgare";".";".";"+";1;".";"+";".";".";".";".";1;".";".";1;1;1;1;"2a";"2a";"2a";"+";"2a";".";1;1;"+";1;"+";1;1;1;"2a"
"rham cath";"sl";"Rhamnus cathartica";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";"."
"rham cath";"hl";"Rhamnus cathartica";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";1;".";1;1;".";1;".";".";".";".";".";".";"+";".";1;"."
"fran alnu";"sl";"Frangula alnus";".";".";".";".";".";".";".";".";"+";".";"+";"2a";".";".";".";".";".";".";".";".";".";".";".";".";"2a";1;".";".";1;".";".";"."
"fran alnu";"hl";"Frangula alnus";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";"+";"2a";1;"r";".";1;".";".";"."
"crat mono";"sl";"Crataegus monogyna";".";".";".";".";1;".";"+";"+";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";".";"."
"crat mono";"hl";"Crataegus monogyna";"+";"+";".";".";".";"+";"+";".";".";"+";"+";".";"+";".";".";"+";1;1;1;1;".";1;"+";"+";"+";".";".";"+";"+";"+";1;"+"
"rosa cani";"sl";"Rosa canina s.str.";".";".";".";".";".";".";1;"+";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";"+";".";".";"."
"rosa cani";"hl";"Rosa canina s.str.";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";1;".";1;"+";".";".";".";"2a";"."
"vibu lant";"sl";"Viburnum lantana";1;".";".";".";".";".";".";"+";".";"2a";1;"2a";".";".";".";".";".";".";".";1;"+";".";".";".";".";".";".";".";".";".";".";"."
"vibu lant";"hl";"Viburnum lantana";".";"+";".";".";".";".";".";".";".";".";"+";".";".";"+";".";".";".";1;".";1;"+";".";1;".";".";".";"+";".";".";".";".";"."
"rosa arve";"sl";"Rosa arvensis";1;".";"2a";".";".";".";".";".";1;".";1;1;".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";1;".";"+";".";"."
"rosa arve";"hl";"Rosa arvensis";"2a";".";"2a";1;"2a";1;".";".";".";".";"+";".";".";"+";"+";1;".";1;".";1;1;1;".";".";".";".";1;".";".";1;".";1
"euon lati";"sl";"Euonymus latifolius";".";".";".";".";".";".";".";".";".";"2a";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";"."
"euon lati";"hl";"Euonymus latifolius";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"."
"samb race";"sl";"Sambucus racemosa";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"loni alpi";"sl";"Lonicera alpigena";".";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"loni alpi";"hl";"Lonicera alpigena";".";".";".";1;".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";"."
"berb vulg";"sl";"Berberis vulgaris";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"2a";".";".";".";".";".";".";".";".";".";".";"."
"berb vulg";"hl";"Berberis vulgaris";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";1;1;".";"+";".";".";".";".";".";"r";".";"."
"rosa spec ies";"sl";"Rosa sp.";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";"+";".";"+";".";"+";".";".";".";".";"."
"rosa spec ies";"hl";"Rosa sp.";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2a";".";1;".";".";".";1;".";1;".";".";".";1;".";1;"."
"sorb aria";"sl";"Sorbus aria";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";"."
"sorb aria";"hl";"Sorbus aria";".";".";".";1;1;1;".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"euon euro";"sl";"Euonymus europaeus";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;"+";1;".";".";".";".";".";".";".";".";".";"+";".";"+";".";".";"."
"euon euro";"hl";"Euonymus europaeus";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";".";"+";".";".";".";".";".";".";"+";".";".";".";"+";".";"."
"popu cana";"sl";"Populus x canadensis";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";".";"."
"prun spin";"sl";"Prunus spinosa";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";"."
"prun spin";"hl";"Prunus spinosa";".";".";".";".";".";".";"+";".";".";".";"+";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";1;".";".";"+";"+";".";"."
"popu trem";"sl";"Populus tremula";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";"."
"popu trem";"hl";"Populus tremula";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"."
"crat laev laev";"sl";"Crataegus laevigata";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"crat laev laev";"hl";"Crataegus laevigata";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";".";".";".";".";".";"+";".";"+";".";".";".";".";".";".";"+";"."
"rosa glau";"sl";"Rosa glauca";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
