"abbr";"layer";"taxon";100;97;98;108;109;110;90;91;93;94;95;96;99;119;"120";"101";"105";"106";"107";"111";"112";"113";"114";"115";"118";"116";"117";"92";"121";"102";"103";"104"
"hera spho spho";"hl";"Heracleum sphondylium";".";".";".";".";"+";".";"r";".";".";".";"+";1;1;"r";".";".";".";".";".";"+";"+";".";".";".";".";"r";"r";".";".";".";1;1
"poly vert";"hl";"Polygonatum verticillatum";".";"+";".";"+";1;"+";1;1;".";".";"+";".";"+";".";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";1;"+"
"meli nuta";"hl";"Melica nutans";1;".";".";"+";"+";1;".";".";".";"+";1;1;".";".";".";".";".";".";".";".";".";1;".";"+";".";".";".";".";"+";".";"+";"."
"chae aure";"hl";"Chaerophyllum aureum";1;".";".";".";".";".";".";".";1;".";".";1;".";".";".";".";".";".";".";"+";".";".";".";".";"+";".";"+";"+";"+";".";"2a";1
"sile dioi";"hl";"Silene dioica";".";".";".";".";".";".";1;".";"+";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";"+";".";".";"+";"+"
"phyt spic";"hl";"Phyteuma spicatum";".";"+";".";"r";".";"+";".";"+";".";"+";"r";".";"+";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";"."
"chae hirs";"hl";"Chaerophyllum hirsutum";".";".";".";".";".";".";"2a";"2a";".";".";".";"2a";".";"2a";"+";".";".";".";".";".";".";".";"+";".";".";"2a";".";".";".";".";1;"2a"
"lysi numm";"hl";"Lysimachia nummularia";".";".";".";".";".";".";".";".";"+";"+";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";"."
"vici sepi";"hl";"Vicia sepium";".";1;".";".";".";".";"+";".";"+";".";".";"+";".";"r";"r";".";".";".";".";".";".";".";".";"r";"+";".";"r";".";"r";".";".";"."
"fest rubr aggr";"hl";"Festuca rubra agg.";1;"+";"+";"+";".";"+";"2a";".";"2a";".";".";".";".";"+";"+";".";".";".";".";".";".";"+";"+";"+";"+";"+";"+";".";".";"+";"+";"+"
"ranu acri acri";"hl";"Ranunculus acris";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";".";"+";"+";".";".";".";".";"+";"."
"crep bien";"hl";"Crepis biennis";".";".";"+";"+";".";".";"+";".";".";".";".";".";".";".";"+";".";".";".";".";".";"+";".";".";"+";".";"+";".";".";".";".";"+";"+"
"tara sect rude";"hl";"Taraxacum sect. Ruderalia";".";".";"+";"r";"+";".";"+";"+";"+";"+";".";".";".";"r";".";".";".";".";"r";".";".";".";".";".";".";"r";".";".";".";".";".";"."
"tris flav flav";"hl";"Trisetum flavescens";"+";".";".";".";".";"+";"+";".";"+";"+";".";"+";".";".";".";".";".";".";"+";".";1;"+";".";".";"+";"+";".";".";".";".";".";"."
"phle prat";"hl";"Phleum pratense";".";".";".";".";".";".";".";"+";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";"+";"."
"cyno cris";"hl";"Cynosurus cristatus";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"lath prat prat";"hl";"Lathyrus pratensis";".";".";".";".";"r";".";"+";".";"+";".";"+";"+";".";".";".";"r";".";".";".";".";".";"+";".";"+";"r";".";"r";".";".";".";".";"."
"pimp majo majo";"hl";"Pimpinella major";".";".";".";".";"+";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"r"
"holc lana";"hl";"Holcus lanatus";".";".";"+";"+";"+";".";".";".";".";".";".";"+";".";"+";"+";".";".";".";".";".";".";".";".";".";".";"+";".";".";"+";".";".";"."
"ranu nemo";"hl";"Ranunculus nemorosus";".";".";".";"+";"+";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"."
"anth odor";"hl";"Anthoxanthum odoratum";"+";".";"+";"+";".";".";".";".";"+";".";".";".";".";".";".";".";".";"+";".";".";"+";".";"+";".";".";".";".";".";".";".";".";"."
"pote erec";"hl";"Potentilla erecta";".";".";1;"+";"2a";"+";".";".";"+";".";".";".";"+";".";"+";"+";".";".";".";".";".";"+";".";".";".";"+";"r";".";"+";".";".";"."
"card trif";"hl";"Cardamine trifolia";".";".";".";"2a";".";".";"+";"2b";".";".";".";".";".";1;".";".";1;1;".";".";".";".";".";".";"+";".";".";".";".";".";".";"."
"moli caer";"hl";"Molinia caerulea";1;".";"2a";"+";".";".";".";".";".";".";1;".";"+";".";".";1;".";".";"+";".";"+";"+";"+";"+";".";".";".";".";".";".";".";"."
"viol rivi";"hl";"Viola riviniana";"+";".";".";".";"+";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";"."
"care flac";"hl";"Carex flacca";".";".";"+";".";"+";".";".";".";".";".";".";".";".";".";".";"+";".";1;".";"+";".";".";".";".";".";".";".";".";".";".";".";"."
"clin vulg vulg";"hl";"Clinopodium vulgare";1;".";"+";".";1;"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"r";".";".";".";"+";".";".";"."
"scro nodo";"hl";"Scrophularia nodosa";"+";".";".";".";".";".";1;".";".";".";"+";"+";"+";"+";"r";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";"."
"ranu repe";"hl";"Ranunculus repens";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";"+";".";"."
"poa triv";"hl";"Poa trivialis";".";".";".";".";".";".";".";".";".";".";"+";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+"
"trif repe repe";"hl";"Trifolium repens";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"euph amyg amyg";"hl";"Euphorbia amygdaloides";".";".";".";"+";".";".";".";".";".";".";"+";".";".";"r";".";".";".";".";".";".";".";".";"+";".";"r";".";".";".";".";".";".";"."
"gali sylv";"hl";"Galium sylvaticum";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"r";".";".";".";".";1;".";"."
"hier muro";"hl";"Hieracium murorum";"+";"+";".";"r";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"cruc laev";"hl";"Cruciata laevipes";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"2a";1
"care digi";"hl";"Carex digitata";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";"+";"+";"+";".";".";".";".";"+";"+";".";".";"r";".";".";".";".";"."
"care alba";"hl";"Carex alba";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";1;".";".";".";".";".";".";"+";".";".";".";".";".";".";"+";".";"."
"trif medi medi";"hl";"Trifolium medium";".";".";".";".";".";"+";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"."
"fiss taxi";"ml";"Fissidens taxifolius";".";".";".";".";".";".";".";".";"+";".";".";".";".";"2a";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"luzu spec ies";"hl";"Luzula sp.";".";".";".";"+";".";"+";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";"."
"sang offi";"hl";"Sanguisorba officinalis";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"care pall";"hl";"Carex pallescens";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";"."
"care orni orni";"hl";"Carex ornithopoda";".";"2a";"2a";".";".";".";".";".";"+";".";1;".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";"."
"pote ster";"hl";"Potentilla sterilis";"2a";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"gera sylv";"hl";"Geranium sylvaticum";".";".";".";".";".";".";".";".";".";".";"2a";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";"."
"stel gram";"hl";"Stellaria graminea";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";"."
"arrh elat";"hl";"Arrhenatherum elatius";".";".";".";".";".";".";".";".";".";".";".";".";".";1;"+";".";".";".";".";".";".";".";1;"+";".";".";".";".";".";".";".";"+"
"achi mill aggr";"hl";"Achillea millefolium agg.";".";".";".";".";".";".";"+";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"fest prat prat";"hl";"Festuca pratensis s.str.";".";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";"+";"."
"rume acet osa";"hl";"Rumex acetosa";".";".";".";".";".";".";"r";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"trif prat prat";"hl";"Trifolium pratense";".";".";"+";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";"."
"leon hisp slat";"hl";"Leontodon hispidus";"+";".";"+";".";".";".";".";".";".";"+";".";"+";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";"."
"viol spec ies";"hl";"Viola sp.";".";".";".";".";".";"+";".";".";".";".";".";".";1;"+";".";".";".";".";"+";".";".";"+";".";".";".";".";".";".";"r";".";".";1
"agro stol";"hl";"Agrostis stolonifera agg.";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";"+";".";".";".";".";".";"+";".";"+";1
"prun vulg";"hl";"Prunella vulgaris";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"vici crac";"hl";"Vicia cracca";".";".";".";".";"+";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"lotu corn";"hl";"Lotus corniculatus";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"euph cypa";"hl";"Euphorbia cyparissias";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";"+";".";".";"."
"beto offi offi";"hl";"Betonica officinalis";1;".";"+";".";".";"r";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";"."
"briz medi";"hl";"Briza media";"+";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"."
"thym pule pule";"hl";"Thymus pulegioides";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"gali veru";"hl";"Galium verum";".";".";".";".";"r";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";"."
"loli pere";"hl";"Lolium perenne";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"cera holo";"hl";"Cerastium holosteoides";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";"."
"care hirt";"hl";"Carex hirta";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"."
"poa prat";"hl";"Poa pratensis";".";".";".";"+";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";"."
"astr majo";"hl";"Astrantia major";"2a";".";".";".";".";".";".";".";".";"+";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";"."
"knau maxi";"hl";"Knautia maxima";".";".";".";".";".";".";".";".";".";"+";"+";1;"2a";1;"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2a";1
"holc moll";"hl";"Holcus mollis";".";"+";".";".";".";".";".";".";".";1;".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"fest spec ies";"hl";"Festuca sp.";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";".";".";"+";".";".";".";".";".";".";".";"+";".";"."
"sali capr";"hl";"Salix caprea";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"r";".";"."
"sani euro";"hl";"Sanicula europaea";".";".";".";".";"+";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"fest giga";"hl";"Festuca gigantea";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";"."
"gali odor";"hl";"Galium odoratum";".";"2a";1;".";".";".";".";".";".";1;".";".";"+";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"."
"acta spic";"hl";"Actaea spicata";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"ilex aqui";"hl";"Ilex aquifolium";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";"."
"circ lute lute";"hl";"Circaea lutetiana";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"."
"card enne";"hl";"Cardamine enneaphyllos";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"."
"merc pere";"hl";"Mercurialis perennis";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+"
"lili mart";"hl";"Lilium martagon";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";"+";"+"
"stac sylv";"hl";"Stachys sylvatica";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";1;1
"alli peti";"hl";"Alliaria petiolata";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+"
"gale tetr";"hl";"Galeopsis tetrahit";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"+"
"brom bene";"hl";"Bromus benekenii";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";"."
"lysi spec ies";"hl";"Lysimachia sp.";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"."
"gale psis spec ies";"hl";"Galeopsis sp.";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";"."
"ranu lanu";"hl";"Ranunculus lanuginosus";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"gera prat";"hl";"Geranium pratense";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"plag pore";"ml";"Plagiochila porelloides";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"junc infl";"hl";"Juncus inflexus";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";"."
"salv glut";"hl";"Salvia glutinosa";1;".";".";".";".";"+";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";"+";".";".";"."
"mili effu effu";"hl";"Milium effusum";".";1;"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"poa nemo";"hl";"Poa nemoralis";".";1;1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"euph dulc";"hl";"Euphorbia dulcis";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"."
"daph meze";"hl";"Daphne mezereum";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"maia bifo";"hl";"Maianthemum bifolium";".";".";".";"r";"r";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"tuss farf";"hl";"Tussilago farfara";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"anth sylv";"hl";"Anthriscus sylvestris";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"hord euro";"hl";"Hordelymus europaeus";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"fiss spec ies";"ml";"Fissidens sp.";".";".";"+";".";".";".";".";".";".";".";".";".";1;".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"vale trip";"hl";"Valeriana tripteris";".";".";"+";1;".";".";".";".";".";".";".";".";".";".";1;".";".";1;".";".";"+";".";".";".";".";".";".";".";".";".";".";"."
"ment long";"hl";"Mentha longifolia";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"."
"care spic";"hl";"Carex spicata";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"brac spec ies";"hl";"Brachythecium sp.";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"eupa cann";"hl";"Eupatorium cannabinum";".";".";".";".";".";".";".";".";"+";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";"."
"agro giga";"hl";"Agrostis gigantea";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"."
"plag nium undu";"hl";"Plagiomnium undulatum";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"ribe spec ies";"hl";"Ribes sp.";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"ange sylv sylv";"hl";"Angelica sylvestris";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"arun dioi";"hl";"Aruncus dioicus";".";".";".";".";".";".";".";".";".";".";"+";1;".";".";".";".";".";".";".";".";".";".";".";".";".";"2a";".";".";".";".";".";"."
"dryo cart";"hl";"Dryopteris carthusiana";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"dryo dila";"hl";"Dryopteris dilatata";".";".";".";".";".";"r";".";".";".";".";1;".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"equi arve";"hl";"Equisetum arvense";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"gali pumi";"hl";"Galium pumilum";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"gali bore";"hl";"Galium boreale";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";"."
"dant decu decu";"hl";"Danthonia decumbens";".";".";1;".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"heli numm slat";"hl";"Helianthemum nummularium";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";"."
"brom erec";"hl";"Bromus erectus";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"care cary";"hl";"Carex caryophyllea";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"pleu schr";"ml";"Pleurozium schreberi";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"anem nemo";"hl";"Anemone nemorosa";"r";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"nard stri";"hl";"Nardus stricta";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"care pilu pilu";"hl";"Carex pilulifera";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"rhyt squa";"ml";"Rhytidiadelphus squarrosus";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"dauc caro caro";"hl";"Daucus carota";".";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"orig vulg";"hl";"Origanum vulgare";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";"r"
"vero offi";"hl";"Veronica officinalis";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";"."
"prim veri veri";"hl";"Primula veris";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";"."
"acon lyco slat";"hl";"Aconitum lycoctonum";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"orch masc spec";"hl";"Orchis mascula";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";"."
"hier lach";"hl";"Hieracium lachenalii";"+";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"hier spec ies";"hl";"Hieracium sp.";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"picr hier slat";"hl";"Picris hieracioides";".";".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"geum riva";"hl";"Geum rivale";".";".";".";".";".";".";".";".";".";".";".";".";"2a";".";"2b";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"oxyr hian hian";"ml";"Eurhynchium hians";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"elyt repe";"hl";"Elymus repens";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+"
"hype hirs";"hl";"Hypericum hirsutum";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"call cusp";"ml";"Calliergonella cuspidata";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"myos alpe";"hl";"Myosotis alpestris";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";"."
"agri eupa eupa";"hl";"Agrimonia eupatoria";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";"."
"vale offi slat";"hl";"Valeriana officinalis";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";"."
"cala vari";"hl";"Calamagrostis varia";".";".";".";"+";"+";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";"."
"sene ovat ovat";"hl";"Senecio ovatus";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"sola dulc";"hl";"Solanum dulcamara";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"poly odor";"hl";"Polygonatum odoratum";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"."
"atri undu";"ml";"Atrichum undulatum";".";".";".";".";".";".";".";".";".";".";".";".";"+";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"neot nidu";"hl";"Neottia nidus-avis";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";"."
"vero mont";"hl";"Veronica montana";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";"."
"cirs arve";"hl";"Cirsium arvense";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;"."
"card bulb";"hl";"Cardamine bulbifera";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";"."
"clim dend";"ml";"Climacium dendroides";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"ranu spec ies";"hl";"Ranunculus sp.";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"lath nige";"hl";"Lathyrus niger";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"hylo maxi";"hl";"Hylotelephium maximum";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"sile nuta nuta";"hl";"Silene nutans s.lat.";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
