taxon,matched.taxon
Aster.bellidiastrum,Bellidiastrum michelii
Bartsia.alpina,Bartsia alpina
Biscutella.laevigata,Biscutella laevigata ssp. laevigata
Carex.sempervirens,Carex sempervirens ssp. sempervirens
Helianthemum.alpestre,Helianthemum alpestre
Helianthemum.grandiflorum,Helianthemum nummularium ssp. grandiflorum
Helictotrichon.parlatorei,Helictotrichon parlatorei
Pimpinella.alpina,Pimpinella alpina
Selaginella.selaginoides,Selaginella selaginoides
Seseli.libanotis,Seseli libanotis ssp. libanotis
Crepis.jacquinii,Crepis jacquinii s.lat.
Hieracium.bupleuroides,Hieracium bupleuroides
Valeriana.saxatilis,Valeriana saxatilis
Achnatherum.calamagrostis,Achnatherum calamagrostis
Gypsophila.repens,Gypsophila repens
Minuartia.austriaca,Minuartia austriaca
Silene.alpestris,Silene rupestris
Asperula.cynanchica,Asperula cynanchica
Botrychium.lunaria,Botrychium lunaria
Cardaminopsis.arenosa,Arabidopsis arenosa
Cyclamen.purpurascens,Cyclamen purpurascens
Echium.vulgare,Echium vulgare ssp. vulgare
Genista.pilosa,Genista pilosa
Gentianella.austriaca,Gentianella austriaca
Helleborus.niger,Helleborus niger
Hieracium.sp.,Hieracium sp.
Knautia.arvensis,Knautia arvensis s.lat.
Medicago.lupulina,Medicago lupulina
Orobanche.alba,Orobanche alba
Rhamnus.saxatilis,Rhamnus saxatilis ssp. saxatilis
Sedum.acre,Sedum acre
Silene.nutans,Silene nutans ssp. nutans
Thymus.pulegioides,Thymus pulegioides s.lat.
Acer.pseudoplatanus,Acer pseudoplatanus
Berberis.vulgaris,Berberis vulgaris
Pinus.mugo,Pinus mugo s.str.
Rhamnus.catharticus,Rhamnus cathartica
Salix.appendiculata,Salix appendiculata s.str.
Sorbus.aria,Sorbus aria s.str.
Cladonia.sp.,Cladonia sp.
Hypnum.sp.,Hypnum sp.
Peltigera.cf..aphthosa,Peltigera aphthosa
Peltigera.cf..rufescens,Peltigera rufescens
Psora.decipiens,Psora decipiens
Squamarina.cartilaginea,Squamarina cartilaginea
Tortella.inclinata,Tortella inclinata
