Aufnahmenummer;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;2;2
;1;2;3;4;5;6;7;8;9;0;1;2;3;4;5;6;7;8;9;0;1
Anzahl der Arten;2;1;4;3;2;3;3;2;4;3;3;3;3;3;3;3;2;2;2;3;2
;7;6;0;5;6;1;2;9;3;1;3;2;3;2;8;3;7;8;5;3;9
;;;;;;;;;;;;;;;;;;;;;
Festuca * pallidula;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;2;1;1;2;3
Minuartia kitaibelii;;;;;;;;+;;+;2;1;+;;2;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Phyteuma orbiculare;+;;+;+;+;;;;;;;;;;;;;;;;
Carduus crassifolius;+;;+;+;1;;;;;;;;;;;;;;;;
Pulsatilla alpina;1;r;r;+;;;;;;;;;;;;;;;;;
Thesium alpinum;+;+;+;;;;;;;;;;;;;;;;;;
Carex firma;1;2;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Euphorbia cyparissias;;;;;;;;+;;;;;;;1;+;+;;+;+;+
Galium lucidum;;;;1;;;;;;;;;;+;+;+;1;+;+;;+
Carex humilis;;;;;;;;;;;;;;;;1;1;+;;+;2
Dianthus carthusianorum;;;;;;;;;;;;;;;;;;;+;;
Erysimum sylvestre;;;;;;;;;;;;;;;;+;;;;;
Teucrium chamaedrys;;;;;;;;;;;;;;;;+;;;;;
Allium carinatum;;;;;;;;;;;;;;;;;r;;;;
Melica ciliata;;;;;;;;;;;;;;;+;;;;;;
Abietinella abietina;;;;;;;;;;;;;;;+;;;;+;;
;;;;;;;;;;;;;;;;;;;;;
Sesleria albicans;2;1;+;+;2;+;+;;+;+;1;+;+;1;2;+;1;1;+;1;2
Achillea clavenae;+;;;2;+;+;+;+;+;+;+;+;1;2;;;1;+;+;1;
Acinos alpinus;;;+;1;;;;;+;+;1;+;1;+;1;;+;+;+;1;
Euphrasia salisburgensis;;;+;+;+;+;+;+;+;+;+;;+;r;+;;+;;;+;
Calamagrostis varia;;;+;+;;+;;;2;;1;+;r;+;+;;+;r;+;+;
Carex mucronata;3;;;;;1;2;2;2;2;2;1;+;2;;+;+;;;;
Jovibarba hirta;;;+;;;+;+;;+;;+;;+;;1;+;;;1;+;+
Scabiosa lucida;;;+;+;1;;+;+;+;+;+;1;;;+;;;;;;
Carduus defloratus;;;;;;;;+;r;;;+;2;+;+;+;;+;+;1;
Rhinanthus glacialis;;;;;;+;1;1;2;+;;2;;;+;;;;;;
Hippocrepis comosa;;;1;;;+;;;;;1;r;+;r;;;+;;;;+
Gentianaclusii;;;;r;;;+;+;+;+;;;;;;;;;;;
Carex ornithopoda;;+;+;;;;;;;;;;;;+;;;;;+;+
Galium anisophyllum;;;;;;+;;;;;;+;+;;;;;;;+;
Polygala * brachyptera;;+;r;;;;;;;;;;;;;+;;;;;1
Ranunculus hybridus;1;;;;;;;;;+;;r;;;;;;;;;
Asteralpinus;;;;;;;;;;+;;"""";;;;;;+;;;
Anthyllis * alpestris;;;;;;+;;;;;;;;;;+;;;;;
Senecio abrotanifolius;;;;1;+;;;;;;;;;;;;;;;;
Viola biflora;+;;;;;+;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Vincetoxicum hirundinaria;;;+;;;1;+;;+;+;+;1;2;+;2;1;1;+;+;+;
