plot,abbr,layer,cov
7005,ALLI OFFI,hl,+
216,ANTH VULG,hl,+
216,ARAB HIRS,hl,R
7031,ARAB TURR,hl,1
216,ASPL SEPT,hl,+
5112,CALT PALU,hl,R
226,CAMP COCH,hl,R
2806,CARD AMAR,hl,R
720,CARE ORNI,hl,+
2809,CIRR PILI,ml,1
7032,DICR DENU,ml,1
7034,EUPH CYPA,hl,+
7035,FEST RUBR,hl,+
170,GYMN CONO,hl,+
216,HIER BIFI,hl,+
9030,HIER RACE,hl,+
2809,HOOK LUCE,ml,1
226,HYLO SPLE,hl,+
228,HYPE MACU,hl,R
172,HYPE PERF,hl,+
8021,IMPA PARV,hl,1
7048,BARB BARB,ml,+
216,LOTO CORN,hl,+
122,LUZU SILV,hl,+
5071,CYST MONT,hl,2
8042,MNIU AFFI,ml,R
9014,NECK CRIS,ml,1
2809,PELL EPIP,ml,+
7046,PLEU SCHR,ml,1
707,POTE EREC,hl,+
7032,PTER AQUI,hl,+
315,RANU ACON,hl,+
226,RHYT TRIQ,ml,+
7046,ROSA MICR,hl,+
216,SAPO OCYM,hl,+
7031,SEMP TECT,hl,R
363,SENE NEMO,hl,+
228,SILI VULG,hl,R
216,THYM POLY,hl,+
213,TOZZ ALPI,hl,+
226,TROL EURO,hl,R
7054,ACRO CUSP,ml,+
7048,AGRO TENU,hl,+
171,PLAT CHLO,hl,+
109,ASPL FONT,hl,+
169,ASTE AMEL,hl,+
136,BRIZ MEDI,hl,+
169,GALI CORR,hl,+
123,KNAU ARVE,hl,+
104,OPHR APIF,hl,+
169,ROSA EGLA,hl,+
169,STAC RECT,hl,+
102,TEUC MONT,hl,+
101,VINC MINO,hl,+
707,PINU STRO,hl,2
707,CARE VERN,hl,+
720,GALI VERU,hl,+
7048,COTO INTE,hl,+
7031,INUL CONY,hl,1
7034,SAXI AIZO,hl,R
7031,SEDU DASY,hl,R
7035,SUCC PRAT,hl,+
7031,ROSA POMI,hl,+
7056,CARE PAIR,hl,+
9104,ANEM RANU,hl,1
9104,STAC ALPI,hl,+
9212,GALI APAR,hl,+
