plot,x,y,observer,date,remarks
8040,740050,223360,H.U. Frey,1995-01-01,date is year of publication
8041,740670,223350,H.U. Frey,1995-01-01,date is year of publication
8042,755610,236750,H.U. Frey,1995-01-01,date is year of publication
8043,755620,237440,H.U. Frey,1995-01-01,date is year of publication
8044,755920,238030,H.U. Frey,1995-01-01,date is year of publication
8045,752020,225250,H.U. Frey,1995-01-01,date is year of publication
8046,751210,216440,H.U. Frey,1995-01-01,date is year of publication
8047,750260,214400,H.U. Frey,1995-01-01,date is year of publication
8048,750120,214720,H.U. Frey,1995-01-01,date is year of publication
8049,750150,214690,H.U. Frey,1995-01-01,date is year of publication
8050,749980,214890,H.U. Frey,1995-01-01,date is year of publication
8051,750030,214830,H.U. Frey,1995-01-01,date is year of publication
8052,750560,224340,H.U. Frey,1995-01-01,date is year of publication
8053,750280,224260,H.U. Frey,1995-01-01,date is year of publication
8054,750130,224060,H.U. Frey,1995-01-01,date is year of publication
8055,750300,224050,H.U. Frey,1995-01-01,date is year of publication
8056,731820,211620,H.U. Frey,1995-01-01,date is year of publication
8057,731700,211480,H.U. Frey,1995-01-01,date is year of publication
8058,731660,211520,H.U. Frey,1995-01-01,date is year of publication
8059,731920,211680,H.U. Frey,1995-01-01,date is year of publication
8060,733460,212450,H.U. Frey,1995-01-01,date is year of publication
8061,733800,216450,H.U. Frey,1995-01-01,date is year of publication
8062,753250,207510,H.U. Frey,1995-01-01,date is year of publication
8063,753230,206930,H.U. Frey,1995-01-01,date is year of publication
8064,753210,207060,H.U. Frey,1995-01-01,date is year of publication
8065,753200,207600,H.U. Frey,1995-01-01,date is year of publication
8066,751990,217400,H.U. Frey,1995-01-01,date is year of publication
8067,755500,237850,H.U. Frey,1995-01-01,date is year of publication
8068,755570,237930,H.U. Frey,1995-01-01,date is year of publication
8069,754870,238420,H.U. Frey,1995-01-01,date is year of publication
8070,747700,213170,H.U. Frey,1995-01-01,date is year of publication
8071,747730,213150,H.U. Frey,1995-01-01,date is year of publication
8072,747720,213190,H.U. Frey,1995-01-01,date is year of publication
8073,747520,213330,H.U. Frey,1995-01-01,date is year of publication
8074,750130,216420,H.U. Frey,1995-01-01,date is year of publication
8075,750060,216710,H.U. Frey,1995-01-01,date is year of publication
8076,749890,216390,H.U. Frey,1995-01-01,date is year of publication
8077,749750,216280,H.U. Frey,1995-01-01,date is year of publication
8078,750020,215720,H.U. Frey,1995-01-01,date is year of publication
8079,750260,215610,H.U. Frey,1995-01-01,date is year of publication
8080,753110,236420,H.U. Frey,1995-01-01,date is year of publication
8081,754550,238600,H.U. Frey,1995-01-01,date is year of publication
8082,753670,236930,H.U. Frey,1995-01-01,date is year of publication
8083,728610,224660,H.U. Frey,1995-01-01,date is year of publication
9001,753920,215840,H.U. Frey,1995-01-01,date is year of publication
9003,754890,219360,H.U. Frey,1995-01-01,date is year of publication
9004,754650,220070,H.U. Frey,1995-01-01,date is year of publication
9005,754770,219560,H.U. Frey,1995-01-01,date is year of publication
9006,726650,222560,H.U. Frey,1995-01-01,date is year of publication
9007,726680,222530,H.U. Frey,1995-01-01,date is year of publication
9008,726510,222590,H.U. Frey,1995-01-01,date is year of publication
9009,723140,226000,H.U. Frey,1995-01-01,date is year of publication
9010,723090,225840,H.U. Frey,1995-01-01,date is year of publication
9011,723500,226810,H.U. Frey,1995-01-01,date is year of publication
9012,723470,226860,H.U. Frey,1995-01-01,date is year of publication
9013,721880,230380,H.U. Frey,1995-01-01,date is year of publication
9014,721980,230460,H.U. Frey,1995-01-01,date is year of publication
9015,721930,230370,H.U. Frey,1995-01-01,date is year of publication
9016,749530,213330,H.U. Frey,1995-01-01,date is year of publication
9017,747400,214750,H.U. Frey,1995-01-01,date is year of publication
9018,746830,215350,H.U. Frey,1995-01-01,date is year of publication
9019,746200,218100,H.U. Frey,1995-01-01,date is year of publication
9020,746340,217800,H.U. Frey,1995-01-01,date is year of publication
9021,746380,217770,H.U. Frey,1995-01-01,date is year of publication
