plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;alliance;association;soil;comment;survery region;location;type;observer
lg27;98;0;0;0;98;3;0;0;0;0,5;0,05;4;4;;35;0;2;0;2020-07-21;47.462615;12.645682;10;Seslerion caeruleae Br.-Bl. in Br.-Bl. et Jenny 1926;Carlino-Caricetum sempervirentis Lutz 1947;;;Grießenpass;Weiden N Grießensee am Grießenpass;pasture;T. Eberl & R. Kaiser
lg28;97;0;0;0;97;3;0;0;0;0,5;0,03;4;4;;0;3;0;;2020-07-21;47.464188;12.644048;10;Seslerion caeruleae Br.-Bl. in Br.-Bl. et Jenny 1926;Carlino-Caricetum sempervirentis Lutz 1947;;;Grießenpass;Weiden N Grießensee am Grießenpass;pasture;T. Eberl & R. Kaiser
lg29;96;0;0;0;95;7;0;0;0;0,4;0,05;4;4;;40;0;4;0;2020-07-21;47.465410;12.640705;10;Seslerion caeruleae Br.-Bl. in Br.-Bl. et Jenny 1926;Carlino-Caricetum sempervirentis Lutz 1947;;;Grießenpass;Weiden N Grießensee am Grießenpass;pasture;T. Eberl & R. Kaiser
lg30;99;0;0;0;99;1;0;0;0;0,4;0,02;4;4;;1;0;0;;2020-07-21;47.455849;12.672669;10;Cynosurion cristati Tx. 1947;Festuco commudatae-Cynosuretum R. Tx. ex Büker 1942;;;Grießenpass;Weiden Grießener Sonnseite E Grießenpass;pasture;T. Eberl & R. Kaiser
lg31;99;0;0;0;99;4;0;0;0;0,7;0,05;4;4;;38;0;1;0;2020-07-21;47.457859;12.668558;10;Cynosurion cristati Tx. 1947;Festuco commudatae-Cynosuretum R. Tx. ex Büker 1942;;;Grießenpass;Weiden Grießener Sonnseite E Grießenpass;pasture;T. Eberl & R. Kaiser
lg32;99;0;0;0;99;1;0;0;0;0,45;0,05;4;4;;;0;1;0;2020-07-21;47.458423;12.665801;10;Seslerion caeruleae Br.-Bl. in Br.-Bl. et Jenny 1926;Carlino-Caricetum sempervirentis Lutz 1947;;;Grießenpass;Weiden Grießener Sonnseite E Grießenpass;pasture;T. Eberl & R. Kaiser
lg33;98;0;0;0;98;2;0;0;0;0,4;0,05;4;4;;38;0;2;0;2020-07-21;47.458553;12.658605;10;Seslerion caeruleae Br.-Bl. in Br.-Bl. et Jenny 1926;Carlino-Caricetum sempervirentis Lutz 1947;;;Grießenpass;Weiden Grießener Sonnseite E Grießenpass;pasture;T. Eberl & R. Kaiser
lg34;95;0;0;0;95;1;0;0;0;0,5;0,02;4;4;;;0;5;0;2020-07-21;47.459927;12.652768;10;Seslerion caeruleae Br.-Bl. in Br.-Bl. et Jenny 1926;Carlino-Caricetum sempervirentis Lutz 1947;;;Grießenpass;Weiden N Pucher E Grießenpass;pasture;T. Eberl & R. Kaiser
lg35;98;0;0;0;98;10;0;0;0;0,6;0,05;4;4;;38;0;2;0;2020-07-22;47.457149;12.726591;10;Seslerion caeruleae Br.-Bl. in Br.-Bl. et Jenny 1926;Carlino-Caricetum sempervirentis Lutz 1947;;;Riedlalm;Weiden an der Riedlalm S Wildzacken (2093);pasture;T. Eberl & R. Kaiser
lg36;99;0;0;0;99;1;0;0;0;0,2;0,02;4;4;;;0;1;0;2020-07-22;47.456368;12.727897;10;Cynosurion cristati Tx. 1947;Festuco commudatae-Cynosuretum R. Tx. ex Büker 1942;;;Riedlalm;Weiden an der Riedlalm S Wildzacken (2093);pasture;T. Eberl & R. Kaiser
lg37;97;0;0;0;97;2;0;0;0;0,7;0,05;4;4;;40;0;3;0;2020-07-22;47.455407;12.727021;10;Seslerion caeruleae Br.-Bl. in Br.-Bl. et Jenny 1926;Carlino-Caricetum sempervirentis Lutz 1947;;;Riedlalm;Weiden an der Riedlalm S Wildzacken (2093);pasture;T. Eberl & R. Kaiser
lg38;98;0;0;0;97;3;0;0;0;0,45;0,05;4;4;;;0;2;0;2020-07-22;47.454796;12.727071;10;Violion caninae Schwickerath 1944;Polygalo-Nardetum (Preising 1953) Oberd. 1957;;;Riedlalm;Weiden an der Riedlalm S Wildzacken (2093);pasture;T. Eberl & R. Kaiser
lg39;98;0;0;0;98;2;0;0;0;0,5;0,05;4;4;;30;0;2;0;2020-07-22;47.453561;12.704997;10;Seslerion caeruleae Br.-Bl. in Br.-Bl. et Jenny 1926;Carlino-Caricetum sempervirentis Lutz 1947;;;Maueralm/Gotthardalm;Weiden an der Maureralm SW Maurerköpfl (2133);pasture;T. Eberl & R. Kaiser
lg40;100;0;0;0;100;1;0;0;0;0,4;0,03;4;4;;;0;0;0;2020-07-22;47.454172;12.704060;10;Seslerion caeruleae Br.-Bl. in Br.-Bl. et Jenny 1926;Carlino-Caricetum sempervirentis Lutz 1947;;;Maueralm/Gotthardalm;Weiden an der Maureralm SW Maurerköpfl (2133);pasture;T. Eberl & R. Kaiser
lg41;99;55;20;14;99;15;22;15;3;0,9;0,05;16;16;;45;0;1;0;2020-07-22;47.457059;12.706224;10;Fagion sylvaticae Luquet 1926;Adenostyle glabrae-Fagetum -seslerietosum Moor 1970;;;Maueralm/Gotthardalm;Wald N Maureralm SW Maurerköpfl (2133);forest;T. Eberl & R. Kaiser
lg42;97;55;7;15;75;5;18;9;4;0,6;0,15;16;16;;;0;3;0;2020-07-22;47.459879;12.706186;10;Fagion sylvaticae Luquet 1926;Adenostyle glabrae-Fagetum -seslerietosum Moor 1970;;;Maueralm/Gotthardalm;Wald N Maureralm SW Maurerköpfl (2133);forest;T. Eberl & R. Kaiser
lg43;98;0;0;0;98;2;0;0;0;0,7;0,05;4;4;;20;0;2;0;2020-07-22;47.453043;12.702527;10;Cynosurion cristati Tx. 1947;Festuco commudatae-Cynosuretum R. Tx. ex Büker 1942;;;Maueralm/Gotthardalm;Weiden an der Maureralm SW Maurerköpfl (2133);pasture;T. Eberl & R. Kaiser
lg44;97;0;0;0;97;1;0;0;0;0,55;0,1;4;4;;;0;3;0;2020-07-22;47.450814;12.700300;10;Violion caninae Schwickerath 1944;Polygalo-Nardetum (Preising 1953) Oberd. 1957;;;Maueralm/Gotthardalm;Weiden an der Maureralm SW Maurerköpfl (2133);pasture;T. Eberl & R. Kaiser
lg45;98;15;65;28;95;2;25;17;3;0,9;0,5;16;16;;30;0;0;0;2020-09-09;47.461391;12.68601;10;Fagion sylvaticae Luquet 1926;Adenostyle glabrae-Fagetum -seslerietosum Moor 1970;;;Hirscherwaldalm;Wald W Hirscherwaldalm;forest;T. Eberl
lg46;28;0;0;0;28;0;0;0;0;0,7;0,05;4;4;;45;0;0;100;2020-09-09;47.460990;12.685504;10;Seslerion caeruleae Br.-Bl. in Br.-Bl. et Jenny 1926;Caricetum mucronatae (Br.-Bl. Et Jenny 1926) Thomaser 1977;;;Hirscherwaldalm;Felsen W Hirscherwaldalm;rock;T. Eberl
lg47;99;15;65;5;97;10;28;18;2,5;0,9;0,05;16;16;;30;0;0;0;2020-09-09;47.458756;12.683987;10;Fagion sylvaticae Luquet 1926;Adenostyle glabrae-Fagetum -seslerietosum Moor 1970;;;Hirscherwaldalm;Wald W Hirscherwaldalm;forest;T. Eberl
lg48;23;0;0;0;22;3;0;0;0;0,9;0,05;4;4;S;15;0;0;100;2020-09-09;47.458657;12.682858;10;Petasition officinalis Sillinger 1933;Petasitetum nivei Berger 1922;;;Hirscherwaldalm;Alluvionen des Grießlbaches SSW Hochbrett (2470);riverbed;T. Eberl
lg49;32;0;0;5;27;5;0;0;1,2;0,7;0,05;4;4;S;12;0;0;100;2020-09-09;47.459086;12.682783;10;Petasition officinalis Sillinger 1933;Petasitetum nivei Berger 1922;;;Hirscherwaldalm;Alluvionen des Grießlbaches SSW Hochbrett (2470);riverbed;T. Eberl
